id,sex,age,session,block,trial,stim_type,stim,resp,acc,rt,difficult,word
1,1,21,1,1,5,3,Bamahun,0,1,0.847,1,2
1,1,21,1,1,6,3,Wernir,0,1,0.654,1,2
1,1,21,1,1,7,4,Wsboaä,0,1,0.647,2,2
1,1,21,1,1,8,2,Leiste,1,1,0.543,1,1
1,1,21,1,1,9,1,dauern,1,1,0.591,2,1
1,1,21,1,1,10,1,Ereignis,1,1,0.783,2,1
1,1,21,1,1,11,4,Brgeht,0,1,0.711,2,2
1,1,21,1,1,12,2,Nomade,1,1,0.934,1,1
1,1,21,1,1,13,2,beseelt,0,0,0.687,1,1
1,1,21,1,1,14,1,Kandidat,1,1,1.365,2,1
1,1,21,1,1,15,2,bodenlos,1,1,0.614,1,1
1,1,21,1,1,16,3,orkendun,0,1,1.055,1,2
1,1,21,1,1,17,1,Steuer,1,1,0.656,2,1
1,1,21,1,1,18,4,Trlttcc,0,1,0.664,2,2
1,1,21,1,1,19,2,surren,1,1,0.815,1,1
1,1,21,1,1,20,4,helah,0,1,0.871,2,2
1,1,21,1,1,21,4,Slcali,0,1,0.728,2,2
1,1,21,1,1,22,4,gyucdt,0,1,0.645,2,2
1,1,21,1,1,23,3,Fasiin,0,1,0.907,1,2
1,1,21,1,1,24,3,Frest,0,1,1.072,1,2
1,1,21,1,1,25,4,Slarerc,0,1,0.71,2,2
1,1,21,1,1,26,3,Gefellin,0,1,2.695,1,2
1,1,21,1,1,27,2,hierin,1,1,1.167,1,1
1,1,21,1,1,28,3,Gilonk,0,1,0.889,1,2
1,1,21,1,1,29,2,Strip,1,1,1.023,1,1
1,1,21,1,1,30,3,Rikord,0,1,0.871,1,2
1,1,21,1,1,31,3,Kleenbas,0,1,1.15,1,2
1,1,21,1,1,32,1,gering,1,1,0.679,2,1
1,1,21,1,1,33,3,vorbecht,0,1,1.272,1,2
1,1,21,1,1,34,3,gufunden,0,1,1.007,1,2
1,1,21,1,1,35,1,Union,1,1,0.663,2,1
1,1,21,1,1,36,1,Technik,1,1,0.705,2,1
1,1,21,1,1,37,3,Ebminn,0,1,0.801,1,2
1,1,21,1,1,38,1,Stelle,1,1,0.64,2,1
1,1,21,1,1,39,2,Baier,0,0,1.28,1,1
1,1,21,1,1,40,4,Pirsur,0,1,0.776,2,2
1,1,21,1,1,41,3,bawirtun,0,1,1.032,1,2
1,1,21,1,1,42,2,erbost,1,1,0.896,1,1
1,1,21,1,1,43,2,gleich,1,1,0.664,1,1
1,1,21,1,1,44,4,Saatäeer,0,1,1.008,2,2
1,1,21,1,1,45,3,wenkun,0,1,0.799,1,2
1,1,21,1,1,46,4,Reodtne,0,1,0.617,2,2
1,1,21,1,1,47,4,Rnlumrr,0,1,0.672,2,2
