id,feedback,trial_condition,block,trial,correct_resp,resp,correct,rt
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,1,right,left,0,-6.49
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,2,right,right,1,8.578
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,3,right,right,1,5.007
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,4,left,left,1,2.343
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,5,left,right,0,-2.047
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,6,right,left,0,-4.363
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,7,right,right,1,8.915
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,8,right,right,1,5.526
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,9,left,left,1,2.575
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,10,right,right,1,1.75
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,11,left,left,1,4.294
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,12,right,right,1,3.215
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,13,right,right,1,2.143
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,14,left,left,1,1.311
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,15,right,left,0,-3.287
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,16,right,right,1,3.731
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,17,right,right,1,5.718
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,18,left,right,0,-3.238
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,19,left,left,1,1.907
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,20,left,left,1,3.759
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,21,left,left,1,1.951
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,22,left,left,1,2.695
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,23,right,right,1,3.919
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,24,left,left,1,2.07
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,25,right,right,1,1.79
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,26,right,left,0,-1.767
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,27,left,right,0,-2.923
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,28,left,left,1,7.027
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,29,left,left,1,4.928
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,30,left,left,1,4.12
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,31,left,left,1,4.991
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,32,right,left,0,-1.67
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,33,left,left,1,2.843
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,34,left,left,1,4.263
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,35,right,right,1,1.734
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,36,left,left,1,2.174
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,37,right,right,1,3.286
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,38,right,left,0,-2.471
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,39,right,right,1,2.163
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,1,40,left,right,0,-4.047
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,2,1,right,right,1,4.459
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,2,2,left,left,1,5.759
NA,Trial,Friday 15th of May 2015 02:35:07 PM txt,2,3,left,right,0,-3.439
