
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	51	15.389	3314
1	2	4	40	10	left	right	0	40	15.25	2623
1	3	4	40	10	right	left	0	11	16.492	667
1	4	4	40	10	right	left	0	19	15.69	1211
1	5	4	40	10	left	left	1	99	15.175	6524
1	6	4	40	10	left	left	1	15	16.06	934
1	7	4	40	10	left	right	0	10	16.474	607
1	8	4	40	10	right	right	1	16	16.097	994
1	9	4	40	10	left	left	1	10	15.291	654
1	10	4	40	10	right	right	1	13	15.971	814
1	11	4	40	10	left	right	0	21	15.825	1327
1	12	4	40	10	left	left	1	9	15.544	579
1	13	4	40	10	right	left	0	18	15.639	1151
1	14	4	40	10	left	right	0	10	15.175	659
1	15	4	40	10	left	right	0	5	15.48	323
1	16	4	40	10	right	right	1	6	17.291	347
1	17	4	40	10	left	left	1	14	16.222	863
1	18	4	40	10	left	left	1	56	15.321	3655
1	19	4	40	10	left	left	1	41	15.168	2703
1	20	4	40	10	left	right	0	24	15.306	1568
1	21	4	40	10	right	left	0	15	15.839	947
1	22	4	40	10	right	left	0	21	15.861	1324
1	23	4	40	10	left	left	1	8	16.293	491
1	24	4	40	10	right	right	1	26	15.485	1679
1	25	4	40	10	right	right	1	22	15.636	1407
1	26	4	40	10	left	right	0	17	15.525	1095
1	27	4	40	10	right	left	0	9	16.729	538
1	28	4	40	10	right	right	1	10	16.584	603
1	29	4	40	10	left	left	1	16	15.764	1015
1	30	4	40	10	right	right	1	16	16.113	993
2	1	4	40	10	right	left	0	19	15.485	1227
2	2	4	40	10	left	right	0	7	16.706	419
2	3	4	40	10	right	left	0	7	16.129	434
2	4	4	40	10	left	left	1	89	15.255	5834
2	5	4	40	10	left	left	1	15	16.181	927
2	6	4	40	10	right	left	0	12	15.979	751
2	7	4	40	10	right	left	0	6	16.529	363
2	8	4	40	10	right	right	1	6	16.529	363
2	9	4	40	10	right	left	0	29	15.175	1911
2	10	4	40	10	right	right	1	19	15.188	1251
