
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	left	0	99	15.254	6490
1	2	4	40	10	right	right	1	130	15.155	8578
1	3	4	40	10	right	right	1	76	15.179	5007
1	4	4	40	10	left	left	1	36	15.365	2343
1	5	4	40	10	left	right	0	31	15.144	2047
1	6	4	40	10	right	left	0	67	15.356	4363
1	7	4	40	10	right	right	1	136	15.255	8915
1	8	4	40	10	right	right	1	84	15.201	5526
1	9	4	40	10	left	left	1	39	15.146	2575
1	10	4	40	10	right	right	1	27	15.429	1750
1	11	4	40	10	left	left	1	66	15.37	4294
1	12	4	40	10	right	right	1	49	15.241	3215
1	13	4	40	10	right	right	1	33	15.399	2143
1	14	4	40	10	left	left	1	20	15.256	1311
1	15	4	40	10	right	left	0	50	15.211	3287
1	16	4	40	10	right	right	1	57	15.277	3731
1	17	4	40	10	right	right	1	87	15.215	5718
1	18	4	40	10	left	right	0	50	15.442	3238
1	19	4	40	10	left	left	1	29	15.207	1907
1	20	4	40	10	left	left	1	57	15.164	3759
1	21	4	40	10	left	left	1	30	15.377	1951
1	22	4	40	10	left	left	1	41	15.213	2695
1	23	4	40	10	right	right	1	60	15.31	3919
1	24	4	40	10	left	left	1	32	15.459	2070
1	25	4	40	10	right	right	1	28	15.642	1790
1	26	4	40	10	right	left	0	27	15.28	1767
1	27	4	40	10	left	right	0	45	15.395	2923
1	28	4	40	10	left	left	1	107	15.227	7027
1	29	4	40	10	left	left	1	75	15.219	4928
1	30	4	40	10	left	left	1	63	15.291	4120
1	31	4	40	10	left	left	1	76	15.227	4991
1	32	4	40	10	right	left	0	26	15.569	1670
1	33	4	40	10	left	left	1	44	15.477	2843
1	34	4	40	10	left	left	1	65	15.247	4263
1	35	4	40	10	right	right	1	27	15.571	1734
1	36	4	40	10	left	left	1	33	15.179	2174
1	37	4	40	10	right	right	1	50	15.216	3286
1	38	4	40	10	right	left	0	38	15.378	2471
1	39	4	40	10	right	right	1	33	15.257	2163
1	40	4	40	10	left	right	0	62	15.32	4047
2	1	4	40	10	right	right	1	68	15.25	4459
2	2	4	40	10	left	left	1	88	15.28	5759
2	3	4	40	10	left	right	0	53	15.411	3439
2	4	4	40	10	left	left	1	18	16.028	1123
2	5	4	40	10	right	left	0	31	15.454	2006
2	6	4	40	10	left	right	0	54	15.224	3547
2	7	4	40	10	right	right	1	82	15.199	5395
2	8	4	40	10	left	left	1	102	15.253	6687
2	9	4	40	10	right	right	1	58	15.203	3815
2	10	4	40	10	left	left	1	21	15.825	1327
2	11	4	40	10	right	right	1	39	15.193	2567
2	12	4	40	10	right	right	1	59	15.369	3839
2	13	4	40	10	right	left	0	44	15.493	2840
2	14	4	40	10	right	right	1	36	15.504	2322
2	15	4	40	10	left	left	1	47	15.147	3103
2	16	4	40	10	right	right	1	33	15.179	2174
2	17	4	40	10	left	left	1	39	15.246	2558
2	18	4	40	10	right	right	1	49	15.241	3215
2	19	4	40	10	left	left	1	40	15.486	2583
2	20	4	40	10	right	right	1	48	15.429	3111
2	21	4	40	10	left	left	1	40	15.296	2615
2	22	4	40	10	right	right	1	52	15.227	3415
2	23	4	40	10	right	right	1	46	15.293	3008
2	24	4	40	10	left	left	1	40	15.198	2632
2	25	4	40	10	right	right	1	29	15.303	1895
2	26	4	40	10	right	right	1	63	15.328	4110
2	27	4	40	10	right	right	1	29	15.5	1871
2	28	4	40	10	right	right	1	62	15.17	4087
2	29	4	40	10	right	right	1	53	15.269	3471
2	30	4	40	10	left	right	0	75	15.322	4895
2	31	4	40	10	right	left	0	24	15.758	1523
2	32	4	40	10	left	left	1	117	15.165	7715
2	33	4	40	10	right	right	1	42	15.402	2727
2	34	4	40	10	left	right	0	62	15.381	4031
2	35	4	40	10	left	left	1	47	15.245	3083
2	36	4	40	10	left	right	0	46	15.338	2999
2	37	4	40	10	left	left	1	17	15.357	1107
2	38	4	40	10	left	left	1	56	15.393	3638
2	39	4	40	10	left	left	1	46	15.177	3031
2	40	4	40	10	left	left	1	145	15.182	9551
3	1	4	40	10	right	right	1	20	15.492	1291
3	2	4	40	10	left	right	0	99	15.224	6503
3	3	4	40	10	left	left	1	20	15.302	1307
3	4	4	40	10	right	right	1	15	15.773	951
3	5	4	40	10	left	right	0	31	15.633	1983
3	6	4	40	10	right	right	1	47	15.201	3092
3	7	4	40	10	right	right	1	30	15.44	1943
3	8	4	40	10	right	right	1	47	15.309	3070
3	9	4	40	10	right	right	1	50	15.366	3254
3	10	4	40	10	left	left	1	17	15.77	1078
3	11	4	40	10	left	right	0	63	15.265	4127
3	12	4	40	10	right	right	1	26	15.597	1667
3	13	4	40	10	right	right	1	57	15.294	3727
