
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	23	15.797	1456
1	2	4	40	10	left	left	1	15	15.89	944
1	3	4	40	10	left	left	1	13	15.439	842
1	4	4	40	10	right	right	1	16	15.355	1042
1	5	4	40	10	right	right	1	25	15.635	1599
1	6	4	40	10	left	left	1	18	15.707	1146
1	7	4	40	10	left	left	1	23	15.604	1474
1	8	4	40	10	left	right	0	20	15.408	1298
1	9	4	40	10	left	left	1	29	15.344	1890
1	10	4	40	10	left	left	1	24	15.18	1581
1	11	4	40	10	left	left	1	36	15.152	2376
1	12	4	40	10	right	right	1	29	15.434	1879
1	13	4	40	10	right	right	1	41	15.202	2697
1	14	4	40	10	right	right	1	36	15.352	2345
1	15	4	40	10	right	right	1	26	15.348	1694
1	16	4	40	10	left	left	1	18	15.345	1173
1	17	4	40	10	right	right	1	24	15.267	1572
1	18	4	40	10	left	left	1	20	15.748	1270
1	19	4	40	10	right	right	1	27	15.263	1769
1	20	4	40	10	right	right	1	23	15.202	1513
1	21	4	40	10	left	left	1	21	15.789	1330
1	22	4	40	10	left	left	1	26	15.421	1686
1	23	4	40	10	left	left	1	19	15.176	1252
1	24	4	40	10	left	right	0	22	15.471	1422
1	25	4	40	10	left	right	0	35	15.507	2257
1	26	4	40	10	left	left	1	24	15.769	1522
1	27	4	40	10	right	left	0	49	15.298	3203
1	28	4	40	10	left	left	1	19	15.067	1261
1	29	4	40	10	right	left	0	27	15.707	1719
2	1	4	40	10	left	left	1	20	15.613	1281
2	2	4	40	10	left	left	1	21	15.683	1339
2	3	4	40	10	right	right	1	22	15.363	1432
2	4	4	40	10	right	right	1	22	15.46	1423
2	5	4	40	10	right	right	1	18	15.762	1142
2	6	4	40	10	left	left	1	15	15.416	973
2	7	4	40	10	left	left	1	19	15.422	1232
2	8	4	40	10	right	left	0	32	15.549	2058
2	9	4	40	10	right	right	1	18	15.652	1150
2	10	4	40	10	right	left	0	26	15.214	1709
2	11	4	40	10	left	left	1	14	15.217	920
2	12	4	40	10	left	left	1	13	15.588	834
2	13	4	40	10	left	left	1	10	15.576	642
2	14	4	40	10	right	right	1	20	15.385	1300
2	15	4	40	10	left	right	0	24	15.544	1544
2	16	4	40	10	right	right	1	32	15.64	2046
2	17	4	40	10	left	left	1	16	15.549	1029
2	18	4	40	10	right	left	0	43	15.396	2793
2	19	4	40	10	right	left	0	25	15.625	1600
2	20	4	40	10	left	left	1	18	15.517	1160
2	21	4	40	10	left	left	1	15	15.496	968
2	22	4	40	10	left	left	1	19	15.677	1212
2	23	4	40	10	left	left	1	16	15.094	1060
2	24	4	40	10	right	right	1	18	15.831	1137
2	25	4	40	10	left	right	0	28	15.564	1799
2	26	4	40	10	left	left	1	22	15.482	1421
2	27	4	40	10	right	right	1	25	15.664	1596
2	28	4	40	10	left	left	1	21	15.73	1335
2	29	4	40	10	left	left	1	20	15.302	1307
2	30	4	40	10	left	left	1	19	15.953	1191
2	31	4	40	10	left	left	1	25	15.17	1648
2	32	4	40	10	left	left	1	19	15.079	1260
2	33	4	40	10	left	left	1	21	15.184	1383
3	1	4	40	10	right	right	1	27	15.643	1726
3	2	4	40	10	left	left	1	16	15.08	1061
3	3	4	40	10	left	left	1	18	15.817	1138
3	4	4	40	10	right	right	1	20	15.699	1274
3	5	4	40	10	left	left	1	16	15.08	1061
3	6	4	40	10	right	right	1	17	15.483	1098
3	7	4	40	10	right	right	1	19	15.94	1192
3	8	4	40	10	left	left	1	29	15.491	1872
3	9	4	40	10	left	left	1	20	15.686	1275
3	10	4	40	10	left	left	1	16	15.296	1046
3	11	4	40	10	left	left	1	16	15.952	1003
3	12	4	40	10	left	left	1	15	15.773	951
3	13	4	40	10	left	left	1	13	15.312	849
3	14	4	40	10	right	right	1	19	15.31	1241
3	15	4	40	10	right	right	1	20	15.117	1323
3	16	4	40	10	left	left	1	17	15.873	1071
3	17	4	40	10	left	right	0	19	15.873	1197
3	18	4	40	10	left	left	1	12	15.748	762
3	19	4	40	10	right	left	0	17	15.977	1064
3	20	4	40	10	left	left	1	13	16.189	803
3	21	4	40	10	right	left	0	13	15.169	857
3	22	4	40	10	left	left	1	16	15.905	1006
3	23	4	40	10	left	left	1	21	15.51	1354
3	24	4	40	10	right	left	0	32	15.633	2047
3	25	4	40	10	right	left	0	26	15.231	1707
3	26	4	40	10	right	left	0	44	15.417	2854
3	27	4	40	10	left	left	1	14	16.092	870
3	28	4	40	10	right	right	1	28	15.713	1782
3	29	4	40	10	left	left	1	14	16.092	870
3	30	4	40	10	left	left	1	16	15.549	1029
3	31	4	40	10	left	left	1	11	15.581	706
3	32	4	40	10	right	right	1	16	15.656	1022
3	33	4	40	10	left	left	1	9	15.544	579
3	34	4	40	10	left	left	1	11	16.082	684
