
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	39	15.415	2530
1	2	4	40	10	right	right	1	23	15.572	1477
1	3	4	40	10	right	right	1	18	15.557	1157
1	4	4	40	10	right	right	1	19	15.768	1205
1	5	4	40	10	left	left	1	28	15.573	1798
1	6	4	40	10	right	right	1	25	15.404	1623
1	7	4	40	10	right	right	1	38	15.158	2507
1	8	4	40	10	left	left	1	34	15.199	2237
1	9	4	40	10	left	left	1	24	15.779	1521
1	10	4	40	10	right	left	0	33	15.32	2154
1	11	4	40	10	right	left	0	23	15.202	1513
1	12	4	40	10	left	left	1	74	15.318	4831
1	13	4	40	10	right	right	1	58	15.148	3829
1	14	4	40	10	right	right	1	40	15.379	2601
1	15	4	40	10	left	right	0	39	15.294	2550
1	16	4	40	10	right	left	0	36	15.424	2334
1	17	4	40	10	left	left	1	43	15.357	2800
1	18	4	40	10	right	right	1	38	15.46	2458
1	19	4	40	10	right	right	1	49	15.453	3171
1	20	4	40	10	right	right	1	49	15.394	3183
1	21	4	40	10	right	right	1	39	15.264	2555
2	1	4	40	10	right	right	1	37	15.449	2395
2	2	4	40	10	right	right	1	35	15.549	2251
2	3	4	40	10	left	left	1	16	16.016	999
2	4	4	40	10	left	right	0	17	15.814	1075
2	5	4	40	10	right	right	1	13	15.834	821
2	6	4	40	10	right	right	1	19	15.561	1221
2	7	4	40	10	right	left	0	16	15.905	1006
2	8	4	40	10	right	left	0	25	15.179	1647
2	9	4	40	10	right	left	0	53	15.371	3448
2	10	4	40	10	right	left	0	38	15.428	2463
2	11	4	40	10	right	right	1	75	15.253	4917
2	12	4	40	10	left	right	0	57	15.204	3749
2	13	4	40	10	right	right	1	39	15.348	2541
2	14	4	40	10	left	right	0	73	15.285	4776
2	15	4	40	10	left	left	1	24	15.444	1554
2	16	4	40	10	left	left	1	24	15.504	1548
2	17	4	40	10	left	right	0	36	15.371	2342
2	18	4	40	10	left	left	1	38	15.316	2481
2	19	4	40	10	right	right	1	38	15.206	2499
2	20	4	40	10	right	right	1	75	15.353	4885
3	1	4	40	10	left	left	1	23	15.354	1498
3	2	4	40	10	right	left	0	41	15.327	2675
3	3	4	40	10	right	left	0	20	15.564	1285
3	4	4	40	10	right	right	1	37	15.334	2413
3	5	4	40	10	left	left	1	52	15.417	3373
3	6	4	40	10	left	left	1	37	15.127	2446
3	7	4	40	10	right	left	0	46	15.421	2983
3	8	4	40	10	left	left	1	33	15.313	2155
3	9	4	40	10	right	left	0	22	15.493	1420
3	10	4	40	10	right	left	0	35	15.459	2264
3	11	4	40	10	right	right	1	25	15.615	1601
3	12	4	40	10	left	left	1	52	15.169	3428
3	13	4	40	10	left	left	1	61	15.284	3991
3	14	4	40	10	left	left	1	56	15.321	3655
3	15	4	40	10	left	right	0	41	15.168	2703
3	16	4	40	10	left	left	1	56	15.205	3683
3	17	4	40	10	left	left	1	44	15.172	2900
3	18	4	40	10	right	right	1	51	15.399	3312
3	19	4	40	10	right	left	0	62	15.26	4063
4	1	4	40	10	left	right	0	56	15.152	3696
4	2	4	40	10	right	right	1	48	15.199	3158
4	3	4	40	10	right	right	1	48	15.459	3105
4	4	4	40	10	right	right	1	49	15.336	3195
4	5	4	40	10	right	left	0	30	15.504	1935
4	6	4	40	10	left	left	1	65	15.301	4248
4	7	4	40	10	left	right	0	61	15.254	3999
4	8	4	40	10	left	left	1	52	15.417	3373
4	9	4	40	10	right	left	0	48	15.321	3133
4	10	4	40	10	left	left	1	63	15.247	4132
4	11	4	40	10	right	right	1	20	15.337	1304
4	12	4	40	10	left	left	1	18	15.477	1163
4	13	4	40	10	right	left	0	25	15.596	1603
4	14	4	40	10	right	left	0	30	15.337	1956
4	15	4	40	10	right	right	1	34	15.532	2189
4	16	4	40	10	right	right	1	28	15.704	1783
4	17	4	40	10	left	left	1	59	15.369	3839
4	18	4	40	10	right	left	0	111	15.239	7284
5	1	4	40	10	left	left	1	44	15.304	2875
5	2	4	40	10	right	left	0	54	15.276	3535
5	3	4	40	10	right	right	1	30	15.56	1928
5	4	4	40	10	right	left	0	47	15.161	3100
5	5	4	40	10	right	left	0	50	15.272	3274
5	6	4	40	10	right	right	1	69	15.33	4501
5	7	4	40	10	right	left	0	70	15.261	4587
5	8	4	40	10	right	left	0	62	15.26	4063
5	9	4	40	10	left	left	1	38	15.385	2470
5	10	4	40	10	left	right	0	44	15.368	2863
5	11	4	40	10	left	left	1	70	15.217	4600
5	12	4	40	10	right	left	0	52	15.222	3416
5	13	4	40	10	left	left	1	82	15.233	5383
5	14	4	40	10	left	left	1	44	15.262	2883
5	15	4	40	10	left	left	1	49	15.394	3183
6	1	4	40	10	right	right	1	23	15.593	1475
6	2	4	40	10	right	left	0	38	15.51	2450
6	3	4	40	10	right	left	0	42	15.356	2735
6	4	4	40	10	right	right	1	48	15.209	3156
6	5	4	40	10	right	right	1	42	15.356	2735
6	6	4	40	10	left	right	0	42	15.441	2720
6	7	4	40	10	right	left	0	42	15.413	2725
6	8	4	40	10	left	left	1	53	15.226	3481
6	9	4	40	10	right	left	0	119	15.2	7829
6	10	4	40	10	right	right	1	38	15.292	2485
6	11	4	40	10	left	left	1	43	15.319	2807
6	12	4	40	10	left	right	0	94	15.218	6177
6	13	4	40	10	left	left	1	30	15.448	1942
6	14	4	40	10	left	left	1	59	15.234	3873
6	15	4	40	10	left	left	1	52	15.412	3374
6	16	4	40	10	left	left	1	24	15.554	1543
7	1	4	40	10	right	left	0	42	15.13	2776
7	2	4	40	10	left	left	1	28	15.495	1807
