
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	17	15.858	1072
1	2	4	40	10	right	right	1	23	15.152	1518
1	3	4	40	10	right	right	1	21	15.273	1375
1	4	4	40	10	right	right	1	21	15.766	1332
1	5	4	40	10	right	right	1	18	15.611	1153
1	6	4	40	10	left	left	1	12	15.789	760
1	7	4	40	10	left	left	1	15	15.528	966
1	8	4	40	10	right	right	1	13	16.069	809
1	9	4	40	10	left	left	1	10	15.649	639
1	10	4	40	10	right	right	1	10	16.807	595
1	11	4	40	10	right	right	1	10	15.337	652
1	12	4	40	10	right	right	1	9	15.437	583
1	13	4	40	10	left	left	1	10	15.649	639
1	14	4	40	10	right	right	1	29	15.279	1898
1	15	4	40	10	left	left	1	16	15.92	1005
1	16	4	40	10	left	left	1	14	16.185	865
1	17	4	40	10	left	left	1	13	15.458	841
1	18	4	40	10	right	right	1	15	15.228	985
1	19	4	40	10	left	left	1	13	15.385	845
1	20	4	40	10	left	left	1	13	15.532	837
1	21	4	40	10	right	right	1	12	16.216	740
1	22	4	40	10	right	right	1	18	15.177	1186
1	23	4	40	10	left	left	1	12	16.26	738
1	24	4	40	10	right	right	1	12	15.152	792
1	25	4	40	10	left	left	1	17	15.554	1093
1	26	4	40	10	right	right	1	10	15.552	643
1	27	4	40	10	right	right	1	13	15.971	814
1	28	4	40	10	right	right	1	28	15.176	1845
1	29	4	40	10	left	left	1	11	16.2	679
1	30	4	40	10	left	left	1	21	15.317	1371
1	31	4	40	10	left	left	1	21	15.625	1344
1	32	4	40	10	right	right	1	11	16.442	669
1	33	4	40	10	left	left	1	11	16.743	657
1	34	4	40	10	right	right	1	10	16.155	619
1	35	4	40	10	left	left	1	12	15.365	781
1	36	4	40	10	left	left	1	18	15.584	1155
1	37	4	40	10	left	left	1	24	15.595	1539
1	38	4	40	10	left	left	1	19	15.46	1229
1	39	4	40	10	right	right	1	19	15.055	1262
1	40	4	40	10	left	left	1	12	15.605	769
2	1	4	40	10	right	right	1	31	15.174	2043
2	2	4	40	10	right	right	1	15	15.856	946
2	3	4	40	10	right	right	1	15	16.094	932
2	4	4	40	10	right	right	1	17	16.008	1062
2	5	4	40	10	right	left	0	17	15.683	1084
2	6	4	40	10	left	left	1	16	15.429	1037
2	7	4	40	10	right	right	1	16	15.842	1010
2	8	4	40	10	left	left	1	18	15.986	1126
2	9	4	40	10	left	left	1	16	15.18	1054
2	10	4	40	10	right	right	1	15	15.075	995
2	11	4	40	10	right	right	1	15	15.4	974
2	12	4	40	10	right	right	1	57	15.184	3754
2	13	4	40	10	left	left	1	13	15.403	844
2	14	4	40	10	left	left	1	17	15.683	1084
2	15	4	40	10	left	left	1	12	15.424	778
2	16	4	40	10	left	left	1	16	15.504	1032
2	17	4	40	10	right	right	1	15	15.544	965
2	18	4	40	10	right	right	1	15	15.136	991
2	19	4	40	10	right	right	1	16	15.34	1043
2	20	4	40	10	left	left	1	13	15.495	839
2	21	4	40	10	right	left	0	14	15.368	911
2	22	4	40	10	left	left	1	19	15.36	1237
2	23	4	40	10	right	right	1	13	15.476	840
2	24	4	40	10	right	right	1	17	15.992	1063
2	25	4	40	10	left	left	1	15	15.674	957
2	26	4	40	10	right	right	1	23	15.457	1488
2	27	4	40	10	right	right	1	35	15.244	2296
2	28	4	40	10	left	left	1	15	16.077	933
2	29	4	40	10	left	left	1	12	16.151	743
2	30	4	40	10	left	left	1	20	15.468	1293
2	31	4	40	10	left	left	1	21	15.637	1343
2	32	4	40	10	left	left	1	17	15.343	1108
2	33	4	40	10	right	right	1	12	16.26	738
2	34	4	40	10	left	left	1	13	15.187	856
2	35	4	40	10	left	left	1	19	15.833	1200
2	36	4	40	10	left	left	1	93	15.137	6144
2	37	4	40	10	left	left	1	112	15.201	7368
2	38	4	40	10	right	right	1	16	15.385	1040
2	39	4	40	10	right	right	1	25	15.586	1604
2	40	4	40	10	left	left	1	28	15.625	1792
3	1	4	40	10	right	right	1	32	15.459	2070
3	2	4	40	10	right	right	1	20	15.76	1269
3	3	4	40	10	right	right	1	19	15.139	1255
3	4	4	40	10	left	left	1	14	15.47	905
3	5	4	40	10	right	right	1	11	15.235	722
3	6	4	40	10	left	left	1	12	15.171	791
3	7	4	40	10	right	right	1	12	16.173	742
3	8	4	40	10	right	right	1	14	16.148	867
3	9	4	40	10	right	right	1	23	15.509	1483
3	10	4	40	10	left	left	1	14	15.556	900
3	11	4	40	10	right	right	1	20	15.094	1325
3	12	4	40	10	right	left	0	22	15.439	1425
3	13	4	40	10	right	right	1	20	15.468	1293
3	14	4	40	10	right	right	1	14	15.909	880
3	15	4	40	10	left	left	1	13	15.187	856
3	16	4	40	10	right	right	1	53	15.438	3433
3	17	4	40	10	left	left	1	11	15.214	723
3	18	4	40	10	left	left	1	13	15.625	832
3	19	4	40	10	left	left	1	20	15.444	1295
3	20	4	40	10	right	right	1	16	15.968	1002
3	21	4	40	10	left	left	1	16	15.18	1054
3	22	4	40	10	left	left	1	18	15.464	1164
3	23	4	40	10	left	left	1	15	15.432	972
3	24	4	40	10	right	left	0	13	15.644	831
3	25	4	40	10	right	right	1	11	15.048	731
3	26	4	40	10	left	left	1	12	15.306	784
3	27	4	40	10	right	right	1	50	15.475	3231
3	28	4	40	10	left	left	1	19	15.188	1251
3	29	4	40	10	left	left	1	20	15.279	1309
3	30	4	40	10	right	right	1	56	15.246	3673
3	31	4	40	10	right	left	0	169	15.175	11137
3	32	4	40	10	left	left	1	24	15.326	1566
3	33	4	40	10	left	left	1	17	15.625	1088
3	34	4	40	10	left	left	1	41	15.219	2694
3	35	4	40	10	left	left	1	25	15.124	1653
3	36	4	40	10	left	left	1	61	15.273	3994
3	37	4	40	10	right	left	0	31	15.294	2027
3	38	4	40	10	right	right	1	18	15.228	1182
3	39	4	40	10	left	left	1	39	15.488	2518
3	40	4	40	10	left	left	1	43	15.401	2792
4	1	4	40	10	left	left	1	46	15.374	2992
4	2	4	40	10	right	right	1	13	15.495	839
4	3	4	40	10	left	left	1	14	15.234	919
4	4	4	40	10	right	right	1	12	15.625	768
4	5	4	40	10	left	left	1	15	15.4	974
4	6	4	40	10	right	right	1	31	15.301	2026
4	7	4	40	10	left	left	1	15	15.89	944
4	8	4	40	10	left	left	1	30	15.167	1978
4	9	4	40	10	left	left	1	20	15.349	1303
4	10	4	40	10	right	right	1	49	15.457	3170
4	11	4	40	10	left	left	1	15	15.924	942
4	12	4	40	10	right	right	1	17	15.977	1064
4	13	4	40	10	left	left	1	22	15.385	1430
4	14	4	40	10	right	right	1	34	15.199	2237
4	15	4	40	10	left	left	1	80	15.337	5216
4	16	4	40	10	left	left	1	91	15.251	5967
4	17	4	40	10	right	right	1	64	15.202	4210
4	18	4	40	10	left	left	1	14	15.909	880
4	19	4	40	10	left	left	1	15	15.106	993
4	20	4	40	10	left	left	1	14	15.837	884
4	21	4	40	10	right	right	1	16	15.429	1037
4	22	4	40	10	left	left	1	19	15.599	1218
4	23	4	40	10	left	left	1	16	15.109	1059
4	24	4	40	10	right	right	1	15	16.269	922
4	25	4	40	10	right	right	1	80	15.282	5235
4	26	4	40	10	right	right	1	37	15.245	2427
4	27	4	40	10	right	right	1	30	15.221	1971
4	28	4	40	10	right	right	1	27	15.698	1720
4	29	4	40	10	right	right	1	21	15.813	1328
4	30	4	40	10	left	left	1	20	15.302	1307
4	31	4	40	10	right	right	1	68	15.291	4447
4	32	4	40	10	right	right	1	89	15.235	5842
4	33	4	40	10	left	left	1	12	15.748	762
4	34	4	40	10	left	left	1	12	16.304	736
4	35	4	40	10	left	left	1	14	16.11	869
4	36	4	40	10	right	right	1	11	15.32	718
4	37	4	40	10	left	left	1	12	15.915	754
4	38	4	40	10	right	right	1	11	16.369	672
4	39	4	40	10	right	right	1	80	15.14	5284
4	40	4	40	10	right	right	1	17	15.219	1117
5	1	4	40	10	right	right	1	25	15.704	1592
5	2	4	40	10	left	left	1	14	15.713	891
5	3	4	40	10	right	right	1	17	15.683	1084
5	4	4	40	10	right	right	1	30	15.48	1938
5	5	4	40	10	left	left	1	16	15.18	1054
5	6	4	40	10	right	right	1	12	16.238	739
5	7	4	40	10	left	left	1	11	15.278	720
5	8	4	40	10	right	right	1	12	16.194	741
5	9	4	40	10	right	left	0	12	15.584	770
5	10	4	40	10	left	left	1	10	16.75	597
5	11	4	40	10	right	right	1	17	15.539	1094
5	12	4	40	10	left	left	1	17	15.668	1085
5	13	4	40	10	left	left	1	16	15.702	1019
5	14	4	40	10	left	left	1	13	15.205	855
5	15	4	40	10	right	right	1	13	15.495	839
5	16	4	40	10	right	right	1	10	15.267	655
5	17	4	40	10	right	right	1	26	15.169	1714
5	18	4	40	10	right	right	1	19	15.833	1200
5	19	4	40	10	left	left	1	10	15.798	633
5	20	4	40	10	right	right	1	17	15.357	1107
5	21	4	40	10	left	left	1	18	15.929	1130
5	22	4	40	10	left	left	1	13	15.606	833
5	23	4	40	10	left	left	1	19	15.926	1193
5	24	4	40	10	right	right	1	13	15.439	842
5	25	4	40	10	right	right	1	29	15.159	1913
5	26	4	40	10	right	right	1	17	15.568	1092
5	27	4	40	10	right	right	1	17	15.712	1082
5	28	4	40	10	left	left	1	16	15.873	1008
5	29	4	40	10	left	left	1	16	15.81	1012
5	30	4	40	10	left	left	1	14	15.927	879
5	31	4	40	10	left	left	1	13	15.33	848
5	32	4	40	10	left	left	1	14	15.766	888
5	33	4	40	10	left	left	1	29	15.159	1913
5	34	4	40	10	left	right	0	15	15.448	971
5	35	4	40	10	left	left	1	17	15.357	1107
5	36	4	40	10	right	right	1	11	15.235	722
5	37	4	40	10	right	right	1	11	16.591	663
5	38	4	40	10	left	left	1	11	15.068	730
5	39	4	40	10	right	right	1	11	15.131	727
5	40	4	40	10	right	left	0	12	15.544	772
6	1	4	40	10	right	right	1	55	15.231	3611
6	2	4	40	10	left	left	1	11	15.759	698
6	3	4	40	10	right	right	1	10	15.674	638
6	4	4	40	10	left	left	1	11	16.369	672
6	5	4	40	10	right	right	1	10	16.34	612
6	6	4	40	10	right	right	1	11	15.85	694
6	7	4	40	10	right	right	1	12	15.915	754
6	8	4	40	10	left	left	1	8	16.427	487
6	9	4	40	10	left	left	1	13	16.129	806
6	10	4	40	10	left	left	1	15	15.416	973
6	11	4	40	10	right	right	1	12	15.464	776
6	12	4	40	10	right	right	1	11	15.32	718
6	13	4	40	10	right	right	1	14	15.713	891
6	14	4	40	10	right	right	1	10	15.723	636
6	15	4	40	10	left	left	1	9	15.652	575
6	16	4	40	10	right	right	1	10	16.26	615
6	17	4	40	10	left	left	1	10	15.408	649
6	18	4	40	10	right	right	1	11	15.363	716
6	19	4	40	10	left	left	1	9	15.817	569
6	20	4	40	10	left	left	1	11	15.759	698
6	21	4	40	10	right	right	1	9	16.854	534
6	22	4	40	10	left	left	1	10	15.48	646
6	23	4	40	10	left	right	0	9	16.791	536
6	24	4	40	10	right	right	1	14	15.267	917
6	25	4	40	10	right	right	1	18	15.972	1127
6	26	4	40	10	right	right	1	21	15.742	1334
6	27	4	40	10	left	left	1	9	15.571	578
6	28	4	40	10	left	left	1	11	16.082	684
6	29	4	40	10	left	left	1	10	15.432	648
6	30	4	40	10	right	right	1	10	16.584	603
6	31	4	40	10	left	left	1	9	16.393	549
6	32	4	40	10	left	left	1	11	15.873	693
6	33	4	40	10	right	right	1	13	16.069	809
6	34	4	40	10	right	right	1	9	15.411	584
6	35	4	40	10	left	left	1	16	16	1000
6	36	4	40	10	left	left	1	10	15.898	629
6	37	4	40	10	right	right	1	10	15.674	638
6	38	4	40	10	left	left	1	16	15.504	1032
6	39	4	40	10	left	left	1	10	15.314	653
6	40	4	40	10	right	right	1	11	15.988	688
7	1	4	40	10	left	left	1	13	16.109	807
7	2	4	40	10	right	right	1	9	15.491	581
7	3	4	40	10	left	left	1	9	16.1	559
7	4	4	40	10	left	left	1	11	15.471	711
7	5	4	40	10	left	left	1	9	15.957	564
7	6	4	40	10	right	right	1	9	16.187	556
7	7	4	40	10	left	left	1	11	15.537	708
7	8	4	40	10	left	left	1	11	16.541	665
7	9	4	40	10	right	right	1	10	16.779	596
7	10	4	40	10	left	left	1	13	15.222	854
7	11	4	40	10	right	right	1	10	15.291	654
7	12	4	40	10	left	left	1	11	15.805	696
7	13	4	40	10	right	right	1	10	16.779	596
7	14	4	40	10	right	right	1	26	15.495	1678
7	15	4	40	10	left	left	1	13	15.569	835
7	16	4	40	10	left	left	1	10	16.393	610
7	17	4	40	10	left	left	1	20	15.186	1317
7	18	4	40	10	right	right	1	11	16.345	673
7	19	4	40	10	left	left	1	8	16.26	492
7	20	4	40	10	right	right	1	9	15.762	571
7	21	4	40	10	right	right	1	14	16.298	859
7	22	4	40	10	left	left	1	12	15.385	780
7	23	4	40	10	right	right	1	11	15.428	713
7	24	4	40	10	right	right	1	10	16.529	605
7	25	4	40	10	left	left	1	9	15.652	575
7	26	4	40	10	right	right	1	10	15.06	664
7	27	4	40	10	right	right	1	11	15.235	722
7	28	4	40	10	left	left	1	14	15.642	895
7	29	4	40	10	right	right	1	11	16.717	658
7	30	4	40	10	left	left	1	10	16.556	604
7	31	4	40	10	right	right	1	34	15.308	2221
7	32	4	40	10	right	right	1	20	15.613	1281
7	33	4	40	10	right	right	1	17	15.814	1075
7	34	4	40	10	left	left	1	9	15.817	569
7	35	4	40	10	left	left	1	10	15.576	642
7	36	4	40	10	left	left	1	25	15.586	1604
7	37	4	40	10	right	right	1	18	15.517	1160
7	38	4	40	10	right	right	1	15	15.756	952
7	39	4	40	10	right	right	1	19	15.103	1258
7	40	4	40	10	left	left	1	8	15.238	525
8	1	4	40	10	right	right	1	26	15.321	1697
8	2	4	40	10	right	right	1	12	15.979	751
8	3	4	40	10	left	left	1	11	16.296	675
8	4	4	40	10	left	left	1	12	15.979	751
8	5	4	40	10	left	left	1	11	16.082	684
8	6	4	40	10	right	right	1	11	16.566	664
8	7	4	40	10	left	left	1	12	15.404	779
8	8	4	40	10	right	right	1	10	16.835	594
8	9	4	40	10	right	left	0	12	15.894	755
8	10	4	40	10	left	left	1	12	16.021	749
8	11	4	40	10	left	left	1	11	16.32	674
8	12	4	40	10	right	right	1	10	16.077	622
8	13	4	40	10	right	right	1	11	15.11	728
8	14	4	40	10	left	left	1	10	16.129	620
8	15	4	40	10	right	right	1	9	15.679	574
8	16	4	40	10	right	right	1	15	16.043	935
8	17	4	40	10	left	left	1	11	16.345	673
8	18	4	40	10	left	left	1	11	15.193	724
8	19	4	40	10	left	left	1	13	16.069	809
8	20	4	40	10	right	right	1	17	15.858	1072
8	21	4	40	10	left	left	1	11	16.418	670
8	22	4	40	10	right	right	1	12	15.936	753
8	23	4	40	10	left	left	1	10	15.48	646
8	24	4	40	10	left	left	1	12	16.282	737
