
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	369	15.157	24345
1	2	4	40	10	right	right	1	62	15.241	4068
1	3	4	40	10	left	right	0	50	15.142	3302
1	4	4	40	10	left	right	0	107	15.177	7050
1	5	4	40	10	left	left	1	44	15.422	2853
1	6	4	40	10	right	left	0	54	15.203	3552
1	7	4	40	10	left	right	0	107	15.212	7034
1	8	4	40	10	left	left	1	19	15.067	1261
1	9	4	40	10	right	left	0	16	16	1000
2	1	4	40	10	right	left	0	45	15.254	2950
2	2	4	40	10	left	left	1	25	15.235	1641
2	3	4	40	10	left	left	1	16	15.311	1045
2	4	4	40	10	left	right	0	38	15.212	2498
2	5	4	40	10	left	left	1	9	15.177	593
2	6	4	40	10	right	left	0	10	16.367	611
2	7	4	40	10	right	left	0	38	15.267	2489
2	8	4	40	10	right	left	0	12	15.484	775
2	9	4	40	10	left	left	1	46	15.162	3034
2	10	4	40	10	left	left	1	34	15.497	2194
2	11	4	40	10	right	right	1	47	15.196	3093
2	12	4	40	10	left	right	0	24	15.248	1574
2	13	4	40	10	left	right	0	41	15.448	2654
2	14	4	40	10	left	right	0	16	15.61	1025
2	15	4	40	10	right	right	1	47	15.171	3098
2	16	4	40	10	right	right	1	36	15.28	2356
2	17	4	40	10	right	right	1	12	15.404	779
2	18	4	40	10	right	right	1	13	15.758	825
2	19	4	40	10	right	right	1	10	16.234	616
2	20	4	40	10	right	right	1	12	15.748	762
2	21	4	40	10	left	right	0	9	15.845	568
2	22	4	40	10	left	right	0	143	15.218	9397
2	23	4	40	10	right	left	0	14	16.26	861
3	1	4	40	10	left	right	0	33	15.186	2173
3	2	4	40	10	right	left	0	9	15.734	572
3	3	4	40	10	left	right	0	11	15.581	706
3	4	4	40	10	right	left	0	19	15.286	1243
3	5	4	40	10	right	right	1	16	15.474	1034
3	6	4	40	10	left	right	0	19	15.044	1263
3	7	4	40	10	left	left	1	27	15.716	1718
3	8	4	40	10	right	left	0	21	15.754	1333
3	9	4	40	10	right	right	1	11	15.85	694
3	10	4	40	10	left	right	0	22	15.692	1402
3	11	4	40	10	left	left	1	16	15.686	1020
3	12	4	40	10	right	left	0	19	15.625	1216
3	13	4	40	10	right	right	1	15	15.641	959
3	14	4	40	10	right	right	1	21	15.789	1330
3	15	4	40	10	right	right	1	14	15.66	894
3	16	4	40	10	left	right	0	18	15.859	1135
3	17	4	40	10	right	left	0	28	15.326	1827
3	18	4	40	10	right	right	1	356	15.187	23441
3	19	4	40	10	right	right	1	15	15.56	964
3	20	4	40	10	left	right	0	12	16.327	735
3	21	4	40	10	left	right	0	30	15.617	1921
4	1	4	40	10	left	left	1	29	15.566	1863
4	2	4	40	10	left	left	1	13	15.606	833
4	3	4	40	10	right	right	1	18	15.762	1142
4	4	4	40	10	right	right	1	25	15.47	1616
4	5	4	40	10	left	right	0	24	15.666	1532
4	6	4	40	10	right	right	1	102	15.138	6738
4	7	4	40	10	right	right	1	19	15.51	1225
4	8	4	40	10	left	right	0	17	15.138	1123
4	9	4	40	10	left	right	0	36	15.477	2326
4	10	4	40	10	right	left	0	35	15.244	2296
4	11	4	40	10	right	right	1	25	15.152	1650
4	12	4	40	10	left	right	0	13	15.971	814
4	13	4	40	10	left	right	0	23	15.604	1474
4	14	4	40	10	left	left	1	30	15.19	1975
4	15	4	40	10	left	left	1	15	16.112	931
4	16	4	40	10	right	left	0	16	15.671	1021
4	17	4	40	10	right	right	1	10	15.456	647
4	18	4	40	10	right	right	1	26	15.616	1665
4	19	4	40	10	left	right	0	19	15.447	1230
4	20	4	40	10	right	right	1	15	15.416	973
4	21	4	40	10	left	right	0	15	16.164	928
4	22	4	40	10	left	right	0	14	15.368	911
4	23	4	40	10	left	left	1	11	16.058	685
4	24	4	40	10	left	left	1	17	15.625	1088
4	25	4	40	10	left	left	1	10	16.722	598
4	26	4	40	10	left	left	1	24	15.306	1568
4	27	4	40	10	left	left	1	12	16.064	747
4	28	4	40	10	right	left	0	45	15.244	2952
4	29	4	40	10	right	left	0	10	16.779	596
5	1	4	40	10	right	right	1	18	15.929	1130
5	2	4	40	10	right	right	1	7	15.59	449
5	3	4	40	10	right	right	1	8	16.985	471
5	4	4	40	10	right	right	1	7	15.73	445
5	5	4	40	10	left	right	0	8	15.534	515
5	6	4	40	10	right	left	0	11	16.2	679
5	7	4	40	10	left	right	0	9	15.437	583
5	8	4	40	10	left	left	1	23	15.829	1453
5	9	4	40	10	right	left	0	18	15.345	1173
5	10	4	40	10	right	right	1	11	15.759	698
5	11	4	40	10	left	right	0	13	16.129	806
5	12	4	40	10	left	left	1	9	16.014	562
5	13	4	40	10	left	left	1	18	15.28	1178
5	14	4	40	10	right	left	0	10	16.393	610
5	15	4	40	10	left	right	0	9	16.76	537
5	16	4	40	10	right	left	0	10	15.873	630
5	17	4	40	10	right	right	1	11	15.172	725
5	18	4	40	10	left	right	0	39	15.318	2546
5	19	4	40	10	left	left	1	14	16	875
5	20	4	40	10	right	left	0	20	15.686	1275
5	21	4	40	10	right	right	1	8	16.842	475
5	22	4	40	10	left	right	0	13	15.312	849
5	23	4	40	10	right	left	0	9	15.254	590
5	24	4	40	10	left	right	0	11	15.537	708
5	25	4	40	10	right	right	1	24	15.267	1572
5	26	4	40	10	right	right	1	12	15.171	791
5	27	4	40	10	left	right	0	25	15.347	1629
5	28	4	40	10	left	right	0	13	15.513	838
5	29	4	40	10	left	right	0	14	16.166	866
5	30	4	40	10	right	left	0	28	15.234	1838
5	31	4	40	10	left	right	0	10	16.529	605
5	32	4	40	10	left	right	0	161	15.23	10571
6	1	4	40	10	right	right	1	20	15.81	1265
6	2	4	40	10	right	right	1	20	15.209	1315
6	3	4	40	10	left	right	0	10	15.848	631
6	4	4	40	10	left	right	0	14	15.642	895
6	5	4	40	10	left	right	0	43	15.468	2780
6	6	4	40	10	left	right	0	34	15.497	2194
6	7	4	40	10	right	left	0	16	15.984	1001
6	8	4	40	10	right	right	1	10	15.576	642
6	9	4	40	10	left	right	0	11	15.692	701
6	10	4	40	10	left	right	0	12	16.327	735
6	11	4	40	10	right	right	1	18	15.625	1152
6	12	4	40	10	right	right	1	11	15.449	712
6	13	4	40	10	right	right	1	12	16.216	740
6	14	4	40	10	left	right	0	16	15.253	1049
6	15	4	40	10	left	right	0	18	15.803	1139
6	16	4	40	10	left	right	0	16	15.873	1008
6	17	4	40	10	right	left	0	15	15.496	968
6	18	4	40	10	left	right	0	9	15.177	593
6	19	4	40	10	right	right	1	49	15.317	3199
6	20	4	40	10	left	right	0	11	15.214	723
6	21	4	40	10	right	right	1	18	15.666	1149
6	22	4	40	10	left	right	0	222	15.185	14620
6	23	4	40	10	left	right	0	54	15.263	3538
6	24	4	40	10	left	left	1	25	15.281	1636
7	1	4	40	10	left	left	1	36	15.404	2337
7	2	4	40	10	left	left	1	12	15.484	775
7	3	4	40	10	left	left	1	41	15.27	2685
7	4	4	40	10	left	right	0	43	15.248	2820
7	5	4	40	10	right	left	0	20	15.987	1251
7	6	4	40	10	left	right	0	20	15.408	1298
7	7	4	40	10	left	left	1	26	15.449	1683
7	8	4	40	10	left	left	1	15	15.756	952
7	9	4	40	10	right	left	0	11	15.782	697
7	10	4	40	10	right	right	1	13	15.276	851
7	11	4	40	10	left	right	0	12	15.404	779
7	12	4	40	10	left	left	1	11	15.172	725
7	13	4	40	10	right	left	0	12	15.748	762
7	14	4	40	10	right	right	1	8	15.267	524
7	15	4	40	10	left	right	0	19	15.677	1212
7	16	4	40	10	left	left	1	21	15.602	1346
7	17	4	40	10	right	left	0	15	15.259	983
7	18	4	40	10	left	right	0	12	15.81	759
7	19	4	40	10	right	left	0	13	16.209	802
7	20	4	40	10	left	right	0	10	16.103	621
7	21	4	40	10	right	right	1	19	15.079	1260
7	22	4	40	10	right	right	1	22	15.737	1398
7	23	4	40	10	left	left	1	43	15.335	2804
7	24	4	40	10	left	left	1	25	15.413	1622
7	25	4	40	10	right	left	0	27	15.332	1761
7	26	4	40	10	right	right	1	19	15.651	1214
7	27	4	40	10	left	right	0	17	15.639	1087
7	28	4	40	10	right	right	1	22	15.342	1434
7	29	4	40	10	right	right	1	20	15.528	1288
7	30	4	40	10	right	right	1	16	15.702	1019
7	31	4	40	10	right	right	1	16	15.519	1031
7	32	4	40	10	left	right	0	12	16.064	747
8	1	4	40	10	right	left	0	16	15.889	1007
8	2	4	40	10	left	right	0	29	15.558	1864
8	3	4	40	10	left	left	1	22	15.726	1399
8	4	4	40	10	right	right	1	20	15.564	1285
8	5	4	40	10	left	left	1	18	15.517	1160
8	6	4	40	10	right	right	1	18	15.845	1136
8	7	4	40	10	right	right	1	33	15.117	2183
8	8	4	40	10	left	right	0	21	15.801	1329
8	9	4	40	10	left	left	1	7	15.801	443
8	10	4	40	10	right	right	1	14	15.487	904
8	11	4	40	10	left	left	1	17	15.712	1082
8	12	4	40	10	left	right	0	19	15.833	1200
