
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	68	15.172	4482
1	2	4	40	10	left	right	0	110	15.168	7252
1	3	4	40	10	left	right	0	142	15.176	9357
1	4	4	40	10	left	left	1	241	15.15	15908
1	5	4	40	10	right	left	0	122	15.256	7997
1	6	4	40	10	left	left	1	36	15.3	2353
1	7	4	40	10	right	right	1	24	15.8	1519
1	8	4	40	10	right	left	0	54	15.169	3560
1	9	4	40	10	right	right	1	30	15.221	1971
1	10	4	40	10	left	left	1	45	15.121	2976
1	11	4	40	10	right	right	1	67	15.318	4374
1	12	4	40	10	left	left	1	40	15.152	2640
1	13	4	40	10	left	right	0	73	15.339	4759
1	14	4	40	10	right	right	1	47	15.22	3088
1	15	4	40	10	right	right	1	41	15.157	2705
1	16	4	40	10	right	right	1	29	15.287	1897
1	17	4	40	10	right	right	1	33	15.138	2180
1	18	4	40	10	left	right	0	37	15.488	2389
1	19	4	40	10	left	left	1	22	15.439	1425
1	20	4	40	10	right	right	1	44	15.449	2848
1	21	4	40	10	right	right	1	23	15.764	1459
1	22	4	40	10	left	left	1	15	15.839	947
1	23	4	40	10	left	right	0	23	15.242	1509
1	24	4	40	10	right	right	1	24	15.277	1571
1	25	4	40	10	left	left	1	29	15.516	1869
1	26	4	40	10	right	right	1	21	15.825	1327
1	27	4	40	10	left	left	1	36	15.444	2331
1	28	4	40	10	left	right	0	15	15.48	969
1	29	4	40	10	right	right	1	45	15.28	2945
1	30	4	40	10	left	left	1	25	15.328	1631
1	31	4	40	10	right	right	1	40	15.414	2595
1	32	4	40	10	right	left	0	22	15.363	1432
1	33	4	40	10	right	right	1	55	15.265	3603
1	34	4	40	10	right	right	1	65	15.323	4242
1	35	4	40	10	left	left	1	27	15.482	1744
1	36	4	40	10	left	left	1	26	15.476	1680
1	37	4	40	10	left	left	1	31	15.4	2013
1	38	4	40	10	left	left	1	16	15.842	1010
1	39	4	40	10	right	right	1	17	15.888	1070
1	40	4	40	10	right	left	0	23	15.668	1468
2	1	4	40	10	left	left	1	41	15.339	2673
2	2	4	40	10	left	left	1	27	15.553	1736
2	3	4	40	10	left	left	1	15	16.181	927
2	4	4	40	10	right	right	1	15	16.146	929
2	5	4	40	10	right	right	1	14	15.713	891
2	6	4	40	10	left	right	0	17	15.683	1084
2	7	4	40	10	right	right	1	49	15.467	3168
2	8	4	40	10	right	right	1	18	15.803	1139
2	9	4	40	10	left	left	1	14	15.301	915
2	10	4	40	10	right	right	1	26	15.663	1660
2	11	4	40	10	left	left	1	26	15.541	1673
2	12	4	40	10	right	right	1	14	15.945	878
2	13	4	40	10	right	right	1	16	15.166	1055
2	14	4	40	10	left	left	1	14	15.982	876
2	15	4	40	10	left	left	1	36	15.484	2325
2	16	4	40	10	right	right	1	45	15.395	2923
2	17	4	40	10	left	left	1	13	15.625	832
2	18	4	40	10	right	right	1	11	15.11	728
2	19	4	40	10	right	right	1	33	15.544	2123
2	20	4	40	10	left	left	1	13	16.169	804
2	21	4	40	10	left	left	1	47	15.205	3091
2	22	4	40	10	left	left	1	34	15.371	2212
2	23	4	40	10	left	left	1	30	15.448	1942
2	24	4	40	10	right	right	1	13	16.049	810
2	25	4	40	10	right	left	0	24	15.375	1561
2	26	4	40	10	left	left	1	40	15.198	2632
2	27	4	40	10	left	left	1	14	15.521	902
2	28	4	40	10	left	left	1	67	15.203	4407
2	29	4	40	10	left	left	1	67	15.388	4354
2	30	4	40	10	right	right	1	15	16.234	924
2	31	4	40	10	right	left	0	27	15.28	1767
2	32	4	40	10	right	right	1	34	15.546	2187
2	33	4	40	10	right	right	1	28	15.722	1781
2	34	4	40	10	right	right	1	29	15.45	1877
2	35	4	40	10	right	right	1	24	15.228	1576
2	36	4	40	10	right	right	1	21	15.789	1330
2	37	4	40	10	left	left	1	11	15.471	711
