
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	253	15.148	16702
1	2	4	40	10	left	left	1	37	15.488	2389
1	3	4	40	10	right	right	1	30	15.337	1956
1	4	4	40	10	right	right	1	37	15.315	2416
1	5	4	40	10	left	left	1	21	15.813	1328
1	6	4	40	10	left	left	1	23	15.829	1453
1	7	4	40	10	left	left	1	20	15.291	1308
1	8	4	40	10	right	left	0	26	15.403	1688
1	9	4	40	10	left	left	1	20	15.314	1306
1	10	4	40	10	right	right	1	34	15.247	2230
1	11	4	40	10	right	left	0	36	15.352	2345
1	12	4	40	10	left	right	0	89	15.232	5843
1	13	4	40	10	left	left	1	64	15.296	4184
1	14	4	40	10	right	left	0	31	15.331	2022
1	15	4	40	10	left	right	0	30	15.424	1945
1	16	4	40	10	right	left	0	31	15.233	2035
1	17	4	40	10	right	left	0	29	15.128	1917
1	18	4	40	10	left	right	0	27	15.228	1773
1	19	4	40	10	right	right	1	36	15.248	2361
1	20	4	40	10	right	right	1	29	15.491	1872
1	21	4	40	10	left	right	0	57	15.38	3706
1	22	4	40	10	right	right	1	41	15.253	2688
1	23	4	40	10	right	right	1	103	15.273	6744
1	24	4	40	10	right	right	1	22	15.288	1439
1	25	4	40	10	right	right	1	40	15.444	2590
1	26	4	40	10	left	right	0	27	15.679	1722
1	27	4	40	10	right	right	1	52	15.308	3397
1	28	4	40	10	right	left	0	36	15.113	2382
1	29	4	40	10	left	right	0	63	15.195	4146
1	30	4	40	10	right	right	1	43	15.21	2827
1	31	4	40	10	left	right	0	61	15.197	4014
1	32	4	40	10	left	right	0	60	15.198	3948
1	33	4	40	10	left	right	0	40	15.198	2632
1	34	4	40	10	left	left	1	41	15.379	2666
1	35	4	40	10	right	left	0	43	15.178	2833
1	36	4	40	10	left	right	0	16	15.748	1016
1	37	4	40	10	left	right	0	117	15.152	7722
1	38	4	40	10	left	right	0	104	15.174	6854
1	39	4	40	10	left	left	1	36	15.222	2365
1	40	4	40	10	right	right	1	19	15.574	1220
2	1	4	40	10	left	right	0	42	15.289	2747
2	2	4	40	10	right	left	0	60	15.148	3961
2	3	4	40	10	left	right	0	28	15.722	1781
2	4	4	40	10	right	left	0	140	15.188	9218
2	5	4	40	10	left	right	0	17	15.654	1086
2	6	4	40	10	left	left	1	42	15.262	2752
2	7	4	40	10	right	right	1	227	15.206	14928
2	8	4	40	10	right	left	0	43	15.346	2802
2	9	4	40	10	right	right	1	18	15.504	1161
2	10	4	40	10	right	right	1	86	15.16	5673
2	11	4	40	10	left	left	1	77	15.217	5060
2	12	4	40	10	left	left	1	29	15.167	1912
2	13	4	40	10	right	left	0	30	15.601	1923
2	14	4	40	10	right	left	0	56	15.267	3668
