
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	159	15.176	10477
1	2	4	40	10	left	left	1	162	15.169	10680
1	3	4	40	10	left	left	1	150	15.225	9852
1	4	4	40	10	left	right	0	111	15.141	7331
1	5	4	40	10	right	right	1	21	15.813	1328
1	6	4	40	10	left	right	0	22	15.417	1427
1	7	4	40	10	right	right	1	20	15.163	1319
1	8	4	40	10	left	right	0	30	15.159	1979
1	9	4	40	10	left	right	0	49	15.332	3196
1	10	4	40	10	right	right	1	17	15.785	1077
1	11	4	40	10	left	left	1	79	15.254	5179
2	1	4	40	10	right	right	1	95	15.234	6236
2	2	4	40	10	right	right	1	95	15.152	6270
2	3	4	40	10	right	right	1	48	15.419	3113
2	4	4	40	10	left	right	0	72	15.142	4755
2	5	4	40	10	right	right	1	32	15.414	2076
2	6	4	40	10	left	left	1	90	15.195	5923
2	7	4	40	10	left	right	0	71	15.285	4645
2	8	4	40	10	right	right	1	34	15.441	2202
2	9	4	40	10	left	right	0	43	15.286	2813
2	10	4	40	10	right	right	1	41	15.507	2644
2	11	4	40	10	left	left	1	23	15.775	1458
2	12	4	40	10	left	left	1	17	15.483	1098
2	13	4	40	10	left	left	1	15	15.121	992
2	14	4	40	10	right	left	0	14	16.129	868
2	15	4	40	10	right	left	0	31	15.248	2033
2	16	4	40	10	right	right	1	30	15.4	1948
2	17	4	40	10	right	right	1	20	15.625	1280
2	18	4	40	10	right	right	1	15	15.957	940
3	1	4	40	10	right	left	0	39	15.258	2556
3	2	4	40	10	left	right	0	34	15.476	2197
3	3	4	40	10	left	right	0	31	15.408	2012
3	4	4	40	10	left	right	0	29	15.239	1903
3	5	4	40	10	right	left	0	83	15.176	5469
3	6	4	40	10	left	right	0	38	15.422	2464
3	7	4	40	10	right	right	1	33	15.285	2159
3	8	4	40	10	right	right	1	19	15.926	1193
3	9	4	40	10	left	left	1	17	15.843	1073
3	10	4	40	10	right	left	0	14	15.368	911
3	11	4	40	10	right	right	1	13	15.532	837
3	12	4	40	10	right	right	1	15	15.674	957
3	13	4	40	10	left	right	0	32	15.625	2048
3	14	4	40	10	left	right	0	11	15.714	700
3	15	4	40	10	left	left	1	19	15.273	1244
3	16	4	40	10	left	left	1	37	15.226	2430
3	17	4	40	10	left	right	0	33	15.457	2135
3	18	4	40	10	left	left	1	14	15.695	892
3	19	4	40	10	right	left	0	22	15.827	1390
3	20	4	40	10	right	left	0	28	15.143	1849
3	21	4	40	10	left	left	1	13	15.205	855
3	22	4	40	10	right	left	0	15	15.658	958
3	23	4	40	10	left	right	0	15	15.924	942
3	24	4	40	10	left	left	1	31	15.339	2021
3	25	4	40	10	right	left	0	34	15.433	2203
4	1	4	40	10	left	left	1	53	15.394	3443
4	2	4	40	10	right	left	0	45	15.427	2917
4	3	4	40	10	left	left	1	60	15.244	3936
4	4	4	40	10	left	right	0	61	15.346	3975
4	5	4	40	10	left	left	1	114	15.184	7508
4	6	4	40	10	right	right	1	58	15.299	3791
4	7	4	40	10	right	right	1	35	15.398	2273
4	8	4	40	10	right	left	0	31	15.331	2022
4	9	4	40	10	right	right	1	23	15.625	1472
4	10	4	40	10	left	right	0	69	15.265	4520
4	11	4	40	10	left	right	0	54	15.156	3563
4	12	4	40	10	left	right	0	32	15.399	2078
4	13	4	40	10	right	left	0	21	15.789	1330
4	14	4	40	10	left	right	0	46	15.318	3003
4	15	4	40	10	right	right	1	72	15.283	4711
5	1	4	40	10	right	right	1	49	15.274	3208
5	2	4	40	10	left	right	0	33	15.356	2149
5	3	4	40	10	left	left	1	43	15.254	2819
5	4	4	40	10	right	right	1	75	15.253	4917
5	5	4	40	10	left	right	0	111	15.17	7317
5	6	4	40	10	left	left	1	44	15.193	2896
5	7	4	40	10	right	left	0	74	15.277	4844
5	8	4	40	10	right	right	1	17	15.639	1087
5	9	4	40	10	left	right	0	15	15.416	973
5	10	4	40	10	right	left	0	24	15.484	1550
5	11	4	40	10	right	right	1	21	15.672	1340
5	12	4	40	10	right	right	1	19	15.625	1216
5	13	4	40	10	right	right	1	14	16.037	873
5	14	4	40	10	right	left	0	29	15.475	1874
5	15	4	40	10	left	left	1	14	15.608	897
5	16	4	40	10	left	left	1	11	16.517	666
5	17	4	40	10	right	left	0	14	15.945	878
5	18	4	40	10	right	right	1	11	16.296	675
5	19	4	40	10	right	right	1	13	15.951	815
5	20	4	40	10	left	right	0	14	15.945	878
5	21	4	40	10	right	right	1	25	15.207	1644
5	22	4	40	10	left	right	0	25	15.319	1632
5	23	4	40	10	right	left	0	40	15.426	2593
6	1	4	40	10	right	right	1	97	14.688	6604
6	2	4	40	10	left	right	0	31	15.377	2016
6	3	4	40	10	left	left	1	16	15.702	1019
6	4	4	40	10	right	left	0	56	15.217	3680
6	5	4	40	10	left	right	0	45	15.348	2932
6	6	4	40	10	left	right	0	40	15.302	2614
6	7	4	40	10	left	right	0	16	15.253	1049
6	8	4	40	10	left	left	1	65	15.205	4275
6	9	4	40	10	left	left	1	17	15.138	1123
6	10	4	40	10	right	right	1	21	15.419	1362
6	11	4	40	10	left	right	0	19	15.742	1207
6	12	4	40	10	right	left	0	18	16	1125
6	13	4	40	10	right	right	1	28	15.143	1849
6	14	4	40	10	left	right	0	37	15.404	2402
6	15	4	40	10	left	left	1	13	15.348	847
6	16	4	40	10	right	right	1	48	15.35	3127
6	17	4	40	10	left	right	0	19	15.397	1234
6	18	4	40	10	right	left	0	17	15.274	1113
6	19	4	40	10	left	right	0	30	15.601	1923
6	20	4	40	10	left	left	1	38	15.152	2508
6	21	4	40	10	left	left	1	44	15.374	2862
7	1	4	40	10	right	right	1	17	15.399	1104
7	2	4	40	10	right	right	1	11	15.67	702
7	3	4	40	10	right	right	1	10	15.361	651
7	4	4	40	10	left	right	0	10	15.314	653
7	5	4	40	10	right	right	1	24	15.104	1589
7	6	4	40	10	left	left	1	12	15.464	776
7	7	4	40	10	right	left	0	21	15.475	1357
7	8	4	40	10	left	right	0	19	15.237	1247
7	9	4	40	10	left	left	1	23	15.478	1486
7	10	4	40	10	right	right	1	19	15.548	1222
7	11	4	40	10	right	left	0	15	15.89	944
7	12	4	40	10	left	right	0	11	15.827	695
7	13	4	40	10	left	right	0	13	15.644	831
7	14	4	40	10	right	right	1	13	15.55	836
7	15	4	40	10	right	right	1	25	15.442	1619
7	16	4	40	10	right	right	1	17	15.654	1086
7	17	4	40	10	left	right	0	18	15.789	1140
7	18	4	40	10	right	right	1	11	16.345	673
7	19	4	40	10	right	right	1	18	15.358	1172
7	20	4	40	10	right	right	1	19	15.372	1236
7	21	4	40	10	left	left	1	18	15.544	1158
7	22	4	40	10	right	right	1	19	15.966	1190
7	23	4	40	10	left	left	1	13	15.348	847
