
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	left	0	195	15.205	12825
1	2	4	40	10	left	left	1	62	15.252	4065
1	3	4	40	10	right	left	0	67	15.269	4388
1	4	4	40	10	right	right	1	58	15.251	3803
1	5	4	40	10	right	right	1	111	15.168	7318
1	6	4	40	10	right	left	0	30	15.337	1956
1	7	4	40	10	left	left	1	15	15.291	981
1	8	4	40	10	right	left	0	20	15.516	1289
1	9	4	40	10	left	right	0	48	15.185	3161
1	10	4	40	10	right	left	0	57	15.192	3752
1	11	4	40	10	left	left	1	23	15.721	1463
1	12	4	40	10	right	left	0	21	15.362	1367
1	13	4	40	10	right	left	0	37	15.359	2409
1	14	4	40	10	right	right	1	86	15.254	5638
2	1	4	40	10	left	left	1	44	15.315	2873
2	2	4	40	10	left	right	0	25	15.356	1628
2	3	4	40	10	left	left	1	27	15.306	1764
2	4	4	40	10	left	right	0	30	15.464	1940
2	5	4	40	10	left	right	0	11	15.172	725
2	6	4	40	10	left	right	0	10	16.474	607
2	7	4	40	10	right	right	1	15	15.544	965
2	8	4	40	10	left	left	1	49	15.467	3168
2	9	4	40	10	left	right	0	58	15.413	3763
2	10	4	40	10	right	right	1	82	15.29	5363
2	11	4	40	10	left	right	0	65	15.251	4262
2	12	4	40	10	left	left	1	54	15.122	3571
2	13	4	40	10	left	right	0	63	15.377	4097
2	14	4	40	10	left	left	1	17	15.741	1080
2	15	4	40	10	right	right	1	84	15.182	5533
2	16	4	40	10	left	left	1	36	15.274	2357
2	17	4	40	10	right	right	1	28	15.184	1844
2	18	4	40	10	right	right	1	47	15.191	3094
2	19	4	40	10	right	left	0	55	15.143	3632
3	1	4	40	10	left	left	1	77	15.175	5074
3	2	4	40	10	right	left	0	45	15.464	2910
3	3	4	40	10	left	right	0	24	15.385	1560
3	4	4	40	10	left	left	1	108	15.188	7111
3	5	4	40	10	left	right	0	59	15.206	3880
3	6	4	40	10	left	right	0	51	15.17	3362
3	7	4	40	10	right	right	1	42	15.402	2727
3	8	4	40	10	left	right	0	57	15.364	3710
3	9	4	40	10	right	left	0	47	15.161	3100
3	10	4	40	10	right	right	1	23	15.678	1467
3	11	4	40	10	left	left	1	50	15.456	3235
3	12	4	40	10	right	right	1	43	15.445	2784
3	13	4	40	10	right	right	1	39	15.464	2522
3	14	4	40	10	right	right	1	75	15.353	4885
3	15	4	40	10	left	left	1	37	15.397	2403
3	16	4	40	10	right	right	1	19	15.574	1220
4	1	4	40	10	left	right	0	50	15.3	3268
4	2	4	40	10	right	left	0	16	15.282	1047
4	3	4	40	10	left	right	0	19	15.212	1249
4	4	4	40	10	left	left	1	55	15.21	3616
4	5	4	40	10	left	left	1	48	15.311	3135
4	6	4	40	10	left	left	1	45	15.358	2930
4	7	4	40	10	left	right	0	29	15.5	1871
4	8	4	40	10	right	right	1	19	15.86	1198
4	9	4	40	10	left	right	0	42	15.312	2743
4	10	4	40	10	left	left	1	77	15.146	5084
4	11	4	40	10	right	right	1	33	15.442	2137
4	12	4	40	10	left	right	0	58	15.356	3777
4	13	4	40	10	right	left	0	17	15.497	1097
4	14	4	40	10	right	right	1	42	15.19	2765
4	15	4	40	10	left	left	1	27	15.367	1757
4	16	4	40	10	left	right	0	49	15.409	3180
4	17	4	40	10	left	right	0	58	15.183	3820
4	18	4	40	10	right	right	1	64	15.162	4221
5	1	4	40	10	left	right	0	171	15.214	11240
5	2	4	40	10	right	right	1	84	15.154	5543
5	3	4	40	10	right	left	0	57	15.192	3752
5	4	4	40	10	right	right	1	102	15.308	6663
5	5	4	40	10	left	left	1	65	15.173	4284
5	6	4	40	10	left	right	0	68	15.302	4444
5	7	4	40	10	right	right	1	59	15.249	3869
5	8	4	40	10	right	right	1	63	15.28	4123
5	9	4	40	10	left	right	0	144	15.232	9454
5	10	4	40	10	left	right	0	117	15.221	7687
6	1	4	40	10	right	left	0	135	13.658	9884
6	2	4	40	10	right	right	1	39	12.795	3048
6	3	4	40	10	right	right	1	59	15.144	3896
6	4	4	40	10	left	right	0	61	15.235	4004
6	5	4	40	10	right	left	0	89	15.316	5811
6	6	4	40	10	left	left	1	95	15.229	6238
6	7	4	40	10	right	right	1	41	15.208	2696
6	8	4	40	10	right	right	1	38	15.329	2479
6	9	4	40	10	right	right	1	38	15.176	2504
6	10	4	40	10	left	left	1	64	15.344	4171
6	11	4	40	10	right	left	0	39	15.427	2528
6	12	4	40	10	right	left	0	26	15.33	1696
6	13	4	40	10	right	right	1	29	15.401	1883
6	14	4	40	10	left	right	0	45	15.136	2973
7	1	4	40	10	left	right	0	104	15.218	6834
7	2	4	40	10	right	right	1	70	15.214	4601
7	3	4	40	10	left	right	0	34	15.172	2241
7	4	4	40	10	right	right	1	54	15.371	3513
7	5	4	40	10	right	left	0	90	15.27	5894
7	6	4	40	10	left	right	0	31	15.531	1996
7	7	4	40	10	right	right	1	178	15.221	11694
7	8	4	40	10	right	right	1	99	15.285	6477
7	9	4	40	10	right	right	1	75	15.359	4883
7	10	4	40	10	right	right	1	50	15.418	3243
7	11	4	40	10	right	right	1	67	15.283	4384
8	1	4	40	10	right	right	1	46	15.272	3012
8	2	4	40	10	right	right	1	45	15.48	2907
8	3	4	40	10	right	right	1	41	15.253	2688
8	4	4	40	10	left	left	1	28	15.16	1847
8	5	4	40	10	right	right	1	28	15.41	1817
8	6	4	40	10	right	right	1	18	15.929	1130
8	7	4	40	10	right	left	0	29	15.55	1865
8	8	4	40	10	right	right	1	45	15.411	2920
8	9	4	40	10	right	right	1	55	15.389	3574
8	10	4	40	10	right	right	1	21	15.152	1386
8	11	4	40	10	right	right	1	28	15.351	1824
8	12	4	40	10	left	left	1	20	15.232	1313
8	13	4	40	10	right	right	1	36	15.537	2317
8	14	4	40	10	right	right	1	20	15.699	1274
8	15	4	40	10	right	right	1	47	15.435	3045
8	16	4	40	10	right	left	0	25	15.423	1621
8	17	4	40	10	right	left	0	30	15.576	1926
8	18	4	40	10	right	right	1	28	15.168	1846
8	19	4	40	10	left	left	1	15	15.244	984
8	20	4	40	10	left	left	1	15	15.448	971
8	21	4	40	10	right	left	0	16	15.779	1014
8	22	4	40	10	left	left	1	25	15.394	1624
8	23	4	40	10	right	right	1	40	15.408	2596
8	24	4	40	10	right	right	1	26	15.541	1673
8	25	4	40	10	left	left	1	15	15.528	966
9	1	4	40	10	left	left	1	26	15.682	1658
9	2	4	40	10	right	right	1	32	15.633	2047
9	3	4	40	10	right	right	1	17	15.315	1110
9	4	4	40	10	right	right	1	12	16.194	741
9	5	4	40	10	right	left	0	18	15.817	1138
9	6	4	40	10	left	left	1	19	15.347	1238
9	7	4	40	10	right	right	1	15	15.756	952
9	8	4	40	10	left	left	1	56	15.376	3642
9	9	4	40	10	right	right	1	15	16.146	929
9	10	4	40	10	left	left	1	14	16	875
9	11	4	40	10	right	right	1	13	16.311	797
9	12	4	40	10	right	left	0	13	15.276	851
9	13	4	40	10	left	right	0	17	15.977	1064
9	14	4	40	10	left	left	1	19	15.298	1242
9	15	4	40	10	right	left	0	28	15.66	1788
9	16	4	40	10	right	right	1	25	15.309	1633
9	17	4	40	10	right	right	1	16	15.066	1062
9	18	4	40	10	left	left	1	14	15.436	907
9	19	4	40	10	left	left	1	38	15.2	2500
9	20	4	40	10	left	left	1	22	15.636	1407
9	21	4	40	10	left	left	1	17	15.903	1069
9	22	4	40	10	left	left	1	18	15.679	1148
9	23	4	40	10	right	right	1	33	15.207	2170
9	24	4	40	10	left	left	1	15	15.182	988
9	25	4	40	10	right	right	1	15	15.496	968
9	26	4	40	10	right	left	0	22	15.246	1443
9	27	4	40	10	left	left	1	36	15.261	2359
9	28	4	40	10	right	right	1	12	15.544	772
9	29	4	40	10	left	left	1	17	15.596	1090
9	30	4	40	10	left	left	1	37	15.572	2376
9	31	4	40	10	right	right	1	12	15.789	760
9	32	4	40	10	left	left	1	12	15.209	789
9	33	4	40	10	right	right	1	14	15.695	892
