
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	130	15.244	8528
1	2	4	40	10	right	left	0	111	15.172	7316
1	3	4	40	10	left	left	1	30	15.252	1967
1	4	4	40	10	right	right	1	32	15.602	2051
1	5	4	40	10	right	right	1	35	15.178	2306
1	6	4	40	10	left	left	1	38	15.23	2495
1	7	4	40	10	left	left	1	42	15.301	2745
1	8	4	40	10	left	left	1	35	15.178	2306
1	9	4	40	10	left	left	1	31	15.256	2032
1	10	4	40	10	right	right	1	22	15.299	1438
1	11	4	40	10	right	left	0	32	15.648	2045
1	12	4	40	10	left	right	0	45	15.239	2953
1	13	4	40	10	left	left	1	73	15.323	4764
1	14	4	40	10	left	right	0	40	15.385	2600
1	15	4	40	10	right	right	1	110	15.261	7208
1	16	4	40	10	left	left	1	60	15.167	3956
1	17	4	40	10	left	left	1	80	15.166	5275
1	18	4	40	10	right	left	0	47	15.161	3100
1	19	4	40	10	left	left	1	66	15.239	4331
1	20	4	40	10	left	left	1	40	15.456	2588
1	21	4	40	10	left	left	1	55	15.139	3633
1	22	4	40	10	left	left	1	51	15.399	3312
1	23	4	40	10	left	right	0	35	15.304	2287
1	24	4	40	10	left	left	1	39	15.24	2559
1	25	4	40	10	right	right	1	26	15.231	1707
1	26	4	40	10	right	right	1	72	15.199	4737
1	27	4	40	10	left	left	1	85	15.274	5565
1	28	4	40	10	right	left	0	62	15.385	4030
1	29	4	40	10	right	right	1	51	15.343	3324
1	30	4	40	10	right	right	1	86	15.302	5620
1	31	4	40	10	left	left	1	75	15.347	4887
1	32	4	40	10	left	left	1	45	15.337	2934
1	33	4	40	10	right	left	0	62	15.215	4075
1	34	4	40	10	right	right	1	39	15.36	2539
1	35	4	40	10	right	right	1	83	15.308	5422
1	36	4	40	10	left	left	1	32	15.13	2115
1	37	4	40	10	right	right	1	16	15.564	1028
1	38	4	40	10	right	left	0	20	15.432	1296
1	39	4	40	10	right	right	1	20	15.516	1289
1	40	4	40	10	right	right	1	48	15.287	3140
2	1	4	40	10	left	right	0	27	15.358	1758
2	2	4	40	10	right	right	1	20	15.314	1306
2	3	4	40	10	left	left	1	25	15.198	1645
2	4	4	40	10	right	right	1	28	15.267	1834
2	5	4	40	10	right	left	0	40	15.468	2586
2	6	4	40	10	right	right	1	46	15.237	3019
2	7	4	40	10	left	right	0	33	15.313	2155
2	8	4	40	10	right	right	1	18	15.293	1177
2	9	4	40	10	right	left	0	44	15.267	2882
2	10	4	40	10	left	right	0	71	15.187	4675
2	11	4	40	10	left	left	1	41	15.431	2657
2	12	4	40	10	right	right	1	48	15.385	3120
2	13	4	40	10	left	left	1	114	15.286	7458
2	14	4	40	10	left	left	1	57	15.405	3700
2	15	4	40	10	left	left	1	63	15.306	4116
2	16	4	40	10	left	left	1	60	15.182	3952
2	17	4	40	10	right	right	1	34	15.179	2240
2	18	4	40	10	left	left	1	19	15.091	1259
2	19	4	40	10	right	right	1	18	15.652	1150
2	20	4	40	10	left	left	1	24	15.821	1517
2	21	4	40	10	left	left	1	55	15.286	3598
2	22	4	40	10	right	right	1	49	15.251	3213
2	23	4	40	10	left	left	1	34	15.511	2192
2	24	4	40	10	right	right	1	35	15.171	2307
2	25	4	40	10	right	right	1	76	15.298	4968
2	26	4	40	10	left	left	1	17	15.497	1097
2	27	4	40	10	right	right	1	28	15.094	1855
2	28	4	40	10	left	left	1	17	15.726	1081
2	29	4	40	10	right	right	1	15	15.136	991
2	30	4	40	10	right	right	1	38	15.36	2474
2	31	4	40	10	left	left	1	12	15.707	764
2	32	4	40	10	right	right	1	19	15.498	1226
2	33	4	40	10	right	right	1	58	15.152	3828
2	34	4	40	10	right	right	1	41	15.53	2640
2	35	4	40	10	right	right	1	57	15.298	3726
2	36	4	40	10	left	left	1	90	15.285	5888
2	37	4	40	10	left	left	1	70	15.321	4569
2	38	4	40	10	left	left	1	70	15.324	4568
2	39	4	40	10	right	right	1	31	15.625	1984
2	40	4	40	10	left	left	1	35	15.432	2268
3	1	4	40	10	right	right	1	41	15.14	2708
3	2	4	40	10	left	left	1	35	15.165	2308
3	3	4	40	10	left	left	1	30	15.236	1969
3	4	4	40	10	right	right	1	37	15.481	2390
3	5	4	40	10	right	right	1	39	15.495	2517
3	6	4	40	10	left	left	1	30	15.432	1944
3	7	4	40	10	right	right	1	24	15.666	1532
3	8	4	40	10	left	left	1	28	15.651	1789
3	9	4	40	10	right	right	1	30	15.456	1941
3	10	4	40	10	left	left	1	21	15.162	1385
3	11	4	40	10	right	right	1	28	15.564	1799
3	12	4	40	10	left	left	1	17	15.192	1119
3	13	4	40	10	left	left	1	14	16.241	862
3	14	4	40	10	right	right	1	26	15.276	1702
3	15	4	40	10	right	right	1	26	15.366	1692
