
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	399	15.182	26281
1	2	4	40	10	left	right	0	28	15.301	1830
1	3	4	40	10	left	right	0	22	15.504	1419
1	4	4	40	10	right	left	0	24	15.758	1523
1	5	4	40	10	right	right	1	22	15.162	1451
1	6	4	40	10	right	left	0	28	15.368	1822
1	7	4	40	10	right	right	1	9	15.332	587
1	8	4	40	10	right	right	1	15	15.385	975
1	9	4	40	10	left	right	0	10	15.267	655
1	10	4	40	10	left	left	1	8	17.131	467
1	11	4	40	10	left	right	0	12	15.484	775
1	12	4	40	10	right	left	0	8	16.032	499
1	13	4	40	10	right	left	0	6	16.173	371
1	14	4	40	10	right	right	1	9	16.698	539
1	15	4	40	10	left	right	0	17	15.873	1071
1	16	4	40	10	right	left	0	9	15.986	563
1	17	4	40	10	right	right	1	16	15.702	1019
1	18	4	40	10	left	right	0	9	15.873	567
1	19	4	40	10	left	right	0	13	15.682	829
1	20	4	40	10	right	left	0	8	15.748	508
1	21	4	40	10	right	tooFast	2	3	15.957	188
1	22	4	40	10	right	left	0	61	15.152	4026
2	1	4	40	10	left	right	0	43	15.341	2803
2	2	4	40	10	left	right	0	6	16.901	355
2	3	4	40	10	right	left	0	7	15.801	443
2	4	4	40	10	left	tooFast	2	3	16.76	179
2	5	4	40	10	right	left	0	26	15.672	1659
2	6	4	40	10	right	left	0	32	15.362	2083
2	7	4	40	10	left	right	0	9	15.332	587
2	8	4	40	10	left	right	0	9	16.216	555
2	9	4	40	10	left	left	1	11	15.581	706
2	10	4	40	10	left	left	1	13	16.291	798
2	11	4	40	10	left	right	0	20	15.736	1271
2	12	4	40	10	right	left	0	12	15.248	787
2	13	4	40	10	right	right	1	7	17.327	404
2	14	4	40	10	left	right	0	8	16.701	479
2	15	4	40	10	left	left	1	7	17.032	411
2	16	4	40	10	right	left	0	10	15.456	647
2	17	4	40	10	right	right	1	8	16.293	491
2	18	4	40	10	right	right	1	13	15.205	855
2	19	4	40	10	right	right	1	8	15.905	503
2	20	4	40	10	right	right	1	10	16.26	615
2	21	4	40	10	right	right	1	8	16.393	488
2	22	4	40	10	right	right	1	7	15.909	440
2	23	4	40	10	left	right	0	7	15.625	448
2	24	4	40	10	left	left	1	8	17.094	468
2	25	4	40	10	left	left	1	8	15.873	504
2	26	4	40	10	left	left	1	8	17.204	465
2	27	4	40	10	left	left	1	9	16.605	542
2	28	4	40	10	right	left	0	7	16.241	431
2	29	4	40	10	right	right	1	6	16.173	371
2	30	4	40	10	left	right	0	7	16.548	423
2	31	4	40	10	right	left	0	7	17.032	411
2	32	4	40	10	left	tooFast	2	3	16.043	187
2	33	4	40	10	left	right	0	13	15.134	859
