
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	24	15.656	1533
1	2	4	40	10	right	left	0	17	15.302	1111
1	3	4	40	10	left	left	1	12	15.584	770
1	4	4	40	10	right	right	1	11	15.805	696
1	5	4	40	10	left	left	1	10	16.779	596
1	6	4	40	10	left	left	1	17	15.441	1101
1	7	4	40	10	right	right	1	9	15.517	580
1	8	4	40	10	left	left	1	12	15.852	757
1	9	4	40	10	left	left	1	9	16.216	555
1	10	4	40	10	left	left	1	10	16.807	595
1	11	4	40	10	left	left	1	17	15.799	1076
1	12	4	40	10	right	right	1	9	16.729	538
1	13	4	40	10	left	right	0	19	15.397	1234
1	14	4	40	10	left	left	1	10	16.42	609
1	15	4	40	10	left	left	1	16	15.459	1035
1	16	4	40	10	left	left	1	10	16.447	608
1	17	4	40	10	right	right	1	9	16.484	546
1	18	4	40	10	right	right	1	10	15.385	650
1	19	4	40	10	left	left	1	10	16.313	613
1	20	4	40	10	right	right	1	10	15.456	647
1	21	4	40	10	right	right	1	10	16.181	618
1	22	4	40	10	left	left	1	11	15.363	716
1	23	4	40	10	left	left	1	7	15.317	457
1	24	4	40	10	left	right	0	8	16.701	479
1	25	4	40	10	right	right	1	9	16.729	538
1	26	4	40	10	right	right	1	8	15.564	514
1	27	4	40	10	right	right	1	20	15.337	1304
1	28	4	40	10	right	right	1	9	16.187	556
1	29	4	40	10	left	left	1	7	15.217	460
1	30	4	40	10	right	right	1	8	15.326	522
1	31	4	40	10	left	left	1	7	17.413	402
1	32	4	40	10	left	left	1	11	16.224	678
1	33	4	40	10	left	left	1	7	17.073	410
1	34	4	40	10	right	right	1	7	15.419	454
1	35	4	40	10	right	left	0	6	16.484	364
1	36	4	40	10	right	right	1	8	16.495	485
1	37	4	40	10	right	right	1	10	15.337	652
1	38	4	40	10	right	right	1	9	16.854	534
1	39	4	40	10	left	left	1	11	15.827	695
1	40	4	40	10	right	left	0	7	15.284	458
2	1	4	40	10	right	right	1	13	15.99	813
2	2	4	40	10	right	left	0	6	17.192	349
2	3	4	40	10	right	right	1	8	16.26	492
2	4	4	40	10	left	left	1	7	15.251	459
2	5	4	40	10	left	left	1	8	15.842	505
2	6	4	40	10	left	right	0	8	15.625	512
2	7	4	40	10	left	left	1	11	16.272	676
2	8	4	40	10	right	right	1	8	16.162	495
2	9	4	40	10	right	right	1	9	15.464	582
2	10	4	40	10	right	right	1	10	16.694	599
2	11	4	40	10	left	left	1	8	15.238	525
2	12	4	40	10	right	right	1	9	16.304	552
2	13	4	40	10	left	left	1	9	16.043	561
2	14	4	40	10	right	right	1	7	15.873	441
2	15	4	40	10	left	left	1	7	16.241	431
2	16	4	40	10	left	left	1	9	15.957	564
2	17	4	40	10	left	left	1	8	15.968	501
2	18	4	40	10	left	left	1	8	16.807	476
2	19	4	40	10	right	right	1	7	15.284	458
2	20	4	40	10	left	left	1	7	15.909	440
2	21	4	40	10	left	left	1	8	15.444	518
2	22	4	40	10	left	left	1	7	16.588	422
2	23	4	40	10	left	left	1	9	16.698	539
