
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	53	15.411	3439
1	2	4	40	10	right	left	0	41	15.152	2706
1	3	4	40	10	right	right	1	23	15.646	1470
1	4	4	40	10	right	right	1	59	15.245	3870
1	5	4	40	10	left	right	0	45	15.265	2948
1	6	4	40	10	left	left	1	29	15.112	1919
1	7	4	40	10	left	left	1	27	15.464	1746
1	8	4	40	10	left	left	1	20	15.42	1297
1	9	4	40	10	left	left	1	21	15.295	1373
1	10	4	40	10	right	right	1	58	15.417	3762
1	11	4	40	10	left	left	1	33	15.356	2149
1	12	4	40	10	left	left	1	25	15.188	1646
1	13	4	40	10	left	left	1	24	15.769	1522
1	14	4	40	10	right	left	0	27	15.246	1771
1	15	4	40	10	left	left	1	19	15.335	1239
1	16	4	40	10	left	left	1	75	15.188	4938
1	17	4	40	10	left	left	1	52	15.178	3426
1	18	4	40	10	left	left	1	38	15.397	2468
1	19	4	40	10	right	right	1	78	15.193	5134
1	20	4	40	10	left	left	1	40	15.414	2595
2	1	4	40	10	right	right	1	39	15.482	2519
2	2	4	40	10	left	left	1	25	15.152	1650
2	3	4	40	10	right	right	1	29	15.368	1887
2	4	4	40	10	left	left	1	19	15.127	1256
2	5	4	40	10	left	left	1	20	15.221	1314
2	6	4	40	10	right	right	1	22	15.299	1438
2	7	4	40	10	left	left	1	22	15.816	1391
2	8	4	40	10	left	left	1	25	15.356	1628
2	9	4	40	10	left	left	1	23	15.212	1512
2	10	4	40	10	left	left	1	23	15.786	1457
2	11	4	40	10	right	right	1	27	15.553	1736
2	12	4	40	10	right	right	1	37	15.372	2407
2	13	4	40	10	right	right	1	39	15.433	2527
2	14	4	40	10	right	right	1	56	15.342	3650
2	15	4	40	10	right	right	1	47	15.25	3082
2	16	4	40	10	left	right	0	42	15.379	2731
2	17	4	40	10	left	left	1	36	15.411	2336
2	18	4	40	10	right	left	0	29	15.312	1894
2	19	4	40	10	left	right	0	30	15.259	1966
2	20	4	40	10	right	left	0	60	15.377	3902
2	21	4	40	10	right	right	1	67	15.332	4370
2	22	4	40	10	right	right	1	48	15.171	3164
3	1	4	40	10	left	left	1	33	15.306	2156
3	2	4	40	10	left	right	0	51	15.413	3309
3	3	4	40	10	right	right	1	55	15.376	3577
3	4	4	40	10	right	right	1	52	15.191	3423
3	5	4	40	10	right	right	1	29	15.159	1913
3	6	4	40	10	right	left	0	38	15.243	2493
3	7	4	40	10	right	right	1	29	15.393	1884
3	8	4	40	10	left	left	1	40	15.308	2613
3	9	4	40	10	left	left	1	27	15.535	1738
3	10	4	40	10	right	left	0	42	15.39	2729
3	11	4	40	10	left	left	1	31	15.516	1998
3	12	4	40	10	right	left	0	30	15.337	1956
3	13	4	40	10	right	right	1	43	15.374	2797
3	14	4	40	10	right	right	1	38	15.188	2502
3	15	4	40	10	left	right	0	52	15.218	3417
3	16	4	40	10	left	left	1	28	15.351	1824
3	17	4	40	10	right	right	1	35	15.291	2289
3	18	4	40	10	right	right	1	34	15.42	2205
3	19	4	40	10	right	right	1	27	15.482	1744
3	20	4	40	10	right	right	1	25	15.48	1615
3	21	4	40	10	right	right	1	30	15.408	1947
4	1	4	40	10	left	left	1	44	15.257	2884
4	2	4	40	10	left	left	1	21	15.625	1344
4	3	4	40	10	left	right	0	56	15.393	3638
4	4	4	40	10	right	left	0	38	15.316	2481
4	5	4	40	10	left	left	1	61	15.25	4000
4	6	4	40	10	right	right	1	42	15.301	2745
4	7	4	40	10	right	left	0	67	15.279	4385
4	8	4	40	10	right	right	1	33	15.442	2137
4	9	4	40	10	left	left	1	40	15.332	2609
4	10	4	40	10	left	left	1	50	15.179	3294
4	11	4	40	10	right	right	1	33	15.186	2173
4	12	4	40	10	left	left	1	33	15.457	2135
4	13	4	40	10	left	left	1	35	15.466	2263
4	14	4	40	10	right	right	1	49	15.255	3212
4	15	4	40	10	left	right	0	39	15.476	2520
4	16	4	40	10	right	right	1	46	15.298	3007
4	17	4	40	10	left	left	1	39	15.294	2550
4	18	4	40	10	right	right	1	40	15.326	2610
4	19	4	40	10	right	right	1	58	15.171	3823
5	1	4	40	10	left	left	1	18	15.464	1164
5	2	4	40	10	left	left	1	28	15.59	1796
5	3	4	40	10	left	left	1	29	15.136	1916
5	4	4	40	10	right	right	1	23	15.212	1512
5	5	4	40	10	left	left	1	24	15.464	1552
5	6	4	40	10	left	left	1	22	15.172	1450
5	7	4	40	10	left	left	1	27	15.544	1737
5	8	4	40	10	left	left	1	22	15.374	1431
5	9	4	40	10	right	right	1	23	15.646	1470
5	10	4	40	10	right	right	1	24	15.727	1526
5	11	4	40	10	left	right	0	29	15.368	1887
5	12	4	40	10	right	right	1	61	15.315	3983
5	13	4	40	10	left	left	1	35	15.576	2247
5	14	4	40	10	right	right	1	65	15.319	4243
5	15	4	40	10	left	left	1	34	15.546	2187
5	16	4	40	10	right	left	0	31	15.586	1989
5	17	4	40	10	left	right	0	71	15.226	4663
5	18	4	40	10	left	left	1	22	15.482	1421
5	19	4	40	10	right	left	0	30	15.464	1940
5	20	4	40	10	right	right	1	66	15.176	4349
5	21	4	40	10	right	right	1	35	15.158	2309
5	22	4	40	10	left	left	1	51	15.206	3354
6	1	4	40	10	right	right	1	37	15.289	2420
6	2	4	40	10	right	right	1	32	15.173	2109
6	3	4	40	10	left	right	0	39	15.348	2541
6	4	4	40	10	left	right	0	36	15.431	2333
6	5	4	40	10	right	left	0	31	15.492	2001
6	6	4	40	10	left	left	1	25	15.451	1618
6	7	4	40	10	left	left	1	33	15.581	2118
6	8	4	40	10	left	left	1	53	15.239	3478
6	9	4	40	10	right	right	1	21	15.521	1353
6	10	4	40	10	right	right	1	14	15.66	894
6	11	4	40	10	right	right	1	16	15.166	1055
6	12	4	40	10	right	right	1	31	15.531	1996
6	13	4	40	10	right	right	1	25	15.235	1641
6	14	4	40	10	right	right	1	31	15.586	1989
6	15	4	40	10	left	right	0	76	15.145	5018
6	16	4	40	10	right	left	0	32	15.549	2058
6	17	4	40	10	left	left	1	24	15.326	1566
6	18	4	40	10	left	left	1	20	15.723	1272
6	19	4	40	10	right	right	1	38	15.403	2467
6	20	4	40	10	left	left	1	22	15.57	1413
6	21	4	40	10	left	left	1	18	15.371	1171
6	22	4	40	10	right	right	1	32	15.187	2107
6	23	4	40	10	right	left	0	23	15.84	1452
6	24	4	40	10	right	right	1	24	15.152	1584
7	1	4	40	10	right	right	1	16	15.625	1024
7	2	4	40	10	left	right	0	19	15.385	1235
7	3	4	40	10	right	right	1	12	16.086	746
7	4	4	40	10	right	right	1	19	15.335	1239
7	5	4	40	10	right	right	1	28	15.616	1793
7	6	4	40	10	right	right	1	20	15.408	1298
7	7	4	40	10	right	right	1	17	15.219	1117
7	8	4	40	10	right	right	1	16	15.094	1060
7	9	4	40	10	left	right	0	15	15.337	978
7	10	4	40	10	left	right	0	12	15.748	762
7	11	4	40	10	right	right	1	36	15.544	2316
7	12	4	40	10	right	right	1	30	15.609	1922
7	13	4	40	10	left	left	1	33	15.292	2158
7	14	4	40	10	right	left	0	21	15.362	1367
7	15	4	40	10	right	right	1	40	15.238	2625
7	16	4	40	10	right	right	1	27	15.707	1719
7	17	4	40	10	left	left	1	38	15.292	2485
7	18	4	40	10	left	left	1	28	15.292	1831
7	19	4	40	10	left	right	0	57	15.385	3705
7	20	4	40	10	right	right	1	48	15.394	3118
7	21	4	40	10	left	left	1	35	15.459	2264
7	22	4	40	10	left	right	0	66	15.207	4340
7	23	4	40	10	left	left	1	45	15.437	2915
7	24	4	40	10	left	left	1	24	15.152	1584
7	25	4	40	10	left	left	1	33	15.377	2146
8	1	4	40	10	right	right	1	19	15.86	1198
8	2	4	40	10	left	left	1	24	15.316	1567
8	3	4	40	10	right	right	1	19	15.31	1241
8	4	4	40	10	left	left	1	15	15.075	995
8	5	4	40	10	left	left	1	37	15.372	2407
8	6	4	40	10	right	left	0	26	15.348	1694
8	7	4	40	10	right	right	1	26	15.616	1665
8	8	4	40	10	right	left	0	30	15.385	1950
8	9	4	40	10	left	left	1	23	15.303	1503
8	10	4	40	10	right	right	1	68	15.319	4439
8	11	4	40	10	right	right	1	28	15.461	1811
8	12	4	40	10	left	left	1	25	15.133	1652
8	13	4	40	10	left	left	1	27	15.553	1736
8	14	4	40	10	left	left	1	36	15.209	2367
8	15	4	40	10	right	right	1	27	15.429	1750
8	16	4	40	10	left	left	1	35	15.211	2301
8	17	4	40	10	left	right	0	37	15.195	2435
8	18	4	40	10	left	left	1	24	15.544	1544
8	19	4	40	10	right	left	0	46	15.364	2994
8	20	4	40	10	left	right	0	50	15.179	3294
8	21	4	40	10	right	right	1	28	15.686	1785
8	22	4	40	10	right	left	0	42	15.34	2738
8	23	4	40	10	left	left	1	20	15.163	1319
8	24	4	40	10	right	left	0	26	15.616	1665
9	1	4	40	10	right	right	1	32	15.633	2047
9	2	4	40	10	right	right	1	19	15.347	1238
9	3	4	40	10	right	right	1	16	15.625	1024
9	4	4	40	10	right	right	1	16	15.195	1053
9	5	4	40	10	left	left	1	23	15.52	1482
9	6	4	40	10	left	left	1	15	15.337	978
9	7	4	40	10	right	right	1	19	15.966	1190
9	8	4	40	10	left	left	1	14	15.945	878
9	9	4	40	10	right	right	1	14	15.504	903
9	10	4	40	10	right	right	1	32	15.557	2057
9	11	4	40	10	right	right	1	30	15.377	1951
9	12	4	40	10	right	right	1	53	15.425	3436
9	13	4	40	10	right	right	1	58	15.207	3814
9	14	4	40	10	left	right	0	39	15.27	2554
9	15	4	40	10	left	left	1	17	15.596	1090
9	16	4	40	10	right	right	1	24	15.464	1552
9	17	4	40	10	left	left	1	26	15.249	1705
9	18	4	40	10	left	left	1	21	15.453	1359
9	19	4	40	10	left	left	1	16	15.429	1037
9	20	4	40	10	left	right	0	25	15.451	1618
9	21	4	40	10	left	left	1	19	15.498	1226
9	22	4	40	10	left	left	1	17	15.455	1100
9	23	4	40	10	right	right	1	23	15.689	1466
9	24	4	40	10	right	left	0	14	15.453	906
9	25	4	40	10	left	right	0	43	15.227	2824
9	26	4	40	10	left	left	1	28	15.419	1816
9	27	4	40	10	right	left	0	32	15.377	2081
9	28	4	40	10	left	left	1	29	15.45	1877
9	29	4	40	10	right	right	1	26	15.403	1688
10	1	4	40	10	left	left	1	33	15.165	2176
10	2	4	40	10	left	left	1	24	15.605	1538
10	3	4	40	10	left	left	1	36	15.287	2355
10	4	4	40	10	right	right	1	15	15.244	984
10	5	4	40	10	right	right	1	44	15.428	2852
10	6	4	40	10	left	left	1	24	15.717	1527
10	7	4	40	10	left	left	1	54	15.341	3520
10	8	4	40	10	right	right	1	18	16.014	1124
10	9	4	40	10	left	left	1	20	15.785	1267
10	10	4	40	10	left	right	0	62	15.174	4086
10	11	4	40	10	left	left	1	17	15.888	1070
10	12	4	40	10	right	right	1	15	15.69	956
10	13	4	40	10	right	left	0	13	15.663	830
10	14	4	40	10	right	left	0	14	15.301	915
10	15	4	40	10	right	right	1	21	15.34	1369
10	16	4	40	10	left	right	0	20	15.175	1318
10	17	4	40	10	left	right	0	50	15.179	3294
10	18	4	40	10	right	right	1	25	15.451	1618
10	19	4	40	10	right	right	1	22	15.559	1414
10	20	4	40	10	left	left	1	30	15.4	1948
10	21	4	40	10	right	right	1	46	15.374	2992
10	22	4	40	10	right	right	1	29	15.368	1887
10	23	4	40	10	left	right	0	29	15.541	1866
10	24	4	40	10	left	left	1	15	15.609	961
10	25	4	40	10	left	left	1	12	15.727	763
10	26	4	40	10	left	left	1	21	15.251	1377
10	27	4	40	10	right	right	1	25	15.645	1598
11	1	4	40	10	right	left	0	14	15.267	917
11	2	4	40	10	left	left	1	25	15.356	1628
11	3	4	40	10	left	right	0	19	15.953	1191
11	4	4	40	10	left	left	1	26	15.653	1661
11	5	4	40	10	right	right	1	31	15.485	2002
11	6	4	40	10	left	left	1	28	15.504	1806
11	7	4	40	10	left	right	0	27	15.634	1727
11	8	4	40	10	right	right	1	31	15.609	1986
11	9	4	40	10	right	left	0	53	15.234	3479
11	10	4	40	10	right	right	1	22	15.548	1415
11	11	4	40	10	right	right	1	25	15.567	1606
11	12	4	40	10	right	right	1	28	15.41	1817
11	13	4	40	10	right	right	1	62	15.373	4033
11	14	4	40	10	right	left	0	20	15.987	1251
11	15	4	40	10	right	right	1	30	15.353	1954
11	16	4	40	10	left	left	1	41	15.495	2646
11	17	4	40	10	left	left	1	49	15.37	3188
11	18	4	40	10	left	left	1	41	15.118	2712
11	19	4	40	10	left	right	0	32	15.152	2112
11	20	4	40	10	left	right	0	22	15.235	1444
11	21	4	40	10	right	right	1	28	15.152	1848
11	22	4	40	10	left	left	1	33	15.442	2137
11	23	4	40	10	right	left	0	22	15.592	1411
11	24	4	40	10	right	right	1	19	15.768	1205
12	1	4	40	10	left	left	1	23	15.625	1472
12	2	4	40	10	right	right	1	20	15.81	1265
12	3	4	40	10	left	left	1	18	15.267	1179
12	4	4	40	10	left	left	1	28	15.127	1851
12	5	4	40	10	right	right	1	24	15.748	1524
12	6	4	40	10	right	right	1	19	15.249	1246
12	7	4	40	10	left	left	1	17	15.288	1112
12	8	4	40	10	right	left	0	25	15.413	1622
12	9	4	40	10	right	left	0	13	15.644	831
12	10	4	40	10	left	left	1	19	15.079	1260
12	11	4	40	10	left	right	0	44	15.46	2846
12	12	4	40	10	right	right	1	30	15.448	1942
12	13	4	40	10	left	right	0	72	15.326	4698
12	14	4	40	10	right	left	0	25	15.461	1617
12	15	4	40	10	right	left	0	34	15.172	2241
12	16	4	40	10	left	right	0	43	15.264	2817
12	17	4	40	10	left	right	0	37	15.417	2400
12	18	4	40	10	left	left	1	44	15.209	2893
12	19	4	40	10	right	left	0	23	15.786	1457
12	20	4	40	10	left	right	0	34	15.199	2237
12	21	4	40	10	left	right	0	68	15.213	4470
12	22	4	40	10	right	left	0	43	15.189	2831
13	1	4	40	10	right	right	1	24	15.504	1548
13	2	4	40	10	left	left	1	22	15.395	1429
13	3	4	40	10	left	right	0	32	15.296	2092
13	4	4	40	10	left	left	1	21	15.521	1353
13	5	4	40	10	right	right	1	26	15.348	1694
13	6	4	40	10	left	left	1	23	15.593	1475
13	7	4	40	10	right	left	0	33	15.537	2124
13	8	4	40	10	right	right	1	23	15.447	1489
13	9	4	40	10	right	right	1	20	15.798	1266
13	10	4	40	10	left	left	1	18	15.464	1164
13	11	4	40	10	right	right	1	13	16.169	804
13	12	4	40	10	left	left	1	10	15.361	651
13	13	4	40	10	left	right	0	22	15.827	1390
13	14	4	40	10	right	right	1	33	15.335	2152
13	15	4	40	10	right	left	0	58	15.259	3801
13	16	4	40	10	right	left	0	36	15.293	2354
13	17	4	40	10	left	left	1	21	15.754	1333
13	18	4	40	10	right	right	1	22	15.352	1433
