
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	56	15.351	3648
1	2	4	40	10	left	left	1	18	15.531	1159
1	3	4	40	10	left	right	0	16	15.64	1023
1	4	4	40	10	right	right	1	15	15.228	985
1	5	4	40	10	right	right	1	42	15.152	2772
1	6	4	40	10	right	left	0	17	15.668	1085
1	7	4	40	10	left	left	1	14	15.766	888
1	8	4	40	10	left	right	0	12	15.936	753
1	9	4	40	10	right	right	1	13	15.738	826
1	10	4	40	10	right	right	1	12	15.267	786
1	11	4	40	10	left	left	1	15	15.496	968
1	12	4	40	10	left	left	1	36	15.491	2324
1	13	4	40	10	left	left	1	15	15.213	986
1	14	4	40	10	right	right	1	18	15.666	1149
1	15	4	40	10	right	right	1	19	15.164	1253
1	16	4	40	10	left	left	1	31	15.316	2024
1	17	4	40	10	right	right	1	15	15.94	941
1	18	4	40	10	left	left	1	27	15.698	1720
1	19	4	40	10	left	left	1	12	15.504	774
1	20	4	40	10	right	right	1	17	15.918	1068
1	21	4	40	10	right	right	1	18	15.385	1170
1	22	4	40	10	left	right	0	17	15.947	1066
1	23	4	40	10	left	right	0	14	16.279	860
1	24	4	40	10	left	left	1	15	16.146	929
1	25	4	40	10	right	right	1	14	16	875
1	26	4	40	10	right	right	1	13	16.169	804
1	27	4	40	10	right	right	1	13	16.189	803
1	28	4	40	10	right	left	0	22	15.267	1441
1	29	4	40	10	right	right	1	10	15.873	630
1	30	4	40	10	right	right	1	11	15.278	720
1	31	4	40	10	left	left	1	19	15.98	1189
1	32	4	40	10	right	right	1	12	15.19	790
1	33	4	40	10	right	right	1	19	15.886	1196
1	34	4	40	10	left	right	0	14	15.538	901
1	35	4	40	10	left	left	1	20	15.588	1283
1	36	4	40	10	right	right	1	15	15.152	990
2	1	4	40	10	right	left	0	24	15.365	1562
2	2	4	40	10	right	right	1	39	15.421	2529
2	3	4	40	10	left	left	1	13	16.311	797
2	4	4	40	10	left	left	1	13	15.276	851
2	5	4	40	10	right	right	1	16	15.826	1011
2	6	4	40	10	left	left	1	14	15.504	903
2	7	4	40	10	left	left	1	20	15.711	1273
2	8	4	40	10	left	left	1	13	16.189	803
2	9	4	40	10	right	right	1	16	15.968	1002
2	10	4	40	10	right	left	0	14	15.385	910
2	11	4	40	10	right	right	1	12	15.209	789
2	12	4	40	10	left	left	1	16	15.579	1027
2	13	4	40	10	right	right	1	14	16.073	871
2	14	4	40	10	left	left	1	19	15.032	1264
2	15	4	40	10	right	right	1	13	16.189	803
2	16	4	40	10	right	right	1	17	15.152	1122
2	17	4	40	10	left	left	1	16	15.625	1024
2	18	4	40	10	left	right	0	15	15.544	965
2	19	4	40	10	right	right	1	12	15.228	788
2	20	4	40	10	right	right	1	17	15.582	1091
2	21	4	40	10	left	left	1	13	15.312	849
2	22	4	40	10	right	right	1	18	15.831	1137
2	23	4	40	10	right	right	1	14	15.909	880
2	24	4	40	10	right	left	0	19	15.115	1257
2	25	4	40	10	left	left	1	47	15.425	3047
2	26	4	40	10	right	right	1	35	15.562	2249
2	27	4	40	10	right	right	1	15	15.432	972
2	28	4	40	10	right	right	1	28	15.226	1839
2	29	4	40	10	right	right	1	20	15.244	1312
2	30	4	40	10	right	right	1	18	15.571	1156
2	31	4	40	10	left	left	1	19	15.372	1236
2	32	4	40	10	right	right	1	16	15.656	1022
2	33	4	40	10	right	right	1	26	15.672	1659
2	34	4	40	10	left	left	1	27	15.28	1767
2	35	4	40	10	right	right	1	15	16.181	927
2	36	4	40	10	left	left	1	22	15.352	1433
3	1	4	40	10	right	left	0	32	15.633	2047
3	2	4	40	10	right	right	1	11	16.32	674
3	3	4	40	10	left	left	1	16	15.905	1006
3	4	4	40	10	right	right	1	38	15.164	2506
3	5	4	40	10	right	right	1	31	15.408	2012
3	6	4	40	10	right	right	1	42	15.385	2730
3	7	4	40	10	left	left	1	48	15.253	3147
3	8	4	40	10	right	right	1	12	16.173	742
3	9	4	40	10	right	right	1	20	15.209	1315
3	10	4	40	10	right	right	1	14	15.234	919
3	11	4	40	10	left	left	1	22	15.288	1439
3	12	4	40	10	right	right	1	14	15.945	878
3	13	4	40	10	left	left	1	13	15.205	855
3	14	4	40	10	right	left	0	22	15.374	1431
3	15	4	40	10	right	right	1	11	15.385	715
3	16	4	40	10	left	left	1	13	15.644	831
3	17	4	40	10	right	right	1	38	15.428	2463
3	18	4	40	10	right	left	0	24	15.697	1529
3	19	4	40	10	right	left	0	12	16.151	743
3	20	4	40	10	left	right	0	15	15.74	953
3	21	4	40	10	right	right	1	16	16	1000
3	22	4	40	10	left	left	1	11	15.027	732
3	23	4	40	10	left	left	1	20	15.42	1297
3	24	4	40	10	right	right	1	14	15.267	917
3	25	4	40	10	left	left	1	15	16.06	934
3	26	4	40	10	left	left	1	10	15.625	640
3	27	4	40	10	left	left	1	15	15.448	971
3	28	4	40	10	right	left	0	22	15.299	1438
3	29	4	40	10	left	left	1	24	15.769	1522
3	30	4	40	10	left	right	0	45	15.106	2979
3	31	4	40	10	right	right	1	14	16.073	871
3	32	4	40	10	right	right	1	17	15.639	1087
3	33	4	40	10	right	right	1	12	16.194	741
4	1	4	40	10	left	left	1	13	16.291	798
4	2	4	40	10	right	right	1	12	16.043	748
4	3	4	40	10	right	right	1	38	15.36	2474
4	4	4	40	10	right	right	1	26	15.231	1707
4	5	4	40	10	right	right	1	21	15.43	1361
4	6	4	40	10	right	left	0	65	15.276	4255
4	7	4	40	10	left	left	1	35	15.277	2291
4	8	4	40	10	right	right	1	19	15.237	1247
4	9	4	40	10	right	right	1	16	15.717	1018
4	10	4	40	10	left	left	1	16	15.656	1022
4	11	4	40	10	left	left	1	16	15.34	1043
4	12	4	40	10	left	left	1	26	15.339	1695
4	13	4	40	10	left	left	1	18	16	1125
4	14	4	40	10	left	left	1	16	15.094	1060
4	15	4	40	10	right	right	1	20	15.408	1298
4	16	4	40	10	left	left	1	15	15.4	974
4	17	4	40	10	left	right	0	37	15.41	2401
4	18	4	40	10	left	left	1	14	15.267	917
4	19	4	40	10	right	left	0	14	16.222	863
4	20	4	40	10	right	right	1	12	16.043	748
4	21	4	40	10	right	left	0	38	15.218	2497
4	22	4	40	10	left	right	0	52	15.326	3393
4	23	4	40	10	left	left	1	20	15.848	1262
4	24	4	40	10	right	left	0	24	15.152	1584
4	25	4	40	10	right	left	0	54	15.442	3497
4	26	4	40	10	right	left	0	16	15.984	1001
4	27	4	40	10	left	left	1	13	16.069	809
4	28	4	40	10	left	left	1	11	16.369	672
4	29	4	40	10	left	left	1	12	16.216	740
5	1	4	40	10	right	right	1	16	15.34	1043
5	2	4	40	10	left	left	1	13	15.931	816
5	3	4	40	10	right	right	1	11	16.2	679
5	4	4	40	10	left	left	1	11	16.129	682
5	5	4	40	10	right	right	1	11	16.418	670
5	6	4	40	10	right	right	1	15	15.337	978
5	7	4	40	10	right	right	1	29	15.255	1901
5	8	4	40	10	right	right	1	16	15.385	1040
5	9	4	40	10	right	right	1	12	15.209	789
5	10	4	40	10	left	left	1	12	15.727	763
5	11	4	40	10	right	right	1	11	15.782	697
