
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	left	0	370	15.153	24417
1	2	4	40	10	left	left	1	340	15.139	22458
1	3	4	40	10	right	right	1	70	15.274	4583
1	4	4	40	10	right	right	1	142	15.173	9359
2	1	4	40	10	left	left	1	34	15.322	2219
2	2	4	40	10	left	left	1	100	15.265	6551
2	3	4	40	10	left	left	1	96	15.25	6295
2	4	4	40	10	left	left	1	118	15.226	7750
2	5	4	40	10	left	right	0	113	15.223	7423
2	6	4	40	10	right	left	0	448	15.155	29562
3	1	4	40	10	right	right	1	52	15.245	3411
3	2	4	40	10	left	left	1	60	15.279	3927
3	3	4	40	10	right	right	1	28	15.226	1839
3	4	4	40	10	right	right	1	26	15.267	1703
3	5	4	40	10	left	right	0	44	15.199	2895
3	6	4	40	10	right	right	1	176	15.189	11587
3	7	4	40	10	left	left	1	224	15.211	14726
3	8	4	40	10	right	right	1	422	15.186	27789
4	1	4	40	10	left	left	1	76	15.191	5003
4	2	4	40	10	left	left	1	56	15.255	3671
4	3	4	40	10	right	right	1	25	15.713	1591
4	4	4	40	10	right	right	1	65	15.334	4239
4	5	4	40	10	right	right	1	51	15.441	3303
4	6	4	40	10	right	right	1	57	15.393	3703
4	7	4	40	10	left	left	1	68	15.155	4487
4	8	4	40	10	right	right	1	179	14.889	12022
4	9	4	40	10	left	left	1	86	15.232	5646
4	10	4	40	10	left	left	1	182	15.168	11999
4	11	4	40	10	left	left	1	107	15.184	7047
5	1	4	40	10	left	left	1	72	15.296	4707
5	2	4	40	10	left	left	1	16	15.764	1015
5	3	4	40	10	right	right	1	59	15.277	3862
5	4	4	40	10	left	left	1	94	15.205	6182
5	5	4	40	10	left	left	1	35	15.304	2287
5	6	4	40	10	left	left	1	75	15.222	4927
5	7	4	40	10	left	left	1	95	15.188	6255
5	8	4	40	10	left	left	1	71	15.331	4631
5	9	4	40	10	right	left	0	50	15.323	3263
5	10	4	40	10	left	left	1	161	15.209	10586
5	11	4	40	10	right	right	1	55	15.415	3568
5	12	4	40	10	right	right	1	39	15.488	2518
5	13	4	40	10	left	left	1	138	15.16	9103
6	1	4	40	10	right	right	1	45	15.348	2932
6	2	4	40	10	right	right	1	26	15.634	1663
6	3	4	40	10	left	left	1	22	15.46	1423
6	4	4	40	10	right	right	1	51	15.403	3311
6	5	4	40	10	right	right	1	28	15.292	1831
6	6	4	40	10	right	right	1	24	15.789	1520
6	7	4	40	10	right	left	0	25	15.404	1623
6	8	4	40	10	right	right	1	95	15.198	6251
6	9	4	40	10	left	left	1	16	15.779	1014
6	10	4	40	10	right	right	1	13	15.366	846
6	11	4	40	10	right	right	1	13	15.796	823
6	12	4	40	10	right	right	1	14	15.234	919
6	13	4	40	10	right	right	1	13	16.109	807
6	14	4	40	10	left	left	1	12	15.81	759
6	15	4	40	10	left	left	1	12	15.464	776
6	16	4	40	10	right	right	1	14	15.368	911
6	17	4	40	10	right	right	1	12	15.484	775
6	18	4	40	10	left	left	1	11	15.299	719
6	19	4	40	10	left	left	1	13	15.644	831
6	20	4	40	10	left	left	1	12	16.151	743
6	21	4	40	10	right	left	0	14	16.073	871
6	22	4	40	10	left	left	1	17	16.038	1060
6	23	4	40	10	right	right	1	11	15.32	718
6	24	4	40	10	left	left	1	11	15.988	688
6	25	4	40	10	left	left	1	12	16.327	735
6	26	4	40	10	left	left	1	28	15.359	1823
6	27	4	40	10	right	right	1	18	15.424	1167
6	28	4	40	10	left	left	1	14	15.217	920
6	29	4	40	10	left	left	1	14	15.927	879
6	30	4	40	10	left	left	1	11	15.131	727
6	31	4	40	10	right	right	1	10	15.456	647
6	32	4	40	10	right	right	1	10	16.26	615
6	33	4	40	10	left	left	1	11	15.131	727
6	34	4	40	10	left	left	1	12	15.645	767
6	35	4	40	10	left	left	1	13	16.27	799
6	36	4	40	10	right	right	1	9	15.652	575
6	37	4	40	10	right	right	1	9	16.822	535
7	1	4	40	10	left	left	1	17	15.357	1107
7	2	4	40	10	left	left	1	22	15.214	1446
7	3	4	40	10	right	right	1	17	15.206	1118
7	4	4	40	10	right	right	1	15	15.259	983
7	5	4	40	10	right	right	1	17	15.639	1087
7	6	4	40	10	left	left	1	10	16.26	615
7	7	4	40	10	right	right	1	11	16.2	679
7	8	4	40	10	left	left	1	10	15.267	655
7	9	4	40	10	right	right	1	47	15.344	3063
7	10	4	40	10	right	right	1	36	15.471	2327
7	11	4	40	10	right	right	1	33	15.399	2143
7	12	4	40	10	left	left	1	14	16.055	872
7	13	4	40	10	left	left	1	12	15.789	760
7	14	4	40	10	right	left	0	54	15.169	3560
7	15	4	40	10	right	right	1	122	15.275	7987
7	16	4	40	10	right	right	1	20	15.175	1318
7	17	4	40	10	left	left	1	15	15.121	992
7	18	4	40	10	right	left	0	92	15.277	6022
7	19	4	40	10	right	right	1	92	15.305	6011
7	20	4	40	10	right	left	0	43	15.495	2775
7	21	4	40	10	right	left	0	64	15.315	4179
8	1	4	40	10	left	left	1	17	15.814	1075
8	2	4	40	10	right	right	1	12	16.151	743
8	3	4	40	10	left	left	1	12	15.979	751
8	4	4	40	10	right	right	1	12	15.81	759
8	5	4	40	10	right	right	1	39	15.24	2559
8	6	4	40	10	right	right	1	102	15.219	6702
8	7	4	40	10	right	right	1	26	15.339	1695
8	8	4	40	10	right	right	1	48	15.156	3167
8	9	4	40	10	right	right	1	24	15.554	1543
8	10	4	40	10	right	right	1	163	15.161	10751
8	11	4	40	10	right	left	0	234	15.164	15431
8	12	4	40	10	left	left	1	34	15.603	2179
8	13	4	40	10	right	right	1	79	15.337	5151
8	14	4	40	10	left	right	0	44	15.162	2902
9	1	4	40	10	right	right	1	185	15.18	12187
9	2	4	40	10	left	right	0	121	15.249	7935
9	3	4	40	10	left	left	1	316	15.156	20850
9	4	4	40	10	right	right	1	29	15.516	1869
9	5	4	40	10	left	left	1	27	15.707	1719
9	6	4	40	10	left	left	1	29	15.633	1855
9	7	4	40	10	right	right	1	50	15.399	3247
9	8	4	40	10	right	right	1	85	15.269	5567
9	9	4	40	10	left	left	1	15	15.907	943
10	1	4	40	10	left	left	1	17	15.933	1067
10	2	4	40	10	right	right	1	21	15.648	1342
10	3	4	40	10	right	right	1	16	16.129	992
10	4	4	40	10	left	left	1	13	15.513	838
10	5	4	40	10	right	right	1	15	15.773	951
10	6	4	40	10	left	left	1	12	15.484	775
10	7	4	40	10	right	right	1	11	15.131	727
10	8	4	40	10	left	left	1	11	16.012	687
10	9	4	40	10	right	right	1	10	15.267	655
10	10	4	40	10	left	left	1	13	16.27	799
10	11	4	40	10	right	right	1	10	16.26	615
10	12	4	40	10	right	right	1	18	15.319	1175
10	13	4	40	10	left	left	1	13	15.495	839
10	14	4	40	10	left	left	1	83	15.171	5471
10	15	4	40	10	right	right	1	15	15.907	943
10	16	4	40	10	right	right	1	12	15.645	767
10	17	4	40	10	left	left	1	26	15.71	1655
10	18	4	40	10	right	right	1	16	15.282	1047
10	19	4	40	10	left	left	1	16	15.64	1023
10	20	4	40	10	left	left	1	53	15.345	3454
10	21	4	40	10	right	right	1	13	16.129	806
10	22	4	40	10	left	left	1	69	15.188	4543
10	23	4	40	10	left	left	1	32	15.159	2111
10	24	4	40	10	right	right	1	39	15.482	2519
10	25	4	40	10	right	right	1	34	15.302	2222
10	26	4	40	10	left	left	1	41	15.31	2678
10	27	4	40	10	right	right	1	20	15.349	1303
10	28	4	40	10	right	right	1	33	15.399	2143
10	29	4	40	10	left	left	1	22	15.636	1407
10	30	4	40	10	left	left	1	78	15.333	5087
11	1	4	40	10	left	left	1	16	16.08	995
11	2	4	40	10	left	left	1	12	15.464	776
11	3	4	40	10	right	right	1	19	15.335	1239
11	4	4	40	10	left	left	1	16	15.905	1006
11	5	4	40	10	right	right	1	11	15.493	710
11	6	4	40	10	right	right	1	11	16.591	663
11	7	4	40	10	right	right	1	86	15.297	5622
11	8	4	40	10	right	right	1	16	15.399	1039
11	9	4	40	10	right	right	1	31	15.324	2023
11	10	4	40	10	right	right	1	13	15.205	855
11	11	4	40	10	left	left	1	30	15.244	1968
11	12	4	40	10	right	right	1	11	15.32	718
11	13	4	40	10	left	left	1	14	16.073	871
11	14	4	40	10	right	right	1	10	15.267	655
11	15	4	40	10	left	left	1	9	16.1	559
11	16	4	40	10	right	right	1	9	16.575	543
11	17	4	40	10	left	left	1	9	16.1	559
11	18	4	40	10	left	right	0	8	16.701	479
11	19	4	40	10	right	right	1	13	15.421	843
11	20	4	40	10	right	right	1	237	15.178	15615
11	21	4	40	10	right	right	1	37	15.372	2407
11	22	4	40	10	right	right	1	32	15.399	2078
11	23	4	40	10	right	right	1	33	15.235	2166
11	24	4	40	10	right	right	1	24	15.171	1582
11	25	4	40	10	left	left	1	17	15.755	1079
11	26	4	40	10	right	right	1	20	15.736	1271
11	27	4	40	10	right	right	1	14	15.368	911
12	1	4	40	10	left	left	1	13	15.55	836
12	2	4	40	10	right	right	1	10	15.48	646
12	3	4	40	10	left	left	1	9	16.605	542
12	4	4	40	10	right	right	1	10	16.287	614
12	5	4	40	10	right	right	1	25	15.48	1615
12	6	4	40	10	left	left	1	14	15.368	911
12	7	4	40	10	right	right	1	10	15.848	631
12	8	4	40	10	right	right	1	20	15.736	1271
12	9	4	40	10	left	left	1	25	15.404	1623
12	10	4	40	10	left	left	1	57	15.196	3751
12	11	4	40	10	right	right	1	13	15.348	847
12	12	4	40	10	left	left	1	33	15.342	2151
12	13	4	40	10	left	left	1	45	15.411	2920
12	14	4	40	10	right	right	1	48	15.385	3120
12	15	4	40	10	right	right	1	144	15.193	9478
12	16	4	40	10	left	left	1	20	15.911	1257
12	17	4	40	10	left	left	1	16	15.92	1005
12	18	4	40	10	right	right	1	15	15.496	968
12	19	4	40	10	left	left	1	12	16.327	735
12	20	4	40	10	right	right	1	10	15.456	647
12	21	4	40	10	left	left	1	10	15.649	639
12	22	4	40	10	left	left	1	12	15.326	783
12	23	4	40	10	left	left	1	11	15.299	719
12	24	4	40	10	right	right	1	12	16.151	743
12	25	4	40	10	right	right	1	12	16	750
12	26	4	40	10	right	right	1	11	16.035	686
12	27	4	40	10	right	right	1	11	16.591	663
12	28	4	40	10	left	right	0	10	16.474	607
12	29	4	40	10	left	left	1	11	15.581	706
12	30	4	40	10	right	right	1	10	15.848	631
12	31	4	40	10	right	right	1	14	16.073	871
12	32	4	40	10	right	right	1	11	15.299	719
12	33	4	40	10	left	left	1	18	15.957	1128
12	34	4	40	10	left	left	1	14	16.073	871
13	1	4	40	10	right	right	1	20	15.302	1307
13	2	4	40	10	right	right	1	20	15.924	1256
13	3	4	40	10	right	right	1	15	15.167	989
13	4	4	40	10	left	left	1	14	16.222	863
13	5	4	40	10	right	right	1	11	16.012	687
13	6	4	40	10	right	right	1	23	15.808	1455
13	7	4	40	10	right	right	1	14	15.368	911
13	8	4	40	10	left	left	1	14	16.222	863
13	9	4	40	10	left	left	1	11	16.012	687
13	10	4	40	10	right	right	1	10	15.649	639
13	11	4	40	10	left	left	1	17	15.525	1095
13	12	4	40	10	right	right	1	13	15.931	816
13	13	4	40	10	left	left	1	19	15.94	1192
13	14	4	40	10	right	right	1	20	15.152	1320
13	15	4	40	10	right	right	1	19	15.523	1224
13	16	4	40	10	left	left	1	56	15.355	3647
13	17	4	40	10	left	left	1	28	15.234	1838
13	18	4	40	10	left	left	1	12	15.831	758
13	19	4	40	10	right	right	1	17	15.315	1110
13	20	4	40	10	left	left	1	14	15.801	886
13	21	4	40	10	left	left	1	20	15.256	1311
13	22	4	40	10	left	left	1	17	15.992	1063
13	23	4	40	10	left	left	1	13	16.109	807
13	24	4	40	10	left	left	1	11	15.131	727
13	25	4	40	10	right	right	1	9	16.575	543
13	26	4	40	10	right	right	1	13	16.109	807
13	27	4	40	10	right	right	1	10	16.051	623
13	28	4	40	10	left	left	1	9	15.228	591
13	29	4	40	10	left	left	1	10	16.694	599
13	30	4	40	10	right	right	1	10	15.848	631
13	31	4	40	10	left	left	1	12	16.151	743
13	32	4	40	10	left	left	1	13	16.291	798
13	33	4	40	10	right	right	1	259	15.208	17031
14	1	4	40	10	left	left	1	14	16.148	867
14	2	4	40	10	right	right	1	11	15.647	703
14	3	4	40	10	right	right	1	64	15.245	4198
14	4	4	40	10	right	right	1	45	15.422	2918
14	5	4	40	10	right	left	0	14	15.784	887
14	6	4	40	10	right	left	0	124	15.235	8139
14	7	4	40	10	left	left	1	22	15.771	1395
14	8	4	40	10	right	right	1	32	15.511	2063
14	9	4	40	10	left	left	1	18	15.748	1143
14	10	4	40	10	right	right	1	67	15.176	4415
14	11	4	40	10	left	left	1	12	15.326	783
14	12	4	40	10	left	left	1	13	15.644	831
14	13	4	40	10	right	right	1	12	16.151	743
14	14	4	40	10	left	left	1	10	16.051	623
14	15	4	40	10	left	left	1	11	15.827	695
14	16	4	40	10	right	right	1	10	15.267	655
14	17	4	40	10	left	left	1	11	15.299	719
14	18	4	40	10	right	right	1	37	15.52	2384
14	19	4	40	10	left	right	0	193	15.174	12719
14	20	4	40	10	right	right	1	280	15.203	18418
15	1	4	40	10	left	left	1	26	15.532	1674
15	2	4	40	10	right	right	1	18	15.873	1134
15	3	4	40	10	left	left	1	12	15.666	766
15	4	4	40	10	right	right	1	11	16.591	663
15	5	4	40	10	right	right	1	13	15.796	823
15	6	4	40	10	left	left	1	15	15.641	959
15	7	4	40	10	left	left	1	12	15.326	783
15	8	4	40	10	left	left	1	10	15.456	647
