
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	82	15.208	5392
1	2	4	40	10	left	left	1	42	15.195	2764
1	3	4	40	10	right	right	1	26	15.644	1662
1	4	4	40	10	left	left	1	59	15.325	3850
1	5	4	40	10	left	right	0	72	15.287	4710
1	6	4	40	10	right	right	1	41	15.495	2646
1	7	4	40	10	right	right	1	68	15.243	4461
1	8	4	40	10	right	left	0	87	15.271	5697
1	9	4	40	10	right	right	1	37	15.176	2438
1	10	4	40	10	left	left	1	32	15.542	2059
1	11	4	40	10	left	right	0	66	14.493	4554
1	12	4	40	10	left	left	1	44	15.251	2885
1	13	4	40	10	left	right	0	123	15.159	8114
1	14	4	40	10	left	left	1	36	15.352	2345
1	15	4	40	10	right	right	1	82	15.299	5360
1	16	4	40	10	left	left	1	58	15.155	3827
1	17	4	40	10	left	left	1	75	15.219	4928
1	18	4	40	10	left	left	1	25	15.319	1632
1	19	4	40	10	left	left	1	36	15.444	2331
1	20	4	40	10	left	left	1	32	15.377	2081
1	21	4	40	10	right	right	1	30	15.488	1937
1	22	4	40	10	right	right	1	20	15.373	1301
1	23	4	40	10	right	right	1	36	15.145	2377
1	24	4	40	10	left	left	1	20	15.432	1296
1	25	4	40	10	left	left	1	35	15.224	2299
1	26	4	40	10	right	right	1	19	15.715	1209
1	27	4	40	10	right	right	1	54	15.402	3506
1	28	4	40	10	right	right	1	22	15.559	1414
1	29	4	40	10	right	right	1	17	15.903	1069
1	30	4	40	10	left	left	1	14	15.59	898
1	31	4	40	10	right	right	1	15	16.234	924
1	32	4	40	10	right	right	1	14	15.945	878
1	33	4	40	10	right	right	1	23	15.646	1470
1	34	4	40	10	left	left	1	49	15.289	3205
1	35	4	40	10	left	left	1	24	15.686	1530
1	36	4	40	10	left	right	0	18	15.901	1132
1	37	4	40	10	right	right	1	36	15.358	2344
1	38	4	40	10	right	right	1	38	15.237	2494
1	39	4	40	10	right	right	1	19	15.728	1208
1	40	4	40	10	left	left	1	22	15.703	1401
2	1	4	40	10	left	left	1	27	15.535	1738
2	2	4	40	10	left	left	1	15	15.873	945
2	3	4	40	10	right	right	1	14	16.129	868
2	4	4	40	10	left	left	1	14	15.837	884
2	5	4	40	10	left	left	1	14	15.982	876
2	6	4	40	10	right	right	1	12	15.852	757
2	7	4	40	10	left	left	1	10	15.576	642
2	8	4	40	10	left	left	1	15	15.674	957
2	9	4	40	10	right	right	1	14	16.204	864
2	10	4	40	10	right	left	0	37	15.365	2408
2	11	4	40	10	left	left	1	15	15.045	997
2	12	4	40	10	left	left	1	19	15.41	1233
2	13	4	40	10	left	left	1	13	15.276	851
2	14	4	40	10	right	right	1	11	16.692	659
2	15	4	40	10	right	left	0	14	16.241	862
2	16	4	40	10	right	right	1	54	15.328	3523
2	17	4	40	10	left	left	1	20	15.152	1320
2	18	4	40	10	right	right	1	26	15.222	1708
2	19	4	40	10	right	right	1	57	15.38	3706
2	20	4	40	10	left	right	0	59	15.353	3843
2	21	4	40	10	right	right	1	32	15.13	2115
2	22	4	40	10	right	right	1	96	15.257	6292
2	23	4	40	10	right	right	1	13	15.187	856
2	24	4	40	10	left	left	1	19	15.847	1199
2	25	4	40	10	right	right	1	30	15.306	1960
2	26	4	40	10	right	right	1	44	15.299	2876
2	27	4	40	10	left	right	0	44	15.23	2889
2	28	4	40	10	left	left	1	23	15.52	1482
2	29	4	40	10	left	left	1	12	15.113	794
2	30	4	40	10	right	left	0	57	15.393	3703
2	31	4	40	10	right	left	0	25	15.198	1645
2	32	4	40	10	right	right	1	12	16.151	743
2	33	4	40	10	left	left	1	28	15.251	1836
2	34	4	40	10	right	right	1	98	15.281	6413
2	35	4	40	10	left	left	1	23	15.499	1484
2	36	4	40	10	left	right	0	32	15.414	2076
2	37	4	40	10	right	left	0	24	15.219	1577
2	38	4	40	10	left	right	0	53	15.3	3464
2	39	4	40	10	left	right	0	29	15.426	1880
2	40	4	40	10	right	right	1	35	15.358	2279
3	1	4	40	10	left	left	1	54	15.42	3502
3	2	4	40	10	left	left	1	36	15.557	2314
3	3	4	40	10	left	left	1	69	15.296	4511
3	4	4	40	10	left	left	1	67	15.349	4365
3	5	4	40	10	right	right	1	35	15.244	2296
3	6	4	40	10	left	left	1	32	15.231	2101
3	7	4	40	10	left	left	1	24	15.345	1564
3	8	4	40	10	right	right	1	50	15.404	3246
3	9	4	40	10	right	right	1	87	15.178	5732
3	10	4	40	10	left	left	1	71	15.194	4673
3	11	4	40	10	left	right	0	42	15.245	2755
3	12	4	40	10	left	left	1	108	15.166	7121
3	13	4	40	10	left	left	1	120	15.196	7897
3	14	4	40	10	right	left	0	56	15.259	3670
3	15	4	40	10	right	right	1	40	15.51	2579
3	16	4	40	10	left	left	1	87	15.317	5680
3	17	4	40	10	right	right	1	55	15.295	3596
3	18	4	40	10	right	right	1	48	15.375	3122
3	19	4	40	10	right	right	1	70	15.337	4564
3	20	4	40	10	left	left	1	88	15.249	5771
3	21	4	40	10	right	right	1	47	15.21	3090
3	22	4	40	10	left	left	1	50	15.161	3298
3	23	4	40	10	right	right	1	26	15.249	1705
3	24	4	40	10	left	left	1	44	15.368	2863
3	25	4	40	10	right	right	1	59	15.325	3850
3	26	4	40	10	right	right	1	35	15.412	2271
3	27	4	40	10	right	right	1	64	15.34	4172
3	28	4	40	10	right	right	1	19	15.926	1193
3	29	4	40	10	right	right	1	13	15.458	841
3	30	4	40	10	right	right	1	17	15.858	1072
3	31	4	40	10	right	right	1	18	15.652	1150
3	32	4	40	10	left	left	1	41	15.129	2710
3	33	4	40	10	right	right	1	43	15.374	2797
3	34	4	40	10	right	right	1	25	15.557	1607
3	35	4	40	10	right	right	1	25	15.596	1603
3	36	4	40	10	left	left	1	47	15.39	3054
3	37	4	40	10	left	left	1	19	15.548	1222
3	38	4	40	10	left	left	1	20	15.81	1265
3	39	4	40	10	left	left	1	45	15.437	2915
3	40	4	40	10	left	left	1	19	15.728	1208
4	1	4	40	10	left	left	1	29	15.344	1890
4	2	4	40	10	left	left	1	15	15.69	956
4	3	4	40	10	right	right	1	21	15.273	1375
4	4	4	40	10	right	right	1	36	15.484	2325
4	5	4	40	10	right	right	1	18	15.267	1179
4	6	4	40	10	left	left	1	30	15.472	1939
4	7	4	40	10	left	left	1	36	15.261	2359
4	8	4	40	10	right	right	1	24	15.564	1542
4	9	4	40	10	left	left	1	28	15.634	1791
4	10	4	40	10	right	right	1	26	15.7	1656
4	11	4	40	10	right	right	1	29	15.516	1869
4	12	4	40	10	right	right	1	23	15.551	1479
4	13	4	40	10	right	right	1	19	15.447	1230
4	14	4	40	10	left	left	1	70	15.301	4575
4	15	4	40	10	right	right	1	31	15.263	2031
4	16	4	40	10	right	right	1	70	15.175	4613
4	17	4	40	10	left	left	1	48	15.355	3126
4	18	4	40	10	left	left	1	84	15.173	5536
4	19	4	40	10	left	left	1	46	15.416	2984
4	20	4	40	10	left	left	1	58	15.203	3815
4	21	4	40	10	right	right	1	128	15.162	8442
4	22	4	40	10	right	right	1	33	15.299	2157
4	23	4	40	10	left	left	1	24	15.564	1542
4	24	4	40	10	right	right	1	38	15.23	2495
4	25	4	40	10	left	left	1	28	15.267	1834
4	26	4	40	10	left	left	1	50	15.38	3251
4	27	4	40	10	right	right	1	31	15.248	2033
4	28	4	40	10	left	left	1	24	15.625	1536
4	29	4	40	10	left	left	1	48	15.419	3113
4	30	4	40	10	right	right	1	36	15.551	2315
4	31	4	40	10	right	right	1	32	15.26	2097
4	32	4	40	10	right	right	1	20	15.528	1288
4	33	4	40	10	left	left	1	27	15.598	1731
4	34	4	40	10	left	right	0	22	15.603	1410
4	35	4	40	10	left	left	1	30	15.205	1973
4	36	4	40	10	right	right	1	27	15.254	1770
4	37	4	40	10	right	right	1	35	15.5	2258
4	38	4	40	10	left	left	1	57	15.397	3702
4	39	4	40	10	left	left	1	51	15.403	3311
4	40	4	40	10	right	right	1	17	15.206	1118
5	1	4	40	10	left	left	1	45	15.152	2970
5	2	4	40	10	right	right	1	22	15.439	1425
5	3	4	40	10	left	left	1	15	16.164	928
5	4	4	40	10	left	left	1	13	15.738	826
5	5	4	40	10	right	right	1	22	15.703	1401
5	6	4	40	10	right	right	1	22	15.816	1391
5	7	4	40	10	left	left	1	15	15.167	989
5	8	4	40	10	right	right	1	18	15.611	1153
5	9	4	40	10	right	right	1	40	15.198	2632
5	10	4	40	10	left	left	1	23	15.829	1453
5	11	4	40	10	right	right	1	14	15.267	917
5	12	4	40	10	left	left	1	14	15.801	886
5	13	4	40	10	right	right	1	17	15.639	1087
5	14	4	40	10	right	right	1	13	16.291	798
5	15	4	40	10	right	right	1	31	15.226	2036
5	16	4	40	10	right	right	1	21	15.239	1378
5	17	4	40	10	left	left	1	23	15.797	1456
5	18	4	40	10	left	left	1	26	15.7	1656
5	19	4	40	10	left	left	1	36	15.484	2325
5	20	4	40	10	right	right	1	13	16.049	810
5	21	4	40	10	right	right	1	34	15.172	2241
5	22	4	40	10	right	right	1	11	15.007	733
5	23	4	40	10	left	left	1	18	15.598	1154
5	24	4	40	10	right	right	1	35	15.184	2305
5	25	4	40	10	right	right	1	21	15.742	1334
5	26	4	40	10	right	right	1	20	15.785	1267
5	27	4	40	10	right	right	1	19	15.46	1229
5	28	4	40	10	left	left	1	18	15.762	1142
5	29	4	40	10	left	left	1	36	15.267	2358
5	30	4	40	10	left	left	1	23	15.405	1493
5	31	4	40	10	left	left	1	56	15.364	3645
5	32	4	40	10	left	left	1	27	15.437	1749
5	33	4	40	10	left	left	1	38	15.397	2468
5	34	4	40	10	right	right	1	17	15.206	1118
5	35	4	40	10	left	left	1	50	15.152	3300
5	36	4	40	10	left	left	1	56	15.172	3691
5	37	4	40	10	right	right	1	25	15.133	1652
5	38	4	40	10	left	left	1	58	15.291	3793
5	39	4	40	10	left	left	1	24	15.123	1587
5	40	4	40	10	right	right	1	31	15.211	2038
6	1	4	40	10	left	left	1	45	15.182	2964
6	2	4	40	10	right	right	1	13	15.892	818
6	3	4	40	10	left	left	1	25	15.694	1593
6	4	4	40	10	left	left	1	96	15.199	6316
6	5	4	40	10	right	right	1	14	16.073	871
6	6	4	40	10	right	right	1	32	15.564	2056
6	7	4	40	10	left	left	1	15	15.789	950
6	8	4	40	10	right	right	1	10	15.798	633
6	9	4	40	10	right	right	1	34	15.378	2211
6	10	4	40	10	left	left	1	43	15.281	2814
6	11	4	40	10	left	left	1	39	15.187	2568
6	12	4	40	10	left	left	1	44	15.336	2869
6	13	4	40	10	left	left	1	30	15.244	1968
6	14	4	40	10	right	right	1	13	15.834	821
6	15	4	40	10	left	left	1	36	15.332	2348
6	16	4	40	10	right	right	1	11	15.214	723
6	17	4	40	10	left	left	1	12	16.327	735
6	18	4	40	10	left	left	1	30	15.4	1948
6	19	4	40	10	right	right	1	12	15.464	776
6	20	4	40	10	right	right	1	13	16.129	806
6	21	4	40	10	right	right	1	17	15.455	1100
6	22	4	40	10	right	right	1	12	16.064	747
6	23	4	40	10	right	right	1	11	15.625	704
6	24	4	40	10	left	left	1	14	15.695	892
6	25	4	40	10	right	right	1	11	16.035	686
6	26	4	40	10	left	left	1	33	15.152	2178
6	27	4	40	10	right	right	1	24	15.758	1523
6	28	4	40	10	left	left	1	25	15.423	1621
6	29	4	40	10	right	right	1	30	15.56	1928
6	30	4	40	10	left	left	1	23	15.252	1508
6	31	4	40	10	left	left	1	36	15.431	2333
6	32	4	40	10	left	left	1	26	15.16	1715
6	33	4	40	10	right	right	1	35	15.297	2288
6	34	4	40	10	left	left	1	34	15.145	2245
6	35	4	40	10	left	left	1	27	15.689	1721
6	36	4	40	10	left	left	1	16	15.519	1031
6	37	4	40	10	right	right	1	18	16.014	1124
6	38	4	40	10	right	right	1	22	15.428	1426
6	39	4	40	10	right	right	1	20	15.81	1265
6	40	4	40	10	right	right	1	16	15.444	1036
7	1	4	40	10	right	right	1	16	15.123	1058
7	2	4	40	10	left	left	1	12	15.979	751
7	3	4	40	10	left	left	1	39	15.252	2557
7	4	4	40	10	right	right	1	9	15.385	585
7	5	4	40	10	left	left	1	25	15.152	1650
7	6	4	40	10	left	left	1	18	15.873	1134
7	7	4	40	10	left	left	1	17	15.329	1109
7	8	4	40	10	right	right	1	11	15.027	732
7	9	4	40	10	left	left	1	10	16.835	594
7	10	4	40	10	left	left	1	10	15.773	634
7	11	4	40	10	right	right	1	18	15.358	1172
7	12	4	40	10	right	right	1	33	15.242	2165
7	13	4	40	10	right	right	1	15	16.199	926
7	14	4	40	10	right	right	1	20	15.528	1288
7	15	4	40	10	left	left	1	33	15.306	2156
7	16	4	40	10	left	left	1	25	15.124	1653
7	17	4	40	10	right	right	1	23	15.604	1474
7	18	4	40	10	left	left	1	23	15.52	1482
7	19	4	40	10	left	left	1	13	16.209	802
7	20	4	40	10	right	right	1	19	15.41	1233
7	21	4	40	10	left	left	1	38	15.504	2451
7	22	4	40	10	right	right	1	13	16.01	812
7	23	4	40	10	right	right	1	46	15.318	3003
7	24	4	40	10	right	right	1	12	16.086	746
7	25	4	40	10	right	right	1	13	15.815	822
7	26	4	40	10	left	left	1	14	15.964	877
7	27	4	40	10	right	right	1	15	15.528	966
7	28	4	40	10	left	left	1	40	15.232	2626
7	29	4	40	10	right	right	1	18	15.972	1127
7	30	4	40	10	right	right	1	14	15.801	886
