
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	122	15.002	8132
1	2	4	40	10	right	right	1	41	15.35	2671
1	3	4	40	10	left	left	1	19	15.447	1230
1	4	4	40	10	left	right	0	22	15.737	1398
1	5	4	40	10	right	left	0	61	15.369	3969
1	6	4	40	10	left	right	0	40	15.396	2598
1	7	4	40	10	right	right	1	80	15.2	5263
1	8	4	40	10	right	right	1	102	15.267	6681
1	9	4	40	10	left	left	1	46	15.426	2982
1	10	4	40	10	right	right	1	29	15.583	1861
1	11	4	40	10	right	right	1	42	15.179	2767
1	12	4	40	10	right	right	1	30	15.432	1944
1	13	4	40	10	left	left	1	12	16.216	740
1	14	4	40	10	left	right	0	86	15.16	5673
1	15	4	40	10	left	left	1	37	15.308	2417
1	16	4	40	10	right	left	0	41	15.373	2667
2	1	4	40	10	left	left	1	43	15.184	2832
2	2	4	40	10	right	right	1	77	15.317	5027
2	3	4	40	10	left	left	1	29	15.247	1902
2	4	4	40	10	right	right	1	49	15.308	3201
2	5	4	40	10	right	right	1	36	15.222	2365
2	6	4	40	10	right	right	1	118	15.167	7780
2	7	4	40	10	left	left	1	37	15.133	2445
2	8	4	40	10	left	left	1	14	15.251	918
2	9	4	40	10	right	left	0	17	15.873	1071
2	10	4	40	10	left	left	1	39	15.366	2538
2	11	4	40	10	left	left	1	31	15.4	2013
2	12	4	40	10	right	right	1	55	15.337	3586
2	13	4	40	10	right	right	1	47	15.215	3089
2	14	4	40	10	right	right	1	21	15.602	1346
2	15	4	40	10	left	left	1	17	15.192	1119
2	16	4	40	10	left	left	1	107	15.255	7014
2	17	4	40	10	right	right	1	55	15.227	3612
2	18	4	40	10	right	right	1	21	15.407	1363
3	1	4	40	10	left	left	1	28	15.251	1836
3	2	4	40	10	left	left	1	15	16.077	933
3	3	4	40	10	left	left	1	25	15.567	1606
3	4	4	40	10	right	right	1	33	15.264	2162
3	5	4	40	10	right	right	1	31	15.531	1996
3	6	4	40	10	right	right	1	25	15.235	1641
3	7	4	40	10	right	right	1	19	15.46	1229
3	8	4	40	10	left	left	1	15	15.136	991
3	9	4	40	10	left	left	1	34	15.213	2235
3	10	4	40	10	right	right	1	39	15.439	2526
3	11	4	40	10	left	left	1	43	15.221	2825
3	12	4	40	10	right	right	1	17	15.343	1108
3	13	4	40	10	right	right	1	30	15.283	1963
3	14	4	40	10	left	left	1	22	15.816	1391
3	15	4	40	10	right	right	1	22	15.395	1429
3	16	4	40	10	left	left	1	25	15.586	1604
3	17	4	40	10	right	right	1	14	15.368	911
3	18	4	40	10	left	left	1	14	15.748	889
3	19	4	40	10	left	left	1	13	15.294	850
3	20	4	40	10	left	left	1	43	15.479	2778
3	21	4	40	10	left	left	1	20	15.588	1283
3	22	4	40	10	right	right	1	21	15.73	1335
3	23	4	40	10	right	right	1	19	15.599	1218
3	24	4	40	10	right	right	1	18	15.571	1156
