
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	12	16.194	741
1	2	4	40	10	left	right	0	20	15.686	1275
1	3	4	40	10	right	right	1	15	15.448	971
1	4	4	40	10	right	right	1	17	15.888	1070
1	5	4	40	10	left	left	1	23	15.252	1508
1	6	4	40	10	left	left	1	15	15.4	974
1	7	4	40	10	right	right	1	23	15.374	1496
1	8	4	40	10	right	right	1	19	15.51	1225
1	9	4	40	10	left	left	1	14	15.436	907
1	10	4	40	10	right	right	1	14	15.402	909
1	11	4	40	10	right	right	1	23	15.142	1519
1	12	4	40	10	left	left	1	18	15.306	1176
1	13	4	40	10	left	left	1	29	15.483	1873
1	14	4	40	10	right	right	1	15	15.56	964
1	15	4	40	10	left	right	0	14	15.487	904
1	16	4	40	10	right	left	0	25	15.557	1607
1	17	4	40	10	left	left	1	24	15.385	1560
1	18	4	40	10	left	right	0	19	15.298	1242
1	19	4	40	10	right	right	1	21	15.328	1370
1	20	4	40	10	left	left	1	16	15.399	1039
1	21	4	40	10	right	right	1	16	15.311	1045
1	22	4	40	10	left	left	1	21	15.419	1362
1	23	4	40	10	right	right	1	11	15.278	720
1	24	4	40	10	left	left	1	12	15.544	772
1	25	4	40	10	left	right	0	13	15.439	842
1	26	4	40	10	right	left	0	12	15.957	752
1	27	4	40	10	right	right	1	20	15.209	1315
1	28	4	40	10	right	right	1	13	15.348	847
1	29	4	40	10	right	left	0	11	15.299	719
1	30	4	40	10	right	right	1	9	15.177	593
1	31	4	40	10	left	right	0	15	15.69	956
1	32	4	40	10	left	left	1	20	15.576	1284
1	33	4	40	10	left	left	1	17	15.639	1087
1	34	4	40	10	left	left	1	22	15.737	1398
1	35	4	40	10	right	right	1	17	15.233	1116
1	36	4	40	10	right	left	0	17	15.469	1099
1	37	4	40	10	left	right	0	10	15.649	639
1	38	4	40	10	right	right	1	12	15.171	791
1	39	4	40	10	left	left	1	13	15.971	814
1	40	4	40	10	right	right	1	12	16	750
2	1	4	40	10	right	left	0	26	15.214	1709
2	2	4	40	10	left	right	0	10	15.06	664
2	3	4	40	10	left	right	0	10	16.42	609
2	4	4	40	10	left	left	1	11	16.176	680
2	5	4	40	10	left	left	1	15	14.591	1028
2	6	4	40	10	right	right	1	16	15.857	1009
2	7	4	40	10	left	left	1	14	15.801	886
2	8	4	40	10	right	right	1	14	15.909	880
2	9	4	40	10	left	left	1	12	15.444	777
2	10	4	40	10	right	right	1	11	15.449	712
2	11	4	40	10	right	right	1	18	15.679	1148
2	12	4	40	10	left	left	1	9	15.734	572
2	13	4	40	10	right	right	1	10	16.077	622
2	14	4	40	10	left	left	1	9	16.791	536
2	15	4	40	10	left	right	0	23	15.625	1472
2	16	4	40	10	right	right	1	23	15.657	1469
2	17	4	40	10	right	right	1	12	15.19	790
2	18	4	40	10	left	left	1	11	15.896	692
2	19	4	40	10	left	left	1	19	15.612	1217
2	20	4	40	10	left	right	0	16	15.579	1027
2	21	4	40	10	right	left	0	10	15.129	661
2	22	4	40	10	right	right	1	12	16.021	749
2	23	4	40	10	right	right	1	12	15.727	763
2	24	4	40	10	right	right	1	10	15.198	658
2	25	4	40	10	left	right	0	14	15.251	918
2	26	4	40	10	left	left	1	9	15.28	589
2	27	4	40	10	right	right	1	14	15.945	878
2	28	4	40	10	left	left	1	10	16.026	624
2	29	4	40	10	right	right	1	14	15.317	914
2	30	4	40	10	left	left	1	10	15.699	637
2	31	4	40	10	right	right	1	9	16.544	544
2	32	4	40	10	left	left	1	8	15.355	521
2	33	4	40	10	right	right	1	10	16	625
2	34	4	40	10	right	left	0	7	16.393	427
2	35	4	40	10	right	right	1	9	16.129	558
2	36	4	40	10	left	left	1	19	15.548	1222
2	37	4	40	10	right	right	1	15	15.89	944
2	38	4	40	10	left	left	1	10	15.361	651
2	39	4	40	10	right	right	1	9	14.851	606
2	40	4	40	10	left	left	1	11	15.625	704
3	1	4	40	10	right	right	1	24	15.494	1549
3	2	4	40	10	right	right	1	14	15.766	888
3	3	4	40	10	left	left	1	11	15.257	721
3	4	4	40	10	left	right	0	10	16.26	615
3	5	4	40	10	left	left	1	9	15.679	574
3	6	4	40	10	right	right	1	15	15.773	951
3	7	4	40	10	right	left	0	8	16.563	483
3	8	4	40	10	right	right	1	9	16.575	543
3	9	4	40	10	left	right	0	9	15.437	583
3	10	4	40	10	left	left	1	9	16.364	550
3	11	4	40	10	left	left	1	14	15.504	903
3	12	4	40	10	right	right	1	10	15.221	657
3	13	4	40	10	right	left	0	10	15.723	636
3	14	4	40	10	left	right	0	10	15.175	659
3	15	4	40	10	right	right	1	10	15.528	644
3	16	4	40	10	left	left	1	11	16.369	672
3	17	4	40	10	right	right	1	12	15.248	787
3	18	4	40	10	left	left	1	12	16.086	746
3	19	4	40	10	left	right	0	17	15.399	1104
3	20	4	40	10	right	left	0	9	15.734	572
3	21	4	40	10	left	right	0	11	16.32	674
3	22	4	40	10	left	left	1	12	16.238	739
3	23	4	40	10	right	right	1	13	15.458	841
3	24	4	40	10	right	right	1	14	15.608	897
3	25	4	40	10	left	left	1	12	15.727	763
3	26	4	40	10	right	right	1	11	15.965	689
3	27	4	40	10	left	left	1	9	15.464	582
3	28	4	40	10	left	right	0	10	16.26	615
3	29	4	40	10	right	right	1	11	15.827	695
3	30	4	40	10	right	right	1	23	15.426	1491
3	31	4	40	10	left	left	1	18	15.254	1180
3	32	4	40	10	left	left	1	16	15.195	1053
3	33	4	40	10	left	left	1	14	15.054	930
3	34	4	40	10	left	left	1	12	15.686	765
3	35	4	40	10	left	right	0	14	15.873	882
3	36	4	40	10	right	left	0	13	15.912	817
3	37	4	40	10	right	right	1	10	15.649	639
3	38	4	40	10	right	right	1	17	15.858	1072
3	39	4	40	10	right	right	1	13	15.796	823
3	40	4	40	10	right	left	0	20	15.54	1287
4	1	4	40	10	right	right	1	17	15.888	1070
4	2	4	40	10	left	left	1	18	16.014	1124
4	3	4	40	10	left	right	0	13	15.719	827
4	4	4	40	10	right	left	0	10	15.432	648
4	5	4	40	10	left	right	0	9	15.411	584
4	6	4	40	10	left	left	1	10	15.267	655
4	7	4	40	10	right	right	1	27	15.393	1754
4	8	4	40	10	left	left	1	33	15.214	2169
4	9	4	40	10	right	right	1	18	16.014	1124
4	10	4	40	10	right	right	1	15	15.707	955
4	11	4	40	10	right	left	0	22	15.636	1407
4	12	4	40	10	right	right	1	17	15.962	1065
4	13	4	40	10	left	right	0	14	15.927	879
4	14	4	40	10	left	left	1	10	15.504	645
4	15	4	40	10	left	left	1	19	15.224	1248
4	16	4	40	10	left	left	1	14	15.301	915
4	17	4	40	10	left	left	1	13	15.099	861
4	18	4	40	10	right	right	1	20	15.456	1294
4	19	4	40	10	left	right	0	21	15.419	1362
4	20	4	40	10	left	left	1	10	14.97	668
4	21	4	40	10	right	left	0	15	15.121	992
4	22	4	40	10	right	right	1	9	16.071	560
