
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	140	15.241	9186
1	2	4	40	10	left	left	1	38	15.347	2476
1	3	4	40	10	left	right	0	44	15.331	2870
1	4	4	40	10	left	left	1	12	15.645	767
1	5	4	40	10	right	left	0	11	15.172	725
1	6	4	40	10	left	right	0	55	15.152	3630
1	7	4	40	10	right	right	1	27	15.607	1730
1	8	4	40	10	right	right	1	71	15.325	4633
1	9	4	40	10	left	right	0	26	15.385	1690
1	10	4	40	10	left	right	0	22	15.31	1437
1	11	4	40	10	left	left	1	69	15.344	4497
1	12	4	40	10	left	left	1	18	15.986	1126
1	13	4	40	10	left	left	1	27	15.228	1773
1	14	4	40	10	right	left	0	27	15.367	1757
1	15	4	40	10	right	right	1	47	15.375	3057
1	16	4	40	10	left	right	0	28	15.209	1841
1	17	4	40	10	right	left	0	21	15.637	1343
1	18	4	40	10	left	right	0	36	15.248	2361
1	19	4	40	10	left	right	0	24	15.345	1564
2	1	4	40	10	right	left	0	83	15.302	5424
2	2	4	40	10	left	right	0	83	15.319	5418
2	3	4	40	10	right	right	1	65	15.176	4283
2	4	4	40	10	left	left	1	50	15.193	3291
2	5	4	40	10	right	right	1	40	15.192	2633
2	6	4	40	10	left	right	0	24	15.717	1527
2	7	4	40	10	left	left	1	22	15.406	1428
2	8	4	40	10	right	left	0	16	15.826	1011
2	9	4	40	10	right	left	0	32	15.414	2076
2	10	4	40	10	right	right	1	23	15.71	1464
2	11	4	40	10	right	left	0	30	15.252	1967
2	12	4	40	10	left	left	1	38	15.267	2489
2	13	4	40	10	right	left	0	47	15.324	3067
2	14	4	40	10	right	left	0	27	15.482	1744
2	15	4	40	10	right	right	1	30	15.593	1924
2	16	4	40	10	right	left	0	74	15.164	4880
2	17	4	40	10	right	right	1	28	15.184	1844
2	18	4	40	10	left	right	0	20	15.662	1277
2	19	4	40	10	left	right	0	19	15.261	1245
3	1	4	40	10	left	left	1	27	15.661	1724
3	2	4	40	10	right	left	0	33	15.544	2123
3	3	4	40	10	left	left	1	23	15.541	1480
3	4	4	40	10	right	left	0	26	15.476	1680
3	5	4	40	10	left	right	0	20	15.221	1314
3	6	4	40	10	left	left	1	14	15.301	915
3	7	4	40	10	right	right	1	19	15.273	1244
3	8	4	40	10	left	right	0	22	15.471	1422
3	9	4	40	10	left	left	1	24	15.534	1545
3	10	4	40	10	left	left	1	22	15.692	1402
3	11	4	40	10	left	right	0	34	15.343	2216
3	12	4	40	10	right	left	0	15	16.026	936
3	13	4	40	10	right	right	1	21	15.173	1384
3	14	4	40	10	right	left	0	36	15.171	2373
3	15	4	40	10	right	left	0	14	15.891	881
3	16	4	40	10	left	right	0	44	15.241	2887
3	17	4	40	10	right	left	0	12	16.304	736
3	18	4	40	10	left	left	1	47	15.25	3082
3	19	4	40	10	left	right	0	26	15.303	1699
3	20	4	40	10	right	left	0	32	15.519	2062
3	21	4	40	10	left	right	0	15	15.091	994
3	22	4	40	10	left	right	0	13	15.294	850
3	23	4	40	10	right	left	0	18	15.748	1143
3	24	4	40	10	left	left	1	12	15.094	795
3	25	4	40	10	right	left	0	24	15.524	1546
3	26	4	40	10	left	right	0	37	15.404	2402
3	27	4	40	10	right	left	0	26	15.569	1670
4	1	4	40	10	right	left	0	49	15.27	3209
4	2	4	40	10	right	left	0	11	15.581	706
4	3	4	40	10	right	right	1	70	15.207	4603
4	4	4	40	10	left	right	0	38	15.298	2484
4	5	4	40	10	left	right	0	27	15.607	1730
4	6	4	40	10	right	left	0	35	15.204	2302
4	7	4	40	10	left	left	1	17	15.741	1080
4	8	4	40	10	right	left	0	24	15.727	1526
4	9	4	40	10	left	right	0	29	15.525	1868
4	10	4	40	10	right	left	0	11	16.692	659
4	11	4	40	10	left	left	1	33	15.544	2123
4	12	4	40	10	left	left	1	66	15.295	4315
4	13	4	40	10	right	left	0	18	15.358	1172
4	14	4	40	10	left	left	1	21	15.34	1369
4	15	4	40	10	right	left	0	22	15.548	1415
4	16	4	40	10	right	right	1	24	15.769	1522
4	17	4	40	10	left	right	0	23	15.678	1467
4	18	4	40	10	left	left	1	12	15.979	751
