
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	87	15.159	5739
1	2	4	40	10	right	left	0	50	15.133	3304
1	3	4	40	10	left	left	1	103	15.228	6764
1	4	4	40	10	right	left	0	132	15.228	8668
1	5	4	40	10	right	right	1	121	15.232	7944
1	6	4	40	10	right	left	0	86	15.275	5630
1	7	4	40	10	right	right	1	223	15.218	14654
1	8	4	40	10	left	left	1	103	15.239	6759
2	1	4	40	10	right	right	1	95	15.222	6241
2	2	4	40	10	left	left	1	56	15.301	3660
2	3	4	40	10	left	left	1	69	15.337	4499
2	4	4	40	10	left	left	1	58	15.227	3809
2	5	4	40	10	right	left	0	112	15.193	7372
2	6	4	40	10	right	right	1	58	15.136	3832
2	7	4	40	10	left	left	1	27	15.725	1717
2	8	4	40	10	right	right	1	14	16.298	859
2	9	4	40	10	right	right	1	34	15.371	2212
2	10	4	40	10	right	right	1	28	15.368	1822
2	11	4	40	10	right	left	0	16	15.399	1039
2	12	4	40	10	left	left	1	19	15.51	1225
2	13	4	40	10	right	right	1	17	15.138	1123
2	14	4	40	10	right	right	1	16	15.857	1009
2	15	4	40	10	right	right	1	14	15.402	909
2	16	4	40	10	right	right	1	18	15.859	1135
2	17	4	40	10	right	right	1	18	15.544	1158
2	18	4	40	10	left	left	1	16	15.779	1014
2	19	4	40	10	right	right	1	12	15.248	787
2	20	4	40	10	left	left	1	13	15.912	817
2	21	4	40	10	right	right	1	12	16.129	744
2	22	4	40	10	right	right	1	39	15.452	2524
2	23	4	40	10	right	right	1	11	16.2	679
3	1	4	40	10	right	right	1	12	16.282	737
3	2	4	40	10	left	left	1	13	16.27	799
3	3	4	40	10	left	left	1	16	15.195	1053
3	4	4	40	10	left	left	1	14	15.301	915
3	5	4	40	10	right	right	1	16	15.686	1020
3	6	4	40	10	left	left	1	14	15.608	897
3	7	4	40	10	left	left	1	34	15.165	2242
3	8	4	40	10	left	left	1	47	15.27	3078
3	9	4	40	10	right	right	1	17	15.192	1119
3	10	4	40	10	left	left	1	28	15.368	1822
3	11	4	40	10	right	right	1	21	15.648	1342
3	12	4	40	10	right	left	0	60	15.294	3923
3	13	4	40	10	right	right	1	15	15.03	998
3	14	4	40	10	right	right	1	16	15.826	1011
3	15	4	40	10	right	right	1	18	15.859	1135
3	16	4	40	10	right	right	1	16	15.534	1030
3	17	4	40	10	right	left	0	72	15.142	4755
3	18	4	40	10	right	right	1	49	15.184	3227
3	19	4	40	10	right	left	0	56	15.255	3671
3	20	4	40	10	right	right	1	15	15.69	956
3	21	4	40	10	left	left	1	14	16.222	863
3	22	4	40	10	right	right	1	12	16.327	735
3	23	4	40	10	right	left	0	14	15.819	885
3	24	4	40	10	right	right	1	11	15.406	714
3	25	4	40	10	right	right	1	24	15.564	1542
3	26	4	40	10	left	left	1	42	15.447	2719
3	27	4	40	10	right	left	0	71	15.355	4624
4	1	4	40	10	left	left	1	29	15.6	1859
4	2	4	40	10	right	right	1	14	15.284	916
4	3	4	40	10	right	left	0	14	15.385	910
4	4	4	40	10	right	right	1	22	15.493	1420
4	5	4	40	10	right	right	1	22	15.592	1411
4	6	4	40	10	right	right	1	18	15.831	1137
4	7	4	40	10	right	left	0	19	15.94	1192
4	8	4	40	10	left	left	1	24	15.094	1590
4	9	4	40	10	right	right	1	14	15.201	921
4	10	4	40	10	left	right	0	41	15.101	2715
4	11	4	40	10	left	left	1	353	15.175	23262
4	12	4	40	10	right	right	1	16	15.414	1038
4	13	4	40	10	left	left	1	56	15.276	3666
4	14	4	40	10	right	right	1	40	15.367	2603
4	15	4	40	10	right	left	0	61	15.281	3992
4	16	4	40	10	left	right	0	88	15.265	5765
5	1	4	40	10	right	right	1	10	16.639	601
5	2	4	40	10	left	left	1	10	15.773	634
5	3	4	40	10	left	right	0	10	16.75	597
5	4	4	40	10	left	left	1	18	15.371	1171
5	5	4	40	10	left	left	1	13	16.03	811
5	6	4	40	10	left	left	1	11	15.919	691
5	7	4	40	10	right	right	1	11	16.2	679
5	8	4	40	10	right	right	1	12	15.748	762
5	9	4	40	10	left	right	0	10	15.432	648
5	10	4	40	10	left	left	1	8	15.656	511
5	11	4	40	10	right	right	1	18	15.972	1127
5	12	4	40	10	right	left	0	13	15.682	829
5	13	4	40	10	right	right	1	19	15.926	1193
5	14	4	40	10	right	right	1	9	15.358	586
5	15	4	40	10	left	right	0	11	15.559	707
5	16	4	40	10	left	left	1	11	16.224	678
5	17	4	40	10	right	right	1	9	15.625	576
5	18	4	40	10	left	left	1	12	15.769	761
5	19	4	40	10	left	left	1	10	15.873	630
5	20	4	40	10	right	right	1	21	15.162	1385
5	21	4	40	10	left	left	1	12	15.666	766
5	22	4	40	10	left	right	0	13	16.332	796
5	23	4	40	10	right	right	1	34	15.179	2240
5	24	4	40	10	right	right	1	11	15.714	700
5	25	4	40	10	left	left	1	10	15.823	632
5	26	4	40	10	left	left	1	20	15.504	1290
5	27	4	40	10	left	left	1	33	15.131	2181
5	28	4	40	10	left	left	1	59	15.148	3895
5	29	4	40	10	right	right	1	11	16.442	669
5	30	4	40	10	left	left	1	11	16.176	680
5	31	4	40	10	right	right	1	15	15.322	979
5	32	4	40	10	right	right	1	13	15.663	830
5	33	4	40	10	left	right	0	13	15.222	854
5	34	4	40	10	left	left	1	12	15.267	786
5	35	4	40	10	right	left	0	12	15.287	785
5	36	4	40	10	right	right	1	11	16.467	668
5	37	4	40	10	right	right	1	22	15.46	1423
5	38	4	40	10	right	left	0	12	15.504	774
5	39	4	40	10	right	right	1	11	16.743	657
5	40	4	40	10	left	right	0	16	15.81	1012
5	41	4	40	10	left	left	1	8	16.771	477
5	42	4	40	10	right	right	1	12	15.424	778
6	1	4	40	10	right	right	1	8	16.736	478
6	2	4	40	10	right	left	0	6	14.851	404
6	3	4	40	10	left	tooFast	2	2	16.949	118
6	4	4	40	10	left	left	1	22	15.46	1423
6	5	4	40	10	right	right	1	16	15.656	1022
6	6	4	40	10	left	left	1	16	15.459	1035
6	7	4	40	10	right	right	1	16	16.016	999
6	8	4	40	10	left	left	1	17	15.814	1075
6	9	4	40	10	left	left	1	15	15.48	969
6	10	4	40	10	left	right	0	16	15.444	1036
6	11	4	40	10	left	left	1	14	16.241	862
6	12	4	40	10	right	right	1	14	15.801	886
6	13	4	40	10	left	left	1	16	15.399	1039
6	14	4	40	10	right	right	1	14	16.298	859
6	15	4	40	10	right	right	1	15	15.075	995
6	16	4	40	10	left	left	1	16	15.625	1024
6	17	4	40	10	right	right	1	15	15.69	956
6	18	4	40	10	left	left	1	15	15.275	982
6	19	4	40	10	left	right	0	19	15.212	1249
6	20	4	40	10	left	left	1	14	16.204	864
6	21	4	40	10	left	left	1	25	15.161	1649
6	22	4	40	10	left	left	1	15	15.544	965
6	23	4	40	10	right	right	1	13	15.777	824
6	24	4	40	10	left	left	1	52	15.407	3375
6	25	4	40	10	left	right	0	41	15.443	2655
6	26	4	40	10	right	left	0	19	15.913	1194
6	27	4	40	10	right	right	1	13	15.625	832
6	28	4	40	10	right	right	1	13	15.476	840
6	29	4	40	10	left	left	1	13	16.27	799
6	30	4	40	10	right	right	1	15	15.528	966
6	31	4	40	10	right	left	0	14	15.47	905
6	32	4	40	10	left	right	0	18	15.859	1135
6	33	4	40	10	left	left	1	20	15.588	1283
6	34	4	40	10	right	right	1	28	15.168	1846
6	35	4	40	10	left	left	1	21	15.173	1384
6	36	4	40	10	right	right	1	24	15.727	1526
6	37	4	40	10	left	right	0	41	15.536	2639
7	1	4	40	10	left	right	0	13	15.439	842
7	2	4	40	10	left	left	1	15	15.136	991
