
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	69	15.354	4494
1	2	4	40	10	left	left	1	24	15.355	1563
1	3	4	40	10	right	right	1	20	15.094	1325
1	4	4	40	10	right	right	1	22	15.526	1417
1	5	4	40	10	right	right	1	15	15.136	991
1	6	4	40	10	right	right	1	41	15.513	2643
1	7	4	40	10	right	right	1	54	15.271	3536
1	8	4	40	10	right	left	0	29	15.191	1909
1	9	4	40	10	left	left	1	23	15.252	1508
1	10	4	40	10	right	right	1	53	15.313	3461
1	11	4	40	10	right	right	1	40	15.198	2632
1	12	4	40	10	right	right	1	67	15.262	4390
1	13	4	40	10	right	right	1	57	15.224	3744
1	14	4	40	10	right	right	1	47	15.205	3091
1	15	4	40	10	left	left	1	61	15.354	3973
1	16	4	40	10	right	right	1	30	15.52	1933
1	17	4	40	10	right	left	0	24	15.707	1528
1	18	4	40	10	left	left	1	27	15.491	1743
1	19	4	40	10	left	left	1	54	15.143	3566
1	20	4	40	10	right	right	1	31	15.294	2027
2	1	4	40	10	right	right	1	41	15.281	2683
2	2	4	40	10	left	left	1	30	15.48	1938
2	3	4	40	10	left	right	0	67	15.318	4374
2	4	4	40	10	right	left	0	22	15.57	1413
2	5	4	40	10	left	left	1	36	15.248	2361
2	6	4	40	10	left	left	1	65	15.19	4279
2	7	4	40	10	left	right	0	54	15.139	3567
2	8	4	40	10	right	right	1	54	15.367	3514
2	9	4	40	10	left	right	0	86	15.232	5646
2	10	4	40	10	left	left	1	97	15.22	6373
2	11	4	40	10	right	right	1	104	15.18	6851
2	12	4	40	10	left	left	1	62	15.177	4085
2	13	4	40	10	right	left	0	54	15.411	3504
2	14	4	40	10	right	right	1	30	15.617	1921
3	1	4	40	10	right	right	1	50	15.263	3276
3	2	4	40	10	left	right	0	54	15.19	3555
3	3	4	40	10	left	right	0	17	15.554	1093
3	4	4	40	10	right	right	1	20	15.723	1272
3	5	4	40	10	right	right	1	44	15.183	2898
3	6	4	40	10	left	left	1	30	15.259	1966
3	7	4	40	10	left	left	1	50	15.156	3299
3	8	4	40	10	right	right	1	33	15.32	2154
3	9	4	40	10	left	left	1	45	15.228	2955
3	10	4	40	10	right	right	1	50	15.277	3273
3	11	4	40	10	left	right	0	48	15.311	3135
3	12	4	40	10	left	left	1	59	15.245	3870
3	13	4	40	10	left	left	1	42	15.328	2740
3	14	4	40	10	left	right	0	44	15.209	2893
3	15	4	40	10	right	right	1	61	15.201	4013
3	16	4	40	10	left	right	0	45	15.167	2967
3	17	4	40	10	right	right	1	28	15.276	1833
3	18	4	40	10	right	right	1	49	15.265	3210
4	1	4	40	10	left	right	0	52	15.227	3415
4	2	4	40	10	right	right	1	49	15.246	3214
4	3	4	40	10	left	left	1	28	15.461	1811
4	4	4	40	10	left	right	0	30	15.4	1948
4	5	4	40	10	left	left	1	34	15.539	2188
4	6	4	40	10	right	right	1	62	15.29	4055
4	7	4	40	10	left	left	1	24	15.454	1553
4	8	4	40	10	right	right	1	18	15.267	1179
4	9	4	40	10	left	right	0	40	15.32	2611
4	10	4	40	10	left	left	1	20	15.468	1293
4	11	4	40	10	right	right	1	19	15.224	1248
4	12	4	40	10	right	left	0	20	15.699	1274
4	13	4	40	10	left	left	1	41	15.519	2642
4	14	4	40	10	left	right	0	16	15.166	1055
4	15	4	40	10	right	right	1	13	16.069	809
4	16	4	40	10	left	left	1	19	15.127	1256
4	17	4	40	10	left	left	1	20	15.396	1299
4	18	4	40	10	right	right	1	34	15.302	2222
4	19	4	40	10	right	right	1	33	15.327	2153
4	20	4	40	10	left	right	0	44	15.39	2859
4	21	4	40	10	left	left	1	27	15.315	1763
4	22	4	40	10	left	right	0	35	15.494	2259
4	23	4	40	10	right	left	0	12	15.707	764
4	24	4	40	10	left	left	1	6	16.043	374
4	25	4	40	10	right	right	1	16	15.717	1018
5	1	4	40	10	left	right	0	45	15.427	2917
5	2	4	40	10	right	right	1	22	15.816	1391
5	3	4	40	10	left	left	1	27	15.367	1757
5	4	4	40	10	right	right	1	23	15.657	1469
5	5	4	40	10	right	left	0	26	15.439	1684
5	6	4	40	10	right	left	0	18	15.639	1151
5	7	4	40	10	left	left	1	19	15.091	1259
5	8	4	40	10	left	right	0	32	15.459	2070
5	9	4	40	10	left	left	1	35	15.284	2290
5	10	4	40	10	right	right	1	60	15.186	3951
5	11	4	40	10	left	left	1	52	15.303	3398
5	12	4	40	10	right	right	1	50	15.437	3239
5	13	4	40	10	left	left	1	23	15.572	1477
5	14	4	40	10	left	left	1	31	15.278	2029
5	15	4	40	10	left	left	1	51	15.165	3363
5	16	4	40	10	right	right	1	30	15.283	1963
5	17	4	40	10	left	left	1	85	15.181	5599
5	18	4	40	10	right	right	1	25	15.161	1649
5	19	4	40	10	left	left	1	47	15.156	3101
5	20	4	40	10	right	right	1	20	15.267	1310
5	21	4	40	10	right	right	1	50	15.124	3306
6	1	4	40	10	right	right	1	38	15.237	2494
6	2	4	40	10	left	left	1	20	15.528	1288
6	3	4	40	10	right	right	1	30	15.472	1939
6	4	4	40	10	left	left	1	67	15.203	4407
6	5	4	40	10	left	left	1	85	15.152	5610
6	6	4	40	10	right	right	1	37	15.599	2372
6	7	4	40	10	right	left	0	66	15.239	4331
6	8	4	40	10	left	left	1	58	15.324	3785
6	9	4	40	10	left	left	1	96	15.238	6300
6	10	4	40	10	left	right	0	72	15.228	4728
6	11	4	40	10	left	right	0	36	15.203	2368
6	12	4	40	10	right	right	1	62	15.362	4036
