
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	28	15.66	1788
1	2	4	40	10	left	right	0	30	15.283	1963
1	3	4	40	10	left	left	1	26	15.294	1700
1	4	4	40	10	right	right	1	26	15.467	1681
1	5	4	40	10	right	right	1	59	15.183	3886
1	6	4	40	10	left	right	0	34	15.26	2228
1	7	4	40	10	left	right	0	28	15.119	1852
1	8	4	40	10	right	right	1	19	15.298	1242
1	9	4	40	10	right	left	0	18	16.014	1124
1	10	4	40	10	left	left	1	14	15.217	920
1	11	4	40	10	left	left	1	15	15.593	962
1	12	4	40	10	left	left	1	11	15.692	701
1	13	4	40	10	left	left	1	10	16.42	609
1	14	4	40	10	right	right	1	13	15.421	843
1	15	4	40	10	left	left	1	9	15.544	579
1	16	4	40	10	right	right	1	11	16.082	684
1	17	4	40	10	left	left	1	37	15.264	2424
1	18	4	40	10	left	left	1	59	15.269	3864
1	19	4	40	10	left	left	1	41	15.174	2702
1	20	4	40	10	left	right	0	15	16.216	925
1	21	4	40	10	right	right	1	24	15.267	1572
1	22	4	40	10	right	right	1	17	15.413	1103
1	23	4	40	10	left	right	0	10	16.313	613
1	24	4	40	10	right	right	1	19	15.397	1234
1	25	4	40	10	right	right	1	11	15.193	724
1	26	4	40	10	right	right	1	13	15.606	833
1	27	4	40	10	right	left	0	15	15.228	985
1	28	4	40	10	left	left	1	15	15.228	985
1	29	4	40	10	right	right	1	11	15.515	709
1	30	4	40	10	right	right	1	20	15.326	1305
1	31	4	40	10	right	right	1	10	16.313	613
1	32	4	40	10	left	left	1	11	16.012	687
2	1	4	40	10	left	left	1	15	15.496	968
2	2	4	40	10	right	right	1	11	16.692	659
2	3	4	40	10	right	right	1	11	15.85	694
2	4	4	40	10	right	right	1	21	15.419	1362
2	5	4	40	10	left	left	1	13	15.644	831
2	6	4	40	10	right	right	1	11	16.2	679
2	7	4	40	10	right	left	0	16	15.238	1050
2	8	4	40	10	left	left	1	13	16.01	812
2	9	4	40	10	left	left	1	10	15.924	628
2	10	4	40	10	right	right	1	14	16.241	862
