
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	27	15.254	1770
1	2	4	40	10	left	left	1	25	15.225	1642
1	3	4	40	10	left	left	1	23	15.222	1511
1	4	4	40	10	left	left	1	14	15.334	913
1	5	4	40	10	left	left	1	40	15.18	2635
1	6	4	40	10	right	right	1	18	15.19	1185
1	7	4	40	10	left	left	1	13	15.276	851
1	8	4	40	10	right	right	1	20	15.686	1275
1	9	4	40	10	right	right	1	24	15.094	1590
1	10	4	40	10	right	right	1	15	15.723	954
1	11	4	40	10	left	left	1	15	15.56	964
1	12	4	40	10	right	right	1	14	15.625	896
1	13	4	40	10	left	left	1	17	15.843	1073
1	14	4	40	10	right	right	1	15	15.244	984
1	15	4	40	10	right	right	1	24	15.584	1540
1	16	4	40	10	left	left	1	13	15.366	846
1	17	4	40	10	left	left	1	16	15.519	1031
1	18	4	40	10	left	left	1	26	15.663	1660
1	19	4	40	10	right	right	1	15	15.353	977
1	20	4	40	10	left	left	1	15	15.94	941
1	21	4	40	10	left	left	1	23	15.132	1520
1	22	4	40	10	left	left	1	18	15.598	1154
1	23	4	40	10	left	right	0	14	15.713	891
1	24	4	40	10	left	left	1	22	15.793	1393
1	25	4	40	10	right	right	1	13	15.495	839
1	26	4	40	10	right	right	1	14	15.217	920
1	27	4	40	10	left	left	1	13	16.049	810
1	28	4	40	10	left	left	1	13	15.892	818
1	29	4	40	10	left	left	1	22	15.11	1456
1	30	4	40	10	left	left	1	14	15.086	928
1	31	4	40	10	right	right	1	13	15.873	819
1	32	4	40	10	left	left	1	12	15.113	794
1	33	4	40	10	left	left	1	20	15.699	1274
1	34	4	40	10	right	right	1	13	16.149	805
1	35	4	40	10	right	right	1	22	15.406	1428
1	36	4	40	10	right	right	1	19	15.794	1203
1	37	4	40	10	left	left	1	15	15.045	997
1	38	4	40	10	left	left	1	15	15.593	962
2	1	4	40	10	right	right	1	47	15.349	3062
2	2	4	40	10	left	left	1	16	15.625	1024
2	3	4	40	10	right	right	1	17	15.668	1085
2	4	4	40	10	left	left	1	13	15.873	819
2	5	4	40	10	right	right	1	13	16.189	803
2	6	4	40	10	right	right	1	30	15.167	1978
2	7	4	40	10	right	right	1	22	15.374	1431
2	8	4	40	10	left	left	1	12	15.831	758
2	9	4	40	10	right	right	1	13	15.854	820
2	10	4	40	10	right	right	1	12	16.064	747
2	11	4	40	10	left	left	1	14	15.07	929
2	12	4	40	10	left	right	0	14	15.152	924
2	13	4	40	10	right	right	1	12	15.248	787
2	14	4	40	10	right	left	0	16	15.968	1002
2	15	4	40	10	right	right	1	15	15.576	963
2	16	4	40	10	right	right	1	23	15.551	1479
2	17	4	40	10	left	left	1	16	15.267	1048
