
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	19	15.176	1252
1	2	4	40	10	right	right	1	23	15.753	1460
1	3	4	40	10	right	left	0	33	15.544	2123
1	4	4	40	10	left	right	0	27	15.402	1753
1	5	4	40	10	right	right	1	20	15.279	1309
1	6	4	40	10	right	left	0	48	15.424	3112
1	7	4	40	10	right	right	1	21	15.184	1383
1	8	4	40	10	left	left	1	16	15.444	1036
1	9	4	40	10	left	left	1	19	15.51	1225
1	10	4	40	10	right	right	1	14	16	875
1	11	4	40	10	left	left	1	11	16.082	684
1	12	4	40	10	right	right	1	11	15.471	711
1	13	4	40	10	right	right	1	27	15.517	1740
1	14	4	40	10	left	left	1	30	15.48	1938
1	15	4	40	10	left	left	1	16	15.656	1022
1	16	4	40	10	right	right	1	11	15.068	730
1	17	4	40	10	right	left	0	33	15.515	2127
1	18	4	40	10	left	right	0	34	15.253	2229
1	19	4	40	10	left	left	1	21	15.13	1388
1	20	4	40	10	left	left	1	25	15.142	1651
1	21	4	40	10	right	left	0	20	15.361	1302
1	22	4	40	10	left	left	1	15	15.385	975
1	23	4	40	10	right	left	0	12	15.113	794
1	24	4	40	10	left	left	1	22	15.57	1413
1	25	4	40	10	right	right	1	27	15.385	1755
1	26	4	40	10	left	right	0	27	15.315	1763
1	27	4	40	10	right	left	0	24	15.635	1535
1	28	4	40	10	left	left	1	27	15.652	1725
1	29	4	40	10	right	right	1	23	15.583	1476
1	30	4	40	10	left	left	1	20	15.385	1300
2	1	4	40	10	left	right	0	25	15.152	1650
2	2	4	40	10	right	right	1	13	15.569	835
2	3	4	40	10	right	right	1	24	15.605	1538
2	4	4	40	10	right	right	1	18	15.571	1156
2	5	4	40	10	right	right	1	16	15.326	1044
2	6	4	40	10	right	right	1	17	15.497	1097
2	7	4	40	10	left	right	0	12	15.81	759
2	8	4	40	10	left	right	0	27	15.323	1762
2	9	4	40	10	right	right	1	15	15.167	989
2	10	4	40	10	right	right	1	16	15.152	1056
2	11	4	40	10	left	right	0	31	15.271	2030
2	12	4	40	10	left	left	1	33	15.214	2169
2	13	4	40	10	left	left	1	23	15.344	1499
2	14	4	40	10	left	left	1	18	15.571	1156
2	15	4	40	10	left	left	1	37	15.245	2427
2	16	4	40	10	left	left	1	45	15.475	2908
2	17	4	40	10	left	left	1	27	15.332	1761
2	18	4	40	10	right	left	0	37	15.264	2424
2	19	4	40	10	right	right	1	49	15.213	3221
2	20	4	40	10	left	right	0	35	15.337	2282
2	21	4	40	10	left	right	0	25	15.356	1628
2	22	4	40	10	left	left	1	32	15.466	2069
2	23	4	40	10	right	right	1	32	15.296	2092
2	24	4	40	10	right	right	1	37	15.195	2435
2	25	4	40	10	left	left	1	30	15.345	1955
2	26	4	40	10	left	left	1	45	15.327	2936
3	1	4	40	10	right	right	1	26	15.672	1659
3	2	4	40	10	left	left	1	20	15.349	1303
3	3	4	40	10	right	right	1	15	16.251	923
3	4	4	40	10	right	right	1	22	13.58	1620
