
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	left	0	55	15.35	3583
1	2	4	40	10	right	left	0	33	15.313	2155
1	3	4	40	10	right	right	1	44	15.23	2889
1	4	4	40	10	right	right	1	31	15.392	2014
1	5	4	40	10	left	right	0	17	15.247	1115
1	6	4	40	10	right	left	0	8	16.701	479
1	7	4	40	10	left	left	1	36	15.504	2322
1	8	4	40	10	left	left	1	40	15.486	2583
1	9	4	40	10	left	left	1	17	15.343	1108
1	10	4	40	10	right	right	1	21	15.407	1363
1	11	4	40	10	left	left	1	15	15.369	976
1	12	4	40	10	left	right	0	37	15.553	2379
1	13	4	40	10	left	right	0	21	15.362	1367
1	14	4	40	10	right	right	1	15	15.228	985
1	15	4	40	10	left	left	1	15	15.674	957
1	16	4	40	10	right	right	1	14	15.927	879
1	17	4	40	10	left	left	1	17	15.741	1080
1	18	4	40	10	right	right	1	17	15.668	1085
1	19	4	40	10	right	left	0	11	15.559	707
1	20	4	40	10	left	right	0	24	15.335	1565
1	21	4	40	10	left	left	1	19	15.9	1195
1	22	4	40	10	left	left	1	18	15.464	1164
1	23	4	40	10	right	left	0	20	15.198	1316
1	24	4	40	10	right	left	0	15	16.216	925
1	25	4	40	10	left	left	1	26	15.513	1676
1	26	4	40	10	right	right	1	31	15.554	1993
1	27	4	40	10	left	right	0	27	15.571	1734
1	28	4	40	10	right	right	1	25	15.528	1610
1	29	4	40	10	right	right	1	16	15.795	1013
1	30	4	40	10	left	left	1	24	15.219	1577
1	31	4	40	10	right	left	0	19	15.176	1252
1	32	4	40	10	left	left	1	15	16.251	923
1	33	4	40	10	left	left	1	30	15.52	1933
1	34	4	40	10	right	left	0	19	15.51	1225
1	35	4	40	10	right	right	1	14	15.927	879
1	36	4	40	10	right	right	1	28	15.556	1800
1	37	4	40	10	left	left	1	18	15.845	1136
1	38	4	40	10	left	left	1	24	15.085	1591
1	39	4	40	10	right	left	0	17	15.26	1114
1	40	4	40	10	left	left	1	13	15.682	829
2	1	4	40	10	left	left	1	54	15.315	3526
2	2	4	40	10	right	right	1	28	15.461	1811
2	3	4	40	10	left	left	1	37	15.442	2396
2	4	4	40	10	right	right	1	26	15.672	1659
2	5	4	40	10	right	right	1	36	15.306	2352
2	6	4	40	10	left	left	1	42	15.312	2743
2	7	4	40	10	right	left	0	31	15.508	1999
2	8	4	40	10	right	right	1	19	15.41	1233
2	9	4	40	10	right	right	1	46	15.272	3012
2	10	4	40	10	left	left	1	29	15.336	1891
2	11	4	40	10	right	right	1	26	15.285	1701
2	12	4	40	10	right	left	0	35	15.284	2290
2	13	4	40	10	left	left	1	20	15.773	1268
2	14	4	40	10	right	right	1	18	15.319	1175
2	15	4	40	10	left	left	1	17	15.873	1071
2	16	4	40	10	right	right	1	14	15.267	917
2	17	4	40	10	left	left	1	11	15.493	710
2	18	4	40	10	left	right	0	10	15.773	634
2	19	4	40	10	right	right	1	13	15.152	858
2	20	4	40	10	right	right	1	17	15.829	1074
2	21	4	40	10	right	right	1	14	15.487	904
2	22	4	40	10	left	left	1	15	16.146	929
2	23	4	40	10	left	left	1	20	15.785	1267
2	24	4	40	10	left	left	1	13	15.366	846
2	25	4	40	10	right	right	1	22	15.737	1398
2	26	4	40	10	left	left	1	11	15.027	732
2	27	4	40	10	left	left	1	24	15.296	1569
2	28	4	40	10	right	left	0	11	15.559	707
2	29	4	40	10	right	right	1	12	16.216	740
2	30	4	40	10	right	right	1	32	15.08	2122
2	31	4	40	10	right	right	1	13	15.294	850
2	32	4	40	10	left	left	1	15	15.091	994
2	33	4	40	10	left	left	1	74	14.688	5038
2	34	4	40	10	left	left	1	13	15.312	849
2	35	4	40	10	right	right	1	11	15.625	704
2	36	4	40	10	left	left	1	20	15.373	1301
2	37	4	40	10	left	left	1	15	16.287	921
2	38	4	40	10	left	left	1	13	15.294	850
2	39	4	40	10	right	right	1	13	15.738	826
2	40	4	40	10	left	left	1	22	15.515	1418
3	1	4	40	10	right	right	1	15	15.306	980
3	2	4	40	10	right	right	1	17	15.302	1111
3	3	4	40	10	left	left	1	14	16.092	870
3	4	4	40	10	right	right	1	11	15.647	703
3	5	4	40	10	left	left	1	11	15.737	699
3	6	4	40	10	left	left	1	40	15.25	2623
3	7	4	40	10	right	right	1	19	15.46	1229
3	8	4	40	10	left	left	1	31	15.454	2006
3	9	4	40	10	right	right	1	30	15.337	1956
3	10	4	40	10	left	left	1	23	15.052	1528
3	11	4	40	10	left	left	1	21	15.51	1354
3	12	4	40	10	left	left	1	20	15.649	1278
3	13	4	40	10	right	right	1	22	15.526	1417
3	14	4	40	10	right	right	1	40	15.391	2599
3	15	4	40	10	right	right	1	40	15.51	2579
3	16	4	40	10	right	right	1	19	15.127	1256
3	17	4	40	10	left	left	1	25	15.152	1650
3	18	4	40	10	right	right	1	15	16.181	927
3	19	4	40	10	left	left	1	23	15.043	1529
3	20	4	40	10	left	right	0	28	15.538	1802
3	21	4	40	10	left	left	1	25	15.48	1615
3	22	4	40	10	right	right	1	19	15.091	1259
