
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	68	15.284	4449
1	2	4	40	10	left	right	0	40	15.134	2643
1	3	4	40	10	left	right	0	40	15.349	2606
1	4	4	40	10	left	right	0	57	15.188	3753
1	5	4	40	10	right	left	0	18	15.831	1137
1	6	4	40	10	right	right	1	13	14.96	869
1	7	4	40	10	left	left	1	27	15.297	1765
1	8	4	40	10	left	left	1	23	15.162	1517
1	9	4	40	10	right	left	0	16	15.64	1023
1	10	4	40	10	left	left	1	17	15.843	1073
1	11	4	40	10	right	right	1	46	15.421	2983
1	12	4	40	10	right	right	1	15	15.152	990
1	13	4	40	10	right	right	1	17	15.947	1066
1	14	4	40	10	left	right	0	32	15.152	2112
1	15	4	40	10	right	left	0	20	15.552	1286
1	16	4	40	10	right	right	1	10	16.051	623
1	17	4	40	10	right	right	1	16	15.253	1049
1	18	4	40	10	right	right	1	15	15.641	959
1	19	4	40	10	left	right	0	11	15.406	714
1	20	4	40	10	right	right	1	9	15.517	580
1	21	4	40	10	left	right	0	10	15.48	646
1	22	4	40	10	left	right	0	13	15.081	862
1	23	4	40	10	left	left	1	7	16.667	420
1	24	4	40	10	right	left	0	14	15.625	896
1	25	4	40	10	right	left	0	9	16.334	551
1	26	4	40	10	left	left	1	6	16.484	364
1	27	4	40	10	left	left	1	9	15.203	592
1	28	4	40	10	right	left	0	11	16.129	682
1	29	4	40	10	left	left	1	7	15.217	460
1	30	4	40	10	right	left	0	7	17.073	410
1	31	4	40	10	right	left	0	6	16.854	356
1	32	4	40	10	right	left	0	5	15.385	325
1	33	4	40	10	left	right	0	5	16.181	309
1	34	4	40	10	right	right	1	6	15.113	397
1	35	4	40	10	right	right	1	10	15.798	633
1	36	4	40	10	left	right	0	8	16.807	476
1	37	4	40	10	left	left	1	12	15.464	776
1	38	4	40	10	left	left	1	74	15.296	4838
1	39	4	40	10	right	right	1	25	15.347	1629
1	40	4	40	10	left	left	1	13	15.012	866
2	1	4	40	10	right	right	1	12	15.113	794
2	2	4	40	10	left	right	0	13	15.012	866
2	3	4	40	10	right	left	0	17	15.992	1063
2	4	4	40	10	right	right	1	13	15.439	842
2	5	4	40	10	left	left	1	21	15.228	1379
2	6	4	40	10	left	right	0	20	15.42	1297
2	7	4	40	10	left	left	1	14	15.334	913
2	8	4	40	10	left	left	1	46	15.272	3012
2	9	4	40	10	right	right	1	15	15.823	948
2	10	4	40	10	left	left	1	16	15.519	1031
2	11	4	40	10	left	right	0	21	15.306	1372
2	12	4	40	10	right	left	0	13	15.366	846
2	13	4	40	10	right	right	1	17	15.568	1092
2	14	4	40	10	right	right	1	12	15.094	795
2	15	4	40	10	left	left	1	16	15.123	1058
2	16	4	40	10	left	right	0	19	15.638	1215
2	17	4	40	10	left	left	1	24	15.094	1590
2	18	4	40	10	left	right	0	22	15.183	1449
2	19	4	40	10	right	right	1	10	15.873	630
2	20	4	40	10	left	left	1	16	15.717	1018
2	21	4	40	10	right	right	1	11	15.342	717
2	22	4	40	10	left	right	0	23	15.112	1522
2	23	4	40	10	right	right	1	12	15.306	784
2	24	4	40	10	right	left	0	15	15.773	951
2	25	4	40	10	right	right	1	8	15.905	503
2	26	4	40	10	left	left	1	13	15.064	863
2	27	4	40	10	right	right	1	10	15.823	632
2	28	4	40	10	right	right	1	12	15.248	787
2	29	4	40	10	left	left	1	17	15.962	1065
2	30	4	40	10	right	right	1	13	15.796	823
2	31	4	40	10	left	left	1	11	15.625	704
2	32	4	40	10	left	right	0	11	16.082	684
2	33	4	40	10	right	right	1	9	16.636	541
2	34	4	40	10	right	right	1	12	15.524	773
2	35	4	40	10	right	right	1	9	15.957	564
2	36	4	40	10	left	right	0	9	15.707	573
2	37	4	40	10	right	right	1	10	15.552	643
2	38	4	40	10	left	left	1	13	15.222	854
2	39	4	40	10	left	left	1	13	15.205	855
2	40	4	40	10	right	right	1	10	15.601	641
3	1	4	40	10	right	right	1	17	15.625	1088
3	2	4	40	10	right	right	1	11	15.471	711
3	3	4	40	10	left	left	1	11	15.714	700
3	4	4	40	10	left	left	1	10	15.038	665
3	5	4	40	10	left	right	0	13	14.96	869
3	6	4	40	10	left	left	1	12	15.267	786
3	7	4	40	10	left	left	1	15	15.228	985
3	8	4	40	10	right	right	1	27	15.16	1781
3	9	4	40	10	left	left	1	17	15.426	1102
3	10	4	40	10	left	left	1	39	15.07	2588
3	11	4	40	10	right	right	1	18	15.831	1137
3	12	4	40	10	right	right	1	15	15.464	970
3	13	4	40	10	right	right	1	17	15.233	1116
3	14	4	40	10	right	right	1	51	15.38	3316
3	15	4	40	10	right	right	1	30	15.472	1939
3	16	4	40	10	left	left	1	16	16	1000
3	17	4	40	10	left	left	1	35	15.432	2268
3	18	4	40	10	left	left	1	18	15.504	1161
3	19	4	40	10	left	left	1	17	15.962	1065
3	20	4	40	10	left	left	1	13	15.644	831
3	21	4	40	10	left	left	1	14	15.625	896
3	22	4	40	10	right	left	0	18	15.293	1177
3	23	4	40	10	right	right	1	10	15.267	655
3	24	4	40	10	right	right	1	11	15.068	730
3	25	4	40	10	left	right	0	9	15.411	584
3	26	4	40	10	right	right	1	14	15.119	926
3	27	4	40	10	left	left	1	12	15.936	753
3	28	4	40	10	right	right	1	17	15.639	1087
3	29	4	40	10	left	left	1	15	15.416	973
3	30	4	40	10	right	right	1	14	15.487	904
3	31	4	40	10	right	right	1	31	15.301	2026
3	32	4	40	10	right	right	1	11	15.257	721
3	33	4	40	10	right	right	1	13	16.129	806
3	34	4	40	10	right	right	1	21	15.206	1381
3	35	4	40	10	left	left	1	25	15.291	1635
3	36	4	40	10	right	right	1	16	16	1000
3	37	4	40	10	right	right	1	15	15.544	965
3	38	4	40	10	left	left	1	18	15.203	1184
3	39	4	40	10	left	left	1	19	15.702	1210
3	40	4	40	10	left	left	1	11	16.296	675
4	1	4	40	10	left	left	1	21	15.59	1347
4	2	4	40	10	right	right	1	14	15.891	881
4	3	4	40	10	left	left	1	15	15.464	970
4	4	4	40	10	right	right	1	10	16.313	613
4	5	4	40	10	right	right	1	13	15.625	832
4	6	4	40	10	left	left	1	13	15.476	840
4	7	4	40	10	right	right	1	8	16.129	496
4	8	4	40	10	left	left	1	8	15.656	511
4	9	4	40	10	right	right	1	12	15.81	759
4	10	4	40	10	right	right	1	91	15.154	6005
4	11	4	40	10	left	left	1	13	15.012	866
4	12	4	40	10	right	right	1	12	15.564	771
4	13	4	40	10	right	right	1	120	15.226	7881
4	14	4	40	10	right	right	1	12	15.831	758
4	15	4	40	10	left	left	1	11	15.193	724
4	16	4	40	10	left	left	1	12	15.936	753
4	17	4	40	10	left	left	1	10	15.432	648
4	18	4	40	10	right	right	1	14	15.038	931
4	19	4	40	10	right	right	1	24	15.414	1557
4	20	4	40	10	right	right	1	32	15.267	2096
4	21	4	40	10	left	left	1	13	15.187	856
4	22	4	40	10	right	right	1	13	15.046	864
4	23	4	40	10	right	right	1	18	15.611	1153
4	24	4	40	10	left	left	1	14	15.317	914
4	25	4	40	10	right	right	1	14	15.419	908
4	26	4	40	10	left	left	1	23	15.478	1486
4	27	4	40	10	left	left	1	14	15.504	903
4	28	4	40	10	right	right	1	12	16.282	737
4	29	4	40	10	left	left	1	10	14.925	670
4	30	4	40	10	right	right	1	13	16.049	810
4	31	4	40	10	left	left	1	16	15.123	1058
4	32	4	40	10	left	left	1	16	15.748	1016
4	33	4	40	10	left	left	1	22	15.57	1413
4	34	4	40	10	left	left	1	21	15.672	1340
4	35	4	40	10	right	right	1	55	15.376	3577
4	36	4	40	10	left	left	1	21	15.73	1335
4	37	4	40	10	right	right	1	17	15.918	1068
4	38	4	40	10	left	left	1	13	15.606	833
4	39	4	40	10	left	right	0	13	15.152	858
4	40	4	40	10	right	right	1	13	15.348	847
5	1	4	40	10	left	left	1	30	15.56	1928
5	2	4	40	10	left	left	1	12	15.385	780
5	3	4	40	10	left	left	1	19	15.794	1203
5	4	4	40	10	left	right	0	10	14.948	669
5	5	4	40	10	right	right	1	12	15.852	757
5	6	4	40	10	right	right	1	18	15.05	1196
