
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	67	15.162	4419
1	2	4	40	10	left	right	0	19	15.587	1219
1	3	4	40	10	left	left	1	24	15.842	1515
1	4	4	40	10	left	right	0	40	15.367	2603
1	5	4	40	10	left	left	1	53	15.173	3493
1	6	4	40	10	left	right	0	74	15.192	4871
1	7	4	40	10	right	left	0	89	15.19	5859
1	8	4	40	10	left	right	0	54	15.302	3529
1	9	4	40	10	right	right	1	35	15.337	2282
1	10	4	40	10	right	left	0	15	15.385	975
1	11	4	40	10	right	right	1	54	15.241	3543
1	12	4	40	10	left	right	0	45	15.141	2972
1	13	4	40	10	right	left	0	86	15.162	5672
1	14	4	40	10	right	right	1	23	15.212	1512
1	15	4	40	10	right	right	1	22	15.439	1425
1	16	4	40	10	right	right	1	20	15.256	1311
1	17	4	40	10	left	right	0	23	15.689	1466
2	1	4	40	10	left	left	1	51	15.394	3313
2	2	4	40	10	left	left	1	39	15.324	2545
2	3	4	40	10	left	left	1	38	15.152	2508
2	4	4	40	10	right	left	0	32	15.633	2047
2	5	4	40	10	left	left	1	51	15.315	3330
2	6	4	40	10	left	right	0	31	15.547	1994
2	7	4	40	10	left	left	1	34	15.539	2188
2	8	4	40	10	right	right	1	52	15.191	3423
2	9	4	40	10	left	right	0	14	15.748	889
2	10	4	40	10	right	left	0	59	15.214	3878
2	11	4	40	10	right	right	1	21	15.813	1328
2	12	4	40	10	left	left	1	20	15.576	1284
2	13	4	40	10	left	left	1	42	15.179	2767
2	14	4	40	10	left	right	0	27	15.332	1761
2	15	4	40	10	right	left	0	30	15.584	1925
2	16	4	40	10	left	left	1	24	15.414	1557
2	17	4	40	10	right	right	1	32	15.159	2111
2	18	4	40	10	left	left	1	23	15.551	1479
2	19	4	40	10	left	right	0	35	15.304	2287
2	20	4	40	10	right	right	1	28	15.152	1848
2	21	4	40	10	right	right	1	17	15.26	1114
2	22	4	40	10	left	right	0	13	15.912	817
2	23	4	40	10	right	left	0	21	15.475	1357
3	1	4	40	10	right	right	1	49	15.322	3198
3	2	4	40	10	right	right	1	24	15.852	1514
3	3	4	40	10	right	right	1	25	15.674	1595
3	4	4	40	10	left	right	0	25	15.413	1622
3	5	4	40	10	right	right	1	27	15.553	1736
3	6	4	40	10	left	left	1	20	15.373	1301
3	7	4	40	10	right	left	0	15	16.146	929
3	8	4	40	10	right	right	1	32	15.159	2111
3	9	4	40	10	left	right	0	23	15.71	1464
3	10	4	40	10	left	left	1	30	15.213	1972
3	11	4	40	10	right	left	0	22	15.703	1401
3	12	4	40	10	left	right	0	38	14.032	2708
3	13	4	40	10	left	left	1	12	16.282	737
3	14	4	40	10	left	left	1	13	15.644	831
3	15	4	40	10	left	left	1	12	15.345	782
3	16	4	40	10	left	right	0	20	15.373	1301
3	17	4	40	10	left	left	1	26	15.214	1709
3	18	4	40	10	left	left	1	26	15.672	1659
3	19	4	40	10	right	right	1	17	15.511	1096
3	20	4	40	10	left	right	0	28	15.234	1838
3	21	4	40	10	right	right	1	24	15.267	1572
3	22	4	40	10	right	left	0	18	15.332	1174
3	23	4	40	10	right	right	1	19	15.298	1242
3	24	4	40	10	left	right	0	15	16.094	932
3	25	4	40	10	right	left	0	15	15.974	939
3	26	4	40	10	left	left	1	18	15.28	1178
3	27	4	40	10	right	left	0	22	15.603	1410
3	28	4	40	10	right	right	1	20	15.76	1269
3	29	4	40	10	right	right	1	20	15.723	1272
3	30	4	40	10	right	left	0	15	15.198	987
4	1	4	40	10	left	left	1	24	15.444	1554
4	2	4	40	10	left	left	1	21	15.217	1380
4	3	4	40	10	right	left	0	19	15.913	1194
4	4	4	40	10	left	right	0	15	15.385	975
