
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	26	15.134	1718
1	2	4	40	10	right	right	1	20	15.468	1293
1	3	4	40	10	left	left	1	16	15.733	1017
1	4	4	40	10	right	right	1	20	15.552	1286
1	5	4	40	10	left	left	1	17	15.726	1081
1	6	4	40	10	right	right	1	22	15.11	1456
1	7	4	40	10	left	left	1	17	15.639	1087
1	8	4	40	10	right	right	1	18	15.986	1126
1	9	4	40	10	right	right	1	21	15.295	1373
1	10	4	40	10	left	left	1	16	15.702	1019
1	11	4	40	10	right	right	1	32	15.326	2088
1	12	4	40	10	right	right	1	17	15.497	1097
1	13	4	40	10	right	right	1	17	15.741	1080
1	14	4	40	10	right	right	1	27	15.22	1774
1	15	4	40	10	right	right	1	31	15.641	1982
1	16	4	40	10	right	left	0	31	14.925	2077
1	17	4	40	10	left	left	1	32	15.216	2103
1	18	4	40	10	left	left	1	21	15.73	1335
1	19	4	40	10	right	right	1	20	15.48	1292
1	20	4	40	10	left	left	1	14	15.217	920
1	21	4	40	10	right	right	1	13	14.994	867
1	22	4	40	10	right	right	1	14	15.436	907
1	23	4	40	10	left	left	1	13	15.099	861
1	24	4	40	10	right	right	1	13	15.366	846
1	25	4	40	10	left	left	1	13	16.109	807
1	26	4	40	10	right	right	1	13	15.513	838
1	27	4	40	10	right	right	1	14	15.66	894
1	28	4	40	10	left	left	1	12	15.306	784
1	29	4	40	10	right	right	1	12	16	750
1	30	4	40	10	left	left	1	12	15.524	773
1	31	4	40	10	left	left	1	30	15.345	1955
1	32	4	40	10	left	left	1	15	15.756	952
1	33	4	40	10	left	left	1	18	15.803	1139
1	34	4	40	10	left	left	1	26	15.303	1699
1	35	4	40	10	left	left	1	29	15.541	1866
1	36	4	40	10	left	left	1	38	15.304	2483
1	37	4	40	10	left	left	1	21	15.295	1373
1	38	4	40	10	left	left	1	26	15.152	1716
1	39	4	40	10	right	right	1	15	15.991	938
1	40	4	40	10	left	left	1	23	15.572	1477
2	1	4	40	10	right	right	1	13	15.294	850
2	2	4	40	10	left	left	1	12	15.094	795
2	3	4	40	10	left	left	1	40	15.094	2650
2	4	4	40	10	right	right	1	22	15.183	1449
2	5	4	40	10	left	left	1	18	15.398	1169
2	6	4	40	10	left	left	1	19	15.298	1242
2	7	4	40	10	left	left	1	14	15.695	892
2	8	4	40	10	right	right	1	13	15.222	854
2	9	4	40	10	left	left	1	14	15.66	894
2	10	4	40	10	left	left	1	33	15.457	2135
2	11	4	40	10	right	right	1	13	15.046	864
2	12	4	40	10	right	right	1	13	16.23	801
2	13	4	40	10	left	left	1	13	16.23	801
2	14	4	40	10	right	right	1	13	16.25	800
2	15	4	40	10	right	right	1	12	15.81	759
2	16	4	40	10	left	left	1	12	15.666	766
2	17	4	40	10	right	right	1	21	15.778	1331
2	18	4	40	10	right	right	1	15	15.121	992
2	19	4	40	10	right	right	1	24	15.267	1572
2	20	4	40	10	right	right	1	14	15.625	896
2	21	4	40	10	left	left	1	13	15.169	857
2	22	4	40	10	right	right	1	54	15.126	3570
2	23	4	40	10	left	left	1	14	15.334	913
2	24	4	40	10	right	right	1	13	15.276	851
2	25	4	40	10	right	right	1	19	15.485	1227
2	26	4	40	10	left	left	1	13	15.7	828
2	27	4	40	10	right	right	1	13	15.682	829
2	28	4	40	10	left	left	1	11	15.007	733
2	29	4	40	10	left	left	1	12	15.094	795
2	30	4	40	10	left	right	0	11	15.428	713
2	31	4	40	10	right	right	1	17	15.582	1091
2	32	4	40	10	right	right	1	12	15.584	770
2	33	4	40	10	left	left	1	12	15.625	768
2	34	4	40	10	left	left	1	12	15.81	759
2	35	4	40	10	right	right	1	35	15.317	2285
2	36	4	40	10	left	left	1	16	15.842	1010
2	37	4	40	10	left	left	1	16	15.296	1046
2	38	4	40	10	right	right	1	13	15.7	828
2	39	4	40	10	right	right	1	12	16.216	740
2	40	4	40	10	left	left	1	11	16.129	682
3	1	4	40	10	right	right	1	13	16.291	798
3	2	4	40	10	left	left	1	10	15.504	645
3	3	4	40	10	left	left	1	14	15.217	920
3	4	4	40	10	left	right	0	11	15.214	723
3	5	4	40	10	left	left	1	22	15.581	1412
3	6	4	40	10	right	right	1	13	15.682	829
3	7	4	40	10	right	right	1	12	15.248	787
3	8	4	40	10	right	right	1	18	15.28	1178
3	9	4	40	10	left	left	1	21	15.695	1338
3	10	4	40	10	left	left	1	35	15.405	2272
3	11	4	40	10	right	right	1	12	16.043	748
3	12	4	40	10	left	right	0	27	15.464	1746
3	13	4	40	10	left	left	1	11	15.299	719
3	14	4	40	10	left	left	1	13	15.403	844
3	15	4	40	10	right	right	1	11	15.873	693
3	16	4	40	10	right	right	1	13	16.069	809
3	17	4	40	10	right	right	1	20	15.326	1305
3	18	4	40	10	left	left	1	13	16.149	805
3	19	4	40	10	left	left	1	11	15.193	724
3	20	4	40	10	right	right	1	12	15.769	761
3	21	4	40	10	left	left	1	13	16.25	800
3	22	4	40	10	right	right	1	10	14.903	671
3	23	4	40	10	right	right	1	21	15.407	1363
3	24	4	40	10	right	right	1	18	15.734	1144
3	25	4	40	10	right	right	1	30	15.236	1969
3	26	4	40	10	left	left	1	15	15.94	941
3	27	4	40	10	left	left	1	22	15.278	1440
3	28	4	40	10	right	right	1	15	15.773	951
3	29	4	40	10	right	right	1	12	16.064	747
3	30	4	40	10	left	left	1	14	15.07	929
3	31	4	40	10	left	right	0	34	15.546	2187
3	32	4	40	10	right	right	1	18	15.477	1163
3	33	4	40	10	right	right	1	31	15.115	2051
3	34	4	40	10	right	right	1	18	15.075	1194
3	35	4	40	10	left	left	1	28	15.119	1852
3	36	4	40	10	right	right	1	15	15.275	982
3	37	4	40	10	left	left	1	12	15.113	794
3	38	4	40	10	left	left	1	15	16.009	937
3	39	4	40	10	left	left	1	16	15.326	1044
3	40	4	40	10	right	right	1	13	15.912	817
4	1	4	40	10	right	right	1	12	16.327	735
