
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	66	15.165	4352
1	2	4	40	10	left	left	1	58	15.159	3826
1	3	4	40	10	left	right	0	125	15.218	8214
1	4	4	40	10	left	right	0	29	15.231	1904
1	5	4	40	10	left	right	0	38	15.323	2480
1	6	4	40	10	right	left	0	31	15.339	2021
1	7	4	40	10	right	left	0	43	15.27	2816
1	8	4	40	10	right	right	1	57	15.164	3759
1	9	4	40	10	left	right	0	53	15.362	3450
1	10	4	40	10	right	right	1	58	15.159	3826
1	11	4	40	10	right	left	0	22	15.299	1438
1	12	4	40	10	left	right	0	25	15.375	1626
1	13	4	40	10	left	left	1	49	15.184	3227
1	14	4	40	10	left	right	0	23	15.625	1472
1	15	4	40	10	left	left	1	58	15.211	3813
1	16	4	40	10	right	right	1	59	15.329	3849
1	17	4	40	10	right	right	1	71	13.987	5076
1	18	4	40	10	left	right	0	37	15.468	2392
1	19	4	40	10	right	left	0	58	15.401	3766
1	20	4	40	10	left	right	0	109	15.198	7172
1	21	4	40	10	left	right	0	32	15.602	2051
1	22	4	40	10	right	left	0	7	17.199	407
1	23	4	40	10	left	left	1	51	15.174	3361
1	24	4	40	10	right	right	1	34	15.336	2217
1	25	4	40	10	left	right	0	41	15.185	2700
1	26	4	40	10	left	left	1	70	15.348	4561
1	27	4	40	10	left	left	1	19	15.847	1199
1	28	4	40	10	left	left	1	16	15.504	1032
1	29	4	40	10	right	left	0	20	15.564	1285
1	30	4	40	10	right	right	1	21	15.295	1373
1	31	4	40	10	right	right	1	129	15.166	8506
1	32	4	40	10	right	right	1	90	15.246	5903
1	33	4	40	10	left	right	0	30	15.56	1928
1	34	4	40	10	right	left	0	53	15.226	3481
1	35	4	40	10	right	right	1	48	15.38	3121
1	36	4	40	10	left	right	0	53	15.212	3484
1	37	4	40	10	right	right	1	59	15.289	3859
1	38	4	40	10	right	right	1	20	15.337	1304
1	39	4	40	10	right	right	1	37	15.139	2444
1	40	4	40	10	right	right	1	45	15.218	2957
2	1	4	40	10	right	right	1	75	15.142	4953
2	2	4	40	10	right	left	0	61	15.273	3994
2	3	4	40	10	right	right	1	67	15.172	4416
2	4	4	40	10	right	right	1	21	15.141	1387
2	5	4	40	10	left	left	1	26	15.394	1689
2	6	4	40	10	left	right	0	21	15.742	1334
2	7	4	40	10	left	left	1	18	15.762	1142
2	8	4	40	10	right	right	1	30	15.198	1974
2	9	4	40	10	left	left	1	45	15.358	2930
2	10	4	40	10	left	right	0	31	15.316	2024
2	11	4	40	10	left	left	1	59	15.293	3858
2	12	4	40	10	left	left	1	33	15.165	2176
2	13	4	40	10	right	left	0	51	15.279	3338
2	14	4	40	10	left	left	1	41	15.536	2639
2	15	4	40	10	right	right	1	33	15.413	2141
2	16	4	40	10	right	right	1	26	15.348	1694
2	17	4	40	10	left	left	1	16	15.81	1012
2	18	4	40	10	right	left	0	16	15.267	1048
2	19	4	40	10	left	left	1	14	15.317	914
2	20	4	40	10	left	left	1	14	15.713	891
2	21	4	40	10	right	left	0	17	15.554	1093
2	22	4	40	10	left	left	1	17	15.525	1095
2	23	4	40	10	right	left	0	19	15.347	1238
2	24	4	40	10	left	right	0	23	15.499	1484
2	25	4	40	10	left	left	1	25	15.385	1625
2	26	4	40	10	left	right	0	26	15.504	1677
2	27	4	40	10	left	left	1	18	15.531	1159
2	28	4	40	10	left	left	1	72	15.261	4718
2	29	4	40	10	right	left	0	54	15.402	3506
