
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	left	0	82	15.301	5359
1	2	4	40	10	right	right	1	19	15.323	1240
1	3	4	40	10	left	left	1	28	15.47	1810
1	4	4	40	10	right	right	1	16	15.952	1003
1	5	4	40	10	left	right	0	16	15.64	1023
1	6	4	40	10	left	left	1	26	15.33	1696
1	7	4	40	10	right	right	1	34	15.476	2197
1	8	4	40	10	right	left	0	36	15.306	2352
1	9	4	40	10	right	right	1	24	15.676	1531
1	10	4	40	10	right	right	1	19	15.98	1189
1	11	4	40	10	left	right	0	15	15.924	942
1	12	4	40	10	right	left	0	32	15.407	2077
1	13	4	40	10	left	left	1	23	15.293	1504
1	14	4	40	10	left	left	1	20	15.14	1321
1	15	4	40	10	left	left	1	21	15.206	1381
1	16	4	40	10	left	right	0	56	15.334	3652
1	17	4	40	10	right	right	1	16	15.519	1031
1	18	4	40	10	right	right	1	19	15.886	1196
1	19	4	40	10	right	right	1	15	16.216	925
1	20	4	40	10	left	left	1	17	15.525	1095
1	21	4	40	10	left	left	1	22	15.299	1438
1	22	4	40	10	right	left	0	22	15.225	1445
1	23	4	40	10	left	right	0	15	15.106	993
1	24	4	40	10	right	left	0	23	15.614	1473
1	25	4	40	10	left	left	1	50	15.216	3286
1	26	4	40	10	left	left	1	24	15.104	1589
1	27	4	40	10	right	left	0	24	15.625	1536
1	28	4	40	10	right	right	1	19	15.86	1198
1	29	4	40	10	left	right	0	20	15.256	1311
1	30	4	40	10	right	right	1	19	15.94	1192
1	31	4	40	10	left	left	1	20	15.528	1288
1	32	4	40	10	left	left	1	19	15.091	1259
1	33	4	40	10	right	left	0	19	15.164	1253
1	34	4	40	10	right	left	0	14	15.538	901
1	35	4	40	10	right	right	1	15	15.075	995
1	36	4	40	10	left	left	1	20	15.175	1318
1	37	4	40	10	left	left	1	28	15.608	1794
1	38	4	40	10	right	left	0	21	15.152	1386
1	39	4	40	10	left	right	0	13	16.291	798
1	40	4	40	10	left	left	1	25	15.244	1640
2	1	4	40	10	right	right	1	32	15.422	2075
2	2	4	40	10	left	right	0	14	15.317	914
2	3	4	40	10	left	left	1	15	15.74	953
2	4	4	40	10	right	right	1	14	15.695	892
2	5	4	40	10	right	right	1	17	15.668	1085
2	6	4	40	10	right	left	0	27	15.455	1747
2	7	4	40	10	left	right	0	33	15.522	2126
2	8	4	40	10	right	right	1	12	15.075	796
2	9	4	40	10	right	left	0	19	15.9	1195
2	10	4	40	10	left	left	1	15	16.181	927
2	11	4	40	10	left	left	1	20	15.785	1267
2	12	4	40	10	left	left	1	18	15.254	1180
2	13	4	40	10	left	left	1	15	15.045	997
2	14	4	40	10	left	left	1	13	15.476	840
2	15	4	40	10	left	left	1	14	15.766	888
2	16	4	40	10	right	left	0	14	15.748	889
2	17	4	40	10	right	left	0	18	15.424	1167
2	18	4	40	10	right	right	1	18	15.254	1180
2	19	4	40	10	left	right	0	70	15.284	4580
2	20	4	40	10	left	left	1	51	15.361	3320
2	21	4	40	10	right	left	0	35	15.521	2255
2	22	4	40	10	right	right	1	29	15.36	1888
2	23	4	40	10	left	right	0	37	15.139	2444
2	24	4	40	10	right	right	1	29	15.295	1896
2	25	4	40	10	left	right	0	27	15.535	1738
2	26	4	40	10	right	right	1	23	15.646	1470
2	27	4	40	10	left	right	0	24	15.81	1518
2	28	4	40	10	right	left	0	21	15.487	1356
2	29	4	40	10	right	right	1	22	15.647	1406
2	30	4	40	10	left	right	0	33	15.306	2156
2	31	4	40	10	right	left	0	35	15.5	2258
2	32	4	40	10	right	left	0	26	15.522	1675
2	33	4	40	10	right	right	1	16	15.549	1029
2	34	4	40	10	left	right	0	13	16.209	802
2	35	4	40	10	left	left	1	4	15.267	262
2	36	4	40	10	left	right	0	8	15.656	511
2	37	4	40	10	left	tooFast	2	1	37.037	27
2	38	4	40	10	left	left	1	14	16.018	874
2	39	4	40	10	right	left	0	19	15.587	1219
2	40	4	40	10	right	left	0	23	15.043	1529
3	1	4	40	10	left	left	1	47	15.27	3078
3	2	4	40	10	right	right	1	35	15.576	2247
3	3	4	40	10	right	right	1	20	15.396	1299
3	4	4	40	10	left	left	1	37	15.533	2382
3	5	4	40	10	right	left	0	24	15.574	1541
3	6	4	40	10	left	left	1	19	15.079	1260
3	7	4	40	10	right	left	0	28	15.234	1838
3	8	4	40	10	left	left	1	25	15.664	1596
3	9	4	40	10	left	left	1	32	15.274	2095
3	10	4	40	10	right	left	0	26	15.634	1663
3	11	4	40	10	right	right	1	21	15.251	1377
3	12	4	40	10	left	right	0	23	15.551	1479
3	13	4	40	10	left	right	0	14	15.713	891
3	14	4	40	10	right	right	1	16	15.474	1034
3	15	4	40	10	right	right	1	19	15.055	1262
3	16	4	40	10	left	right	0	22	15.352	1433
3	17	4	40	10	right	right	1	16	15.444	1036
3	18	4	40	10	right	right	1	19	15.212	1249
3	19	4	40	10	right	left	0	43	15.423	2788
3	20	4	40	10	left	left	1	17	15.26	1114
3	21	4	40	10	left	left	1	17	15.274	1113
3	22	4	40	10	right	right	1	21	15.362	1367
3	23	4	40	10	left	right	0	41	15.23	2692
3	24	4	40	10	right	left	0	30	15.244	1968
3	25	4	40	10	left	right	0	19	16.007	1187
3	26	4	40	10	left	right	0	13	15.796	823
3	27	4	40	10	left	left	1	30	15.536	1931
3	28	4	40	10	left	left	1	20	15.444	1295
3	29	4	40	10	right	left	0	22	15.681	1403
3	30	4	40	10	left	left	1	19	15.966	1190
3	31	4	40	10	left	left	1	18	15.544	1158
3	32	4	40	10	right	left	0	18	15.332	1174
3	33	4	40	10	right	right	1	30	15.536	1931
3	34	4	40	10	left	left	1	20	15.637	1279
3	35	4	40	10	left	left	1	19	15.51	1225
3	36	4	40	10	right	right	1	17	15.933	1067
3	37	4	40	10	right	right	1	28	15.086	1856
3	38	4	40	10	right	left	0	16	15.702	1019
3	39	4	40	10	left	left	1	13	15.854	820
3	40	4	40	10	right	left	0	24	15.434	1555
4	1	4	40	10	right	left	0	26	15.504	1677
4	2	4	40	10	right	left	0	13	15.513	838
4	3	4	40	10	left	left	1	9	15.358	586
4	4	4	40	10	right	left	0	15	15.322	979
4	5	4	40	10	right	left	0	11	15.048	731
4	6	4	40	10	left	left	1	14	15.402	909
4	7	4	40	10	left	left	1	18	15.531	1159
4	8	4	40	10	right	left	0	17	15.639	1087
4	9	4	40	10	left	left	1	16	15.137	1057
4	10	4	40	10	left	left	1	23	15.551	1479
4	11	4	40	10	left	left	1	19	15.953	1191
4	12	4	40	10	left	left	1	16	15.152	1056
4	13	4	40	10	right	left	0	15	15.045	997
4	14	4	40	10	left	left	1	18	15.345	1173
4	15	4	40	10	left	right	0	13	15.513	838
4	16	4	40	10	right	left	0	14	15.317	914
4	17	4	40	10	right	left	0	14	16.055	872
4	18	4	40	10	left	left	1	16	15.905	1006
4	19	4	40	10	left	right	0	17	15.947	1066
4	20	4	40	10	right	left	0	14	15.419	908
4	21	4	40	10	left	right	0	45	15.317	2938
4	22	4	40	10	right	left	0	24	15.257	1573
4	23	4	40	10	right	right	1	15	15.075	995
4	24	4	40	10	left	right	0	18	15.544	1158
4	25	4	40	10	left	left	1	14	15.855	883
4	26	4	40	10	right	left	0	15	15.045	997
4	27	4	40	10	right	left	0	12	15.666	766
4	28	4	40	10	left	right	0	7	16.471	425
4	29	4	40	10	right	right	1	6	18.127	331
4	30	4	40	10	left	right	0	7	15.152	462
4	31	4	40	10	left	left	1	13	16.25	800
4	32	4	40	10	left	left	1	12	15.484	775
4	33	4	40	10	right	left	0	14	16.092	870
4	34	4	40	10	right	left	0	13	15.719	827
4	35	4	40	10	left	left	1	10	15.456	647
4	36	4	40	10	right	right	1	17	15.726	1081
4	37	4	40	10	right	right	1	23	15.541	1480
4	38	4	40	10	right	right	1	19	15.728	1208
4	39	4	40	10	right	right	1	16	15.61	1025
4	40	4	40	10	left	right	0	15	15.416	973
5	1	4	40	10	left	left	1	17	15.192	1119
5	2	4	40	10	left	left	1	14	16.11	869
5	3	4	40	10	right	right	1	13	16.291	798
5	4	4	40	10	left	left	1	12	15.524	773
5	5	4	40	10	right	right	1	11	15.559	707
5	6	4	40	10	right	right	1	13	15.796	823
