
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	138	15.228	9062
1	2	4	40	10	left	left	1	43	15.264	2817
1	3	4	40	10	left	left	1	35	15.331	2283
1	4	4	40	10	right	right	1	13	15.625	832
1	5	4	40	10	right	right	1	28	15.226	1839
1	6	4	40	10	right	left	0	11	15.11	728
1	7	4	40	10	left	left	1	42	15.168	2769
1	8	4	40	10	left	right	0	31	15.423	2010
1	9	4	40	10	right	right	1	116	15.159	7652
1	10	4	40	10	left	left	1	64	15.285	4187
1	11	4	40	10	right	right	1	53	15.3	3464
1	12	4	40	10	right	right	1	48	15.214	3155
1	13	4	40	10	right	left	0	19	15.435	1231
1	14	4	40	10	left	right	0	45	15.427	2917
1	15	4	40	10	right	right	1	128	15.168	8439
1	16	4	40	10	left	right	0	100	15.295	6538
1	17	4	40	10	right	left	0	71	15.305	4639
1	18	4	40	10	right	right	1	71	15.338	4629
1	19	4	40	10	right	left	0	69	15.272	4518
1	20	4	40	10	left	right	0	33	15.271	2161
1	21	4	40	10	left	right	0	27	15.625	1728
1	22	4	40	10	right	right	1	10	15.552	643
1	23	4	40	10	left	left	1	119	15.214	7822
1	24	4	40	10	left	left	1	43	15.396	2793
1	25	4	40	10	right	right	1	46	15.483	2971
1	26	4	40	10	right	right	1	81	15.177	5337
1	27	4	40	10	left	left	1	24	15.123	1587
1	28	4	40	10	left	left	1	31	15.578	1990
1	29	4	40	10	left	right	0	111	15.241	7283
1	30	4	40	10	right	right	1	63	15.302	4117
1	31	4	40	10	left	left	1	72	15.174	4745
1	32	4	40	10	left	right	0	35	15.378	2276
1	33	4	40	10	right	right	1	75	15.325	4894
1	34	4	40	10	right	left	0	84	15.248	5509
1	35	4	40	10	left	left	1	59	15.198	3882
1	36	4	40	10	left	left	1	108	15.19	7110
1	37	4	40	10	left	right	0	83	15.26	5439
1	38	4	40	10	left	right	0	68	15.284	4449
1	39	4	40	10	right	right	1	39	15.318	2546
1	40	4	40	10	right	right	1	126	15.265	8254
2	1	4	40	10	left	right	0	75	15.303	4901
2	2	4	40	10	right	left	0	116	15.181	7641
2	3	4	40	10	right	left	0	5	17.606	284
2	4	4	40	10	left	tooFast	2	1	38.462	26
2	5	4	40	10	right	right	1	67	15.335	4369
2	6	4	40	10	right	right	1	90	15.192	5924
2	7	4	40	10	left	left	1	26	15.205	1710
2	8	4	40	10	left	right	0	18	15.679	1148
2	9	4	40	10	right	right	1	90	15.203	5920
2	10	4	40	10	left	left	1	61	15.33	3979
2	11	4	40	10	right	right	1	34	15.546	2187
2	12	4	40	10	right	left	0	52	15.308	3397
2	13	4	40	10	left	left	1	135	15.198	8883
2	14	4	40	10	right	right	1	52	15.403	3376
2	15	4	40	10	right	right	1	70	15.188	4609
2	16	4	40	10	right	right	1	60	15.205	3946
2	17	4	40	10	left	left	1	28	15.616	1793
2	18	4	40	10	right	right	1	31	15.431	2009
2	19	4	40	10	left	left	1	25	15.567	1606
2	20	4	40	10	left	left	1	37	15.559	2378
2	21	4	40	10	right	right	1	25	15.694	1593
2	22	4	40	10	left	left	1	24	15.414	1557
2	23	4	40	10	left	left	1	29	15.434	1879
2	24	4	40	10	right	right	1	23	15.364	1497
2	25	4	40	10	left	left	1	39	15.372	2537
2	26	4	40	10	left	left	1	51	15.265	3341
2	27	4	40	10	left	right	0	106	15.169	6988
2	28	4	40	10	right	right	1	23	15.646	1470
2	29	4	40	10	right	left	0	71	15.308	4638
2	30	4	40	10	left	left	1	23	15.668	1468
2	31	4	40	10	right	right	1	25	15.432	1620
2	32	4	40	10	left	left	1	36	15.464	2328
2	33	4	40	10	right	right	1	30	15.322	1958
2	34	4	40	10	right	left	0	40	15.516	2578
2	35	4	40	10	left	left	1	84	15.251	5508
2	36	4	40	10	left	left	1	32	15.187	2107
2	37	4	40	10	right	right	1	34	15.322	2219
2	38	4	40	10	left	left	1	29	15.175	1911
2	39	4	40	10	left	right	0	48	15.414	3114
2	40	4	40	10	right	right	1	48	15.185	3161
3	1	4	40	10	right	right	1	28	15.402	1818
3	2	4	40	10	right	right	1	29	15.467	1875
3	3	4	40	10	right	left	0	41	15.402	2662
3	4	4	40	10	left	left	1	24	15.615	1537
3	5	4	40	10	left	left	1	49	15.265	3210
3	6	4	40	10	left	right	0	47	15.147	3103
3	7	4	40	10	left	left	1	101	15.254	6621
3	8	4	40	10	right	right	1	31	15.309	2025
3	9	4	40	10	right	left	0	42	15.223	2759
3	10	4	40	10	right	left	0	89	15.289	5821
3	11	4	40	10	right	left	0	25	15.385	1625
3	12	4	40	10	right	right	1	50	15.239	3281
3	13	4	40	10	left	left	1	37	15.22	2431
3	14	4	40	10	left	left	1	38	15.329	2479
3	15	4	40	10	right	right	1	33	15.5	2129
3	16	4	40	10	right	right	1	71	15.269	4650
3	17	4	40	10	right	right	1	92	15.162	6068
3	18	4	40	10	left	left	1	54	15.442	3497
3	19	4	40	10	right	right	1	40	15.355	2605
3	20	4	40	10	right	right	1	60	15.263	3931
3	21	4	40	10	right	right	1	111	15.195	7305
3	22	4	40	10	left	left	1	29	15.112	1919
3	23	4	40	10	right	right	1	42	15.162	2770
3	24	4	40	10	left	left	1	34	15.546	2187
3	25	4	40	10	right	right	1	33	15.471	2133
3	26	4	40	10	right	left	0	68	15.158	4486
3	27	4	40	10	right	right	1	30	15.182	1976
3	28	4	40	10	left	left	1	23	15.323	1501
3	29	4	40	10	left	left	1	85	15.23	5581
3	30	4	40	10	left	left	1	32	15.282	2094
3	31	4	40	10	left	right	0	49	15.133	3238
3	32	4	40	10	left	left	1	50	15.239	3281
3	33	4	40	10	left	left	1	29	15.434	1879
3	34	4	40	10	right	right	1	34	15.561	2185
3	35	4	40	10	left	left	1	62	15.241	4068
3	36	4	40	10	left	left	1	41	15.129	2710
3	37	4	40	10	left	right	0	98	15.243	6429
3	38	4	40	10	left	left	1	108	15.235	7089
3	39	4	40	10	right	right	1	31	15.309	2025
3	40	4	40	10	left	left	1	82	15.211	5391
4	1	4	40	10	right	right	1	41	15.367	2668
4	2	4	40	10	left	left	1	95	15.217	6243
4	3	4	40	10	right	right	1	125	15.19	8229
4	4	4	40	10	left	left	1	72	15.145	4754
4	5	4	40	10	left	right	0	63	15.299	4118
4	6	4	40	10	right	right	1	212	15.17	13975
4	7	4	40	10	right	right	1	101	15.303	6600
4	8	4	40	10	left	left	1	49	15.184	3227
4	9	4	40	10	left	right	0	51	15.399	3312
4	10	4	40	10	right	right	1	52	15.169	3428
4	11	4	40	10	right	right	1	58	15.34	3781
4	12	4	40	10	left	left	1	23	15.212	1512
4	13	4	40	10	right	right	1	23	15.364	1497
4	14	4	40	10	right	right	1	34	15.219	2234
4	15	4	40	10	left	left	1	18	15.887	1133
4	16	4	40	10	left	left	1	43	15.374	2797
4	17	4	40	10	left	left	1	37	15.579	2375
4	18	4	40	10	right	right	1	36	15.216	2366
4	19	4	40	10	right	left	0	55	15.291	3597
4	20	4	40	10	right	right	1	85	15.135	5616
4	21	4	40	10	left	left	1	52	15.245	3411
4	22	4	40	10	left	left	1	22	15.67	1404
4	23	4	40	10	left	right	0	29	15.467	1875
4	24	4	40	10	right	left	0	51	15.279	3338
4	25	4	40	10	left	left	1	19	15.548	1222
4	26	4	40	10	right	left	0	56	15.385	3640
4	27	4	40	10	left	right	0	63	15.34	4107
4	28	4	40	10	right	right	1	132	15.174	8699
4	29	4	40	10	left	right	0	52	15.344	3389
4	30	4	40	10	right	left	0	79	15.233	5186
4	31	4	40	10	left	left	1	67	15.258	4391
4	32	4	40	10	right	right	1	71	15.22	4665
4	33	4	40	10	right	right	1	60	15.263	3931
4	34	4	40	10	left	left	1	18	15.491	1162
4	35	4	40	10	left	right	0	28	15.608	1794
4	36	4	40	10	right	right	1	48	15.345	3128
4	37	4	40	10	right	left	0	79	15.331	5153
4	38	4	40	10	left	left	1	93	15.147	6140
4	39	4	40	10	right	right	1	21	15.13	1388
4	40	4	40	10	left	right	0	42	15.256	2753
5	1	4	40	10	left	right	0	20	15.302	1307
5	2	4	40	10	right	right	1	23	15.84	1452
5	3	4	40	10	right	right	1	23	15.262	1507
5	4	4	40	10	left	left	1	27	15.67	1723
5	5	4	40	10	left	left	1	23	15.112	1522
5	6	4	40	10	right	right	1	13	15.873	819
5	7	4	40	10	left	left	1	14	15.873	882
5	8	4	40	10	left	right	0	25	15.291	1635
5	9	4	40	10	left	left	1	32	15.534	2060
5	10	4	40	10	left	left	1	20	15.396	1299
5	11	4	40	10	right	left	0	25	15.635	1599
5	12	4	40	10	left	left	1	39	15.24	2559
5	13	4	40	10	right	right	1	20	15.302	1307
5	14	4	40	10	right	left	0	66	15.257	4326
5	15	4	40	10	right	right	1	23	15.344	1499
5	16	4	40	10	right	right	1	38	15.249	2492
5	17	4	40	10	right	left	0	22	15.214	1446
5	18	4	40	10	left	left	1	29	15.215	1906
5	19	4	40	10	left	right	0	43	15.324	2806
5	20	4	40	10	right	right	1	23	15.333	1500
5	21	4	40	10	right	right	1	38	13.704	2773
5	22	4	40	10	left	left	1	33	15.349	2150
5	23	4	40	10	left	left	1	33	15.335	2152
5	24	4	40	10	left	left	1	36	15.511	2321
5	25	4	40	10	right	right	1	34	15.295	2223
5	26	4	40	10	right	right	1	34	15.226	2233
5	27	4	40	10	right	right	1	32	15.587	2053
5	28	4	40	10	right	right	1	42	15.201	2763
5	29	4	40	10	left	left	1	31	15.278	2029
5	30	4	40	10	left	left	1	30	15.472	1939
5	31	4	40	10	right	right	1	17	15.888	1070
5	32	4	40	10	left	left	1	21	15.672	1340
5	33	4	40	10	left	left	1	29	15.167	1912
5	34	4	40	10	right	right	1	14	15.573	899
5	35	4	40	10	right	right	1	52	15.24	3412
5	36	4	40	10	left	left	1	16	15.549	1029
5	37	4	40	10	left	right	0	35	15.556	2250
5	38	4	40	10	right	right	1	40	15.32	2611
5	39	4	40	10	left	left	1	27	15.203	1776
5	40	4	40	10	right	right	1	27	15.625	1728
6	1	4	40	10	right	right	1	26	15.634	1663
6	2	4	40	10	right	right	1	32	15.534	2060
6	3	4	40	10	right	right	1	38	15.504	2451
6	4	4	40	10	left	left	1	20	15.106	1324
6	5	4	40	10	left	left	1	25	15.319	1632
6	6	4	40	10	left	left	1	40	15.504	2580
6	7	4	40	10	right	right	1	41	15.344	2672
6	8	4	40	10	right	right	1	45	15.416	2919
6	9	4	40	10	left	left	1	52	15.421	3372
6	10	4	40	10	left	right	0	24	15.18	1581
6	11	4	40	10	left	left	1	7	16.949	413
6	12	4	40	10	right	left	0	32	15.617	2049
6	13	4	40	10	left	right	0	30	15.267	1965
6	14	4	40	10	right	right	1	31	15.516	1998
6	15	4	40	10	left	right	0	28	15.453	1812
6	16	4	40	10	right	right	1	51	15.352	3322
6	17	4	40	10	left	left	1	57	15.318	3721
6	18	4	40	10	left	left	1	26	15.522	1675
6	19	4	40	10	left	left	1	24	15.228	1576
6	20	4	40	10	left	left	1	25	15.442	1619
6	21	4	40	10	right	right	1	40	15.355	2605
6	22	4	40	10	left	left	1	38	15.36	2474
6	23	4	40	10	left	left	1	30	15.593	1924
