
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	49	15.346	3193
1	2	4	40	10	right	right	1	50	15.366	3254
1	3	4	40	10	right	left	0	56	15.334	3652
1	4	4	40	10	right	right	1	35	15.562	2249
1	5	4	40	10	left	left	1	31	15.586	1989
1	6	4	40	10	right	right	1	30	15.472	1939
1	7	4	40	10	right	left	0	23	15.052	1528
1	8	4	40	10	right	left	0	37	15.481	2390
1	9	4	40	10	right	right	1	30	15.159	1979
1	10	4	40	10	right	right	1	27	15.332	1761
1	11	4	40	10	left	right	0	27	15.482	1744
1	12	4	40	10	right	right	1	39	15.403	2532
1	13	4	40	10	right	left	0	38	15.472	2456
1	14	4	40	10	right	right	1	31	15.454	2006
1	15	4	40	10	left	left	1	66	15.235	4332
1	16	4	40	10	left	left	1	59	15.214	3878
1	17	4	40	10	right	left	0	77	15.266	5044
1	18	4	40	10	left	left	1	88	15.138	5813
2	1	4	40	10	left	left	1	15	15.432	972
2	2	4	40	10	right	left	0	50	15.319	3264
2	3	4	40	10	left	left	1	20	15.492	1291
2	4	4	40	10	right	right	1	28	15.495	1807
2	5	4	40	10	right	left	0	27	15.553	1736
2	6	4	40	10	left	left	1	28	15.582	1797
2	7	4	40	10	right	right	1	29	15.583	1861
2	8	4	40	10	right	left	0	18	15.957	1128
2	9	4	40	10	left	left	1	17	15.799	1076
2	10	4	40	10	right	right	1	31	15.115	2051
2	11	4	40	10	right	right	1	27	15.05	1794
2	12	4	40	10	left	right	0	35	15.277	2291
2	13	4	40	10	right	left	0	10	14.948	669
2	14	4	40	10	right	right	1	6	15.385	390
2	15	4	40	10	right	right	1	12	15.287	785
2	16	4	40	10	right	right	1	13	16.089	808
2	17	4	40	10	left	left	1	15	15.48	969
2	18	4	40	10	left	left	1	15	15.182	988
2	19	4	40	10	left	right	0	19	15.728	1208
2	20	4	40	10	right	left	0	13	15.222	854
2	21	4	40	10	right	right	1	8	15.504	516
