
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	63	15.258	4129
1	2	4	40	10	right	left	0	15	15.593	962
1	3	4	40	10	right	right	1	20	15.314	1306
1	4	4	40	10	left	left	1	19	15.664	1213
1	5	4	40	10	left	left	1	30	15.377	1951
1	6	4	40	10	right	left	0	26	15.532	1674
1	7	4	40	10	left	right	0	14	15.695	892
1	8	4	40	10	left	left	1	12	15.564	771
1	9	4	40	10	right	left	0	25	15.385	1625
1	10	4	40	10	left	left	1	27	15.194	1777
1	11	4	40	10	right	right	1	23	15.447	1489
1	12	4	40	10	right	right	1	18	15.943	1129
1	13	4	40	10	left	left	1	20	15.711	1273
1	14	4	40	10	right	right	1	18	15.371	1171
1	15	4	40	10	left	right	0	28	15.59	1796
1	16	4	40	10	right	left	0	32	15.144	2113
1	17	4	40	10	right	left	0	21	15.648	1342
1	18	4	40	10	right	right	1	15	15.496	968
1	19	4	40	10	left	left	1	22	15.504	1419
1	20	4	40	10	left	left	1	37	15.559	2378
1	21	4	40	10	right	left	0	36	15.511	2321
1	22	4	40	10	left	right	0	13	15.7	828
1	23	4	40	10	right	right	1	27	15.698	1720
1	24	4	40	10	right	right	1	54	15.241	3543
1	25	4	40	10	left	left	1	15	15.432	972
1	26	4	40	10	left	left	1	15	15.385	975
1	27	4	40	10	left	left	1	31	15.547	1994
1	28	4	40	10	right	right	1	24	15.484	1550
2	1	4	40	10	left	left	1	36	15.537	2317
2	2	4	40	10	right	left	0	21	15.498	1355
2	3	4	40	10	left	right	0	10	14.948	669
2	4	4	40	10	right	right	1	32	15.348	2085
2	5	4	40	10	right	right	1	15	15.56	964
2	6	4	40	10	left	left	1	17	15.873	1071
2	7	4	40	10	left	left	1	18	15.345	1173
2	8	4	40	10	left	left	1	24	15.738	1525
2	9	4	40	10	right	right	1	30	15.512	1934
2	10	4	40	10	right	left	0	16	15.842	1010
2	11	4	40	10	right	right	1	18	15.584	1155
2	12	4	40	10	right	right	1	28	15.739	1779
2	13	4	40	10	left	right	0	30	15.472	1939
2	14	4	40	10	left	left	1	16	15.936	1004
2	15	4	40	10	left	left	1	22	15.714	1400
2	16	4	40	10	right	right	1	24	15.564	1542
2	17	4	40	10	right	left	0	18	15.972	1127
