
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	19	15.044	1263
1	2	4	40	10	left	left	1	27	15.607	1730
1	3	4	40	10	left	right	0	34	15.399	2208
1	4	4	40	10	left	left	1	30	15.432	1944
1	5	4	40	10	left	left	1	35	15.217	2300
1	6	4	40	10	right	right	1	20	15.516	1289
1	7	4	40	10	left	left	1	15	15.291	981
1	8	4	40	10	right	right	1	16	16	1000
1	9	4	40	10	right	right	1	27	15.385	1755
1	10	4	40	10	right	right	1	32	15.422	2075
1	11	4	40	10	right	right	1	22	15.342	1434
1	12	4	40	10	right	right	1	21	15.813	1328
1	13	4	40	10	right	right	1	22	15.57	1413
1	14	4	40	10	left	left	1	42	15.201	2763
1	15	4	40	10	left	left	1	42	15.373	2732
1	16	4	40	10	left	right	0	46	15.354	2996
1	17	4	40	10	right	right	1	34	15.343	2216
1	18	4	40	10	right	right	1	28	15.453	1812
1	19	4	40	10	right	right	1	24	15.414	1557
1	20	4	40	10	left	left	1	19	15.86	1198
1	21	4	40	10	left	left	1	17	15.873	1071
1	22	4	40	10	right	right	1	13	15.99	813
1	23	4	40	10	right	right	1	17	15.918	1068
1	24	4	40	10	right	right	1	19	15.926	1193
1	25	4	40	10	right	right	1	12	15.424	778
1	26	4	40	10	left	left	1	16	16	1000
1	27	4	40	10	right	right	1	24	15.19	1580
1	28	4	40	10	left	left	1	31	15.633	1983
1	29	4	40	10	left	left	1	29	15.467	1875
1	30	4	40	10	right	right	1	13	15.495	839
2	1	4	40	10	left	left	1	27	15.263	1769
2	2	4	40	10	right	right	1	12	15.152	792
2	3	4	40	10	left	left	1	11	15.85	694
2	4	4	40	10	left	left	1	22	15.342	1434
2	5	4	40	10	right	right	1	15	15.353	977
2	6	4	40	10	right	right	1	26	15.294	1700
2	7	4	40	10	right	right	1	13	15.294	850
2	8	4	40	10	left	left	1	12	16.086	746
2	9	4	40	10	right	right	1	15	15.259	983
2	10	4	40	10	right	right	1	30	15.601	1923
2	11	4	40	10	left	left	1	14	15.927	879
2	12	4	40	10	right	right	1	19	15.536	1223
2	13	4	40	10	right	right	1	14	15.608	897
2	14	4	40	10	left	left	1	17	15.483	1098
2	15	4	40	10	left	left	1	21	15.613	1345
2	16	4	40	10	left	left	1	20	15.748	1270
2	17	4	40	10	right	right	1	15	15.89	944
2	18	4	40	10	left	left	1	13	15.421	843
2	19	4	40	10	left	left	1	12	15.564	771
2	20	4	40	10	left	left	1	18	15.831	1137
2	21	4	40	10	right	right	1	23	15.385	1495
2	22	4	40	10	left	left	1	28	15.487	1808
2	23	4	40	10	right	right	1	15	16.009	937
2	24	4	40	10	left	left	1	13	15.588	834
2	25	4	40	10	left	left	1	14	15.873	882
2	26	4	40	10	left	left	1	17	15.814	1075
2	27	4	40	10	right	right	1	13	15.625	832
2	28	4	40	10	right	right	1	28	15.419	1816
2	29	4	40	10	right	left	0	65	15.159	4288
2	30	4	40	10	left	left	1	12	15.524	773
2	31	4	40	10	right	right	1	13	15.719	827
2	32	4	40	10	left	left	1	12	15.404	779
2	33	4	40	10	right	right	1	14	15.891	881
2	34	4	40	10	right	right	1	15	16.129	930
2	35	4	40	10	left	left	1	11	15.193	724
2	36	4	40	10	left	left	1	11	15.449	712
2	37	4	40	10	right	right	1	15	15.167	989
2	38	4	40	10	left	left	1	11	15.278	720
2	39	4	40	10	left	left	1	10	16.75	597
3	1	4	40	10	right	left	0	53	15.287	3467
3	2	4	40	10	right	right	1	16	15.34	1043
3	3	4	40	10	right	right	1	23	15.732	1462
3	4	4	40	10	right	right	1	14	16.241	862
3	5	4	40	10	left	left	1	11	16.591	663
3	6	4	40	10	left	left	1	11	16.105	683
3	7	4	40	10	right	right	1	29	15.385	1885
3	8	4	40	10	left	left	1	10	16.026	624
3	9	4	40	10	left	left	1	18	15.28	1178
