
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	24	15.625	1536
1	2	4	40	10	right	right	1	13	15.169	857
1	3	4	40	10	right	left	0	13	16.049	810
1	4	4	40	10	left	left	1	17	15.873	1071
1	5	4	40	10	right	right	1	16	15.92	1005
1	6	4	40	10	left	left	1	16	15.137	1057
1	7	4	40	10	left	left	1	31	15.271	2030
1	8	4	40	10	right	right	1	11	15.342	717
1	9	4	40	10	left	left	1	16	15.717	1018
1	10	4	40	10	right	right	1	24	15.385	1560
1	11	4	40	10	left	left	1	12	15.424	778
1	12	4	40	10	right	left	0	18	15.831	1137
1	13	4	40	10	left	left	1	19	15.46	1229
1	14	4	40	10	left	left	1	34	15.399	2208
1	15	4	40	10	left	left	1	13	15.873	819
1	16	4	40	10	left	right	0	31	15.415	2011
1	17	4	40	10	right	right	1	28	15.234	1838
1	18	4	40	10	left	left	1	15	15.244	984
1	19	4	40	10	left	right	0	22	15.152	1452
1	20	4	40	10	right	right	1	24	15.365	1562
1	21	4	40	10	right	left	0	20	15.674	1276
1	22	4	40	10	left	left	1	33	15.306	2156
1	23	4	40	10	left	left	1	30	15.322	1958
1	24	4	40	10	right	right	1	13	14.994	867
1	25	4	40	10	left	left	1	20	15.576	1284
1	26	4	40	10	left	left	1	14	15.927	879
1	27	4	40	10	right	right	1	11	15.257	721
1	28	4	40	10	right	left	0	9	14.851	606
1	29	4	40	10	right	left	0	12	15.544	772
1	30	4	40	10	left	right	0	8	15.656	511
1	31	4	40	10	right	left	0	13	15.258	852
1	32	4	40	10	left	right	0	20	15.232	1313
1	33	4	40	10	right	right	1	13	16.189	803
1	34	4	40	10	right	left	0	10	15.385	650
1	35	4	40	10	right	right	1	12	16.086	746
1	36	4	40	10	left	left	1	17	15.625	1088
1	37	4	40	10	right	left	0	37	15.176	2438
1	38	4	40	10	left	left	1	10	14.97	668
1	39	4	40	10	right	right	1	13	15.625	832
1	40	4	40	10	right	right	1	19	15.127	1256
2	1	4	40	10	right	right	1	18	15.986	1126
2	2	4	40	10	right	right	1	15	15.789	950
2	3	4	40	10	right	left	0	13	15.606	833
2	4	4	40	10	left	right	0	20	15.083	1326
2	5	4	40	10	right	left	0	23	15.636	1471
2	6	4	40	10	right	right	1	13	16.311	797
2	7	4	40	10	left	left	1	30	15.213	1972
2	8	4	40	10	left	left	1	26	15.616	1665
2	9	4	40	10	left	right	0	13	16.129	806
2	10	4	40	10	right	left	0	32	15.195	2106
2	11	4	40	10	left	left	1	21	15.453	1359
2	12	4	40	10	right	right	1	18	15.887	1133
2	13	4	40	10	left	left	1	14	15.284	916
2	14	4	40	10	left	right	0	11	15.32	718
2	15	4	40	10	right	left	0	12	15.957	752
2	16	4	40	10	left	left	1	22	15.417	1427
2	17	4	40	10	left	left	1	34	15.546	2187
2	18	4	40	10	right	right	1	15	15.806	949
2	19	4	40	10	left	left	1	20	15.42	1297
2	20	4	40	10	right	right	1	10	15.314	653
