
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	41	15.18	2701
1	2	4	40	10	left	left	1	21	15.754	1333
1	3	4	40	10	left	right	0	13	15.758	825
1	4	4	40	10	right	right	1	33	15.186	2173
1	5	4	40	10	left	left	1	42	15.362	2734
1	6	4	40	10	right	right	1	36	15.209	2367
1	7	4	40	10	left	left	1	18	15.762	1142
1	8	4	40	10	left	right	0	45	15.469	2909
1	9	4	40	10	right	right	1	24	15.474	1551
1	10	4	40	10	left	left	1	24	15.142	1585
1	11	4	40	10	right	right	1	41	15.466	2651
1	12	4	40	10	left	left	1	24	15.697	1529
1	13	4	40	10	left	left	1	41	15.236	2691
1	14	4	40	10	left	right	0	60	15.298	3922
1	15	4	40	10	right	right	1	45	15.464	2910
1	16	4	40	10	right	left	0	16	15.826	1011
1	17	4	40	10	right	right	1	44	15.385	2860
1	18	4	40	10	left	right	0	34	15.185	2239
1	19	4	40	10	left	left	1	36	15.524	2319
1	20	4	40	10	right	right	1	18	15.557	1157
1	21	4	40	10	right	right	1	19	15.067	1261
1	22	4	40	10	left	left	1	13	15.796	823
1	23	4	40	10	left	right	0	25	15.337	1630
1	24	4	40	10	left	left	1	17	15.873	1071
1	25	4	40	10	left	right	0	53	15.278	3469
2	1	4	40	10	right	right	1	90	15.146	5942
2	2	4	40	10	left	left	1	21	15.173	1384
2	3	4	40	10	left	left	1	14	16.26	861
2	4	4	40	10	left	right	0	12	16.173	742
2	5	4	40	10	left	right	0	47	15.142	3104
2	6	4	40	10	right	right	1	30	15.448	1942
2	7	4	40	10	left	left	1	13	15.276	851
2	8	4	40	10	left	right	0	15	16.009	937
2	9	4	40	10	right	right	1	27	15.698	1720
2	10	4	40	10	left	left	1	14	15.642	895
2	11	4	40	10	right	right	1	61	15.342	3976
2	12	4	40	10	left	left	1	31	15.377	2016
2	13	4	40	10	right	right	1	23	15.818	1454
2	14	4	40	10	right	right	1	18	15.652	1150
2	15	4	40	10	right	left	0	26	15.644	1662
2	16	4	40	10	left	right	0	40	15.534	2575
2	17	4	40	10	right	right	1	41	15.253	2688
2	18	4	40	10	left	left	1	12	15.979	751
2	19	4	40	10	right	right	1	61	15.292	3989
2	20	4	40	10	left	left	1	28	13.855	2021
2	21	4	40	10	left	left	1	12	16.238	739
2	22	4	40	10	left	left	1	16	15.282	1047
2	23	4	40	10	left	right	0	11	14.986	734
2	24	4	40	10	right	right	1	19	15.536	1223
2	25	4	40	10	left	left	1	10	15.798	633
2	26	4	40	10	left	left	1	17	15.357	1107
2	27	4	40	10	left	left	1	14	15.73	890
3	1	4	40	10	right	right	1	47	15.39	3054
3	2	4	40	10	left	left	1	17	15.426	1102
3	3	4	40	10	left	left	1	11	15.515	709
3	4	4	40	10	left	left	1	21	15.43	1361
3	5	4	40	10	left	left	1	13	16.129	806
3	6	4	40	10	right	right	1	11	16.641	661
3	7	4	40	10	left	left	1	8	15.385	520
3	8	4	40	10	left	right	0	9	16.544	544
3	9	4	40	10	left	left	1	21	15.206	1381
3	10	4	40	10	left	left	1	22	15.172	1450
3	11	4	40	10	left	right	0	33	15.271	2161
3	12	4	40	10	right	right	1	12	15.789	760
3	13	4	40	10	left	left	1	9	15.254	590
3	14	4	40	10	left	left	1	26	15.412	1687
3	15	4	40	10	left	right	0	16	15.094	1060
3	16	4	40	10	left	left	1	12	16.327	735
3	17	4	40	10	right	right	1	19	15.587	1219
3	18	4	40	10	left	left	1	12	16.021	749
3	19	4	40	10	right	right	1	21	15.789	1330
3	20	4	40	10	right	right	1	14	15.368	911
3	21	4	40	10	right	right	1	16	15.748	1016
3	22	4	40	10	left	left	1	10	15.314	653
3	23	4	40	10	left	left	1	19	15.523	1224
3	24	4	40	10	left	left	1	10	15.601	641
3	25	4	40	10	left	left	1	11	16.272	676
3	26	4	40	10	left	right	0	30	15.625	1920
3	27	4	40	10	right	right	1	13	15.777	824
3	28	4	40	10	left	left	1	11	15.827	695
3	29	4	40	10	right	right	1	12	16.064	747
3	30	4	40	10	left	left	1	9	16.514	545
3	31	4	40	10	left	left	1	11	15.11	728
3	32	4	40	10	left	left	1	26	15.43	1685
3	33	4	40	10	right	right	1	10	15.015	666
3	34	4	40	10	left	left	1	10	15.291	654
3	35	4	40	10	right	right	1	22	15.714	1400
3	36	4	40	10	right	right	1	18	15.873	1134
3	37	4	40	10	left	left	1	14	16.092	870
3	38	4	40	10	right	right	1	14	15.945	878
3	39	4	40	10	right	left	0	9	16.334	551
3	40	4	40	10	right	right	1	9	15.306	588
3	41	4	40	10	left	right	0	22	15.581	1412
4	1	4	40	10	left	right	0	48	15.331	3131
4	2	4	40	10	right	right	1	22	15.342	1434
4	3	4	40	10	right	right	1	34	15.504	2193
4	4	4	40	10	left	right	0	9	16.698	539
4	5	4	40	10	right	left	0	10	16.026	624
4	6	4	40	10	left	left	1	47	15.147	3103
4	7	4	40	10	right	right	1	30	15.488	1937
4	8	4	40	10	right	right	1	16	15.08	1061
4	9	4	40	10	left	left	1	10	15.385	650
4	10	4	40	10	right	right	1	10	16.529	605
4	11	4	40	10	left	left	1	8	15.414	519
4	12	4	40	10	left	right	0	35	15.204	2302
4	13	4	40	10	left	left	1	13	15.931	816
4	14	4	40	10	right	left	0	16	15.748	1016
4	15	4	40	10	right	right	1	12	16.282	737
4	16	4	40	10	left	left	1	9	15.28	589
4	17	4	40	10	right	right	1	11	16.616	662
4	18	4	40	10	left	left	1	11	15.235	722
4	19	4	40	10	right	right	1	12	15.504	774
4	20	4	40	10	right	right	1	15	15.167	989
4	21	4	40	10	right	right	1	26	15.625	1664
4	22	4	40	10	left	left	1	17	16.008	1062
4	23	4	40	10	right	right	1	59	15.194	3883
4	24	4	40	10	right	right	1	14	15.217	920
4	25	4	40	10	left	left	1	10	16.779	596
4	26	4	40	10	right	right	1	22	15.581	1412
4	27	4	40	10	right	right	1	20	15.314	1306
4	28	4	40	10	left	left	1	17	15.315	1110
4	29	4	40	10	left	left	1	9	16.667	540
4	30	4	40	10	right	right	1	12	15.385	780
4	31	4	40	10	right	right	1	16	15.702	1019
4	32	4	40	10	right	right	1	51	15.366	3319
4	33	4	40	10	left	left	1	29	15.5	1871
4	34	4	40	10	left	left	1	18	15.721	1145
5	1	4	40	10	right	right	1	58	15.183	3820
5	2	4	40	10	right	right	1	12	15.152	792
5	3	4	40	10	right	right	1	15	15.641	959
5	4	4	40	10	right	right	1	41	15.112	2713
5	5	4	40	10	left	left	1	12	16.304	736
5	6	4	40	10	left	left	1	9	15.901	566
5	7	4	40	10	right	right	1	10	16.26	615
5	8	4	40	10	right	right	1	23	15.625	1472
5	9	4	40	10	right	right	1	11	15.11	728
5	10	4	40	10	left	left	1	8	16.495	485
5	11	4	40	10	left	right	0	8	16.529	484
5	12	4	40	10	right	right	1	10	15.625	640
5	13	4	40	10	right	right	1	13	16.049	810
5	14	4	40	10	left	left	1	8	15.123	529
5	15	4	40	10	right	right	1	9	15.177	593
5	16	4	40	10	right	right	1	29	15.409	1882
5	17	4	40	10	left	left	1	10	16.556	604
5	18	4	40	10	left	left	1	11	15.493	710
5	19	4	40	10	left	left	1	11	15.235	722
5	20	4	40	10	left	left	1	12	15.645	767
5	21	4	40	10	right	right	1	14	15.677	893
5	22	4	40	10	right	right	1	20	15.456	1294
5	23	4	40	10	left	left	1	10	16.639	601
5	24	4	40	10	left	left	1	23	15.262	1507
5	25	4	40	10	right	right	1	16	15.34	1043
