
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	274	15.196	18031
1	2	4	40	10	right	right	1	15	15.89	944
1	3	4	40	10	right	left	0	17	15.483	1098
1	4	4	40	10	right	right	1	35	15.425	2269
1	5	4	40	10	right	right	1	26	15.541	1673
1	6	4	40	10	left	left	1	14	15.385	910
1	7	4	40	10	left	left	1	13	15.625	832
1	8	4	40	10	left	left	1	14	15.504	903
1	9	4	40	10	left	left	1	12	15.789	760
1	10	4	40	10	left	left	1	15	16.06	934
1	11	4	40	10	left	left	1	17	15.625	1088
1	12	4	40	10	right	right	1	12	15.345	782
1	13	4	40	10	left	right	0	13	16.311	797
1	14	4	40	10	right	left	0	8	15.625	512
1	15	4	40	10	right	right	1	11	15.027	732
1	16	4	40	10	left	right	0	13	16.069	809
1	17	4	40	10	left	left	1	14	15.556	900
1	18	4	40	10	left	right	0	34	15.199	2237
1	19	4	40	10	right	left	0	11	16.418	670
1	20	4	40	10	right	right	1	12	16.349	734
1	21	4	40	10	left	left	1	13	16.189	803
1	22	4	40	10	left	left	1	17	15.611	1089
1	23	4	40	10	right	right	1	13	15.931	816
1	24	4	40	10	left	left	1	13	15.348	847
1	25	4	40	10	left	right	0	13	15.644	831
1	26	4	40	10	right	left	0	5	16.287	307
1	27	4	40	10	right	right	1	6	16.949	354
1	28	4	40	10	right	left	0	16	15.195	1053
1	29	4	40	10	left	right	0	32	15.511	2063
1	30	4	40	10	left	left	1	11	15.385	715
1	31	4	40	10	right	right	1	22	15.548	1415
1	32	4	40	10	right	left	0	12	15.228	788
1	33	4	40	10	right	right	1	13	16.089	808
1	34	4	40	10	left	right	0	33	15.64	2110
1	35	4	40	10	right	right	1	14	15.837	884
1	36	4	40	10	right	right	1	15	15.823	948
1	37	4	40	10	right	right	1	11	16.591	663
1	38	4	40	10	right	left	0	15	15.856	946
1	39	4	40	10	left	right	0	9	15.598	577
1	40	4	40	10	left	right	0	24	15.554	1543
2	1	4	40	10	right	right	1	19	15.755	1206
2	2	4	40	10	right	right	1	10	15.456	647
2	3	4	40	10	right	right	1	8	16.064	498
2	4	4	40	10	right	left	0	14	15.334	913
2	5	4	40	10	left	right	0	5	16.502	303
2	6	4	40	10	left	right	0	9	16.129	558
2	7	4	40	10	right	left	0	6	17.291	347
2	8	4	40	10	right	right	1	10	16.779	596
2	9	4	40	10	right	left	0	9	16.158	557
2	10	4	40	10	right	right	1	12	15.915	754
2	11	4	40	10	left	right	0	11	15.988	688
2	12	4	40	10	left	right	0	6	16.62	361
2	13	4	40	10	left	right	0	11	15.603	705
2	14	4	40	10	right	left	0	8	16.878	474
2	15	4	40	10	left	right	0	6	17.964	334
2	16	4	40	10	left	right	0	33	15.471	2133
2	17	4	40	10	left	left	1	8	15.779	507
2	18	4	40	10	right	right	1	11	15.428	713
2	19	4	40	10	left	right	0	27	15.571	1734
2	20	4	40	10	left	left	1	12	15.769	761
2	21	4	40	10	right	right	1	8	17.021	470
2	22	4	40	10	left	left	1	10	16.129	620
2	23	4	40	10	left	right	0	12	15.666	766
2	24	4	40	10	right	left	0	6	16.26	369
2	25	4	40	10	right	left	0	17	15.947	1066
2	26	4	40	10	right	right	1	9	16.423	548
2	27	4	40	10	left	right	0	8	15.748	508
2	28	4	40	10	left	left	1	7	16.204	432
