
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	44	15.214	2892
1	2	4	40	10	right	right	1	16	15.37	1041
1	3	4	40	10	left	left	1	37	15.43	2398
1	4	4	40	10	left	right	0	20	15.361	1302
1	5	4	40	10	right	right	1	13	15.366	846
1	6	4	40	10	right	left	0	25	15.635	1599
1	7	4	40	10	right	right	1	17	15.992	1063
1	8	4	40	10	left	right	0	39	15.3	2549
1	9	4	40	10	right	right	1	16	15.534	1030
1	10	4	40	10	left	left	1	31	15.354	2019
1	11	4	40	10	right	right	1	20	15.408	1298
1	12	4	40	10	left	left	1	19	15.152	1254
1	13	4	40	10	left	right	0	18	15.943	1129
1	14	4	40	10	left	left	1	14	15.538	901
1	15	4	40	10	left	right	0	23	15.142	1519
1	16	4	40	10	right	right	1	26	15.578	1669
1	17	4	40	10	right	right	1	19	15.587	1219
1	18	4	40	10	left	left	1	31	15.4	2013
1	19	4	40	10	left	right	0	20	15.396	1299
1	20	4	40	10	left	left	1	13	15.719	827
1	21	4	40	10	right	right	1	21	15.683	1339
1	22	4	40	10	right	right	1	18	15.411	1168
1	23	4	40	10	right	right	1	16	15.984	1001
1	24	4	40	10	left	left	1	14	15.66	894
1	25	4	40	10	right	right	1	12	15.326	783
1	26	4	40	10	left	left	1	13	15.663	830
1	27	4	40	10	right	right	1	13	15.815	822
1	28	4	40	10	left	left	1	13	14.943	870
1	29	4	40	10	right	right	1	10	15.649	639
1	30	4	40	10	right	left	0	12	15.584	770
1	31	4	40	10	right	right	1	12	15.19	790
1	32	4	40	10	right	left	0	16	15.209	1052
1	33	4	40	10	left	right	0	10	16.26	615
1	34	4	40	10	right	right	1	18	15.762	1142
1	35	4	40	10	left	left	1	24	15.094	1590
1	36	4	40	10	right	right	1	15	15.723	954
1	37	4	40	10	left	right	0	22	15.225	1445
1	38	4	40	10	left	left	1	18	15.611	1153
1	39	4	40	10	left	right	0	32	15.26	2097
1	40	4	40	10	left	left	1	20	15.267	1310
2	1	4	40	10	left	right	0	20	15.823	1264
2	2	4	40	10	left	left	1	13	15.312	849
2	3	4	40	10	left	right	0	20	15.42	1297
2	4	4	40	10	right	left	0	13	15.152	858
2	5	4	40	10	right	right	1	21	15.453	1359
2	6	4	40	10	left	left	1	20	15.76	1269
2	7	4	40	10	right	right	1	19	15.728	1208
2	8	4	40	10	right	right	1	20	15.221	1314
2	9	4	40	10	right	right	1	18	15.666	1149
2	10	4	40	10	left	left	1	24	15.574	1541
2	11	4	40	10	left	right	0	21	15.262	1376
2	12	4	40	10	left	left	1	16	15.109	1059
2	13	4	40	10	left	left	1	14	15.891	881
2	14	4	40	10	right	right	1	17	15.371	1106
2	15	4	40	10	right	right	1	19	15.51	1225
2	16	4	40	10	right	right	1	18	15.371	1171
2	17	4	40	10	left	left	1	17	15.918	1068
2	18	4	40	10	right	right	1	20	15.699	1274
2	19	4	40	10	right	left	0	20	15.373	1301
2	20	4	40	10	right	right	1	19	15.651	1214
2	21	4	40	10	right	right	1	16	15.385	1040
2	22	4	40	10	left	left	1	19	15.755	1206
2	23	4	40	10	left	left	1	21	15.273	1375
2	24	4	40	10	left	right	0	14	15.267	917
2	25	4	40	10	right	right	1	13	16.169	804
2	26	4	40	10	left	left	1	17	15.918	1068
2	27	4	40	10	left	left	1	15	15.353	977
2	28	4	40	10	left	left	1	22	15.493	1420
2	29	4	40	10	right	right	1	21	15.306	1372
2	30	4	40	10	right	left	0	17	15.947	1066
2	31	4	40	10	left	right	0	40	15.221	2628
2	32	4	40	10	right	right	1	19	15.044	1263
2	33	4	40	10	left	left	1	15	15.322	979
2	34	4	40	10	right	right	1	23	15.152	1518
2	35	4	40	10	left	left	1	17	15.511	1096
2	36	4	40	10	right	right	1	16	15.166	1055
2	37	4	40	10	left	left	1	17	15.683	1084
2	38	4	40	10	right	left	0	22	15.162	1451
2	39	4	40	10	right	right	1	12	15.464	776
2	40	4	40	10	left	right	0	18	15.873	1134
3	1	4	40	10	left	right	0	28	15.504	1806
3	2	4	40	10	right	right	1	13	16.01	812
3	3	4	40	10	left	left	1	19	15.176	1252
3	4	4	40	10	right	right	1	18	15.639	1151
3	5	4	40	10	right	right	1	16	15.64	1023
3	6	4	40	10	left	right	0	28	15.193	1843
3	7	4	40	10	left	left	1	19	15.298	1242
3	8	4	40	10	left	right	0	22	15.141	1453
3	9	4	40	10	right	right	1	20	15.81	1265
3	10	4	40	10	left	right	0	21	15.396	1364
3	11	4	40	10	right	right	1	12	15.345	782
3	12	4	40	10	left	left	1	17	15.554	1093
3	13	4	40	10	right	right	1	30	15.528	1932
3	14	4	40	10	right	left	0	26	15.625	1664
3	15	4	40	10	right	right	1	12	15.727	763
3	16	4	40	10	right	right	1	27	15.689	1721
3	17	4	40	10	right	right	1	27	15.553	1736
3	18	4	40	10	left	right	0	19	15.435	1231
3	19	4	40	10	left	left	1	12	15.645	767
3	20	4	40	10	left	left	1	27	15.246	1771
