
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	left	0	241	15.16	15897
1	2	4	40	10	right	right	1	222	15.171	14633
1	3	4	40	10	left	right	0	62	15.245	4067
1	4	4	40	10	right	right	1	485	15.178	31954
1	5	4	40	10	right	left	0	608	15.17	40079
1	6	4	40	10	right	right	1	117	15.244	7675
1	7	4	40	10	right	right	1	693	15.149	45745
1	8	4	40	10	left	left	1	222	15.162	14642
1	9	4	40	10	right	left	0	493	15.152	32538
1	10	4	40	10	left	left	1	25	15.198	1645
1	11	4	40	10	right	right	1	65	15.327	4241
1	12	4	40	10	left	right	0	49	15.308	3201
1	13	4	40	10	right	right	1	38	15.403	2467
1	14	4	40	10	left	left	1	40	15.261	2621
1	15	4	40	10	right	right	1	28	15.193	1843
1	16	4	40	10	left	right	0	57	15.208	3748
1	17	4	40	10	left	left	1	95	15.215	6244
1	18	4	40	10	right	left	0	35	15.521	2255
1	19	4	40	10	right	right	1	50	15.356	3256
1	20	4	40	10	left	right	0	232	15.162	15301
1	21	4	40	10	left	left	1	600	15.153	39596
1	22	4	40	10	left	left	1	137	15.183	9023
1	23	4	40	10	left	right	0	97	15.192	6385
1	24	4	40	10	left	right	0	28	15.376	1821
1	25	4	40	10	right	left	0	34	15.378	2211
1	26	4	40	10	right	right	1	215	15.173	14170
1	27	4	40	10	left	right	0	322	15.154	21248
1	28	4	40	10	right	right	1	23	15.541	1480
1	29	4	40	10	right	right	1	22	15.526	1417
1	30	4	40	10	left	right	0	40	15.528	2576
1	31	4	40	10	left	right	0	39	15.513	2514
1	32	4	40	10	right	right	1	57	15.314	3722
1	33	4	40	10	right	left	0	153	15.21	10059
1	34	4	40	10	right	right	1	32	15.231	2101
1	35	4	40	10	left	left	1	70	15.171	4614
1	36	4	40	10	left	left	1	60	15.341	3911
1	37	4	40	10	left	left	1	175	15.163	11541
1	38	4	40	10	right	left	0	38	15.323	2480
1	39	4	40	10	left	left	1	41	15.163	2704
1	40	4	40	10	left	left	1	50	15.323	3263
2	1	4	40	10	left	left	1	49	15.265	3210
2	2	4	40	10	left	left	1	24	15.238	1575
2	3	4	40	10	left	left	1	36	15.139	2378
2	4	4	40	10	right	right	1	185	15.173	12193
2	5	4	40	10	right	right	1	30	15.152	1980
2	6	4	40	10	right	right	1	98	15.159	6465
2	7	4	40	10	left	right	0	57	15.216	3746
2	8	4	40	10	left	left	1	61	15.152	4026
2	9	4	40	10	left	right	0	214	15.144	14131
2	10	4	40	10	right	left	0	75	15.253	4917
2	11	4	40	10	left	right	0	9	16.216	555
2	12	4	40	10	right	right	1	7	15.317	457
2	13	4	40	10	left	right	0	6	15.345	391
2	14	4	40	10	right	left	0	8	16.097	497
2	15	4	40	10	left	right	0	9	15.491	581
2	16	4	40	10	right	right	1	15	15.839	947
2	17	4	40	10	left	left	1	93	15.201	6118
2	18	4	40	10	left	left	1	135	15.247	8854
2	19	4	40	10	left	left	1	78	15.131	5155
2	20	4	40	10	right	right	1	142	15.22	9330
2	21	4	40	10	right	left	0	85	15.214	5587
2	22	4	40	10	right	right	1	81	15.197	5330
2	23	4	40	10	left	left	1	84	15.179	5534
2	24	4	40	10	right	right	1	54	15.254	3540
2	25	4	40	10	left	left	1	64	15.144	4226
2	26	4	40	10	left	right	0	89	15.279	5825
2	27	4	40	10	right	left	0	158	15.172	10414
2	28	4	40	10	right	right	1	11	16.369	672
2	29	4	40	10	left	left	1	24	15.104	1589
2	30	4	40	10	left	left	1	35	15.405	2272
2	31	4	40	10	left	left	1	35	15.317	2285
2	32	4	40	10	right	right	1	57	15.156	3761
2	33	4	40	10	left	right	0	22	15.57	1413
2	34	4	40	10	right	right	1	34	15.504	2193
2	35	4	40	10	right	right	1	102	15.172	6723
2	36	4	40	10	right	left	0	57	15.314	3722
2	37	4	40	10	right	right	1	34	15.281	2225
2	38	4	40	10	right	right	1	31	15.218	2037
2	39	4	40	10	left	left	1	34	15.539	2188
2	40	4	40	10	right	right	1	32	15.216	2103
3	1	4	40	10	right	right	1	63	15.328	4110
3	2	4	40	10	right	right	1	19	15.702	1210
3	3	4	40	10	left	right	0	16	15.444	1036
3	4	4	40	10	left	right	0	18	15.437	1166
3	5	4	40	10	left	left	1	40	15.175	2636
3	6	4	40	10	left	right	0	117	15.248	7673
3	7	4	40	10	left	left	1	79	15.269	5174
3	8	4	40	10	right	right	1	29	15.45	1877
3	9	4	40	10	right	left	0	32	15.152	2112
3	10	4	40	10	right	right	1	168	15.233	11029
3	11	4	40	10	right	right	1	28	15.461	1811
3	12	4	40	10	right	right	1	56	15.368	3644
3	13	4	40	10	left	left	1	59	15.191	3884
3	14	4	40	10	left	left	1	68	15.226	4466
3	15	4	40	10	right	right	1	77	15.184	5071
3	16	4	40	10	right	left	0	150	15.176	9884
3	17	4	40	10	left	right	0	74	15.186	4873
3	18	4	40	10	right	left	0	35	15.317	2285
3	19	4	40	10	right	right	1	21	15.441	1360
3	20	4	40	10	left	right	0	15	15.045	997
3	21	4	40	10	left	left	1	18	15.216	1183
3	22	4	40	10	left	left	1	40	15.528	2576
3	23	4	40	10	right	left	0	54	15.289	3532
3	24	4	40	10	right	right	1	41	15.174	2702
3	25	4	40	10	left	left	1	66	15.342	4302
3	26	4	40	10	left	right	0	44	15.449	2848
3	27	4	40	10	right	right	1	60	15.186	3951
3	28	4	40	10	left	right	0	38	15.378	2471
3	29	4	40	10	left	left	1	18	15.873	1134
3	30	4	40	10	right	right	1	59	15.152	3894
3	31	4	40	10	right	right	1	33	15.193	2172
3	32	4	40	10	left	left	1	26	15.196	1711
3	33	4	40	10	left	left	1	36	15.274	2357
3	34	4	40	10	right	left	0	48	15.365	3124
3	35	4	40	10	left	left	1	16	15.686	1020
3	36	4	40	10	left	right	0	24	15.544	1544
3	37	4	40	10	right	right	1	57	15.389	3704
3	38	4	40	10	left	left	1	38	15.517	2449
3	39	4	40	10	right	right	1	28	15.53	1803
3	40	4	40	10	right	right	1	42	15.152	2772
4	1	4	40	10	left	right	0	43	15.479	2778
4	2	4	40	10	left	left	1	16	15.253	1049
4	3	4	40	10	left	right	0	16	15.519	1031
4	4	4	40	10	right	right	1	18	15.088	1193
4	5	4	40	10	left	left	1	53	15.438	3433
4	6	4	40	10	left	left	1	30	15.275	1964
4	7	4	40	10	right	left	0	79	15.233	5186
4	8	4	40	10	right	right	1	61	15.381	3966
4	9	4	40	10	left	right	0	86	15.297	5622
4	10	4	40	10	left	left	1	15	15.03	998
4	11	4	40	10	right	left	0	20	15.798	1266
4	12	4	40	10	right	right	1	8	16.878	474
4	13	4	40	10	left	right	0	6	15.584	385
4	14	4	40	10	left	left	1	5	14.749	339
4	15	4	40	10	left	left	1	5	17.483	286
4	16	4	40	10	right	right	1	6	17.442	344
4	17	4	40	10	right	tooFast	2	3	17.442	172
4	18	4	40	10	left	left	1	35	15.466	2263
4	19	4	40	10	left	left	1	19	15.574	1220
4	20	4	40	10	right	left	0	20	15.748	1270
4	21	4	40	10	right	left	0	27	15.16	1781
4	22	4	40	10	left	right	0	48	15.142	3170
4	23	4	40	10	left	left	1	27	15.315	1763
4	24	4	40	10	left	left	1	18	15.358	1172
4	25	4	40	10	left	left	1	18	15.901	1132
4	26	4	40	10	right	left	0	17	15.343	1108
4	27	4	40	10	right	left	0	42	15.396	2728
4	28	4	40	10	right	right	1	25	15.263	1638
4	29	4	40	10	right	left	0	20	15.408	1298
4	30	4	40	10	right	right	1	12	15.894	755
4	31	4	40	10	right	left	0	18	15.721	1145
4	32	4	40	10	left	left	1	84	15.289	5494
4	33	4	40	10	left	left	1	40	15.302	2614
4	34	4	40	10	right	left	0	91	15.304	5946
4	35	4	40	10	left	left	1	44	15.178	2899
4	36	4	40	10	right	left	0	27	15.411	1752
4	37	4	40	10	right	right	1	65	15.345	4236
4	38	4	40	10	right	right	1	16	15.094	1060
4	39	4	40	10	left	right	0	28	15.201	1842
4	40	4	40	10	right	right	1	16	15.253	1049
5	1	4	40	10	left	right	0	35	15.412	2271
5	2	4	40	10	left	left	1	40	15.438	2591
5	3	4	40	10	right	left	0	88	15.286	5757
5	4	4	40	10	left	left	1	102	15.161	6728
5	5	4	40	10	left	left	1	39	15.187	2568
5	6	4	40	10	right	right	1	74	15.305	4835
5	7	4	40	10	right	left	0	139	15.158	9170
5	8	4	40	10	right	right	1	108	15.211	7100
5	9	4	40	10	right	right	1	85	15.184	5598
5	10	4	40	10	right	right	1	171	15.204	11247
5	11	4	40	10	right	right	1	130	15.224	8539
5	12	4	40	10	right	right	1	115	15.146	7593
5	13	4	40	10	left	left	1	184	15.164	12134
5	14	4	40	10	right	right	1	63	15.351	4104
5	15	4	40	10	right	left	0	73	15.326	4763
5	16	4	40	10	left	left	1	67	15.265	4389
5	17	4	40	10	right	left	0	75	15.269	4912
5	18	4	40	10	left	right	0	155	15.212	10189
5	19	4	40	10	right	right	1	23	15.262	1507
5	20	4	40	10	right	right	1	18	16.014	1124
5	21	4	40	10	left	right	0	19	15.472	1228
5	22	4	40	10	right	right	1	20	15.588	1283
5	23	4	40	10	right	right	1	84	15.201	5526
5	24	4	40	10	left	right	0	43	15.457	2782
5	25	4	40	10	left	left	1	33	15.413	2141
5	26	4	40	10	left	left	1	22	15.12	1455
5	27	4	40	10	left	left	1	16	15.166	1055
5	28	4	40	10	left	left	1	17	15.918	1068
5	29	4	40	10	left	right	0	60	15.33	3914
5	30	4	40	10	left	left	1	22	15.636	1407
5	31	4	40	10	left	left	1	43	15.205	2828
5	32	4	40	10	right	left	0	19	15.523	1224
5	33	4	40	10	left	left	1	24	15.316	1567
5	34	4	40	10	right	left	0	16	15.238	1050
5	35	4	40	10	left	left	1	31	15.166	2044
5	36	4	40	10	right	left	0	16	15.34	1043
5	37	4	40	10	left	left	1	19	15.651	1214
5	38	4	40	10	right	left	0	16	15.873	1008
5	39	4	40	10	left	left	1	18	15.611	1153
5	40	4	40	10	right	left	0	21	15.801	1329
6	1	4	40	10	left	left	1	30	15.228	1970
6	2	4	40	10	right	right	1	51	15.325	3328
6	3	4	40	10	left	left	1	77	15.16	5079
6	4	4	40	10	left	left	1	144	15.235	9452
6	5	4	40	10	left	left	1	70	15.241	4593
6	6	4	40	10	right	left	0	57	15.351	3713
6	7	4	40	10	right	right	1	24	15.152	1584
