
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	16	15.123	1058
1	2	4	40	10	left	left	1	16	15.625	1024
1	3	4	40	10	right	right	1	12	15.707	764
1	4	4	40	10	right	left	0	12	15.113	794
1	5	4	40	10	left	left	1	15	15.416	973
1	6	4	40	10	left	left	1	22	15.352	1433
1	7	4	40	10	right	right	1	15	15.259	983
1	8	4	40	10	left	left	1	23	15.84	1452
1	9	4	40	10	left	left	1	24	15.514	1547
1	10	4	40	10	right	right	1	19	15.768	1205
1	11	4	40	10	right	right	1	15	15.4	974
1	12	4	40	10	right	left	0	22	15.526	1417
1	13	4	40	10	left	right	0	24	15.424	1556
1	14	4	40	10	right	right	1	26	15.449	1683
1	15	4	40	10	left	right	0	35	15.351	2280
1	16	4	40	10	right	right	1	25	15.375	1626
1	17	4	40	10	left	left	1	47	15.152	3102
1	18	4	40	10	right	right	1	19	15.953	1191
1	19	4	40	10	right	right	1	21	15.625	1344
1	20	4	40	10	right	right	1	22	15.759	1396
1	21	4	40	10	left	left	1	20	15.408	1298
1	22	4	40	10	right	right	1	22	15.737	1398
1	23	4	40	10	right	right	1	35	15.378	2276
1	24	4	40	10	right	right	1	27	15.482	1744
1	25	4	40	10	left	left	1	13	15.205	855
1	26	4	40	10	left	left	1	16	15.399	1039
1	27	4	40	10	left	left	1	23	15.499	1484
1	28	4	40	10	left	left	1	19	15.164	1253
1	29	4	40	10	left	right	0	16	15.399	1039
1	30	4	40	10	right	left	0	13	16.069	809
1	31	4	40	10	left	right	0	13	15.7	828
1	32	4	40	10	right	right	1	18	15.19	1185
1	33	4	40	10	right	right	1	22	15.352	1433
1	34	4	40	10	left	left	1	20	15.337	1304
1	35	4	40	10	right	right	1	23	15.668	1468
1	36	4	40	10	left	left	1	32	15.355	2084
1	37	4	40	10	left	right	0	22	15.771	1395
1	38	4	40	10	right	right	1	17	15.77	1078
1	39	4	40	10	left	left	1	20	15.576	1284
1	40	4	40	10	left	left	1	28	15.226	1839
2	1	4	40	10	right	right	1	12	16.151	743
2	2	4	40	10	right	right	1	21	15.475	1357
2	3	4	40	10	right	right	1	16	15.857	1009
2	4	4	40	10	left	left	1	11	15.692	701
2	5	4	40	10	right	right	1	13	15.312	849
2	6	4	40	10	left	left	1	12	16.129	744
2	7	4	40	10	left	left	1	28	15.642	1790
2	8	4	40	10	left	right	0	26	15.569	1670
2	9	4	40	10	left	left	1	13	15.33	848
2	10	4	40	10	left	left	1	26	15.339	1695
2	11	4	40	10	left	left	1	34	15.308	2221
2	12	4	40	10	right	right	1	15	15.244	984
2	13	4	40	10	left	left	1	22	15.592	1411
2	14	4	40	10	right	right	1	12	15.936	753
2	15	4	40	10	left	left	1	14	15.927	879
2	16	4	40	10	left	left	1	23	15.222	1511
2	17	4	40	10	right	right	1	15	15.625	960
2	18	4	40	10	right	right	1	23	15.426	1491
2	19	4	40	10	left	left	1	19	16.007	1187
2	20	4	40	10	right	right	1	39	15.211	2564
2	21	4	40	10	right	right	1	23	15.625	1472
2	22	4	40	10	left	left	1	15	15.369	976
2	23	4	40	10	left	right	0	18	15.915	1131
2	24	4	40	10	right	right	1	15	16.181	927
2	25	4	40	10	right	right	1	22	15.614	1409
2	26	4	40	10	right	left	0	16	15.282	1047
2	27	4	40	10	left	left	1	26	15.467	1681
2	28	4	40	10	right	right	1	22	15.647	1406
2	29	4	40	10	right	right	1	23	15.753	1460
2	30	4	40	10	left	left	1	26	15.143	1717
2	31	4	40	10	right	right	1	22	15.603	1410
2	32	4	40	10	left	left	1	23	15.797	1456
2	33	4	40	10	left	left	1	35	15.405	2272
2	34	4	40	10	left	left	1	34	15.42	2205
2	35	4	40	10	left	right	0	22	15.374	1431
2	36	4	40	10	right	right	1	30	15.345	1955
2	37	4	40	10	left	left	1	33	15.172	2175
2	38	4	40	10	right	right	1	19	15.926	1193
2	39	4	40	10	right	left	0	24	15.287	1570
2	40	4	40	10	right	right	1	15	15.609	961
3	1	4	40	10	left	right	0	14	15.801	886
3	2	4	40	10	right	right	1	15	16.251	923
3	3	4	40	10	left	left	1	14	15.267	917
3	4	4	40	10	right	right	1	21	15.184	1383
3	5	4	40	10	right	left	0	13	15.403	844
3	6	4	40	10	right	right	1	13	15.758	825
3	7	4	40	10	left	left	1	19	15.625	1216
3	8	4	40	10	right	right	1	15	15.723	954
3	9	4	40	10	right	right	1	15	15.432	972
3	10	4	40	10	left	left	1	34	15.518	2191
3	11	4	40	10	left	right	0	15	15.856	946
3	12	4	40	10	left	left	1	19	15.422	1232
3	13	4	40	10	right	right	1	15	15.091	994
3	14	4	40	10	right	right	1	20	15.267	1310
3	15	4	40	10	left	left	1	13	16.049	810
3	16	4	40	10	right	right	1	20	15.408	1298
3	17	4	40	10	right	right	1	22	15.57	1413
3	18	4	40	10	left	right	0	31	15.408	2012
3	19	4	40	10	right	right	1	15	15.152	990
3	20	4	40	10	right	right	1	24	15.365	1562
3	21	4	40	10	left	left	1	15	16.094	932
3	22	4	40	10	right	right	1	15	15.4	974
3	23	4	40	10	right	right	1	53	15.191	3489
3	24	4	40	10	left	left	1	32	15.289	2093
3	25	4	40	10	left	left	1	22	15.658	1405
3	26	4	40	10	left	left	1	28	15.669	1787
3	27	4	40	10	right	right	1	28	15.127	1851
3	28	4	40	10	right	right	1	24	15.738	1525
3	29	4	40	10	left	right	0	23	15.395	1494
3	30	4	40	10	left	left	1	15	15.707	955
3	31	4	40	10	left	left	1	55	15.152	3630
3	32	4	40	10	left	left	1	24	15.257	1573
3	33	4	40	10	right	right	1	19	15.625	1216
3	34	4	40	10	right	right	1	36	15.352	2345
3	35	4	40	10	right	right	1	28	15.168	1846
3	36	4	40	10	left	left	1	31	15.438	2008
3	37	4	40	10	right	left	0	32	15.64	2046
3	38	4	40	10	left	right	0	38	15.316	2481
3	39	4	40	10	left	left	1	36	15.517	2320
3	40	4	40	10	left	left	1	26	15.285	1701
4	1	4	40	10	left	left	1	19	12.908	1472
4	2	4	40	10	right	right	1	22	15.714	1400
4	3	4	40	10	left	left	1	25	15.645	1598
4	4	4	40	10	right	right	1	21	15.613	1345
4	5	4	40	10	left	left	1	23	15.562	1478
4	6	4	40	10	right	right	1	22	15.559	1414
4	7	4	40	10	left	right	0	30	15.408	1947
4	8	4	40	10	right	right	1	20	15.773	1268
4	9	4	40	10	right	right	1	21	15.742	1334
4	10	4	40	10	right	right	1	25	15.518	1611
4	11	4	40	10	left	left	1	29	15.508	1870
4	12	4	40	10	right	right	1	28	15.351	1824
4	13	4	40	10	left	left	1	26	15.691	1657
4	14	4	40	10	left	right	0	15	15.275	982
4	15	4	40	10	left	left	1	14	15.385	910
4	16	4	40	10	right	right	1	19	15.638	1215
4	17	4	40	10	right	left	0	29	15.558	1864
4	18	4	40	10	right	right	1	12	15.645	767
4	19	4	40	10	left	left	1	21	15.385	1365
4	20	4	40	10	left	left	1	27	15.679	1722
4	21	4	40	10	right	right	1	26	15.249	1705
4	22	4	40	10	right	right	1	21	15.648	1342
4	23	4	40	10	right	right	1	36	15.551	2315
4	24	4	40	10	left	right	0	47	15.42	3048
4	25	4	40	10	right	right	1	29	15.12	1918
4	26	4	40	10	right	left	0	28	15.342	1825
4	27	4	40	10	right	right	1	14	15.521	902
4	28	4	40	10	left	right	0	37	15.27	2423
4	29	4	40	10	left	left	1	10	16.129	620
4	30	4	40	10	left	left	1	19	15.966	1190
4	31	4	40	10	right	right	1	16	15.534	1030
4	32	4	40	10	left	right	0	23	15.426	1491
4	33	4	40	10	left	left	1	8	15.385	520
4	34	4	40	10	left	left	1	15	15.244	984
4	35	4	40	10	left	right	0	24	15.758	1523
4	36	4	40	10	right	left	0	7	17.115	409
4	37	4	40	10	left	right	0	7	17.722	395
4	38	4	40	10	right	right	1	18	15.254	1180
4	39	4	40	10	left	left	1	16	15.81	1012
4	40	4	40	10	right	right	1	15	15.244	984
5	1	4	40	10	left	left	1	28	15.625	1792
5	2	4	40	10	left	right	0	37	15.52	2384
5	3	4	40	10	left	left	1	17	15.799	1076
5	4	4	40	10	right	right	1	21	15.239	1378
5	5	4	40	10	right	right	1	17	15.511	1096
5	6	4	40	10	right	right	1	18	15.762	1142
5	7	4	40	10	right	right	1	17	16.008	1062
5	8	4	40	10	right	right	1	14	15.713	891
5	9	4	40	10	left	left	1	13	15.532	837
5	10	4	40	10	right	right	1	13	16.169	804
5	11	4	40	10	left	right	0	16	15.224	1051
5	12	4	40	10	right	left	0	9	16.636	541
5	13	4	40	10	left	left	1	14	16.166	866
5	14	4	40	10	left	left	1	24	15.686	1530
5	15	4	40	10	right	right	1	12	15.873	756
5	16	4	40	10	left	left	1	12	15.287	785
5	17	4	40	10	right	right	1	13	15.625	832
5	18	4	40	10	left	left	1	14	15.351	912
5	19	4	40	10	right	right	1	16	15.253	1049
5	20	4	40	10	left	left	1	14	15.521	902
5	21	4	40	10	right	right	1	14	15.368	911
5	22	4	40	10	left	left	1	14	15.47	905
5	23	4	40	10	right	right	1	13	16.049	810
5	24	4	40	10	left	left	1	14	16.037	873
5	25	4	40	10	left	right	0	13	15.439	842
5	26	4	40	10	right	left	0	21	15.373	1366
5	27	4	40	10	left	left	1	36	15.464	2328
5	28	4	40	10	right	right	1	13	15.385	845
5	29	4	40	10	left	right	0	24	15.727	1526
5	30	4	40	10	right	right	1	15	15.198	987
5	31	4	40	10	right	right	1	15	15.789	950
5	32	4	40	10	right	right	1	21	15.162	1385
5	33	4	40	10	right	right	1	17	15.206	1118
5	34	4	40	10	right	right	1	23	15.743	1461
5	35	4	40	10	left	right	0	40	15.408	2596
5	36	4	40	10	left	right	0	36	15.267	2358
5	37	4	40	10	right	left	0	10	16.835	594
5	38	4	40	10	left	left	1	12	15.464	776
5	39	4	40	10	left	left	1	13	15.222	854
5	40	4	40	10	left	right	0	13	15.222	854
6	1	4	40	10	left	left	1	13	15.625	832
6	2	4	40	10	right	right	1	11	15.805	696
6	3	4	40	10	left	left	1	11	15.537	708
6	4	4	40	10	left	left	1	21	15.441	1360
6	5	4	40	10	right	right	1	11	15.152	726
6	6	4	40	10	left	left	1	12	15.584	770
6	7	4	40	10	right	right	1	16	15.152	1056
6	8	4	40	10	right	right	1	12	15.504	774
6	9	4	40	10	left	left	1	11	15.027	732
6	10	4	40	10	left	left	1	27	15.341	1760
6	11	4	40	10	right	right	1	15	16.164	928
6	12	4	40	10	right	right	1	23	15.436	1490
6	13	4	40	10	left	left	1	18	15.177	1186
6	14	4	40	10	right	right	1	20	15.221	1314
6	15	4	40	10	left	left	1	17	15.206	1118
6	16	4	40	10	left	right	0	16	15.936	1004
6	17	4	40	10	left	left	1	11	15.172	725
6	18	4	40	10	right	right	1	16	15.842	1010
6	19	4	40	10	left	left	1	17	15.315	1110
6	20	4	40	10	right	right	1	15	15.045	997
6	21	4	40	10	right	right	1	23	15.132	1520
6	22	4	40	10	left	left	1	18	15.293	1177
6	23	4	40	10	left	left	1	25	15.528	1610
6	24	4	40	10	right	right	1	11	15.172	725
6	25	4	40	10	left	left	1	16	15.595	1026
6	26	4	40	10	right	right	1	14	15.368	911
6	27	4	40	10	right	left	0	14	15.625	896
6	28	4	40	10	left	right	0	16	15.414	1038
6	29	4	40	10	right	right	1	19	15.833	1200
