
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	26	15.348	1694
1	2	4	40	10	left	left	1	17	15.918	1068
1	3	4	40	10	left	left	1	21	15.51	1354
1	4	4	40	10	right	right	1	18	15.734	1144
1	5	4	40	10	left	left	1	19	15.435	1231
1	6	4	40	10	right	right	1	22	15.007	1466
1	7	4	40	10	left	left	1	20	15.699	1274
1	8	4	40	10	right	right	1	15	15.528	966
1	9	4	40	10	left	left	1	23	15.122	1521
1	10	4	40	10	left	left	1	31	15.415	2011
1	11	4	40	10	right	right	1	23	15.202	1513
1	12	4	40	10	right	left	0	26	15.09	1723
1	13	4	40	10	right	right	1	20	15.54	1287
1	14	4	40	10	left	left	1	20	15.798	1266
1	15	4	40	10	right	right	1	26	15.276	1702
1	16	4	40	10	left	left	1	24	15.514	1547
1	17	4	40	10	right	right	1	14	15.385	910
1	18	4	40	10	left	right	0	24	15.238	1575
1	19	4	40	10	left	left	1	15	15.773	951
1	20	4	40	10	right	right	1	21	15.778	1331
1	21	4	40	10	right	right	1	18	15.203	1184
1	22	4	40	10	right	right	1	19	15.115	1257
1	23	4	40	10	left	left	1	15	15.823	948
1	24	4	40	10	right	right	1	13	16.291	798
1	25	4	40	10	right	right	1	16	15.504	1032
1	26	4	40	10	right	right	1	13	15.682	829
1	27	4	40	10	left	left	1	15	15.576	963
1	28	4	40	10	left	left	1	20	15.456	1294
1	29	4	40	10	left	left	1	25	15.3	1634
1	30	4	40	10	right	right	1	25	15.704	1592
1	31	4	40	10	left	left	1	35	15.331	2283
1	32	4	40	10	right	right	1	13	14.908	872
1	33	4	40	10	right	right	1	20	15.613	1281
1	34	4	40	10	right	right	1	16	15.429	1037
1	35	4	40	10	left	left	1	14	15.453	906
1	36	4	40	10	right	right	1	16	15.81	1012
1	37	4	40	10	right	right	1	24	15.615	1537
1	38	4	40	10	left	left	1	12	15.248	787
1	39	4	40	10	left	left	1	15	15.593	962
1	40	4	40	10	left	left	1	13	15.834	821
2	1	4	40	10	left	left	1	20	15.662	1277
2	2	4	40	10	right	right	1	17	15.726	1081
2	3	4	40	10	right	right	1	15	15.641	959
2	4	4	40	10	right	left	0	17	15.483	1098
2	5	4	40	10	left	left	1	13	15.222	854
2	6	4	40	10	right	right	1	15	15.907	943
2	7	4	40	10	right	right	1	16	15.595	1026
2	8	4	40	10	left	left	1	12	15.19	790
2	9	4	40	10	left	left	1	13	15.682	829
2	10	4	40	10	right	right	1	18	15.241	1181
2	11	4	40	10	left	left	1	11	16.035	686
2	12	4	40	10	left	left	1	12	15.915	754
2	13	4	40	10	left	left	1	12	16.282	737
2	14	4	40	10	right	right	1	13	15.663	830
2	15	4	40	10	left	left	1	13	15.663	830
2	16	4	40	10	right	right	1	13	15.081	862
2	17	4	40	10	left	left	1	12	15.979	751
