
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	82	15.319	5353
1	2	4	40	10	left	right	0	36	15.326	2349
1	3	4	40	10	left	left	1	34	15.392	2209
1	4	4	40	10	left	left	1	16	15.209	1052
1	5	4	40	10	right	right	1	25	15.097	1656
1	6	4	40	10	right	right	1	21	15.108	1390
1	7	4	40	10	right	right	1	12	15.075	796
1	8	4	40	10	right	left	0	30	15.129	1983
1	9	4	40	10	left	left	1	24	15.645	1534
1	10	4	40	10	right	left	0	21	15.119	1389
1	11	4	40	10	left	left	1	18	15.177	1186
1	12	4	40	10	left	left	1	50	15.11	3309
1	13	4	40	10	left	left	1	44	15.162	2902
1	14	4	40	10	left	right	0	62	15.111	4103
1	15	4	40	10	left	right	0	96	15.13	6345
1	16	4	40	10	right	left	0	16	15.066	1062
1	17	4	40	10	right	right	1	45	15.374	2927
1	18	4	40	10	left	left	1	34	15.476	2197
1	19	4	40	10	right	left	0	50	15.394	3248
1	20	4	40	10	right	left	0	45	15.096	2981
2	1	4	40	10	right	left	0	40	15.355	2605
2	2	4	40	10	right	left	0	47	15.137	3105
2	3	4	40	10	right	right	1	60	15.314	3918
2	4	4	40	10	left	right	0	43	15.33	2805
2	5	4	40	10	right	right	1	109	15.23	7157
2	6	4	40	10	left	right	0	34	15.125	2248
2	7	4	40	10	left	left	1	24	15.697	1529
2	8	4	40	10	right	left	0	32	7.899	4051
2	9	4	40	10	left	right	0	83	15.107	5494
2	10	4	40	10	right	left	0	25	15.106	1655
2	11	4	40	10	right	left	0	27	15.075	1791
2	12	4	40	10	left	right	0	69	15.276	4517
2	13	4	40	10	right	right	1	72	15.254	4720
2	14	4	40	10	left	left	1	78	15.149	5149
3	1	4	40	10	left	right	0	52	15.152	3432
3	2	4	40	10	left	left	1	95	15.147	6272
3	3	4	40	10	right	left	0	53	15.16	3496
3	4	4	40	10	left	right	0	57	15.16	3760
3	5	4	40	10	left	left	1	18	15.113	1191
3	6	4	40	10	left	left	1	18	15.088	1193
3	7	4	40	10	left	left	1	43	15.141	2840
3	8	4	40	10	right	right	1	60	15.14	3963
3	9	4	40	10	left	right	0	61	15.323	3981
3	10	4	40	10	left	left	1	60	15.14	3963
3	11	4	40	10	left	left	1	41	15.327	2675
3	12	4	40	10	right	left	0	53	15.327	3458
3	13	4	40	10	right	right	1	37	15.449	2395
3	14	4	40	10	right	right	1	74	15.152	4884
3	15	4	40	10	left	right	0	26	15.606	1666
3	16	4	40	10	right	left	0	27	15.101	1788
4	1	4	40	10	right	right	1	50	15.291	3270
4	2	4	40	10	left	right	0	47	15.44	3044
4	3	4	40	10	right	left	0	38	15.36	2474
4	4	4	40	10	right	right	1	65	15.269	4257
4	5	4	40	10	right	right	1	20	15.072	1327
4	6	4	40	10	left	right	0	17	15.111	1125
4	7	4	40	10	left	left	1	39	15.146	2575
4	8	4	40	10	right	left	0	32	15.399	2078
4	9	4	40	10	left	right	0	44	15.433	2851
4	10	4	40	10	right	left	0	16	15.686	1020
4	11	4	40	10	right	right	1	32	15.466	2069
4	12	4	40	10	left	right	0	64	15.307	4181
4	13	4	40	10	right	left	0	58	15.112	3838
4	14	4	40	10	left	right	0	36	15.557	2314
4	15	4	40	10	left	right	0	90	15.139	5945
4	16	4	40	10	right	left	0	22	15.759	1396
4	17	4	40	10	right	right	1	13	15.134	859
4	18	4	40	10	right	right	1	26	15.143	1717
4	19	4	40	10	right	right	1	48	15.152	3168
5	1	4	40	10	left	left	1	58	15.108	3839
5	2	4	40	10	right	right	1	87	15.295	5688
5	3	4	40	10	left	left	1	45	9.182	4901
5	4	4	40	10	right	left	0	54	15.113	3573
5	5	4	40	10	right	right	1	26	15.143	1717
5	6	4	40	10	right	right	1	22	15.647	1406
5	7	4	40	10	right	right	1	81	15.28	5301
5	8	4	40	10	left	right	0	18	15.101	1192
5	9	4	40	10	left	left	1	40	15.117	2646
5	10	4	40	10	left	left	1	58	15.108	3839
5	11	4	40	10	left	left	1	17	15.829	1074
