
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	24	15.524	1546
1	2	4	40	10	left	left	1	19	15.261	1245
1	3	4	40	10	left	right	0	16	16	1000
1	4	4	40	10	left	left	1	13	16.23	801
1	5	4	40	10	left	left	1	33	15.165	2176
1	6	4	40	10	left	left	1	14	15.713	891
1	7	4	40	10	left	left	1	10	15.152	660
1	8	4	40	10	left	left	1	9	14.803	608
1	9	4	40	10	right	right	1	11	16.32	674
1	10	4	40	10	right	right	1	12	15.81	759
1	11	4	40	10	left	left	1	13	15.116	860
1	12	4	40	10	right	right	1	13	16.311	797
1	13	4	40	10	right	right	1	13	15.7	828
1	14	4	40	10	right	right	1	11	15.537	708
1	15	4	40	10	left	right	0	13	15.294	850
1	16	4	40	10	right	left	0	10	14.925	670
1	17	4	40	10	right	right	1	22	15.726	1399
1	18	4	40	10	right	right	1	12	15.852	757
1	19	4	40	10	right	left	0	10	15.552	643
1	20	4	40	10	left	right	0	12	15.894	755
1	21	4	40	10	right	right	1	13	15.663	830
1	22	4	40	10	right	right	1	10	15.106	662
1	23	4	40	10	right	right	1	11	16.129	682
1	24	4	40	10	left	right	0	11	16.035	686
1	25	4	40	10	left	right	0	14	15.234	919
1	26	4	40	10	left	right	0	13	15.971	814
1	27	4	40	10	left	left	1	7	15.251	459
1	28	4	40	10	right	right	1	13	15.029	865
1	29	4	40	10	right	left	0	14	15.873	882
1	30	4	40	10	right	right	1	8	15.385	520
1	31	4	40	10	left	left	1	13	15.777	824
1	32	4	40	10	right	right	1	11	15.805	696
1	33	4	40	10	left	left	1	12	15.873	756
1	34	4	40	10	right	right	1	12	16.26	738
1	35	4	40	10	left	left	1	12	16.129	744
1	36	4	40	10	left	left	1	11	15.172	725
1	37	4	40	10	right	right	1	12	16.064	747
1	38	4	40	10	right	left	0	11	15.782	697
1	39	4	40	10	left	right	0	10	15.385	650
1	40	4	40	10	right	right	1	13	15.738	826
2	1	4	40	10	left	left	1	21	15.43	1361
2	2	4	40	10	right	right	1	9	15.025	599
2	3	4	40	10	right	right	1	23	15.614	1473
2	4	4	40	10	right	right	1	13	15.169	857
2	5	4	40	10	left	left	1	10	15.773	634
2	6	4	40	10	right	right	1	9	16.667	540
2	7	4	40	10	right	right	1	9	14.901	604
2	8	4	40	10	left	right	0	12	16.151	743
2	9	4	40	10	left	left	1	14	15.334	913
2	10	4	40	10	right	right	1	18	15.915	1131
2	11	4	40	10	left	left	1	11	15.737	699
2	12	4	40	10	left	right	0	12	15.171	791
2	13	4	40	10	left	right	0	12	15.248	787
2	14	4	40	10	right	right	1	12	15.326	783
2	15	4	40	10	left	right	0	13	15.081	862
2	16	4	40	10	right	left	0	9	16.949	531
2	17	4	40	10	right	right	1	8	15.123	529
2	18	4	40	10	left	left	1	12	15.769	761
2	19	4	40	10	left	right	0	14	15.234	919
2	20	4	40	10	left	right	0	22	15.726	1399
2	21	4	40	10	left	left	1	10	15.015	666
2	22	4	40	10	left	left	1	13	16.149	805
2	23	4	40	10	left	left	1	12	16.021	749
2	24	4	40	10	right	left	0	10	16.155	619
2	25	4	40	10	left	right	0	14	15.73	890
2	26	4	40	10	right	right	1	13	15.476	840
2	27	4	40	10	right	left	0	15	15.74	953
2	28	4	40	10	right	right	1	9	16.514	545
2	29	4	40	10	right	right	1	11	15.603	705
2	30	4	40	10	left	right	0	8	16.461	486
2	31	4	40	10	right	right	1	28	15.267	1834
2	32	4	40	10	left	right	0	12	15.873	756
2	33	4	40	10	right	left	0	17	15.413	1103
2	34	4	40	10	right	right	1	14	16.018	874
2	35	4	40	10	right	right	1	11	15.048	731
2	36	4	40	10	left	left	1	17	15.843	1073
2	37	4	40	10	left	left	1	16	15.267	1048
2	38	4	40	10	right	right	1	12	15.209	789
2	39	4	40	10	right	left	0	14	15.419	908
2	40	4	40	10	left	right	0	6	15.504	387
3	1	4	40	10	left	right	0	18	15.228	1182
3	2	4	40	10	left	left	1	12	16.043	748
3	3	4	40	10	right	right	1	12	15.267	786
3	4	4	40	10	left	left	1	9	16.275	553
3	5	4	40	10	right	right	1	9	16.245	554
3	6	4	40	10	left	left	1	8	15.534	515
3	7	4	40	10	left	left	1	15	15.707	955
3	8	4	40	10	left	left	1	24	15.248	1574
3	9	4	40	10	left	left	1	27	15.544	1737
3	10	4	40	10	right	left	0	14	15.909	880
3	11	4	40	10	right	right	1	8	15.686	510
3	12	4	40	10	right	right	1	13	16.129	806
