
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	left	0	483	15.177	31825
1	2	4	40	10	left	left	1	39	15.312	2547
1	3	4	40	10	right	right	1	43	15.418	2789
1	4	4	40	10	right	left	0	18	15.531	1159
1	5	4	40	10	right	right	1	143	15.155	9436
1	6	4	40	10	right	tooFast	2	2	25.641	78
1	7	4	40	10	left	right	0	30	15.361	1953
1	8	4	40	10	left	left	1	21	15.683	1339
1	9	4	40	10	left	right	0	23	15.625	1472
1	10	4	40	10	left	right	0	14	15.521	902
2	1	4	40	10	left	left	1	23	15.212	1512
2	2	4	40	10	right	left	0	23	15.436	1490
2	3	4	40	10	left	right	0	32	15.159	2111
2	4	4	40	10	left	left	1	19	15.768	1205
2	5	4	40	10	left	tooFast	2	2	21.277	94
2	6	4	40	10	right	left	0	15	15.89	944
2	7	4	40	10	left	left	1	10	15.06	664
2	8	4	40	10	left	right	0	17	15.247	1115
2	9	4	40	10	left	right	0	9	14.827	607
2	10	4	40	10	right	right	1	14	15.504	903
2	11	4	40	10	left	tooFast	2	2	25.316	79
2	12	4	40	10	right	left	0	22	15.183	1449
2	13	4	40	10	left	left	1	11	15.515	709
2	14	4	40	10	left	tooFast	2	2	21.505	93
2	15	4	40	10	left	right	0	15	15.432	972
2	16	4	40	10	right	left	0	44	15.385	2860
2	17	4	40	10	right	left	0	52	15.236	3413
2	18	4	40	10	right	right	1	48	15.449	3107
2	19	4	40	10	right	tooFast	2	2	21.277	94
2	20	4	40	10	right	left	0	14	15.368	911
2	21	4	40	10	right	right	1	9	15.679	574
2	22	4	40	10	left	left	1	11	15.805	696
2	23	4	40	10	left	left	1	7	15.217	460
2	24	4	40	10	right	right	1	8	15.534	515
2	25	4	40	10	left	right	0	6	16.173	371
2	26	4	40	10	left	left	1	6	15.464	388
2	27	4	40	10	left	left	1	6	15.584	385
2	28	4	40	10	right	left	0	8	16.227	493
2	29	4	40	10	left	left	1	4	15.094	265
2	30	4	40	10	left	right	0	6	15.19	395
2	31	4	40	10	right	right	1	6	17.192	349
2	32	4	40	10	left	right	0	6	16.304	368
2	33	4	40	10	left	tooFast	2	3	16.216	185
2	34	4	40	10	left	left	1	9	15.491	581
2	35	4	40	10	right	left	0	9	16.158	557
2	36	4	40	10	right	left	0	5	16.234	308
