
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	153	15.144	10103
1	2	4	40	10	left	right	0	71	15.312	4637
1	3	4	40	10	right	left	0	83	15.314	5420
1	4	4	40	10	right	right	1	179	15.184	11789
1	5	4	40	10	left	right	0	69	15.272	4518
1	6	4	40	10	right	left	0	52	15.357	3386
1	7	4	40	10	right	right	1	145	15.18	9552
1	8	4	40	10	left	left	1	53	15.371	3448
1	9	4	40	10	right	left	0	54	15.263	3538
1	10	4	40	10	right	left	0	101	15.252	6622
1	11	4	40	10	right	right	1	71	15.252	4655
1	12	4	40	10	right	right	1	120	15.182	7904
1	13	4	40	10	left	left	1	81	15.3	5294
1	14	4	40	10	right	left	0	27	15.341	1760
1	15	4	40	10	right	left	0	97	15.242	6364
1	16	4	40	10	left	right	0	64	15.329	4175
1	17	4	40	10	right	right	1	47	15.21	3090
1	18	4	40	10	left	left	1	44	15.471	2844
1	19	4	40	10	right	right	1	44	15.241	2887
1	20	4	40	10	right	left	0	52	15.276	3404
1	21	4	40	10	left	right	0	61	15.269	3995
1	22	4	40	10	left	left	1	66	15.25	4328
1	23	4	40	10	left	left	1	130	15.226	8538
1	24	4	40	10	right	left	0	70	15.271	4584
1	25	4	40	10	left	right	0	52	15.272	3405
1	26	4	40	10	left	right	0	57	15.306	3724
1	27	4	40	10	left	left	1	53	15.327	3458
1	28	4	40	10	right	left	0	52	15.308	3397
1	29	4	40	10	left	left	1	98	15.246	6428
1	30	4	40	10	right	right	1	38	15.347	2476
1	31	4	40	10	right	left	0	29	15.376	1886
1	32	4	40	10	right	left	0	198	15.188	13037
1	33	4	40	10	left	right	0	89	15.149	5875
1	34	4	40	10	left	left	1	69	15.208	4537
1	35	4	40	10	right	left	0	104	15.256	6817
1	36	4	40	10	left	right	0	74	15.192	4871
1	37	4	40	10	left	left	1	71	15.318	4635
1	38	4	40	10	left	left	1	50	15.184	3293
1	39	4	40	10	left	right	0	46	15.313	3004
1	40	4	40	10	left	left	1	29	15.295	1896
2	1	4	40	10	left	left	1	68	15.209	4471
2	2	4	40	10	left	left	1	35	15.535	2253
2	3	4	40	10	right	right	1	47	15.295	3073
2	4	4	40	10	right	left	0	62	15.248	4066
2	5	4	40	10	right	right	1	44	15.267	2882
2	6	4	40	10	right	left	0	30	15.377	1951
2	7	4	40	10	right	right	1	24	15.385	1560
2	8	4	40	10	right	right	1	24	15.277	1571
2	9	4	40	10	right	left	0	58	15.275	3797
2	10	4	40	10	right	right	1	40	15.256	2622
2	11	4	40	10	left	right	0	27	15.661	1724
2	12	4	40	10	left	left	1	53	15.3	3464
2	13	4	40	10	left	right	0	35	15.06	2324
2	14	4	40	10	left	left	1	53	15.239	3478
2	15	4	40	10	right	left	0	29	15.279	1898
2	16	4	40	10	left	left	1	137	15.192	9018
2	17	4	40	10	right	left	0	70	15.284	4580
2	18	4	40	10	right	right	1	28	15.547	1801
2	19	4	40	10	right	right	1	38	15.164	2506
2	20	4	40	10	left	right	0	28	15.242	1837
2	21	4	40	10	left	left	1	66	15.239	4331
2	22	4	40	10	right	right	1	59	15.313	3853
2	23	4	40	10	left	left	1	33	15.207	2170
2	24	4	40	10	left	right	0	29	15.385	1885
2	25	4	40	10	right	left	0	33	15.242	2165
2	26	4	40	10	left	left	1	47	15.161	3100
2	27	4	40	10	left	left	1	24	15.248	1574
2	28	4	40	10	right	right	1	59	15.14	3897
2	29	4	40	10	right	left	0	93	15.218	6111
2	30	4	40	10	right	right	1	38	15.397	2468
2	31	4	40	10	right	right	1	93	15.181	6126
2	32	4	40	10	left	left	1	42	15.407	2726
2	33	4	40	10	left	right	0	31	15.392	2014
2	34	4	40	10	right	left	0	41	15.425	2658
2	35	4	40	10	left	right	0	25	15.499	1613
2	36	4	40	10	left	left	1	28	15.573	1798
2	37	4	40	10	left	left	1	32	15.159	2111
2	38	4	40	10	right	left	0	24	15.228	1576
2	39	4	40	10	left	right	0	60	15.186	3951
2	40	4	40	10	left	left	1	25	15.432	1620
3	1	4	40	10	left	left	1	93	15.258	6095
3	2	4	40	10	right	left	0	39	15.439	2526
3	3	4	40	10	left	right	0	32	15.399	2078
3	4	4	40	10	left	left	1	13	16.03	811
3	5	4	40	10	left	left	1	20	15.117	1323
3	6	4	40	10	right	left	0	30	15.377	1951
3	7	4	40	10	right	right	1	18	15.088	1193
3	8	4	40	10	left	left	1	13	15.588	834
3	9	4	40	10	right	right	1	17	15.962	1065
3	10	4	40	10	left	left	1	15	15.907	943
3	11	4	40	10	left	right	0	17	15.712	1082
3	12	4	40	10	right	left	0	23	15.488	1485
3	13	4	40	10	left	right	0	16	15.34	1043
3	14	4	40	10	right	left	0	35	15.099	2318
3	15	4	40	10	left	right	0	27	15.067	1792
3	16	4	40	10	right	right	1	45	15.254	2950
3	17	4	40	10	right	right	1	35	15.535	2253
3	18	4	40	10	right	right	1	37	15.462	2393
3	19	4	40	10	left	left	1	69	15.182	4545
3	20	4	40	10	right	right	1	31	15.385	2015
3	21	4	40	10	left	left	1	18	15.873	1134
3	22	4	40	10	left	right	0	39	15.439	2526
3	23	4	40	10	right	left	0	31	15.271	2030
3	24	4	40	10	right	right	1	50	15.385	3250
3	25	4	40	10	left	left	1	33	15.335	2152
3	26	4	40	10	right	right	1	107	15.229	7026
3	27	4	40	10	right	left	0	48	15.185	3161
3	28	4	40	10	left	right	0	250	15.192	16456
3	29	4	40	10	right	left	0	15	15.924	942
3	30	4	40	10	right	right	1	52	15.16	3430
3	31	4	40	10	right	left	0	26	15.394	1689
3	32	4	40	10	left	right	0	19	15.574	1220
3	33	4	40	10	left	right	0	13	16.03	811
3	34	4	40	10	right	right	1	11	15.647	703
3	35	4	40	10	left	left	1	35	15.112	2316
3	36	4	40	10	left	right	0	27	15.607	1730
3	37	4	40	10	left	left	1	49	15.327	3197
3	38	4	40	10	left	left	1	28	15.599	1795
3	39	4	40	10	right	right	1	57	15.31	3723
3	40	4	40	10	right	right	1	31	15.586	1989
4	1	4	40	10	left	left	1	144	15.206	9470
4	2	4	40	10	left	left	1	25	15.518	1611
4	3	4	40	10	right	right	1	27	15.625	1728
4	4	4	40	10	left	left	1	51	15.228	3349
4	5	4	40	10	left	right	0	17	15.539	1094
4	6	4	40	10	left	left	1	29	15.475	1874
4	7	4	40	10	right	right	1	50	15.3	3268
4	8	4	40	10	right	left	0	33	15.37	2147
4	9	4	40	10	right	right	1	29	15.55	1865
4	10	4	40	10	right	left	0	43	15.205	2828
4	11	4	40	10	left	right	0	18	15.464	1164
4	12	4	40	10	right	right	1	27	15.473	1745
4	13	4	40	10	left	left	1	79	15.331	5153
4	14	4	40	10	left	right	0	24	15.544	1544
4	15	4	40	10	left	left	1	20	15.552	1286
4	16	4	40	10	left	left	1	26	15.385	1690
4	17	4	40	10	right	right	1	42	15.217	2760
4	18	4	40	10	right	left	0	24	15.375	1561
4	19	4	40	10	right	right	1	26	15.249	1705
4	20	4	40	10	left	right	0	65	15.363	4231
4	21	4	40	10	right	left	0	23	15.092	1524
4	22	4	40	10	right	right	1	9	16.729	538
