
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	27	15.698	1720
1	2	4	40	10	right	left	0	13	15.569	835
1	3	4	40	10	left	right	0	10	16.474	607
1	4	4	40	10	right	right	1	11	16.035	686
1	5	4	40	10	right	right	1	11	15.581	706
1	6	4	40	10	left	right	0	12	16.173	742
1	7	4	40	10	left	right	0	24	15.375	1561
1	8	4	40	10	left	right	0	23	15.721	1463
1	9	4	40	10	left	left	1	25	15.142	1651
1	10	4	40	10	right	right	1	18	15.845	1136
1	11	4	40	10	right	left	0	46	15.177	3031
1	12	4	40	10	left	right	0	14	15.419	908
1	13	4	40	10	left	right	0	27	15.464	1746
1	14	4	40	10	right	left	0	13	16.129	806
1	15	4	40	10	right	right	1	11	15.942	690
1	16	4	40	10	right	right	1	13	15.663	830
1	17	4	40	10	left	right	0	19	15.561	1221
1	18	4	40	10	left	right	0	15	15.69	956
1	19	4	40	10	left	right	0	11	15.919	691
1	20	4	40	10	right	right	1	11	15.363	716
1	21	4	40	10	right	right	1	18	15.203	1184
1	22	4	40	10	left	left	1	19	15.625	1216
1	23	4	40	10	left	right	0	12	15.915	754
1	24	4	40	10	right	left	0	11	15.896	692
1	25	4	40	10	left	left	1	38	15.347	2476
1	26	4	40	10	left	right	0	17	15.554	1093
1	27	4	40	10	right	right	1	23	15.53	1481
1	28	4	40	10	left	right	0	35	15.344	2281
1	29	4	40	10	left	left	1	20	15.314	1306
1	30	4	40	10	left	right	0	14	15.385	910
1	31	4	40	10	right	left	0	16	15.444	1036
1	32	4	40	10	left	left	1	24	15.484	1550
2	1	4	40	10	right	right	1	27	15.652	1725
2	2	4	40	10	left	right	0	29	15.336	1891
2	3	4	40	10	left	left	1	12	15.915	754
2	4	4	40	10	right	left	0	30	15.306	1960
2	5	4	40	10	left	left	1	17	15.165	1121
2	6	4	40	10	left	left	1	50	15.286	3271
2	7	4	40	10	right	right	1	51	15.338	3325
2	8	4	40	10	left	right	0	44	15.172	2900
2	9	4	40	10	right	left	0	21	15.556	1350
2	10	4	40	10	left	left	1	58	15.332	3783
2	11	4	40	10	left	right	0	54	15.228	3546
2	12	4	40	10	left	right	0	56	15.397	3637
2	13	4	40	10	left	left	1	54	15.233	3545
2	14	4	40	10	left	right	0	62	15.263	4062
2	15	4	40	10	left	right	0	15	15.789	950
2	16	4	40	10	right	left	0	16	15.671	1021
2	17	4	40	10	right	left	0	71	15.177	4678
2	18	4	40	10	right	right	1	33	15.313	2155
2	19	4	40	10	left	left	1	63	15.21	4142
3	1	4	40	10	left	right	0	58	15.215	3812
3	2	4	40	10	left	right	0	23	15.416	1492
3	3	4	40	10	left	left	1	29	15.475	1874
3	4	4	40	10	right	right	1	19	15.886	1196
3	5	4	40	10	left	left	1	16	15.195	1053
3	6	4	40	10	left	right	0	18	15.28	1178
3	7	4	40	10	right	right	1	35	15.466	2263
3	8	4	40	10	left	right	0	37	15.442	2396
3	9	4	40	10	right	right	1	27	15.553	1736
3	10	4	40	10	right	right	1	27	15.562	1735
3	11	4	40	10	left	left	1	31	15.271	2030
3	12	4	40	10	right	right	1	38	15.397	2468
3	13	4	40	10	left	left	1	31	15.516	1998
3	14	4	40	10	left	right	0	48	15.37	3123
3	15	4	40	10	left	right	0	28	15.686	1785
3	16	4	40	10	right	left	0	54	15.451	3495
3	17	4	40	10	right	right	1	21	15.813	1328
3	18	4	40	10	right	left	0	44	15.477	2843
3	19	4	40	10	right	right	1	41	15.236	2691
3	20	4	40	10	left	right	0	41	15.242	2690
3	21	4	40	10	left	right	0	31	15.271	2030
3	22	4	40	10	left	left	1	35	15.344	2281
4	1	4	40	10	right	left	0	63	15.258	4129
4	2	4	40	10	left	left	1	38	15.46	2458
4	3	4	40	10	right	right	1	53	15.252	3475
4	4	4	40	10	left	left	1	33	15.235	2166
4	5	4	40	10	left	left	1	39	15.234	2560
4	6	4	40	10	right	right	1	65	15.291	4251
4	7	4	40	10	left	left	1	71	15.322	4634
4	8	4	40	10	left	left	1	45	15.348	2932
4	9	4	40	10	right	left	0	81	15.312	5290
4	10	4	40	10	left	left	1	25	15.394	1624
4	11	4	40	10	left	left	1	35	15.487	2260
4	12	4	40	10	left	left	1	25	15.17	1648
4	13	4	40	10	left	left	1	44	15.428	2852
4	14	4	40	10	right	left	0	26	15.196	1711
4	15	4	40	10	right	left	0	53	15.398	3442
4	16	4	40	10	left	left	1	59	15.297	3857
4	17	4	40	10	left	left	1	33	15.292	2158
5	1	4	40	10	right	left	0	27	15.429	1750
5	2	4	40	10	right	left	0	65	15.352	4234
5	3	4	40	10	left	left	1	38	15.341	2477
5	4	4	40	10	left	right	0	26	15.412	1687
5	5	4	40	10	right	right	1	46	15.488	2970
5	6	4	40	10	left	left	1	62	15.196	4080
5	7	4	40	10	left	right	0	80	15.349	5212
5	8	4	40	10	left	left	1	19	15.422	1232
5	9	4	40	10	left	left	1	36	15.564	2313
5	10	4	40	10	right	right	1	65	15.309	4246
5	11	4	40	10	right	right	1	119	15.278	7789
5	12	4	40	10	left	left	1	195	15.188	12839
5	13	4	40	10	left	left	1	166	15.208	10915
6	1	4	40	10	left	right	0	118	15.189	7769
6	2	4	40	10	left	left	1	29	15.303	1895
6	3	4	40	10	left	left	1	67	15.385	4355
6	4	4	40	10	left	left	1	30	15.4	1948
6	5	4	40	10	right	right	1	58	15.421	3761
6	6	4	40	10	right	right	1	34	15.213	2235
6	7	4	40	10	left	left	1	80	15.27	5239
6	8	4	40	10	left	left	1	46	15.421	2983
6	9	4	40	10	left	left	1	35	15.535	2253
6	10	4	40	10	right	right	1	22	15.526	1417
6	11	4	40	10	right	left	0	35	15.405	2272
6	12	4	40	10	right	right	1	43	15.396	2793
6	13	4	40	10	right	right	1	51	15.165	3363
6	14	4	40	10	right	right	1	86	15.24	5643
6	15	4	40	10	right	right	1	38	15.391	2469
6	16	4	40	10	right	right	1	45	15.374	2927
7	1	4	40	10	left	left	1	57	15.228	3743
7	2	4	40	10	right	left	0	37	15.462	2393
7	3	4	40	10	left	right	0	65	15.337	4238
7	4	4	40	10	right	left	0	43	15.178	2833
7	5	4	40	10	left	left	1	45	15.448	2913
7	6	4	40	10	right	right	1	74	15.195	4870
7	7	4	40	10	right	right	1	35	15.535	2253
7	8	4	40	10	left	right	0	31	15.431	2009
7	9	4	40	10	right	right	1	103	15.266	6747
7	10	4	40	10	right	right	1	18	15.707	1146
7	11	4	40	10	right	left	0	56	15.276	3666
7	12	4	40	10	left	right	0	20	15.349	1303
7	13	4	40	10	left	right	0	33	15.228	2167
7	14	4	40	10	left	right	0	46	15.385	2990
7	15	4	40	10	right	right	1	48	15.262	3145
7	16	4	40	10	right	left	0	23	15.499	1484
7	17	4	40	10	right	right	1	49	15.462	3169
8	1	4	40	10	left	left	1	16	15.968	1002
8	2	4	40	10	left	right	0	54	15.28	3534
8	3	4	40	10	right	left	0	15	15.244	984
8	4	4	40	10	left	right	0	137	15.222	9000
8	5	4	40	10	left	right	0	46	15.142	3038
8	6	4	40	10	right	left	0	42	15.43	2722
8	7	4	40	10	left	right	0	18	15.216	1183
8	8	4	40	10	left	tooFast	2	4	16.949	236
8	9	4	40	10	right	left	0	25	15.235	1641
8	10	4	40	10	right	right	1	36	15.451	2330
8	11	4	40	10	right	right	1	46	15.333	3000
8	12	4	40	10	right	right	1	47	15.304	3071
8	13	4	40	10	left	left	1	58	15.328	3784
8	14	4	40	10	right	right	1	88	15.206	5787
8	15	4	40	10	right	left	0	90	15.159	5937
8	16	4	40	10	right	right	1	51	15.174	3361
9	1	4	40	10	left	left	1	74	15.192	4871
9	2	4	40	10	left	right	0	54	15.246	3542
9	3	4	40	10	left	right	0	42	15.262	2752
9	4	4	40	10	right	left	0	24	15.248	1574
9	5	4	40	10	right	right	1	111	15.154	7325
9	6	4	40	10	right	right	1	17	15.247	1115
9	7	4	40	10	right	right	1	67	15.165	4418
9	8	4	40	10	left	left	1	20	15.373	1301
9	9	4	40	10	right	right	1	80	15.126	5289
9	10	4	40	10	left	left	1	49	15.414	3179
9	11	4	40	10	right	left	0	104	15.211	6837
9	12	4	40	10	left	right	0	55	15.295	3596
9	13	4	40	10	right	left	0	60	15.279	3927
9	14	4	40	10	left	right	0	15	16.112	931
9	15	4	40	10	right	right	1	35	15.556	2250
10	1	4	40	10	right	right	1	45	15.306	2940
10	2	4	40	10	right	right	1	45	15.157	2969
10	3	4	40	10	left	left	1	49	15.279	3207
10	4	4	40	10	right	right	1	24	15.666	1532
10	5	4	40	10	right	right	1	48	15.439	3109
10	6	4	40	10	right	right	1	49	15.317	3199
10	7	4	40	10	left	left	1	71	15.262	4652
10	8	4	40	10	right	right	1	48	15.238	3150
10	9	4	40	10	left	left	1	47	15.181	3096
10	10	4	40	10	left	left	1	71	15.168	4681
10	11	4	40	10	left	left	1	67	15.353	4364
10	12	4	40	10	right	right	1	62	15.354	4038
10	13	4	40	10	right	right	1	63	15.236	4135
10	14	4	40	10	left	right	0	54	15.22	3548
10	15	4	40	10	left	left	1	24	15.81	1518
10	16	4	40	10	right	right	1	38	15.479	2455
10	17	4	40	10	left	left	1	39	15.33	2544
11	1	4	40	10	left	right	0	37	15.239	2428
11	2	4	40	10	right	right	1	34	15.554	2186
11	3	4	40	10	right	left	0	40	15.408	2596
11	4	4	40	10	right	right	1	35	15.425	2269
11	5	4	40	10	left	right	0	53	15.362	3450
11	6	4	40	10	left	left	1	18	15.504	1161
11	7	4	40	10	left	left	1	43	15.221	2825
11	8	4	40	10	right	right	1	67	15.158	4420
11	9	4	40	10	right	right	1	57	15.261	3735
