
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	35	15.184	2305
1	2	4	40	10	right	right	1	40	15.256	2622
1	3	4	40	10	left	left	1	24	15.666	1532
1	4	4	40	10	right	right	1	26	15.578	1669
1	5	4	40	10	right	right	1	63	15.254	4130
1	6	4	40	10	right	right	1	48	15.394	3118
1	7	4	40	10	left	left	1	18	15.957	1128
1	8	4	40	10	left	left	1	28	15.427	1815
1	9	4	40	10	right	right	1	26	15.33	1696
1	10	4	40	10	left	left	1	35	15.211	2301
1	11	4	40	10	right	right	1	38	15.304	2483
1	12	4	40	10	left	left	1	20	15.76	1269
1	13	4	40	10	left	left	1	35	15.198	2303
1	14	4	40	10	right	right	1	23	15.668	1468
1	15	4	40	10	right	right	1	26	15.152	1716
1	16	4	40	10	right	right	1	51	15.311	3331
1	17	4	40	10	right	right	1	46	15.202	3026
1	18	4	40	10	left	left	1	22	15.428	1426
1	19	4	40	10	right	right	1	32	15.437	2073
1	20	4	40	10	left	left	1	15	15.512	967
1	21	4	40	10	left	left	1	15	16.129	930
1	22	4	40	10	left	left	1	16	15.686	1020
1	23	4	40	10	left	left	1	10	15.408	649
1	24	4	40	10	left	left	1	13	15.258	852
1	25	4	40	10	right	right	1	12	15.248	787
1	26	4	40	10	right	right	1	15	15.991	938
1	27	4	40	10	right	right	1	38	15.249	2492
1	28	4	40	10	left	left	1	19	15.86	1198
1	29	4	40	10	right	right	1	18	15.748	1143
1	30	4	40	10	left	left	1	14	15.385	910
1	31	4	40	10	right	right	1	29	15.231	1904
1	32	4	40	10	right	right	1	11	15.559	707
1	33	4	40	10	left	left	1	10	16.26	615
1	34	4	40	10	left	left	1	13	15.738	826
1	35	4	40	10	left	left	1	12	16.282	737
1	36	4	40	10	left	left	1	12	15.686	765
1	37	4	40	10	left	left	1	40	15.408	2596
1	38	4	40	10	right	right	1	12	16.129	744
1	39	4	40	10	left	left	1	8	15.686	510
1	40	4	40	10	right	right	1	10	16.313	613
2	1	4	40	10	right	right	1	18	15.203	1184
2	2	4	40	10	left	left	1	13	16.23	801
2	3	4	40	10	left	right	0	10	16.447	608
2	4	4	40	10	left	left	1	37	15.385	2405
2	5	4	40	10	left	left	1	15	15.045	997
2	6	4	40	10	right	right	1	12	15.789	760
2	7	4	40	10	right	right	1	12	15.666	766
2	8	4	40	10	right	right	1	12	15.707	764
2	9	4	40	10	right	right	1	50	15.423	3242
2	10	4	40	10	right	left	0	31	15.204	2039
2	11	4	40	10	right	right	1	43	15.473	2779
2	12	4	40	10	right	right	1	55	15.295	3596
2	13	4	40	10	right	right	1	27	15.598	1731
2	14	4	40	10	left	left	1	20	15.516	1289
2	15	4	40	10	left	left	1	19	15.472	1228
2	16	4	40	10	right	right	1	10	16.722	598
2	17	4	40	10	left	left	1	12	15.326	783
2	18	4	40	10	left	left	1	14	15.251	918
2	19	4	40	10	left	left	1	11	16.566	664
2	20	4	40	10	right	right	1	11	15.214	723
2	21	4	40	10	left	left	1	10	15.649	639
2	22	4	40	10	right	right	1	11	16.32	674
2	23	4	40	10	left	left	1	12	16.327	735
2	24	4	40	10	right	right	1	17	15.582	1091
2	25	4	40	10	left	left	1	13	15.312	849
2	26	4	40	10	left	left	1	15	15.106	993
2	27	4	40	10	left	left	1	23	15.753	1460
2	28	4	40	10	right	right	1	23	15.764	1459
2	29	4	40	10	right	right	1	10	16.611	602
2	30	4	40	10	left	right	0	12	15.544	772
2	31	4	40	10	left	left	1	10	16.26	615
2	32	4	40	10	left	left	1	12	16.282	737
2	33	4	40	10	right	right	1	11	15.493	710
2	34	4	40	10	left	left	1	15	15.593	962
2	35	4	40	10	right	right	1	14	15.267	917
2	36	4	40	10	right	left	0	44	15.199	2895
2	37	4	40	10	right	right	1	11	15.449	712
2	38	4	40	10	left	left	1	16	15.686	1020
2	39	4	40	10	right	right	1	12	15.605	769
2	40	4	40	10	left	left	1	11	16.012	687
3	1	4	40	10	left	left	1	23	15.416	1492
3	2	4	40	10	right	right	1	14	15.556	900
3	3	4	40	10	left	left	1	11	16.442	669
3	4	4	40	10	right	right	1	13	16.25	800
3	5	4	40	10	right	right	1	17	15.992	1063
3	6	4	40	10	left	left	1	11	16.641	661
3	7	4	40	10	left	left	1	14	16.204	864
3	8	4	40	10	left	left	1	15	15.756	952
3	9	4	40	10	left	left	1	13	16.03	811
3	10	4	40	10	right	right	1	12	15.287	785
3	11	4	40	10	right	right	1	16	16	1000
3	12	4	40	10	right	right	1	16	15.81	1012
3	13	4	40	10	left	left	1	11	15.278	720
3	14	4	40	10	right	right	1	11	16.082	684
3	15	4	40	10	right	right	1	12	15.979	751
3	16	4	40	10	right	right	1	11	15.873	693
3	17	4	40	10	left	left	1	11	15.449	712
3	18	4	40	10	right	right	1	10	15.699	637
3	19	4	40	10	right	right	1	18	15.531	1159
3	20	4	40	10	left	left	1	13	16.27	799
3	21	4	40	10	left	left	1	12	16.349	734
3	22	4	40	10	right	right	1	12	16.238	739
3	23	4	40	10	right	left	0	10	16.207	617
3	24	4	40	10	left	left	1	22	15.288	1439
3	25	4	40	10	left	left	1	16	15.764	1015
3	26	4	40	10	right	right	1	12	15.894	755
3	27	4	40	10	right	right	1	16	15.984	1001
3	28	4	40	10	right	right	1	11	15.172	725
3	29	4	40	10	left	left	1	12	15.584	770
3	30	4	40	10	left	left	1	12	15.957	752
3	31	4	40	10	left	left	1	15	15.94	941
3	32	4	40	10	left	left	1	13	16.089	808
3	33	4	40	10	right	right	1	12	16.349	734
3	34	4	40	10	left	right	0	9	16.187	556
3	35	4	40	10	right	right	1	8	15.842	505
3	36	4	40	10	right	right	1	10	15.625	640
3	37	4	40	10	left	left	1	9	15.762	571
3	38	4	40	10	left	left	1	9	15.306	588
3	39	4	40	10	left	left	1	13	16.149	805
3	40	4	40	10	right	right	1	10	15.924	628
4	1	4	40	10	right	right	1	9	16.729	538
4	2	4	40	10	left	right	0	12	16.086	746
4	3	4	40	10	left	left	1	11	15.363	716
4	4	4	40	10	left	left	1	10	15.625	640
4	5	4	40	10	left	left	1	10	15.773	634
4	6	4	40	10	left	left	1	10	16.103	621
4	7	4	40	10	left	right	0	12	16.304	736
4	8	4	40	10	right	right	1	13	16.089	808
4	9	4	40	10	left	left	1	21	15.362	1367
4	10	4	40	10	left	left	1	18	15.254	1180
4	11	4	40	10	left	left	1	10	16.529	605
4	12	4	40	10	left	left	1	22	15.737	1398
4	13	4	40	10	right	right	1	13	16.169	804
4	14	4	40	10	left	left	1	19	15.587	1219
4	15	4	40	10	left	right	0	17	15.683	1084
4	16	4	40	10	right	right	1	15	15.773	951
4	17	4	40	10	right	left	0	12	16.26	738
4	18	4	40	10	right	right	1	15	15.06	996
4	19	4	40	10	left	left	1	14	15.217	920
4	20	4	40	10	left	right	0	11	16.153	681
4	21	4	40	10	left	left	1	25	15.615	1601
4	22	4	40	10	right	right	1	12	15.686	765
4	23	4	40	10	right	right	1	15	15.974	939
4	24	4	40	10	right	right	1	15	16.216	925
4	25	4	40	10	right	right	1	9	15.228	591
4	26	4	40	10	left	left	1	27	15.271	1768
4	27	4	40	10	left	left	1	15	15.136	991
4	28	4	40	10	right	right	1	10	15.361	651
4	29	4	40	10	left	left	1	22	15.471	1422
4	30	4	40	10	right	right	1	11	15.342	717
4	31	4	40	10	right	right	1	13	15.758	825
4	32	4	40	10	right	right	1	11	16.176	680
4	33	4	40	10	right	right	1	11	16.667	660
4	34	4	40	10	right	right	1	11	15.471	711
4	35	4	40	10	right	right	1	11	15.581	706
4	36	4	40	10	right	right	1	10	15.244	656
4	37	4	40	10	right	right	1	17	15.947	1066
4	38	4	40	10	left	left	1	11	16.393	671
4	39	4	40	10	left	left	1	16	15.34	1043
4	40	4	40	10	right	right	1	14	15.625	896
5	1	4	40	10	right	right	1	21	15.648	1342
5	2	4	40	10	left	left	1	9	15.332	587
5	3	4	40	10	right	right	1	15	15.56	964
5	4	4	40	10	left	left	1	11	16.768	656
5	5	4	40	10	left	right	0	10	16.611	602
5	6	4	40	10	left	left	1	10	15.408	649
5	7	4	40	10	right	right	1	11	16.692	659
5	8	4	40	10	left	left	1	15	15.275	982
5	9	4	40	10	right	right	1	10	15.576	642
5	10	4	40	10	left	left	1	10	14.948	669
5	11	4	40	10	left	left	1	10	15.432	648
5	12	4	40	10	left	left	1	13	16.03	811
5	13	4	40	10	left	right	0	10	15.974	626
5	14	4	40	10	right	right	1	16	15.984	1001
5	15	4	40	10	right	right	1	10	16.103	621
5	16	4	40	10	right	right	1	11	15.827	695
5	17	4	40	10	right	right	1	10	15.337	652
5	18	4	40	10	left	left	1	14	15.945	878
5	19	4	40	10	right	left	0	11	15.131	727
5	20	4	40	10	right	right	1	16	15.137	1057
5	21	4	40	10	left	left	1	12	16	750
5	22	4	40	10	right	right	1	11	16.105	683
5	23	4	40	10	right	right	1	12	15.645	767
5	24	4	40	10	right	right	1	11	15.172	725
5	25	4	40	10	left	left	1	10	16.207	617
5	26	4	40	10	left	left	1	11	16.692	659
5	27	4	40	10	right	right	1	10	16.502	606
5	28	4	40	10	left	left	1	12	16.129	744
5	29	4	40	10	left	left	1	10	16.313	613
5	30	4	40	10	left	left	1	18	15.972	1127
5	31	4	40	10	left	left	1	16	15.534	1030
5	32	4	40	10	right	right	1	10	16.807	595
5	33	4	40	10	right	right	1	14	16.279	860
5	34	4	40	10	left	left	1	9	15.929	565
5	35	4	40	10	right	right	1	11	15.67	702
5	36	4	40	10	right	right	1	17	15.483	1098
5	37	4	40	10	left	left	1	11	15.782	697
5	38	4	40	10	right	right	1	10	16.313	613
5	39	4	40	10	left	left	1	12	15.81	759
5	40	4	40	10	right	right	1	10	16.556	604
6	1	4	40	10	left	left	1	15	15.015	999
6	2	4	40	10	right	right	1	13	16.189	803
6	3	4	40	10	left	left	1	9	16.514	545
6	4	4	40	10	left	left	1	47	15.255	3081
6	5	4	40	10	left	left	1	20	15.314	1306
6	6	4	40	10	left	left	1	23	15.732	1462
6	7	4	40	10	left	left	1	11	15.873	693
6	8	4	40	10	right	right	1	15	15.48	969
6	9	4	40	10	left	left	1	11	15.896	692
6	10	4	40	10	right	right	1	10	15.244	656
6	11	4	40	10	left	left	1	18	15.358	1172
