
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	223	15.219	14653
1	2	4	40	10	left	right	0	93	15.248	6099
1	3	4	40	10	left	right	0	220	15.154	14518
1	4	4	40	10	left	left	1	96	15.245	6297
1	5	4	40	10	right	right	1	86	15.17	5669
1	6	4	40	10	right	right	1	31	15.554	1993
1	7	4	40	10	right	left	0	51	15.375	3317
1	8	4	40	10	left	right	0	6	15.544	386
1	9	4	40	10	left	left	1	41	15.519	2642
2	1	4	40	10	left	left	1	44	15.32	2872
2	2	4	40	10	right	left	0	21	15.217	1380
2	3	4	40	10	right	tooFast	2	4	16.26	246
2	4	4	40	10	right	right	1	58	15.283	3795
2	5	4	40	10	left	left	1	78	15.166	5143
2	6	4	40	10	left	left	1	18	15.776	1141
2	7	4	40	10	left	left	1	17	15.568	1092
2	8	4	40	10	right	right	1	20	15.492	1291
2	9	4	40	10	left	left	1	15	15.275	982
2	10	4	40	10	right	right	1	81	15.312	5290
2	11	4	40	10	right	right	1	34	15.322	2219
2	12	4	40	10	left	left	1	16	15.656	1022
2	13	4	40	10	left	left	1	21	15.51	1354
2	14	4	40	10	right	right	1	15	16.06	934
2	15	4	40	10	right	right	1	23	15.625	1472
2	16	4	40	10	right	right	1	18	15.845	1136
2	17	4	40	10	right	right	1	15	15.512	967
2	18	4	40	10	left	left	1	11	15.942	690
2	19	4	40	10	right	right	1	12	15.345	782
2	20	4	40	10	left	left	1	12	16.043	748
2	21	4	40	10	left	left	1	18	15.707	1146
2	22	4	40	10	right	right	1	17	15.483	1098
2	23	4	40	10	right	right	1	13	15.476	840
2	24	4	40	10	right	right	1	11	15.11	728
2	25	4	40	10	left	left	1	12	16.216	740
2	26	4	40	10	left	left	1	15	15.723	954
2	27	4	40	10	left	left	1	14	15.837	884
2	28	4	40	10	right	right	1	13	15.24	853
2	29	4	40	10	left	left	1	11	16.058	685
2	30	4	40	10	right	right	1	11	16.369	672
2	31	4	40	10	right	right	1	12	15.385	780
2	32	4	40	10	right	right	1	45	15.4	2922
3	1	4	40	10	right	right	1	26	15.249	1705
3	2	4	40	10	right	right	1	12	16.151	743
3	3	4	40	10	left	left	1	11	16.082	684
3	4	4	40	10	left	left	1	14	15.784	887
3	5	4	40	10	right	right	1	11	16.176	680
3	6	4	40	10	right	right	1	11	15.048	731
3	7	4	40	10	left	left	1	28	15.086	1856
3	8	4	40	10	left	left	1	13	15.738	826
3	9	4	40	10	left	left	1	13	16.25	800
3	10	4	40	10	right	right	1	11	15.988	688
3	11	4	40	10	right	right	1	14	16	875
3	12	4	40	10	left	left	1	23	15.509	1483
3	13	4	40	10	right	right	1	58	15.312	3788
3	14	4	40	10	right	right	1	53	15.234	3479
3	15	4	40	10	left	left	1	51	15.315	3330
3	16	4	40	10	right	right	1	14	15.453	906
3	17	4	40	10	left	left	1	16	15.459	1035
3	18	4	40	10	left	right	0	99	15.184	6520
3	19	4	40	10	left	left	1	36	15.531	2318
3	20	4	40	10	right	right	1	14	15.301	915
3	21	4	40	10	left	left	1	18	15.776	1141
3	22	4	40	10	left	left	1	19	15.372	1236
3	23	4	40	10	left	left	1	19	15.152	1254
3	24	4	40	10	right	right	1	11	15.089	729
3	25	4	40	10	left	left	1	15	16.216	925
3	26	4	40	10	right	right	1	15	15.512	967
3	27	4	40	10	right	right	1	14	15.713	891
3	28	4	40	10	right	right	1	58	15.279	3796
3	29	4	40	10	right	right	1	16	15.779	1014
3	30	4	40	10	left	left	1	27	15.376	1756
4	1	4	40	10	right	right	1	23	15.808	1455
4	2	4	40	10	right	right	1	13	16.109	807
4	3	4	40	10	left	left	1	12	16.349	734
4	4	4	40	10	left	left	1	13	15.569	835
4	5	4	40	10	left	right	0	54	15.332	3522
4	6	4	40	10	left	left	1	15	16.094	932
4	7	4	40	10	right	right	1	24	15.171	1582
4	8	4	40	10	right	right	1	50	15.133	3304
4	9	4	40	10	right	right	1	34	15.518	2191
4	10	4	40	10	right	right	1	90	15.18	5929
4	11	4	40	10	left	left	1	132	15.258	8651
4	12	4	40	10	right	right	1	45	15.48	2907
4	13	4	40	10	right	right	1	23	15.551	1479
4	14	4	40	10	right	right	1	76	15.227	4991
4	15	4	40	10	left	left	1	70	15.291	4578
4	16	4	40	10	right	right	1	38	15.261	2490
4	17	4	40	10	left	left	1	64	15.253	4196
4	18	4	40	10	left	left	1	69	15.289	4513
5	1	4	40	10	left	left	1	27	15.464	1746
5	2	4	40	10	right	right	1	9	16.514	545
5	3	4	40	10	right	right	1	9	15.817	569
5	4	4	40	10	right	right	1	11	15.068	730
5	5	4	40	10	left	left	1	9	16.334	551
5	6	4	40	10	right	right	1	9	16.822	535
5	7	4	40	10	right	right	1	12	16.327	735
5	8	4	40	10	right	right	1	12	15.544	772
5	9	4	40	10	right	right	1	14	16.166	866
5	10	4	40	10	right	right	1	12	15.424	778
5	11	4	40	10	left	left	1	14	15.909	880
5	12	4	40	10	left	left	1	10	16	625
5	13	4	40	10	left	left	1	10	15.924	628
5	14	4	40	10	left	left	1	9	15.254	590
5	15	4	40	10	left	left	1	9	15.228	591
5	16	4	40	10	left	left	1	10	16.447	608
5	17	4	40	10	right	right	1	10	16.207	617
5	18	4	40	10	left	left	1	10	15.949	627
5	19	4	40	10	left	left	1	11	15.515	709
5	20	4	40	10	left	left	1	14	16.037	873
5	21	4	40	10	left	left	1	9	15.571	578
5	22	4	40	10	right	right	1	10	16.155	619
5	23	4	40	10	right	right	1	10	15.699	637
5	24	4	40	10	right	left	0	13	15.205	855
5	25	4	40	10	left	right	0	5	18.727	267
5	26	4	40	10	right	right	1	10	16.393	610
5	27	4	40	10	left	left	1	10	15.924	628
5	28	4	40	10	left	left	1	20	15.361	1302
5	29	4	40	10	left	left	1	10	15.974	626
5	30	4	40	10	left	left	1	10	15.337	652
5	31	4	40	10	right	right	1	10	16.051	623
5	32	4	40	10	left	left	1	10	15.798	633
5	33	4	40	10	left	left	1	10	16.155	619
5	34	4	40	10	left	left	1	14	16.11	869
5	35	4	40	10	left	left	1	10	16.313	613
5	36	4	40	10	left	left	1	9	15.437	583
5	37	4	40	10	right	right	1	9	16.043	561
5	38	4	40	10	right	right	1	9	16.275	553
5	39	4	40	10	right	right	1	9	16.275	553
5	40	4	40	10	left	left	1	10	16.835	594
5	41	4	40	10	right	right	1	11	16.296	675
5	42	4	40	10	left	left	1	10	16.051	623
5	43	4	40	10	right	right	1	9	16.76	537
5	44	4	40	10	left	left	1	13	15.758	825
5	45	4	40	10	left	left	1	9	16.791	536
5	46	4	40	10	left	left	1	9	16.729	538
5	47	4	40	10	right	right	1	8	15.152	528
5	48	4	40	10	left	left	1	7	15.351	456
5	49	4	40	10	right	right	1	7	15.419	454
5	50	4	40	10	left	left	1	7	16.667	420
5	51	4	40	10	left	left	1	10	16.447	608
5	52	4	40	10	left	left	1	6	16.216	370
5	53	4	40	10	right	right	1	8	16.227	493
5	54	4	40	10	left	left	1	9	15.517	580
5	55	4	40	10	right	right	1	9	16.364	550
5	56	4	40	10	left	left	1	10	15.291	654
5	57	4	40	10	right	left	0	8	16.949	472
6	1	4	40	10	left	left	1	16	15.795	1013
6	2	4	40	10	left	left	1	7	15.837	442
6	3	4	40	10	left	left	1	9	16.129	558
6	4	4	40	10	right	right	1	7	15.152	462
6	5	4	40	10	right	right	1	11	16.272	676
6	6	4	40	10	left	left	1	10	16.026	624
6	7	4	40	10	left	left	1	13	15.294	850
6	8	4	40	10	left	left	1	9	15.789	570
6	9	4	40	10	right	right	1	10	15.552	643
6	10	4	40	10	right	right	1	9	15.464	582
6	11	4	40	10	left	left	1	8	15.656	511
6	12	4	40	10	right	right	1	10	15.48	646
6	13	4	40	10	right	left	0	29	15.159	1913
6	14	4	40	10	right	right	1	13	16.23	801
6	15	4	40	10	left	left	1	12	15.464	776
6	16	4	40	10	right	right	1	15	16.199	926
6	17	4	40	10	right	right	1	14	15.625	896
6	18	4	40	10	left	left	1	13	16.089	808
6	19	4	40	10	left	left	1	10	15.649	639
6	20	4	40	10	left	left	1	11	15.759	698
6	21	4	40	10	left	left	1	11	15.647	703
6	22	4	40	10	left	left	1	11	16.32	674
6	23	4	40	10	left	left	1	12	15.666	766
6	24	4	40	10	right	right	1	13	16.189	803
6	25	4	40	10	left	left	1	22	15.515	1418
6	26	4	40	10	left	left	1	20	15.723	1272
6	27	4	40	10	left	left	1	16	15.952	1003
6	28	4	40	10	left	left	1	11	15.827	695
6	29	4	40	10	left	left	1	11	15.214	723
6	30	4	40	10	right	right	1	12	16.304	736
6	31	4	40	10	left	left	1	16	15.195	1053
6	32	4	40	10	left	left	1	11	16.129	682
6	33	4	40	10	right	right	1	27	15.358	1758
6	34	4	40	10	left	left	1	86	15.235	5645
6	35	4	40	10	left	left	1	13	15.777	824
6	36	4	40	10	left	left	1	9	15.652	575
6	37	4	40	10	left	left	1	32	15.385	2080
6	38	4	40	10	left	left	1	24	15.161	1583
6	39	4	40	10	left	left	1	15	15.213	986
6	40	4	40	10	right	right	1	18	16	1125
6	41	4	40	10	left	left	1	15	15.94	941
6	42	4	40	10	left	left	1	50	15.175	3295
7	1	4	40	10	left	left	1	19	15.055	1262
7	2	4	40	10	right	right	1	13	16.25	800
7	3	4	40	10	left	left	1	9	15.437	583
7	4	4	40	10	left	left	1	10	15.823	632
7	5	4	40	10	left	left	1	11	16.129	682
7	6	4	40	10	left	left	1	10	16.077	622
7	7	4	40	10	left	left	1	11	15.805	696
7	8	4	40	10	left	left	1	10	16.779	596
7	9	4	40	10	left	left	1	10	16.313	613
7	10	4	40	10	left	left	1	10	15.848	631
7	11	4	40	10	right	right	1	9	16.484	546
7	12	4	40	10	right	right	1	8	15.81	506
