
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	30	15.159	1979
1	2	4	40	10	right	left	0	32	15.519	2062
1	3	4	40	10	left	left	1	58	15.352	3778
1	4	4	40	10	right	left	0	53	15.204	3486
1	5	4	40	10	right	right	1	58	15.299	3791
1	6	4	40	10	left	right	0	40	15.089	2651
1	7	4	40	10	left	right	0	85	15.143	5613
1	8	4	40	10	left	left	1	32	15.116	2117
1	9	4	40	10	left	left	1	31	15.641	1982
1	10	4	40	10	left	left	1	32	15.355	2084
1	11	4	40	10	right	left	0	34	15.539	2188
1	12	4	40	10	right	right	1	56	15.172	3691
1	13	4	40	10	left	right	0	58	15.179	3821
1	14	4	40	10	left	left	1	85	15.249	5574
1	15	4	40	10	right	left	0	42	15.396	2728
1	16	4	40	10	left	right	0	78	15.149	5149
2	1	4	40	10	right	left	0	28	15.351	1824
2	2	4	40	10	right	left	0	53	15.13	3503
2	3	4	40	10	right	left	0	116	15.247	7608
2	4	4	40	10	left	left	1	23	15.52	1482
2	5	4	40	10	right	left	0	48	15.214	3155
2	6	4	40	10	left	right	0	62	15.215	4075
2	7	4	40	10	left	left	1	71	15.318	4635
2	8	4	40	10	left	left	1	123	15.23	8076
2	9	4	40	10	right	left	0	79	15.128	5222
2	10	4	40	10	left	left	1	99	15.231	6500
2	11	4	40	10	left	right	0	91	15.297	5949
3	1	4	40	10	left	left	1	144	15.224	9459
3	2	4	40	10	left	left	1	108	15.22	7096
3	3	4	40	10	right	right	1	75	15.291	4905
3	4	4	40	10	right	right	1	67	15.138	4426
3	5	4	40	10	left	left	1	57	15.232	3742
3	6	4	40	10	left	left	1	28	15.143	1849
3	7	4	40	10	left	left	1	34	15.546	2187
3	8	4	40	10	left	right	0	53	15.274	3470
3	9	4	40	10	right	right	1	30	15.576	1926
3	10	4	40	10	right	right	1	19	15.2	1250
3	11	4	40	10	right	left	0	38	15.441	2461
3	12	4	40	10	left	left	1	22	15.771	1395
3	13	4	40	10	left	left	1	39	15.372	2537
3	14	4	40	10	left	left	1	31	15.159	2045
3	15	4	40	10	right	right	1	22	15.759	1396
3	16	4	40	10	left	right	0	25	15.596	1603
3	17	4	40	10	left	right	0	42	15.157	2771
4	1	4	40	10	right	right	1	66	15.193	4344
4	2	4	40	10	left	left	1	36	15.19	2370
4	3	4	40	10	left	left	1	55	15.376	3577
4	4	4	40	10	right	right	1	13	15.187	856
4	5	4	40	10	right	left	0	21	15.34	1369
4	6	4	40	10	left	right	0	25	15.142	1651
4	7	4	40	10	right	right	1	34	15.308	2221
4	8	4	40	10	left	left	1	54	15.135	3568
4	9	4	40	10	left	left	1	56	15.189	3687
4	10	4	40	10	left	right	0	60	15.337	3912
4	11	4	40	10	left	right	0	16	15.81	1012
4	12	4	40	10	left	left	1	48	15.316	3134
4	13	4	40	10	left	left	1	56	15.313	3657
4	14	4	40	10	right	right	1	27	15.332	1761
4	15	4	40	10	left	right	0	37	15.41	2401
4	16	4	40	10	right	right	1	35	15.145	2311
4	17	4	40	10	right	left	0	69	15.168	4549
4	18	4	40	10	right	right	1	81	15.246	5313
5	1	4	40	10	left	right	0	48	15.409	3115
5	2	4	40	10	right	left	0	87	15.269	5698
5	3	4	40	10	left	left	1	15	15.69	956
5	4	4	40	10	left	left	1	33	15.228	2167
5	5	4	40	10	left	left	1	26	15.691	1657
5	6	4	40	10	left	right	0	21	15.453	1359
5	7	4	40	10	left	right	0	17	15.962	1065
5	8	4	40	10	right	right	1	10	15.723	636
5	9	4	40	10	right	left	0	85	15.138	5615
5	10	4	40	10	right	right	1	83	15.263	5438
5	11	4	40	10	left	right	0	68	15.247	4460
5	12	4	40	10	right	left	0	76	15.182	5006
5	13	4	40	10	left	right	0	88	15.22	5782
5	14	4	40	10	right	left	0	132	15.162	8706
6	1	4	40	10	left	right	0	94	15.213	6179
6	2	4	40	10	right	right	1	14	15.086	928
6	3	4	40	10	left	right	0	32	15.137	2114
6	4	4	40	10	left	left	1	20	15.736	1271
6	5	4	40	10	right	right	1	22	15.592	1411
6	6	4	40	10	right	left	0	22	15.089	1458
6	7	4	40	10	left	left	1	56	15.355	3647
6	8	4	40	10	left	right	0	45	15.291	2943
6	9	4	40	10	right	left	0	67	15.248	4394
6	10	4	40	10	left	right	0	74	15.283	4842
6	11	4	40	10	right	left	0	63	15.239	4134
6	12	4	40	10	left	right	0	31	15.4	2013
6	13	4	40	10	left	tooFast	2	4	17.167	233
6	14	4	40	10	right	right	1	45	15.422	2918
6	15	4	40	10	left	right	0	63	15.251	4131
6	16	4	40	10	right	right	1	70	15.148	4621
6	17	4	40	10	left	left	1	64	15.362	4166
7	1	4	40	10	left	left	1	34	15.138	2246
7	2	4	40	10	left	right	0	35	15.284	2290
7	3	4	40	10	right	right	1	14	15.538	901
7	4	4	40	10	right	right	1	97	15.276	6350
7	5	4	40	10	left	left	1	66	15.179	4348
7	6	4	40	10	left	right	0	57	15.265	3734
7	7	4	40	10	right	left	0	57	15.269	3733
7	8	4	40	10	right	right	1	45	15.348	2932
7	9	4	40	10	right	left	0	102	15.192	6714
7	10	4	40	10	right	left	0	32	15.526	2061
7	11	4	40	10	left	left	1	32	15.253	2098
7	12	4	40	10	right	right	1	48	15.18	3162
7	13	4	40	10	right	left	0	116	15.235	7614
7	14	4	40	10	right	right	1	122	15.248	8001
8	1	4	40	10	right	right	1	107	15.266	7009
8	2	4	40	10	right	right	1	37	15.17	2439
8	3	4	40	10	right	left	0	49	15.199	3224
8	4	4	40	10	left	left	1	16	15.595	1026
8	5	4	40	10	left	left	1	20	15.42	1297
8	6	4	40	10	left	left	1	61	15.327	3980
8	7	4	40	10	right	right	1	42	15.239	2756
8	8	4	40	10	right	right	1	32	15.466	2069
8	9	4	40	10	left	right	0	31	15.461	2005
8	10	4	40	10	left	left	1	14	15.102	927
8	11	4	40	10	right	left	0	39	15.222	2562
8	12	4	40	10	right	right	1	31	15.233	2035
8	13	4	40	10	right	right	1	27	15.254	1770
8	14	4	40	10	left	left	1	34	15.441	2202
8	15	4	40	10	right	right	1	26	15.143	1717
