
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	right	0	51	15.334	3326
1	2	4	40	10	left	left	1	25	15.366	1627
1	3	4	40	10	right	left	0	21	15.637	1343
1	4	4	40	10	right	right	1	17	15.625	1088
1	5	4	40	10	left	right	0	19	15.966	1190
1	6	4	40	10	left	left	1	23	15.499	1484
1	7	4	40	10	left	left	1	13	16.01	812
1	8	4	40	10	right	right	1	11	16.667	660
1	9	4	40	10	left	left	1	10	16.051	623
1	10	4	40	10	right	left	0	17	15.165	1121
1	11	4	40	10	right	right	1	10	15.337	652
1	12	4	40	10	right	right	1	13	16.109	807
1	13	4	40	10	right	left	0	13	15.532	837
1	14	4	40	10	left	right	0	9	15.571	578
1	15	4	40	10	left	right	0	13	15.476	840
1	16	4	40	10	right	left	0	21	15.766	1332
1	17	4	40	10	left	left	1	18	15.887	1133
1	18	4	40	10	left	left	1	23	15.082	1525
1	19	4	40	10	left	left	1	15	15.275	982
1	20	4	40	10	right	right	1	14	16.037	873
1	21	4	40	10	right	left	0	16	15.152	1056
1	22	4	40	10	right	right	1	10	15.748	635
1	23	4	40	10	right	right	1	15	15.167	989
1	24	4	40	10	right	left	0	15	15.609	961
1	25	4	40	10	right	right	1	7	17.157	408
1	26	4	40	10	right	right	1	14	16.26	861
1	27	4	40	10	left	right	0	18	15.241	1181
1	28	4	40	10	right	left	0	10	16.611	602
1	29	4	40	10	left	right	0	6	18.237	329
1	30	4	40	10	right	right	1	28	15.086	1856
1	31	4	40	10	right	left	0	28	15.201	1842
1	32	4	40	10	right	right	1	13	15.312	849
1	33	4	40	10	left	right	0	17	15.497	1097
1	34	4	40	10	right	left	0	13	15.854	820
1	35	4	40	10	right	left	0	15	16.164	928
1	36	4	40	10	right	right	1	9	16.822	535
2	1	4	40	10	left	right	0	20	15.637	1279
2	2	4	40	10	right	left	0	18	15.748	1143
2	3	4	40	10	right	right	1	13	15.55	836
2	4	4	40	10	right	right	1	16	15.326	1044
2	5	4	40	10	right	right	1	16	15.267	1048
2	6	4	40	10	right	left	0	13	16.149	805
2	7	4	40	10	right	right	1	6	15.306	392
2	8	4	40	10	left	left	1	26	15.222	1708
2	9	4	40	10	right	left	0	16	15.474	1034
2	10	4	40	10	left	right	0	12	15.228	788
2	11	4	40	10	left	left	1	10	16.26	615
2	12	4	40	10	left	left	1	10	15.601	641
2	13	4	40	10	left	right	0	19	15.886	1196
2	14	4	40	10	right	left	0	8	16.878	474
2	15	4	40	10	left	right	0	11	15.515	709
2	16	4	40	10	right	left	0	13	15.663	830
2	17	4	40	10	left	left	1	11	15.942	690
2	18	4	40	10	left	left	1	14	15.801	886
2	19	4	40	10	right	left	0	17	15.302	1111
2	20	4	40	10	right	right	1	13	15.873	819
2	21	4	40	10	left	right	0	15	15.723	954
2	22	4	40	10	left	left	1	12	15.424	778
2	23	4	40	10	right	right	1	18	15.411	1168
2	24	4	40	10	right	left	0	21	15.533	1352
2	25	4	40	10	right	left	0	20	15.613	1281
2	26	4	40	10	left	right	0	10	16.207	617
2	27	4	40	10	left	left	1	13	15.33	848
2	28	4	40	10	right	left	0	23	15.374	1496
2	29	4	40	10	left	right	0	18	15.332	1174
2	30	4	40	10	right	left	0	13	15.738	826
2	31	4	40	10	right	left	0	10	16.694	599
2	32	4	40	10	right	left	0	16	15.92	1005
2	33	4	40	10	right	right	1	7	16.018	437
2	34	4	40	10	left	right	0	26	15.16	1715
2	35	4	40	10	left	right	0	18	15.873	1134
2	36	4	40	10	left	left	1	12	15.424	778
2	37	4	40	10	right	left	0	23	15.541	1480
3	1	4	40	10	left	right	0	12	15.605	769
3	2	4	40	10	right	left	0	18	15.571	1156
3	3	4	40	10	right	left	0	18	15.504	1161
3	4	4	40	10	right	right	1	12	16.021	749
3	5	4	40	10	right	right	1	14	15.436	907
3	6	4	40	10	right	right	1	16	15.195	1053
3	7	4	40	10	right	right	1	13	15.606	833
3	8	4	40	10	left	left	1	25	15.615	1601
3	9	4	40	10	right	left	0	16	15.209	1052
3	10	4	40	10	right	left	0	24	15.104	1589
3	11	4	40	10	right	right	1	15	16.216	925
3	12	4	40	10	left	right	0	22	15.204	1447
3	13	4	40	10	right	right	1	20	15.396	1299
3	14	4	40	10	right	right	1	21	15.184	1383
3	15	4	40	10	right	right	1	22	15.504	1419
3	16	4	40	10	right	right	1	24	15.132	1586
3	17	4	40	10	right	right	1	20	15.76	1269
3	18	4	40	10	left	right	0	22	15.537	1416
3	19	4	40	10	right	right	1	15	15.576	963
3	20	4	40	10	left	left	1	34	15.192	2238
3	21	4	40	10	right	right	1	27	15.689	1721
3	22	4	40	10	left	left	1	25	15.625	1600
3	23	4	40	10	left	left	1	30	15.408	1947
3	24	4	40	10	left	left	1	29	15.303	1895
3	25	4	40	10	right	left	0	35	15.446	2266
3	26	4	40	10	left	left	1	12	16.238	739
3	27	4	40	10	right	right	1	14	15.625	896
3	28	4	40	10	right	left	0	32	15.087	2121
3	29	4	40	10	left	right	0	11	16.393	671
3	30	4	40	10	left	right	0	14	16.055	872
3	31	4	40	10	left	left	1	11	15.515	709
3	32	4	40	10	left	left	1	15	15.48	969
3	33	4	40	10	right	left	0	12	16.064	747
4	1	4	40	10	left	right	0	17	15.315	1110
4	2	4	40	10	left	left	1	8	16.032	499
4	3	4	40	10	left	left	1	20	15.432	1296
4	4	4	40	10	right	left	0	15	16.234	924
4	5	4	40	10	left	left	1	10	16.181	618
4	6	4	40	10	left	right	0	12	16.021	749
4	7	4	40	10	right	left	0	6	16.349	367
4	8	4	40	10	right	left	0	19	15.139	1255
4	9	4	40	10	right	right	1	10	15.649	639
4	10	4	40	10	right	left	0	38	15.316	2481
4	11	4	40	10	right	right	1	11	15.278	720
4	12	4	40	10	left	left	1	28	15.242	1837
4	13	4	40	10	right	left	0	19	15.447	1230
4	14	4	40	10	right	right	1	7	15.184	461
4	15	4	40	10	right	right	1	12	16.064	747
4	16	4	40	10	left	right	0	10	15.432	648
4	17	4	40	10	left	left	1	7	15.625	448
4	18	4	40	10	left	left	1	15	16.077	933
4	19	4	40	10	left	left	1	11	15.299	719
4	20	4	40	10	left	left	1	12	15.873	756
4	21	4	40	10	right	right	1	16	15.842	1010
4	22	4	40	10	right	left	0	21	15.742	1334
4	23	4	40	10	right	right	1	12	15.645	767
4	24	4	40	10	right	right	1	13	15.682	829
4	25	4	40	10	left	right	0	15	15.432	972
4	26	4	40	10	right	right	1	12	16.194	741
4	27	4	40	10	left	right	0	16	15.733	1017
4	28	4	40	10	left	left	1	10	15.552	643
4	29	4	40	10	left	left	1	16	15.094	1060
4	30	4	40	10	right	left	0	12	15.424	778
4	31	4	40	10	left	right	0	11	15.515	709
4	32	4	40	10	right	left	0	7	16.908	414
4	33	4	40	10	left	left	1	9	16.544	544
4	34	4	40	10	right	left	0	17	15.873	1071
4	35	4	40	10	right	left	0	13	15.892	818
4	36	4	40	10	right	right	1	6	15.707	382
4	37	4	40	10	right	right	1	19	15.715	1209
4	38	4	40	10	right	right	1	19	15.587	1219
4	39	4	40	10	right	right	1	21	15.487	1356
4	40	4	40	10	right	right	1	18	15.943	1129
5	1	4	40	10	right	right	1	12	15.645	767
5	2	4	40	10	left	right	0	15	15.94	941
5	3	4	40	10	right	right	1	24	15.424	1556
5	4	4	40	10	left	left	1	11	15.152	726
5	5	4	40	10	right	left	0	20	15.686	1275
5	6	4	40	10	left	right	0	15	15.464	970
5	7	4	40	10	right	right	1	11	16.517	666
5	8	4	40	10	right	left	0	17	16.008	1062
5	9	4	40	10	right	left	0	12	15.152	792
5	10	4	40	10	left	right	0	26	15.231	1707
5	11	4	40	10	left	left	1	10	16.077	622
5	12	4	40	10	right	left	0	20	15.723	1272
5	13	4	40	10	right	left	0	14	15.784	887
5	14	4	40	10	left	right	0	7	16.355	428
5	15	4	40	10	left	right	0	12	15.979	751
5	16	4	40	10	right	left	0	12	15.769	761
5	17	4	40	10	right	left	0	12	16.238	739
5	18	4	40	10	left	left	1	11	15.873	693
5	19	4	40	10	right	right	1	19	15.212	1249
5	20	4	40	10	left	right	0	23	15.84	1452
5	21	4	40	10	left	left	1	18	15.424	1167
5	22	4	40	10	left	left	1	15	15.773	951
5	23	4	40	10	right	left	0	15	15.464	970
5	24	4	40	10	left	left	1	17	15.152	1122
5	25	4	40	10	right	left	0	15	16.009	937
5	26	4	40	10	right	right	1	10	16.234	616
5	27	4	40	10	right	right	1	20	15.504	1290
5	28	4	40	10	right	right	1	16	15.311	1045
5	29	4	40	10	left	left	1	20	16	1250
5	30	4	40	10	right	left	0	19	15.873	1197
5	31	4	40	10	left	left	1	13	15.738	826
5	32	4	40	10	right	right	1	18	15.707	1146
5	33	4	40	10	right	right	1	21	15.34	1369
5	34	4	40	10	left	right	0	19	15.953	1191
5	35	4	40	10	right	left	0	11	15.714	700
5	36	4	40	10	right	left	0	12	15.873	756
5	37	4	40	10	left	left	1	19	15.335	1239
6	1	4	40	10	left	left	1	14	15.73	890
6	2	4	40	10	left	right	0	16	15.224	1051
6	3	4	40	10	left	left	1	10	16.103	621
