
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	20	15.373	1301
1	2	4	40	10	right	left	0	15	15.48	969
1	3	4	40	10	right	left	0	16	15.968	1002
1	4	4	40	10	left	left	1	16	15.109	1059
1	5	4	40	10	left	right	0	21	15.613	1345
1	6	4	40	10	right	right	1	17	15.138	1123
1	7	4	40	10	right	left	0	22	15.162	1451
1	8	4	40	10	left	left	1	19	15.044	1263
1	9	4	40	10	right	right	1	17	15.814	1075
1	10	4	40	10	right	right	1	21	15.707	1337
1	11	4	40	10	right	right	1	19	15.548	1222
1	12	4	40	10	left	right	0	18	15.411	1168
1	13	4	40	10	right	left	0	17	15.426	1102
1	14	4	40	10	right	right	1	21	15.43	1361
1	15	4	40	10	right	right	1	18	15.639	1151
1	16	4	40	10	right	right	1	17	15.525	1095
1	17	4	40	10	left	right	0	19	15.447	1230
1	18	4	40	10	right	right	1	15	15.167	989
1	19	4	40	10	right	right	1	18	14.988	1201
1	20	4	40	10	left	right	0	19	15.485	1227
1	21	4	40	10	left	left	1	18	15.611	1153
1	22	4	40	10	right	right	1	20	15.613	1281
1	23	4	40	10	left	right	0	20	15.468	1293
1	24	4	40	10	right	left	0	14	15.66	894
1	25	4	40	10	left	left	1	13	16.01	812
1	26	4	40	10	right	right	1	16	15.686	1020
1	27	4	40	10	right	right	1	16	15.137	1057
1	28	4	40	10	left	left	1	16	15.905	1006
1	29	4	40	10	right	right	1	13	15.873	819
1	30	4	40	10	right	right	1	19	15.599	1218
1	31	4	40	10	right	right	1	26	15.152	1716
1	32	4	40	10	left	left	1	20	15.209	1315
1	33	4	40	10	left	left	1	16	15.519	1031
1	34	4	40	10	right	right	1	25	15.198	1645
1	35	4	40	10	right	right	1	16	15.123	1058
2	1	4	40	10	right	right	1	11	15.581	706
2	2	4	40	10	left	left	1	12	15.81	759
2	3	4	40	10	left	left	1	11	15.342	717
2	4	4	40	10	right	right	1	14	15.317	914
2	5	4	40	10	left	right	0	14	16.129	868
2	6	4	40	10	left	left	1	11	15.759	698
2	7	4	40	10	left	left	1	11	15.131	727
2	8	4	40	10	left	left	1	15	15.06	996
