
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	212	15.206	13942
1	2	4	40	10	left	right	0	33	15.124	2182
1	3	4	40	10	left	right	0	34	15.302	2222
1	4	4	40	10	right	right	1	47	15.309	3070
1	5	4	40	10	left	right	0	42	15.223	2759
1	6	4	40	10	left	right	0	58	15.275	3797
1	7	4	40	10	right	left	0	48	15.316	3134
1	8	4	40	10	left	right	0	34	15.302	2222
1	9	4	40	10	right	left	0	32	15.34	2086
1	10	4	40	10	right	left	0	18	15.679	1148
1	11	4	40	10	right	right	1	59	15.265	3865
1	12	4	40	10	left	right	0	52	15.231	3414
1	13	4	40	10	right	left	0	35	15.257	2294
1	14	4	40	10	left	right	0	53	15.126	3504
1	15	4	40	10	left	left	1	17	15.843	1073
1	16	4	40	10	right	left	0	18	15.517	1160
1	17	4	40	10	left	right	0	66	15.232	4333
1	18	4	40	10	left	left	1	12	15.894	755
1	19	4	40	10	right	left	0	20	15.232	1313
1	20	4	40	10	left	left	1	11	15.759	698
1	21	4	40	10	right	left	0	30	15.44	1943
1	22	4	40	10	right	right	1	70	15.271	4584
1	23	4	40	10	right	right	1	17	15.165	1121
1	24	4	40	10	right	right	1	14	16.055	872
1	25	4	40	10	right	right	1	10	15.408	649
1	26	4	40	10	left	right	0	10	15.699	637
1	27	4	40	10	left	right	0	18	15.038	1197
1	28	4	40	10	right	right	1	62	15.185	4083
1	29	4	40	10	left	right	0	54	15.28	3534
1	30	4	40	10	left	left	1	77	15.326	5024
1	31	4	40	10	right	left	0	13	16.332	796
1	32	4	40	10	left	left	1	13	16.089	808
1	33	4	40	10	left	right	0	17	15.179	1120
1	34	4	40	10	left	left	1	16	15.094	1060
1	35	4	40	10	right	left	0	12	15.936	753
1	36	4	40	10	right	right	1	12	15.686	765
1	37	4	40	10	left	right	0	12	15.727	763
1	38	4	40	10	right	right	1	11	16.224	678
1	39	4	40	10	right	right	1	13	16.209	802
1	40	4	40	10	left	right	0	38	15.267	2489
2	1	4	40	10	right	right	1	52	15.236	3413
2	2	4	40	10	right	right	1	17	15.625	1088
2	3	4	40	10	left	right	0	13	16.109	807
2	4	4	40	10	left	right	0	20	15.221	1314
2	5	4	40	10	left	right	0	38	15.304	2483
2	6	4	40	10	left	right	0	11	15.559	707
2	7	4	40	10	left	right	0	8	15.267	524
2	8	4	40	10	right	left	0	33	15.327	2153
2	9	4	40	10	right	left	0	9	16.791	536
2	10	4	40	10	left	left	1	6	15.113	397
2	11	4	40	10	left	left	1	12	15.113	794
2	12	4	40	10	right	left	0	15	15.353	977
2	13	4	40	10	left	left	1	11	16.345	673
2	14	4	40	10	left	left	1	57	15.302	3725
2	15	4	40	10	right	left	0	20	15.256	1311
2	16	4	40	10	right	left	0	14	16.204	864
2	17	4	40	10	right	left	0	9	16.854	534
2	18	4	40	10	right	right	1	11	15.559	707
2	19	4	40	10	left	right	0	11	15.278	720
2	20	4	40	10	left	right	0	8	15.326	522
2	21	4	40	10	right	right	1	12	15.979	751
2	22	4	40	10	right	left	0	12	15.524	773
2	23	4	40	10	right	right	1	8	15.873	504
2	24	4	40	10	left	left	1	9	16.304	552
2	25	4	40	10	left	right	0	9	15.598	577
2	26	4	40	10	right	left	0	7	15.385	455
2	27	4	40	10	left	right	0	5	15.528	322
2	28	4	40	10	left	left	1	7	16.129	434
2	29	4	40	10	right	left	0	30	15.306	1960
2	30	4	40	10	left	right	0	7	17.073	410
2	31	4	40	10	right	left	0	9	15.544	579
2	32	4	40	10	right	left	0	7	16.432	426
2	33	4	40	10	left	left	1	7	15.217	460
2	34	4	40	10	left	left	1	12	15.915	754
2	35	4	40	10	left	left	1	11	15.278	720
2	36	4	40	10	right	left	0	16	15.671	1021
2	37	4	40	10	right	right	1	10	14.903	671
2	38	4	40	10	right	left	0	18	15.371	1171
2	39	4	40	10	right	right	1	6	16	375
2	40	4	40	10	left	right	0	9	16.917	532
3	1	4	40	10	left	right	0	26	15.394	1689
3	2	4	40	10	right	right	1	12	15.707	764
3	3	4	40	10	left	right	0	15	15.464	970
3	4	4	40	10	right	right	1	9	16.698	539
3	5	4	40	10	left	right	0	9	15.126	595
3	6	4	40	10	left	right	0	8	16.327	490
3	7	4	40	10	right	right	1	8	17.021	470
3	8	4	40	10	left	right	0	8	16.495	485
3	9	4	40	10	left	right	0	7	16.166	433
3	10	4	40	10	left	right	0	11	15.027	732
3	11	4	40	10	left	right	0	7	16.279	430
3	12	4	40	10	left	right	0	6	14.963	401
3	13	4	40	10	right	right	1	7	15.021	466
3	14	4	40	10	right	right	1	10	16.207	617
3	15	4	40	10	left	right	0	8	15.534	515
3	16	4	40	10	left	right	0	6	15.306	392
3	17	4	40	10	right	right	1	5	16.779	298
3	18	4	40	10	right	right	1	10	15.528	644
3	19	4	40	10	right	right	1	7	15.119	463
3	20	4	40	10	left	right	0	9	16.364	550
3	21	4	40	10	right	right	1	10	15.337	652
3	22	4	40	10	left	left	1	18	15.748	1143
3	23	4	40	10	right	left	0	64	15.271	4191
3	24	4	40	10	left	left	1	8	16.097	497
3	25	4	40	10	left	left	1	14	15.351	912
3	26	4	40	10	right	left	0	14	15.891	881
3	27	4	40	10	right	left	0	9	15.228	591
3	28	4	40	10	left	left	1	6	16.043	374
3	29	4	40	10	left	left	1	14	16	875
3	30	4	40	10	left	left	1	10	15.924	628
3	31	4	40	10	left	left	1	11	15.827	695
3	32	4	40	10	right	left	0	33	15.2	2171
3	33	4	40	10	right	right	1	16	15.355	1042
3	34	4	40	10	right	right	1	13	15.625	832
3	35	4	40	10	right	right	1	11	15.278	720
3	36	4	40	10	right	right	1	10	15.898	629
3	37	4	40	10	left	right	0	14	15.625	896
3	38	4	40	10	right	left	0	8	15.444	518
3	39	4	40	10	right	right	1	5	15.48	323
3	40	4	40	10	right	right	1	8	16.194	494
4	1	4	40	10	right	right	1	18	15.625	1152
4	2	4	40	10	right	right	1	12	15.789	760
4	3	4	40	10	right	right	1	23	15.152	1518
4	4	4	40	10	left	right	0	17	15.399	1104
4	5	4	40	10	right	left	0	8	16.529	484
4	6	4	40	10	right	left	0	9	16.071	560
4	7	4	40	10	left	left	1	5	14.62	342
4	8	4	40	10	left	left	1	15	15.873	945
4	9	4	40	10	left	left	1	11	15.027	732
4	10	4	40	10	left	left	1	27	15.254	1770
4	11	4	40	10	left	left	1	8	15.564	514
4	12	4	40	10	right	left	0	7	15.054	465
4	13	4	40	10	left	right	0	6	15.789	380
4	14	4	40	10	right	left	0	8	15.686	510
4	15	4	40	10	right	right	1	9	15.789	570
4	16	4	40	10	left	right	0	11	15.919	691
4	17	4	40	10	left	right	0	8	16.227	493
4	18	4	40	10	right	right	1	8	16.36	489
4	19	4	40	10	right	right	1	8	16.129	496
4	20	4	40	10	left	right	0	8	16.162	495
4	21	4	40	10	left	left	1	9	16.423	548
4	22	4	40	10	right	left	0	8	16.771	477
4	23	4	40	10	left	right	0	7	15.086	464
4	24	4	40	10	left	right	0	15	15.56	964
4	25	4	40	10	left	left	1	6	15.152	396
4	26	4	40	10	right	right	1	15	15.228	985
4	27	4	40	10	left	right	0	8	15.238	525
4	28	4	40	10	right	left	0	6	15.544	386
