
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	left	0	150	15.179	9882
1	2	4	40	10	right	left	0	70	15.247	4591
1	3	4	40	10	left	right	0	69	15.198	4540
1	4	4	40	10	left	left	1	93	15.276	6088
1	5	4	40	10	left	left	1	64	15.159	4222
1	6	4	40	10	left	left	1	61	15.292	3989
1	7	4	40	10	left	left	1	84	15.267	5502
1	8	4	40	10	left	left	1	95	15.229	6238
1	9	4	40	10	left	left	1	35	15.344	2281
1	10	4	40	10	left	left	1	52	15.376	3382
1	11	4	40	10	right	left	0	44	15.455	2847
2	1	4	40	10	left	left	1	32	15.224	2102
2	2	4	40	10	left	left	1	52	15.196	3422
2	3	4	40	10	left	left	1	45	15.364	2929
2	4	4	40	10	right	right	1	53	15.309	3462
2	5	4	40	10	right	right	1	36	15.094	2385
2	6	4	40	10	right	right	1	29	15.483	1873
2	7	4	40	10	left	right	0	25	15.133	1652
2	8	4	40	10	right	right	1	29	15.575	1862
2	9	4	40	10	right	right	1	40	15.426	2593
2	10	4	40	10	right	right	1	37	15.226	2430
2	11	4	40	10	left	right	0	41	15.124	2711
2	12	4	40	10	left	left	1	36	15.504	2322
2	13	4	40	10	left	left	1	37	15.195	2435
2	14	4	40	10	left	left	1	24	15.267	1572
2	15	4	40	10	left	left	1	27	15.571	1734
2	16	4	40	10	right	left	0	26	15.495	1678
2	17	4	40	10	right	right	1	79	15.146	5216
2	18	4	40	10	left	right	0	36	15.457	2329
2	19	4	40	10	left	right	0	55	15.16	3628
2	20	4	40	10	right	right	1	85	15.154	5609
3	1	4	40	10	right	right	1	24	15.287	1570
3	2	4	40	10	right	right	1	33	15.529	2125
3	3	4	40	10	right	right	1	25	15.263	1638
3	4	4	40	10	left	left	1	40	15.134	2643
3	5	4	40	10	right	left	0	26	15.394	1689
3	6	4	40	10	left	left	1	26	15.663	1660
3	7	4	40	10	left	right	0	57	15.385	3705
3	8	4	40	10	right	left	0	39	15.379	2536
3	9	4	40	10	right	left	0	58	15.231	3808
3	10	4	40	10	left	right	0	80	15.241	5249
3	11	4	40	10	right	right	1	39	15.385	2535
3	12	4	40	10	right	right	1	31	15.294	2027
3	13	4	40	10	left	right	0	22	15.342	1434
3	14	4	40	10	left	right	0	47	15.152	3102
3	15	4	40	10	left	left	1	80	15.183	5269
3	16	4	40	10	right	left	0	23	15.303	1503
3	17	4	40	10	right	left	0	40	15.45	2589
3	18	4	40	10	right	left	0	35	15.304	2287
3	19	4	40	10	left	left	1	58	15.356	3777
4	1	4	40	10	left	left	1	28	15.538	1802
4	2	4	40	10	left	left	1	33	15.313	2155
4	3	4	40	10	left	left	1	13	15.834	821
4	4	4	40	10	right	left	0	31	15.523	1997
4	5	4	40	10	right	left	0	21	15.453	1359
4	6	4	40	10	right	right	1	34	15.281	2225
4	7	4	40	10	right	right	1	21	15.754	1333
4	8	4	40	10	left	left	1	38	15.51	2450
4	9	4	40	10	right	left	0	30	15.221	1971
4	10	4	40	10	left	left	1	22	15.048	1462
4	11	4	40	10	right	left	0	22	15.559	1414
4	12	4	40	10	left	left	1	23	15.447	1489
4	13	4	40	10	right	right	1	34	15.441	2202
4	14	4	40	10	left	left	1	80	15.253	5245
4	15	4	40	10	left	left	1	27	15.716	1718
4	16	4	40	10	right	left	0	27	15.508	1741
4	17	4	40	10	right	right	1	82	15.319	5353
4	18	4	40	10	right	right	1	26	15.285	1701
4	19	4	40	10	left	right	0	27	15.246	1771
4	20	4	40	10	right	left	0	60	15.182	3952
4	21	4	40	10	left	left	1	27	15.228	1773
4	22	4	40	10	right	right	1	42	15.413	2725
5	1	4	40	10	right	right	1	40	15.256	2622
5	2	4	40	10	right	right	1	29	15.591	1860
5	3	4	40	10	right	right	1	32	15.109	2118
5	4	4	40	10	left	left	1	25	15.713	1591
5	5	4	40	10	right	right	1	50	15.342	3259
5	6	4	40	10	left	left	1	44	15.141	2906
5	7	4	40	10	left	left	1	17	15.755	1079
5	8	4	40	10	right	right	1	39	15.348	2541
5	9	4	40	10	right	left	0	39	15.181	2569
5	10	4	40	10	left	left	1	16	15.123	1058
5	11	4	40	10	left	left	1	38	15.422	2464
5	12	4	40	10	right	left	0	33	15.152	2178
5	13	4	40	10	left	left	1	15	15.873	945
5	14	4	40	10	left	left	1	38	15.2	2500
5	15	4	40	10	right	left	0	44	15.455	2847
5	16	4	40	10	right	left	0	15	15.259	983
5	17	4	40	10	left	left	1	30	15.182	1976
