
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	52	15.218	3417
1	2	4	40	10	right	right	1	59	15.257	3867
1	3	4	40	10	left	left	1	41	15.107	2714
1	4	4	40	10	right	left	0	47	15.37	3058
1	5	4	40	10	left	left	1	40	15.432	2592
1	6	4	40	10	left	right	0	37	15.127	2446
1	7	4	40	10	right	right	1	68	15.274	4452
1	8	4	40	10	right	right	1	50	15.138	3303
1	9	4	40	10	left	left	1	33	15.117	2183
1	10	4	40	10	left	left	1	52	15.357	3386
1	11	4	40	10	right	left	0	43	15.205	2828
1	12	4	40	10	left	left	1	102	15.206	6708
1	13	4	40	10	right	right	1	49	15.336	3195
1	14	4	40	10	right	left	0	66	15.165	4352
1	15	4	40	10	right	right	1	93	15.241	6102
1	16	4	40	10	right	right	1	91	15.302	5947
1	17	4	40	10	right	right	1	40	15.111	2647
1	18	4	40	10	right	right	1	34	15.476	2197
1	19	4	40	10	right	left	0	23	15.541	1480
1	20	4	40	10	left	left	1	33	15.349	2150
1	21	4	40	10	left	left	1	44	15.32	2872
1	22	4	40	10	right	right	1	24	15.19	1580
1	23	4	40	10	left	left	1	26	15.55	1672
1	24	4	40	10	left	left	1	44	15.257	2884
1	25	4	40	10	left	left	1	31	15.309	2025
1	26	4	40	10	right	right	1	25	15.394	1624
1	27	4	40	10	left	left	1	22	15.395	1429
1	28	4	40	10	right	right	1	54	15.118	3572
1	29	4	40	10	left	left	1	34	14.952	2274
1	30	4	40	10	left	left	1	33	15.221	2168
1	31	4	40	10	left	left	1	32	15.195	2106
1	32	4	40	10	left	right	0	24	15.355	1563
1	33	4	40	10	right	right	1	35	15.337	2282
1	34	4	40	10	left	left	1	21	15.173	1384
1	35	4	40	10	left	left	1	40	15.349	2606
1	36	4	40	10	right	right	1	21	15.141	1387
1	37	4	40	10	right	right	1	43	15.484	2777
1	38	4	40	10	right	right	1	31	15.354	2019
1	39	4	40	10	left	left	1	26	15.178	1713
1	40	4	40	10	right	right	1	26	15.55	1672
2	1	4	40	10	left	left	1	35	15.277	2291
