
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	215	15.209	14136
1	2	4	40	10	right	right	1	68	15.295	4446
1	3	4	40	10	right	left	0	53	15.429	3435
1	4	4	40	10	left	left	1	62	15.155	4091
1	5	4	40	10	right	left	0	91	15.274	5958
1	6	4	40	10	left	right	0	24	15.094	1590
1	7	4	40	10	right	left	0	85	15.162	5606
1	8	4	40	10	right	left	0	79	15.152	5214
1	9	4	40	10	right	right	1	63	15.251	4131
1	10	4	40	10	right	right	1	50	15.207	3288
1	11	4	40	10	right	right	1	41	15.213	2695
2	1	4	40	10	left	right	0	76	15.215	4995
2	2	4	40	10	right	left	0	47	15.41	3050
2	3	4	40	10	right	left	0	114	15.208	7496
2	4	4	40	10	left	right	0	59	15.365	3840
2	5	4	40	10	right	left	0	118	15.218	7754
2	6	4	40	10	right	right	1	87	15.165	5737
2	7	4	40	10	right	left	0	93	15.261	6094
2	8	4	40	10	left	right	0	93	15.271	6090
2	9	4	40	10	right	right	1	87	15.303	5685
2	10	4	40	10	right	left	0	23	15.354	1498
3	1	4	40	10	right	right	1	137	15.18	9025
3	2	4	40	10	left	left	1	109	15.2	7171
3	3	4	40	10	right	left	0	235	15.168	15493
3	4	4	40	10	right	left	0	77	15.272	5042
3	5	4	40	10	right	left	0	118	15.153	7787
3	6	4	40	10	right	right	1	71	15.295	4642
3	7	4	40	10	right	right	1	92	15.282	6020
3	8	4	40	10	right	right	1	105	15.224	6897
4	1	4	40	10	right	right	1	133	15.184	8759
4	2	4	40	10	right	right	1	54	15.126	3570
4	3	4	40	10	right	right	1	52	15.254	3409
4	4	4	40	10	left	right	0	49	15.375	3187
4	5	4	40	10	left	right	0	73	15.246	4788
4	6	4	40	10	left	right	0	36	15.471	2327
4	7	4	40	10	left	right	0	72	15.277	4713
4	8	4	40	10	right	right	1	34	15.448	2201
4	9	4	40	10	right	right	1	50	15.258	3277
4	10	4	40	10	left	right	0	60	15.353	3908
4	11	4	40	10	right	right	1	58	15.299	3791
4	12	4	40	10	right	right	1	56	15.372	3643
4	13	4	40	10	left	right	0	55	15.299	3595
4	14	4	40	10	right	left	0	35	15.412	2271
5	1	4	40	10	right	right	1	87	15.26	5701
5	2	4	40	10	right	right	1	23	15.52	1482
5	3	4	40	10	right	right	1	14	15.573	899
5	4	4	40	10	right	right	1	14	15.538	901
5	5	4	40	10	right	left	0	12	16.173	742
5	6	4	40	10	right	left	0	100	15.149	6601
5	7	4	40	10	left	right	0	36	15.398	2338
5	8	4	40	10	left	right	0	77	15.163	5078
5	9	4	40	10	left	right	0	85	15.138	5615
5	10	4	40	10	left	left	1	85	15.247	5575
5	11	4	40	10	left	left	1	78	15.255	5113
5	12	4	40	10	right	left	0	55	15.355	3582
5	13	4	40	10	right	right	1	92	15.31	6009
5	14	4	40	10	right	right	1	62	15.233	4070
6	1	4	40	10	left	right	0	46	15.313	3004
6	2	4	40	10	right	right	1	46	15.247	3017
6	3	4	40	10	right	right	1	57	15.156	3761
6	4	4	40	10	left	right	0	53	15.389	3444
6	5	4	40	10	left	left	1	62	15.331	4044
6	6	4	40	10	right	left	0	22	15.816	1391
6	7	4	40	10	left	left	1	64	15.173	4218
6	8	4	40	10	left	right	0	51	15.394	3313
6	9	4	40	10	right	left	0	38	15.292	2485
6	10	4	40	10	left	left	1	38	15.491	2453
6	11	4	40	10	left	left	1	65	15.169	4285
6	12	4	40	10	right	right	1	44	15.204	2894
6	13	4	40	10	left	left	1	49	15.336	3195
6	14	4	40	10	left	left	1	51	15.215	3352
6	15	4	40	10	right	left	0	45	15.406	2921
6	16	4	40	10	left	right	0	69	15.255	4523
7	1	4	40	10	left	right	0	31	15.385	2015
7	2	4	40	10	right	right	1	6	17.291	347
7	3	4	40	10	right	right	1	7	15.695	446
7	4	4	40	10	left	right	0	6	17.241	348
7	5	4	40	10	left	right	0	5	15.015	333
7	6	4	40	10	right	tooFast	2	4	19.512	205
7	7	4	40	10	right	left	0	18	15.398	1169
7	8	4	40	10	right	right	1	8	16.162	495
7	9	4	40	10	right	right	1	11	16.224	678
7	10	4	40	10	left	right	0	19	15.599	1218
7	11	4	40	10	right	left	0	13	16.23	801
7	12	4	40	10	left	right	0	8	15.474	517
7	13	4	40	10	left	right	0	12	16.107	745
7	14	4	40	10	left	right	0	15	15.198	987
7	15	4	40	10	left	right	0	22	15.759	1396
7	16	4	40	10	right	left	0	28	15.427	1815
7	17	4	40	10	right	left	0	18	15.345	1173
7	18	4	40	10	right	left	0	38	15.158	2507
7	19	4	40	10	left	right	0	31	15.354	2019
7	20	4	40	10	left	left	1	38	15.286	2486
