
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	left	left	1	157	15.198	10330
1	2	4	40	10	right	right	1	53	15.416	3438
1	3	4	40	10	left	left	1	31	15.316	2024
1	4	4	40	10	right	right	1	34	15.247	2230
1	5	4	40	10	right	left	0	35	15.344	2281
1	6	4	40	10	left	left	1	100	15.277	6546
1	7	4	40	10	left	right	0	163	15.177	10740
1	8	4	40	10	left	left	1	71	15.152	4686
1	9	4	40	10	left	left	1	50	15.277	3273
1	10	4	40	10	left	left	1	29	15.434	1879
1	11	4	40	10	left	left	1	35	15.237	2297
1	12	4	40	10	left	left	1	50	15.48	3230
1	13	4	40	10	left	right	0	98	15.303	6404
2	1	4	40	10	left	right	0	91	15.294	5950
2	2	4	40	10	right	left	0	124	15.185	8166
2	3	4	40	10	left	left	1	92	15.257	6030
2	4	4	40	10	left	left	1	59	15.163	3891
2	5	4	40	10	right	left	0	52	15.398	3377
2	6	4	40	10	left	left	1	58	15.203	3815
2	7	4	40	10	right	right	1	67	15.134	4427
2	8	4	40	10	left	left	1	31	15.211	2038
2	9	4	40	10	right	right	1	19	15.472	1228
2	10	4	40	10	left	left	1	16	15.311	1045
2	11	4	40	10	left	left	1	17	15.814	1075
2	12	4	40	10	right	right	1	15	16.026	936
2	13	4	40	10	left	left	1	18	15.371	1171
2	14	4	40	10	right	right	1	17	15.138	1123
2	15	4	40	10	right	right	1	23	15.354	1498
2	16	4	40	10	left	left	1	44	15.304	2875
2	17	4	40	10	right	right	1	22	15.46	1423
2	18	4	40	10	right	left	0	17	16.008	1062
3	1	4	40	10	right	right	1	34	15.518	2191
3	2	4	40	10	left	left	1	19	15.926	1193
3	3	4	40	10	right	right	1	21	15.695	1338
3	4	4	40	10	right	left	0	50	15.211	3287
3	5	4	40	10	right	right	1	16	15.355	1042
3	6	4	40	10	right	left	0	49	15.443	3173
3	7	4	40	10	left	right	0	24	15.727	1526
3	8	4	40	10	left	left	1	22	15.581	1412
3	9	4	40	10	right	right	1	20	15.798	1266
3	10	4	40	10	left	left	1	23	15.405	1493
3	11	4	40	10	right	right	1	15	16.216	925
3	12	4	40	10	right	right	1	157	15.203	10327
3	13	4	40	10	right	left	0	41	15.466	2651
3	14	4	40	10	left	left	1	51	15.334	3326
3	15	4	40	10	right	right	1	15	15.291	981
3	16	4	40	10	left	left	1	17	15.611	1089
3	17	4	40	10	left	left	1	16	15.64	1023
3	18	4	40	10	right	right	1	11	15.919	691
3	19	4	40	10	right	left	0	136	15.25	8918
3	20	4	40	10	left	left	1	60	15.267	3930
4	1	4	40	10	right	right	1	20	15.14	1321
4	2	4	40	10	right	right	1	37	15.436	2397
4	3	4	40	10	left	left	1	54	15.354	3517
4	4	4	40	10	right	right	1	13	15.458	841
