
blkNum	trlNum	coherentDots	numberofDots	percentCoherence	winningDirection	response	correct	eventCount	averageFrameRate	RT
1	1	4	40	10	right	right	1	101	15.245	6625
1	2	4	40	10	right	left	0	63	15.181	4150
1	3	4	40	10	right	left	0	102	15.215	6704
1	4	4	40	10	right	right	1	157	15.231	10308
1	5	4	40	10	left	right	0	68	15.346	4431
1	6	4	40	10	right	left	0	59	15.337	3847
1	7	4	40	10	right	right	1	74	15.283	4842
1	8	4	40	10	left	right	0	57	15.22	3745
1	9	4	40	10	right	left	0	71	15.197	4672
1	10	4	40	10	right	right	1	148	15.164	9760
1	11	4	40	10	left	left	1	112	15.176	7380
1	12	4	40	10	left	left	1	93	15.226	6108
1	13	4	40	10	right	right	1	124	15.176	8171
1	14	4	40	10	left	left	1	123	15.193	8096
1	15	4	40	10	right	right	1	239	15.186	15738
1	16	4	40	10	right	right	1	125	15.199	8224
1	17	4	40	10	right	left	0	142	15.161	9366
1	18	4	40	10	right	right	1	124	15.155	8182
1	19	4	40	10	left	left	1	63	15.166	4154
1	20	4	40	10	right	right	1	124	15.211	8152
1	21	4	40	10	left	left	1	36	15.235	2363
1	22	4	40	10	left	left	1	53	15.186	3490
1	23	4	40	10	left	left	1	65	15.366	4230
1	24	4	40	10	right	right	1	100	15.195	6581
1	25	4	40	10	left	left	1	68	15.312	4441
1	26	4	40	10	left	left	1	74	15.248	4853
1	27	4	40	10	right	left	0	163	15.177	10740
1	28	4	40	10	right	right	1	114	15.178	7511
1	29	4	40	10	right	right	1	102	15.265	6682
1	30	4	40	10	left	left	1	87	15.189	5728
1	31	4	40	10	left	right	0	152	15.142	10038
1	32	4	40	10	right	left	0	87	15.212	5719
1	33	4	40	10	left	right	0	121	15.184	7969
1	34	4	40	10	left	right	0	92	15.142	6076
1	35	4	40	10	left	right	0	118	15.128	7800
1	36	4	40	10	left	left	1	220	15.186	14487
1	37	4	40	10	left	left	1	59	15.245	3870
1	38	4	40	10	left	right	0	81	15.191	5332
1	39	4	40	10	right	right	1	146	15.178	9619
1	40	4	40	10	left	left	1	163	15.209	10717
2	1	4	40	10	right	right	1	47	15.37	3058
2	2	4	40	10	left	left	1	37	15.494	2388
2	3	4	40	10	left	left	1	44	15.257	2884
2	4	4	40	10	left	right	0	63	15.199	4145
2	5	4	40	10	left	right	0	126	15.26	8257
2	6	4	40	10	left	left	1	38	15.188	2502
2	7	4	40	10	right	right	1	58	15.36	3776
2	8	4	40	10	left	left	1	122	15.153	8051
2	9	4	40	10	left	right	0	122	15.256	7997
2	10	4	40	10	right	right	1	123	15.146	8121
2	11	4	40	10	right	right	1	139	15.13	9187
2	12	4	40	10	right	left	0	68	15.145	4490
2	13	4	40	10	right	left	0	78	15.172	5141
2	14	4	40	10	left	right	0	183	15.23	12016
2	15	4	40	10	right	right	1	146	15.242	9579
2	16	4	40	10	right	left	0	94	15.27	6156
2	17	4	40	10	right	right	1	130	15.244	8528
2	18	4	40	10	left	left	1	171	15.185	11261
2	19	4	40	10	right	right	1	88	15.275	5761
2	20	4	40	10	left	left	1	210	15.173	13840
2	21	4	40	10	right	left	0	200	15.126	13222
2	22	4	40	10	right	right	1	177	15.157	11678
2	23	4	40	10	left	left	1	143	15.18	9420
2	24	4	40	10	left	left	1	96	15.287	6280
2	25	4	40	10	right	right	1	147	15.155	9700
2	26	4	40	10	left	right	0	203	15.141	13407
2	27	4	40	10	left	right	0	144	15.179	9487
2	28	4	40	10	right	left	0	74	15.334	4826
2	29	4	40	10	right	right	1	88	15.18	5797
2	30	4	40	10	left	left	1	43	15.423	2788
2	31	4	40	10	left	left	1	107	15.27	7007
2	32	4	40	10	right	right	1	71	15.207	4669
2	33	4	40	10	right	right	1	87	15.125	5752
2	34	4	40	10	left	left	1	100	15.195	6581
2	35	4	40	10	right	right	1	99	15.2	6513
2	36	4	40	10	right	right	1	157	15.222	10314
2	37	4	40	10	left	right	0	234	15.213	15382
2	38	4	40	10	left	left	1	124	15.181	8168
2	39	4	40	10	right	right	1	177	15.211	11636
2	40	4	40	10	left	left	1	107	15.266	7009
3	1	4	40	10	right	right	1	161	15.232	10570
3	2	4	40	10	left	right	0	89	15.253	5835
3	3	4	40	10	right	left	0	36	15.152	2376
3	4	4	40	10	right	right	1	54	15.147	3565
3	5	4	40	10	left	right	0	42	15.295	2746
3	6	4	40	10	right	right	1	165	15.164	10881
3	7	4	40	10	left	left	1	83	15.185	5466
3	8	4	40	10	right	left	0	96	15.207	6313
3	9	4	40	10	right	right	1	129	15.178	8499
3	10	4	40	10	right	right	1	122	15.206	8023
3	11	4	40	10	left	right	0	225	15.171	14831
3	12	4	40	10	right	left	0	69	15.225	4532
3	13	4	40	10	right	right	1	66	15.141	4359
3	14	4	40	10	left	right	0	130	15.226	8538
3	15	4	40	10	right	left	0	97	15.264	6355
3	16	4	40	10	left	left	1	100	15.119	6614
3	17	4	40	10	left	left	1	80	15.282	5235
3	18	4	40	10	left	left	1	131	15.199	8619
3	19	4	40	10	right	right	1	130	15.239	8531
3	20	4	40	10	left	left	1	142	15.158	9368
3	21	4	40	10	left	left	1	167	15.156	11019
3	22	4	40	10	right	left	0	201	15.171	13249
3	23	4	40	10	right	right	1	179	15.176	11795
3	24	4	40	10	right	left	0	106	15.184	6981
3	25	4	40	10	left	left	1	88	15.133	5815
3	26	4	40	10	left	left	1	93	15.139	6143
3	27	4	40	10	left	left	1	87	15.167	5736
3	28	4	40	10	right	right	1	137	15.214	9005
3	29	4	40	10	right	right	1	95	15.266	6223
3	30	4	40	10	right	right	1	123	15.193	8096
3	31	4	40	10	left	left	1	109	15.251	7147
3	32	4	40	10	right	left	0	149	15.17	9822
3	33	4	40	10	left	left	1	105	15.277	6873
3	34	4	40	10	left	right	0	173	15.159	11412
3	35	4	40	10	right	left	0	139	15.256	9111
3	36	4	40	10	left	left	1	81	15.246	5313
3	37	4	40	10	left	left	1	59	15.253	3868
3	38	4	40	10	right	left	0	142	15.207	9338
3	39	4	40	10	left	right	0	137	15.207	9009
3	40	4	40	10	left	left	1	118	15.163	7782
4	1	4	40	10	right	right	1	101	15.183	6652
4	2	4	40	10	left	left	1	77	15.299	5033
4	3	4	40	10	left	left	1	123	15.153	8117
4	4	4	40	10	left	left	1	149	15.204	9800
4	5	4	40	10	left	left	1	174	15.181	11462
4	6	4	40	10	left	right	0	132	15.225	8670
4	7	4	40	10	right	left	0	177	15.211	11636
4	8	4	40	10	left	right	0	123	15.165	8111
4	9	4	40	10	right	right	1	221	15.197	14542
4	10	4	40	10	right	right	1	89	15.248	5837
4	11	4	40	10	left	left	1	48	15.199	3158
4	12	4	40	10	left	left	1	97	15.189	6386
4	13	4	40	10	right	right	1	51	15.251	3344
4	14	4	40	10	right	right	1	49	15.27	3209
4	15	4	40	10	right	right	1	54	15.143	3566
4	16	4	40	10	right	right	1	53	15.425	3436
4	17	4	40	10	left	left	1	61	15.354	3973
4	18	4	40	10	left	left	1	34	15.192	2238
4	19	4	40	10	right	right	1	22	15.515	1418
4	20	4	40	10	left	left	1	31	15.189	2041
4	21	4	40	10	left	left	1	28	15.276	1833
4	22	4	40	10	left	left	1	38	15.51	2450
4	23	4	40	10	left	left	1	27	15.661	1724
4	24	4	40	10	right	right	1	189	15.199	12435
4	25	4	40	10	left	right	0	43	15.2	2829
4	26	4	40	10	right	right	1	77	15.311	5029
4	27	4	40	10	left	left	1	42	15.179	2767
4	28	4	40	10	left	left	1	54	15.337	3521
4	29	4	40	10	right	right	1	98	15.222	6438
4	30	4	40	10	right	right	1	114	15.212	7494
4	31	4	40	10	right	right	1	163	15.159	10753
4	32	4	40	10	left	left	1	107	15.149	7063
4	33	4	40	10	right	left	0	100	15.172	6591
4	34	4	40	10	left	right	0	67	15.207	4406
4	35	4	40	10	right	right	1	118	15.24	7743
4	36	4	40	10	right	left	0	82	15.205	5393
4	37	4	40	10	left	right	0	85	15.173	5602
4	38	4	40	10	right	left	0	127	15.202	8354
4	39	4	40	10	right	right	1	46	15.217	3023
4	40	4	40	10	right	right	1	38	15.341	2477
5	1	4	40	10	left	right	0	29	15.409	1882
5	2	4	40	10	left	left	1	16	15.355	1042
5	3	4	40	10	left	left	1	26	15.7	1656
5	4	4	40	10	left	left	1	21	15.672	1340
5	5	4	40	10	right	right	1	25	15.152	1650
5	6	4	40	10	right	left	0	30	15.19	1975
5	7	4	40	10	right	right	1	31	15.316	2024
5	8	4	40	10	right	right	1	28	15.359	1823
5	9	4	40	10	right	right	1	18	15.101	1192
5	10	4	40	10	left	left	1	15	15.464	970
5	11	4	40	10	right	right	1	12	15.686	765
5	12	4	40	10	left	left	1	11	15.537	708
5	13	4	40	10	left	left	1	18	15.088	1193
5	14	4	40	10	right	right	1	32	15.253	2098
5	15	4	40	10	right	right	1	23	15.192	1514
5	16	4	40	10	right	right	1	16	15.444	1036
5	17	4	40	10	left	left	1	12	15.132	793
5	18	4	40	10	left	left	1	17	15.511	1096
5	19	4	40	10	left	left	1	17	15.525	1095
5	20	4	40	10	left	left	1	14	16.092	870
5	21	4	40	10	left	left	1	20	15.163	1319
5	22	4	40	10	right	right	1	14	15.556	900
5	23	4	40	10	right	left	0	17	15.441	1101
5	24	4	40	10	right	right	1	17	15.843	1073
5	25	4	40	10	right	left	0	21	15.637	1343
5	26	4	40	10	right	right	1	26	15.691	1657
5	27	4	40	10	right	left	0	20	15.637	1279
5	28	4	40	10	right	right	1	19	15.638	1215
5	29	4	40	10	left	left	1	14	15.748	889
5	30	4	40	10	left	left	1	15	15.974	939
5	31	4	40	10	right	right	1	14	15.267	917
5	32	4	40	10	left	left	1	51	15.399	3312
5	33	4	40	10	left	left	1	35	15.521	2255
5	34	4	40	10	left	left	1	22	15.771	1395
5	35	4	40	10	left	left	1	16	15.842	1010
5	36	4	40	10	left	left	1	31	15.454	2006
5	37	4	40	10	right	left	0	26	15.439	1684
5	38	4	40	10	right	right	1	26	15.339	1695
5	39	4	40	10	left	left	1	14	15.964	877
5	40	4	40	10	right	left	0	10	15.873	630
6	1	4	40	10	left	left	1	30	15.528	1932
6	2	4	40	10	right	left	0	9	16.304	552
6	3	4	40	10	right	right	1	17	15.426	1102
6	4	4	40	10	left	left	1	11	16.248	677
6	5	4	40	10	right	left	0	18	15.611	1153
6	6	4	40	10	left	left	1	22	15.131	1454
6	7	4	40	10	right	right	1	15	15.528	966
6	8	4	40	10	right	left	0	13	16.23	801
6	9	4	40	10	left	left	1	17	15.903	1069
6	10	4	40	10	right	right	1	20	15.773	1268
6	11	4	40	10	left	left	1	17	15.873	1071
6	12	4	40	10	left	left	1	19	15.561	1221
